,Open,High,Low,Close,Volume
2025-05-27 11:00:00,1.1358,1.1361,1.1338,1.1341,0.0
2025-05-27 12:00:00,1.1341,1.1341,1.1323,1.1325,0.0
2025-05-27 13:00:00,1.1325,1.1335,1.1323,1.1332,0.0
2025-05-27 14:00:00,1.1332,1.1337,1.133,1.1333,0.0
2025-05-27 15:00:00,1.1333,1.1339,1.1328,1.1337,0.0
2025-05-27 16:00:00,1.1337,1.1339,1.133,1.1331,0.0
2025-05-27 17:00:00,1.1331,1.1333,1.1325,1.1329,0.0
2025-05-27 18:00:00,1.1333,1.1334,1.1323,1.133,0.0
2025-05-27 19:00:00,1.1331,1.1337,1.1328,1.1336,0.0
2025-05-27 20:00:00,1.1336,1.1338,1.1331,1.1337,0.0
2025-05-27 21:00:00,1.1336,1.1346,1.1334,1.1334,0.0
2025-05-27 22:00:00,1.1334,1.1339,1.1315,1.1317,0.0
2025-05-27 23:00:00,1.1317,1.1326,1.13,1.1305,0.0
2025-05-28 00:00:00,1.1305,1.1313,1.13,1.1307,0.0
2025-05-28 01:00:00,1.1307,1.1311,1.1302,1.1306,0.0
2025-05-28 02:00:00,1.1306,1.1315,1.1295,1.1315,0.0
2025-05-28 03:00:00,1.1315,1.1317,1.1303,1.1305,0.0
2025-05-28 04:00:00,1.1304,1.1331,1.1303,1.1326,0.0
2025-05-28 05:00:00,1.1326,1.1334,1.1318,1.1332,0.0
2025-05-28 06:00:00,1.1332,1.134,1.1328,1.1333,0.0
2025-05-28 07:00:00,1.1333,1.1341,1.1324,1.1326,0.0
2025-05-28 08:00:00,1.1325,1.1329,1.1316,1.1318,0.0
2025-05-28 09:00:00,1.1318,1.1325,1.1307,1.1311,0.0
2025-05-28 10:00:00,1.1311,1.1314,1.1297,1.1308,0.0
2025-05-28 11:00:00,1.1309,1.1325,1.1301,1.1302,0.0
2025-05-28 12:00:00,1.1302,1.1309,1.1283,1.1285,0.0
2025-05-28 13:00:00,1.1284,1.1297,1.1284,1.1294,0.0
2025-05-28 14:00:00,1.1294,1.1301,1.129,1.1291,0.0
2025-05-28 15:00:00,1.1291,1.1298,1.1284,1.1294,0.0
2025-05-28 16:00:00,1.1293,1.1296,1.1287,1.1289,0.0
2025-05-28 17:00:00,1.1289,1.1296,1.1288,1.1292,0.0
2025-05-28 18:00:00,1.1291,1.1296,1.129,1.1293,0.0
2025-05-28 19:00:00,1.1294,1.1297,1.129,1.1291,0.0
2025-05-28 20:00:00,1.1291,1.1292,1.121,1.123,0.0
2025-05-28 21:00:00,1.1229,1.1251,1.1223,1.1234,0.0
2025-05-28 22:00:00,1.1234,1.1253,1.1223,1.1251,0.0
2025-05-28 23:00:00,1.1251,1.1257,1.1241,1.1245,0.0
2025-05-29 00:00:00,1.1246,1.1256,1.1242,1.1248,0.0
2025-05-29 01:00:00,1.1248,1.1255,1.1244,1.1247,0.0
2025-05-29 02:00:00,1.1248,1.1251,1.1231,1.1243,0.0
2025-05-29 03:00:00,1.1243,1.1274,1.1242,1.1271,0.0
2025-05-29 04:00:00,1.1271,1.1283,1.1271,1.1276,0.0
2025-05-29 05:00:00,1.1275,1.1279,1.1262,1.1272,0.0
2025-05-29 06:00:00,1.1272,1.1284,1.1271,1.1278,0.0
2025-05-29 07:00:00,1.1278,1.1291,1.1276,1.1286,0.0
2025-05-29 08:00:00,1.1286,1.1291,1.1268,1.1271,0.0
2025-05-29 09:00:00,1.1271,1.135,1.1271,1.1349,0.0
2025-05-29 10:00:00,1.1349,1.136,1.1339,1.1351,0.0
2025-05-29 11:00:00,1.1351,1.1369,1.1343,1.135,0.0
2025-05-29 12:00:00,1.135,1.1371,1.1348,1.137,0.0
2025-05-29 13:00:00,1.137,1.138,1.1367,1.1371,0.0
