,Open,High,Low,Close,Volume
2025-05-28 12:00:00,1.3471,1.3476,1.3454,1.3459,0.0
2025-05-28 13:00:00,1.3459,1.3475,1.3459,1.3474,0.0
2025-05-28 14:00:00,1.3475,1.3479,1.3468,1.3469,0.0
2025-05-28 15:00:00,1.3469,1.3476,1.3462,1.3469,0.0
2025-05-28 16:00:00,1.3469,1.3471,1.3462,1.3464,0.0
2025-05-28 17:00:00,1.3464,1.3471,1.3464,1.3465,0.0
2025-05-28 18:00:00,1.3468,1.347,1.3463,1.3466,0.0
2025-05-28 19:00:00,1.3467,1.3471,1.3464,1.3466,0.0
2025-05-28 20:00:00,1.3466,1.3467,1.3415,1.3428,0.0
2025-05-28 21:00:00,1.3428,1.3443,1.3419,1.3428,0.0
2025-05-28 22:00:00,1.3428,1.3445,1.3418,1.3444,0.0
2025-05-28 23:00:00,1.3444,1.3447,1.3432,1.3433,0.0
2025-05-29 00:00:00,1.3433,1.3442,1.3428,1.3436,0.0
2025-05-29 01:00:00,1.3436,1.3446,1.3431,1.344,0.0
2025-05-29 02:00:00,1.344,1.3442,1.3426,1.3434,0.0
2025-05-29 03:00:00,1.3434,1.3458,1.3428,1.3457,0.0
2025-05-29 04:00:00,1.3457,1.3471,1.3457,1.3465,0.0
2025-05-29 05:00:00,1.3464,1.3475,1.3454,1.346,0.0
2025-05-29 06:00:00,1.346,1.3477,1.3459,1.3469,0.0
2025-05-29 07:00:00,1.3468,1.3484,1.3467,1.3473,0.0
2025-05-29 08:00:00,1.3473,1.3477,1.3458,1.346,0.0
2025-05-29 09:00:00,1.346,1.3505,1.346,1.3501,0.0
2025-05-29 10:00:00,1.3501,1.3507,1.3486,1.3493,0.0
2025-05-29 11:00:00,1.3493,1.35,1.3476,1.3483,0.0
2025-05-29 12:00:00,1.3482,1.3495,1.348,1.3488,0.0
2025-05-29 13:00:00,1.3488,1.3505,1.3487,1.3493,0.0
2025-05-29 14:00:00,1.3493,1.3504,1.3487,1.3497,0.0
2025-05-29 15:00:00,1.3497,1.3504,1.3496,1.3498,0.0
2025-05-29 16:00:00,1.3498,1.35,1.3492,1.3494,0.0
2025-05-29 17:00:00,1.3494,1.3497,1.3488,1.3491,0.0
2025-05-29 18:00:00,1.349,1.3494,1.3484,1.349,0.0
2025-05-29 19:00:00,1.3488,1.3499,1.3486,1.3494,0.0
2025-05-29 20:00:00,1.3495,1.3501,1.3492,1.3499,0.0
2025-05-29 21:00:00,1.3499,1.3509,1.349,1.3496,0.0
2025-05-29 22:00:00,1.3496,1.3511,1.348,1.3482,0.0
2025-05-29 23:00:00,1.3482,1.3487,1.347,1.3473,0.0
2025-05-30 00:00:00,1.3472,1.3479,1.3468,1.3471,0.0
2025-05-30 01:00:00,1.3471,1.3475,1.3469,1.3471,0.0
2025-05-30 02:00:00,1.3471,1.3483,1.3468,1.3479,0.0
2025-05-30 03:00:00,1.3479,1.3485,1.3464,1.3478,0.0
2025-05-30 04:00:00,1.3478,1.3481,1.3455,1.3478,0.0
2025-05-30 05:00:00,1.3478,1.3485,1.3465,1.3466,0.0
2025-05-30 06:00:00,1.3466,1.3473,1.3462,1.347,0.0
2025-05-30 07:00:00,1.347,1.3482,1.3468,1.3472,0.0
2025-05-30 08:00:00,1.3472,1.3481,1.3467,1.3475,0.0
2025-05-30 09:00:00,1.3475,1.3499,1.3474,1.3492,0.0
2025-05-30 10:00:00,1.3492,1.3494,1.345,1.3451,0.0
2025-05-30 11:00:00,1.3451,1.3489,1.3448,1.3483,0.0
2025-05-30 12:00:00,1.3482,1.3484,1.3465,1.3467,0.0
2025-05-30 13:00:00,1.3467,1.3472,1.3455,1.3461,0.0
2025-05-30 14:00:00,1.3461,1.3476,1.346,1.3464,0.0
2025-05-30 15:00:00,1.3464,1.3474,1.3464,1.3468,0.0
2025-05-30 16:00:00,1.3468,1.3476,1.3464,1.3473,0.0
2025-05-30 17:00:00,1.3473,1.3475,1.3449,1.3451,0.0
2025-06-01 19:00:00,1.3454,1.3466,1.345,1.3464,0.0
2025-06-01 20:00:00,1.3464,1.3473,1.3463,1.3468,0.0
2025-06-01 21:00:00,1.3468,1.3492,1.3467,1.3488,0.0
2025-06-01 22:00:00,1.3488,1.3506,1.3485,1.3489,0.0
2025-06-01 23:00:00,1.3489,1.3496,1.3484,1.3485,0.0
2025-06-02 00:00:00,1.3485,1.3488,1.3473,1.3482,0.0
2025-06-02 01:00:00,1.3482,1.349,1.3481,1.3489,0.0
2025-06-02 02:00:00,1.3489,1.3503,1.3487,1.3501,0.0
2025-06-02 03:00:00,1.3501,1.3534,1.3498,1.3531,0.0
2025-06-02 04:00:00,1.3531,1.3557,1.3528,1.3548,0.0
2025-06-02 05:00:00,1.3548,1.3552,1.3538,1.3543,0.0
2025-06-02 06:00:00,1.3543,1.3555,1.354,1.3541,0.0
2025-06-02 07:00:00,1.3541,1.3545,1.353,1.353,0.0
2025-06-02 08:00:00,1.353,1.3542,1.3527,1.3536,0.0
2025-06-02 09:00:00,1.3536,1.355,1.3531,1.3542,0.0
2025-06-02 10:00:00,1.3542,1.3544,1.3518,1.3529,0.0
2025-06-02 11:00:00,1.3528,1.3559,1.3528,1.3553,0.0
2025-06-02 12:00:00,1.3553,1.3555,1.3544,1.3547,0.0
2025-06-02 13:00:00,1.3547,1.3549,1.3519,1.3522,0.0
2025-06-02 14:00:00,1.3522,1.3527,1.3518,1.3521,0.0
2025-06-02 15:00:00,1.3521,1.3541,1.3517,1.354,0.0
2025-06-02 16:00:00,1.354,1.3548,1.3535,1.3546,0.0
2025-06-02 17:00:00,1.3546,1.355,1.3542,1.3544,0.0
2025-06-02 18:00:00,1.3542,1.3546,1.3536,1.3539,0.0
2025-06-02 19:00:00,1.3542,1.3548,1.3537,1.3548,0.0
