,Open,High,Low,Close,Volume
2025-05-28 22:00:00,0.5953,0.5954,0.5931,0.594,0.0
2025-05-28 23:00:00,0.594,0.5944,0.5925,0.5933,0.0
2025-05-29 00:00:00,0.5933,0.5942,0.5928,0.5938,0.0
2025-05-29 01:00:00,0.5938,0.5944,0.5934,0.5942,0.0
2025-05-29 02:00:00,0.5942,0.5943,0.5931,0.5935,0.0
2025-05-29 03:00:00,0.5936,0.596,0.5932,0.5952,0.0
2025-05-29 04:00:00,0.5952,0.5967,0.5951,0.5967,0.0
2025-05-29 05:00:00,0.5967,0.5971,0.5958,0.596,0.0
2025-05-29 06:00:00,0.596,0.5972,0.5959,0.5967,0.0
2025-05-29 07:00:00,0.5967,0.5974,0.5966,0.5969,0.0
2025-05-29 08:00:00,0.5969,0.597,0.5958,0.596,0.0
2025-05-29 09:00:00,0.596,0.5989,0.5959,0.5988,0.0
2025-05-29 10:00:00,0.5988,0.5992,0.5968,0.5971,0.0
2025-05-29 11:00:00,0.5971,0.5982,0.5965,0.5977,0.0
2025-05-29 12:00:00,0.5977,0.5983,0.5976,0.5978,0.0
2025-05-29 13:00:00,0.5978,0.5985,0.5975,0.5981,0.0
2025-05-29 14:00:00,0.5981,0.5986,0.5975,0.5981,0.0
2025-05-29 15:00:00,0.5981,0.5986,0.598,0.5983,0.0
2025-05-29 16:00:00,0.5983,0.5984,0.5977,0.5978,0.0
2025-05-29 17:00:00,0.5978,0.5979,0.5962,0.5962,0.0
2025-05-29 18:00:00,0.5964,0.5981,0.5959,0.5969,0.0
2025-05-29 19:00:00,0.5968,0.5978,0.5965,0.5974,0.0
2025-05-29 20:00:00,0.5974,0.5981,0.5974,0.5976,0.0
2025-05-29 21:00:00,0.5976,0.5984,0.5973,0.5982,0.0
2025-05-29 22:00:00,0.5982,0.5989,0.5963,0.5964,0.0
2025-05-29 23:00:00,0.5964,0.5967,0.5959,0.5963,0.0
2025-05-30 00:00:00,0.5962,0.5967,0.5961,0.5965,0.0
2025-05-30 01:00:00,0.5965,0.5971,0.5965,0.597,0.0
2025-05-30 02:00:00,0.597,0.5981,0.5968,0.5978,0.0
2025-05-30 03:00:00,0.5978,0.5979,0.5967,0.5967,0.0
2025-05-30 04:00:00,0.5967,0.5967,0.5951,0.5958,0.0
2025-05-30 05:00:00,0.5958,0.5961,0.595,0.5951,0.0
2025-05-30 06:00:00,0.5951,0.5957,0.5947,0.5954,0.0
2025-05-30 07:00:00,0.5955,0.5962,0.5954,0.5956,0.0
2025-05-30 08:00:00,0.5956,0.5959,0.5953,0.5957,0.0
2025-05-30 09:00:00,0.5957,0.5968,0.5954,0.596,0.0
2025-05-30 10:00:00,0.596,0.5961,0.5947,0.5951,0.0
2025-05-30 11:00:00,0.5951,0.5972,0.5948,0.597,0.0
2025-05-30 12:00:00,0.597,0.5974,0.5965,0.597,0.0
2025-05-30 13:00:00,0.597,0.5974,0.5959,0.5961,0.0
2025-05-30 14:00:00,0.5962,0.5977,0.5961,0.597,0.0
2025-05-30 15:00:00,0.5971,0.5977,0.597,0.5973,0.0
2025-05-30 16:00:00,0.5973,0.5976,0.597,0.5974,0.0
2025-05-30 17:00:00,0.5974,0.5977,0.5957,0.5962,0.0
2025-06-01 19:00:00,0.5969,0.5975,0.5965,0.5974,0.0
2025-06-01 20:00:00,0.5974,0.5979,0.5972,0.5973,0.0
2025-06-01 21:00:00,0.5973,0.5996,0.5973,0.5992,0.0
2025-06-01 22:00:00,0.5993,0.6009,0.5992,0.5995,0.0
2025-06-01 23:00:00,0.5996,0.6008,0.5995,0.6001,0.0
2025-06-02 00:00:00,0.6001,0.6002,0.599,0.5993,0.0
2025-06-02 01:00:00,0.5993,0.5996,0.599,0.5995,0.0
2025-06-02 02:00:00,0.5995,0.6004,0.5992,0.5997,0.0
2025-06-02 03:00:00,0.5998,0.6008,0.5991,0.6004,0.0
2025-06-02 04:00:00,0.6004,0.6027,0.6003,0.602,0.0
2025-06-02 05:00:00,0.602,0.6023,0.6014,0.6014,0.0
2025-06-02 06:00:00,0.6014,0.6022,0.6013,0.6019,0.0
2025-06-02 07:00:00,0.6019,0.6025,0.6016,0.6018,0.0
2025-06-02 08:00:00,0.6018,0.6022,0.601,0.6013,0.0
2025-06-02 09:00:00,0.6013,0.6022,0.6011,0.6018,0.0
2025-06-02 10:00:00,0.6018,0.6019,0.6005,0.6013,0.0
2025-06-02 11:00:00,0.6014,0.6038,0.6012,0.6034,0.0
2025-06-02 12:00:00,0.6034,0.6038,0.6028,0.6033,0.0
2025-06-02 13:00:00,0.6032,0.6033,0.602,0.6023,0.0
2025-06-02 14:00:00,0.6023,0.6025,0.602,0.6023,0.0
2025-06-02 15:00:00,0.6023,0.6035,0.6019,0.6034,0.0
2025-06-02 16:00:00,0.6034,0.6043,0.6032,0.6042,0.0
2025-06-02 17:00:00,0.6042,0.6044,0.6033,0.6033,0.0
2025-06-02 18:00:00,0.6032,0.6035,0.6023,0.6031,0.0
2025-06-02 19:00:00,0.6032,0.6037,0.6029,0.6036,0.0
2025-06-02 20:00:00,0.6036,0.6048,0.6035,0.6048,0.0
2025-06-02 21:00:00,0.6048,0.6054,0.6042,0.6051,0.0
2025-06-02 22:00:00,0.6051,0.6054,0.6037,0.6039,0.0
2025-06-02 23:00:00,0.6039,0.604,0.6011,0.6013,0.0
2025-06-03 00:00:00,0.6013,0.602,0.601,0.6014,0.0
2025-06-03 01:00:00,0.6014,0.6014,0.6009,0.6014,0.0
2025-06-03 02:00:00,0.6014,0.6015,0.5999,0.6009,0.0
2025-06-03 03:00:00,0.6009,0.6009,0.599,0.6002,0.0
2025-06-03 04:00:00,0.6002,0.6005,0.5995,0.5998,0.0
2025-06-03 05:00:00,0.5998,0.6003,0.5992,0.5998,0.0
2025-06-03 06:00:00,0.5998,0.601,0.5996,0.6005,0.0
2025-06-03 07:00:00,0.6005,0.6006,0.5995,0.5997,0.0
2025-06-03 08:00:00,0.5997,0.6001,0.5993,0.5997,0.0
2025-06-03 09:00:00,0.5998,0.5999,0.5987,0.5994,0.0
2025-06-03 10:00:00,0.5994,0.6005,0.5994,0.5998,0.0
2025-06-03 11:00:00,0.5998,0.6011,0.5988,0.6004,0.0
