,Open,High,Low,Close,Volume
2025-05-29 11:00:00,1.3819,1.3827,1.38,1.3808,0.0
2025-05-29 12:00:00,1.3809,1.3812,1.3793,1.3809,0.0
2025-05-29 13:00:00,1.3809,1.3812,1.3796,1.3804,0.0
2025-05-29 14:00:00,1.3805,1.3812,1.3794,1.3804,0.0
2025-05-29 15:00:00,1.3804,1.3805,1.3792,1.3801,0.0
2025-05-29 16:00:00,1.3801,1.3809,1.3793,1.3808,0.0
2025-05-29 17:00:00,1.3809,1.3812,1.3803,1.3805,0.0
2025-05-29 18:00:00,1.3806,1.381,1.3799,1.3807,0.0
2025-05-29 19:00:00,1.3807,1.3808,1.38,1.3806,0.0
2025-05-29 20:00:00,1.3806,1.3809,1.38,1.3807,0.0
2025-05-29 21:00:00,1.3806,1.3818,1.3797,1.3811,0.0
2025-05-29 22:00:00,1.381,1.382,1.3798,1.3819,0.0
2025-05-29 23:00:00,1.3819,1.3826,1.3812,1.3821,0.0
2025-05-30 00:00:00,1.3824,1.3825,1.3814,1.3822,0.0
2025-05-30 01:00:00,1.3823,1.3823,1.3815,1.382,0.0
2025-05-30 02:00:00,1.382,1.3823,1.3811,1.3813,0.0
2025-05-30 03:00:00,1.3813,1.3823,1.3813,1.382,0.0
2025-05-30 04:00:00,1.382,1.383,1.3813,1.3817,0.0
2025-05-30 05:00:00,1.3817,1.3824,1.3812,1.3818,0.0
2025-05-30 06:00:00,1.3817,1.3821,1.3813,1.3819,0.0
2025-05-30 07:00:00,1.3819,1.382,1.3811,1.3814,0.0
2025-05-30 08:00:00,1.3814,1.3816,1.3807,1.3808,0.0
2025-05-30 09:00:00,1.3808,1.3814,1.3783,1.3794,0.0
2025-05-30 10:00:00,1.3793,1.3798,1.3778,1.3796,0.0
2025-05-30 11:00:00,1.3796,1.3798,1.3735,1.3749,0.0
2025-05-30 12:00:00,1.3747,1.3759,1.374,1.3748,0.0
2025-05-30 13:00:00,1.3748,1.3763,1.3744,1.3756,0.0
2025-05-30 14:00:00,1.3756,1.3761,1.3727,1.3736,0.0
2025-05-30 15:00:00,1.3739,1.374,1.3712,1.3718,0.0
2025-05-30 16:00:00,1.3716,1.3727,1.371,1.3725,0.0
2025-05-30 17:00:00,1.3725,1.3743,1.3717,1.3737,0.0
2025-06-01 19:00:00,1.3736,1.3739,1.372,1.3726,0.0
2025-06-01 20:00:00,1.3725,1.3728,1.3719,1.3723,0.0
2025-06-01 21:00:00,1.3725,1.3727,1.371,1.3713,0.0
2025-06-01 22:00:00,1.3717,1.372,1.3701,1.3718,0.0
2025-06-01 23:00:00,1.3718,1.3721,1.3708,1.3715,0.0
2025-06-02 00:00:00,1.3717,1.3729,1.3711,1.3721,0.0
2025-06-02 01:00:00,1.3723,1.3726,1.3717,1.3722,0.0
2025-06-02 02:00:00,1.3722,1.3724,1.3709,1.3715,0.0
2025-06-02 03:00:00,1.3718,1.3722,1.3695,1.37,0.0
2025-06-02 04:00:00,1.37,1.3703,1.367,1.3678,0.0
2025-06-02 05:00:00,1.3681,1.3697,1.367,1.3695,0.0
2025-06-02 06:00:00,1.3695,1.37,1.3682,1.3692,0.0
2025-06-02 07:00:00,1.3695,1.3697,1.3681,1.3695,0.0
2025-06-02 08:00:00,1.3695,1.3711,1.3689,1.3706,0.0
2025-06-02 09:00:00,1.3706,1.3707,1.3687,1.3696,0.0
2025-06-02 10:00:00,1.3696,1.3713,1.369,1.3703,0.0
2025-06-02 11:00:00,1.3703,1.3709,1.3689,1.37,0.0
2025-06-02 12:00:00,1.37,1.3706,1.3686,1.3699,0.0
2025-06-02 13:00:00,1.3699,1.3714,1.3696,1.3711,0.0
2025-06-02 14:00:00,1.3711,1.3724,1.3706,1.3718,0.0
2025-06-02 15:00:00,1.3718,1.3721,1.3706,1.3712,0.0
2025-06-02 16:00:00,1.3712,1.3716,1.3696,1.3702,0.0
2025-06-02 17:00:00,1.3702,1.3717,1.3696,1.3711,0.0
2025-06-02 18:00:00,1.3712,1.3715,1.3702,1.3711,0.0
2025-06-02 19:00:00,1.3711,1.372,1.3708,1.3714,0.0
2025-06-02 20:00:00,1.3714,1.3716,1.3705,1.3711,0.0
2025-06-02 21:00:00,1.371,1.3726,1.3707,1.3718,0.0
2025-06-02 22:00:00,1.372,1.3726,1.3715,1.3724,0.0
2025-06-02 23:00:00,1.3724,1.3734,1.3718,1.3727,0.0
2025-06-03 00:00:00,1.373,1.3735,1.3725,1.3734,0.0
2025-06-03 01:00:00,1.3735,1.3735,1.3728,1.3732,0.0
2025-06-03 02:00:00,1.3732,1.3739,1.3727,1.373,0.0
2025-06-03 03:00:00,1.3733,1.3738,1.372,1.3724,0.0
2025-06-03 04:00:00,1.3724,1.3735,1.3719,1.3729,0.0
2025-06-03 05:00:00,1.3732,1.3739,1.3723,1.3727,0.0
2025-06-03 06:00:00,1.373,1.3735,1.3718,1.3727,0.0
2025-06-03 07:00:00,1.3726,1.3735,1.372,1.3731,0.0
2025-06-03 08:00:00,1.3733,1.3742,1.3728,1.3739,0.0
2025-06-03 09:00:00,1.3739,1.3743,1.3723,1.373,0.0
2025-06-03 10:00:00,1.373,1.3734,1.3714,1.3728,0.0
2025-06-03 11:00:00,1.3728,1.3735,1.3696,1.3707,0.0
2025-06-03 12:00:00,1.3707,1.3731,1.3702,1.3721,0.0
2025-06-03 13:00:00,1.3718,1.3731,1.3716,1.3725,0.0
2025-06-03 14:00:00,1.3725,1.3726,1.3711,1.3719,0.0
2025-06-03 15:00:00,1.3719,1.3725,1.3715,1.3715,0.0
2025-06-03 16:00:00,1.3716,1.3721,1.3713,1.3719,0.0
2025-06-03 17:00:00,1.372,1.3723,1.371,1.3718,0.0
2025-06-03 18:00:00,1.3718,1.3721,1.3711,1.3718,0.0
2025-06-03 19:00:00,1.372,1.3723,1.3713,1.3723,0.0
2025-06-03 20:00:00,1.3718,1.3723,1.3711,1.3712,0.0
2025-06-03 21:00:00,1.3715,1.3719,1.3708,1.3711,0.0
2025-06-03 22:00:00,1.371,1.3721,1.3702,1.371,0.0
2025-06-03 23:00:00,1.3711,1.3719,1.3702,1.3716,0.0
2025-06-04 00:00:00,1.3718,1.3723,1.3711,1.3717,0.0
2025-06-04 01:00:00,1.3719,1.3724,1.3711,1.3722,0.0
2025-06-04 02:00:00,1.3722,1.3728,1.3716,1.3725,0.0
2025-06-04 03:00:00,1.3725,1.3732,1.3716,1.3718,0.0
2025-06-04 04:00:00,1.3721,1.3721,1.3706,1.3718,0.0
2025-06-04 05:00:00,1.3718,1.3721,1.3702,1.3708,0.0
2025-06-04 06:00:00,1.3708,1.3717,1.3703,1.3714,0.0
2025-06-04 07:00:00,1.3714,1.372,1.3705,1.3712,0.0
2025-06-04 08:00:00,1.3712,1.3714,1.3699,1.3704,0.0
2025-06-04 09:00:00,1.3706,1.3708,1.3689,1.37,0.0
2025-06-04 10:00:00,1.37,1.371,1.3687,1.3708,0.0
2025-06-04 11:00:00,1.3708,1.3708,1.3658,1.3666,0.0
2025-06-04 12:00:00,1.3666,1.3688,1.3661,1.367,0.0
2025-06-04 13:00:00,1.367,1.3671,1.365,1.3655,0.0
2025-06-04 14:00:00,1.3655,1.3661,1.3648,1.366,0.0
2025-06-04 15:00:00,1.3659,1.3669,1.3655,1.3664,0.0
2025-06-04 16:00:00,1.3665,1.3682,1.3657,1.3681,0.0
2025-06-04 17:00:00,1.3681,1.3686,1.3668,1.3676,0.0
2025-06-04 18:00:00,1.3676,1.3677,1.367,1.3671,0.0
2025-06-04 19:00:00,1.3672,1.3679,1.3668,1.3679,0.0
2025-06-04 20:00:00,1.3679,1.3682,1.3668,1.3682,0.0
2025-06-04 21:00:00,1.3678,1.3683,1.3668,1.3672,0.0
2025-06-04 22:00:00,1.3672,1.3682,1.3666,1.3678,0.0
2025-06-04 23:00:00,1.3678,1.3683,1.3672,1.3677,0.0
2025-06-05 00:00:00,1.3677,1.3683,1.3667,1.3683,0.0
2025-06-05 01:00:00,1.3683,1.3684,1.3671,1.3678,0.0
2025-06-05 02:00:00,1.3678,1.3683,1.3671,1.3681,0.0
2025-06-05 03:00:00,1.3681,1.3682,1.3664,1.3673,0.0
2025-06-05 04:00:00,1.3673,1.3674,1.3655,1.3671,0.0
2025-06-05 05:00:00,1.3671,1.3672,1.3658,1.3664,0.0
2025-06-05 06:00:00,1.3662,1.3667,1.3653,1.3653,0.0
2025-06-05 07:00:00,1.3658,1.3661,1.3648,1.3657,0.0
2025-06-05 08:00:00,1.3656,1.3666,1.3649,1.3657,0.0
2025-06-05 09:00:00,1.366,1.3664,1.3644,1.3655,0.0
2025-06-05 10:00:00,1.3655,1.3659,1.363,1.3646,0.0
2025-06-05 11:00:00,1.3646,1.3657,1.3637,1.3654,0.0
2025-06-05 12:00:00,1.3653,1.3672,1.3641,1.3668,0.0
2025-06-05 13:00:00,1.3664,1.3675,1.3657,1.3667,0.0
2025-06-05 14:00:00,1.3667,1.3669,1.3653,1.3657,0.0
2025-06-05 15:00:00,1.3656,1.3669,1.3652,1.3661,0.0
2025-06-05 16:00:00,1.3661,1.3672,1.3658,1.3665,0.0
2025-06-05 17:00:00,1.3665,1.3675,1.3659,1.3673,0.0
2025-06-05 18:00:00,1.3674,1.3676,1.3669,1.3673,0.0
2025-06-05 19:00:00,1.3674,1.3676,1.3666,1.3671,0.0
2025-06-05 20:00:00,1.3671,1.3672,1.3662,1.3667,0.0
2025-06-05 21:00:00,1.3667,1.3668,1.3657,1.3664,0.0
2025-06-05 22:00:00,1.3665,1.3668,1.3656,1.3665,0.0
2025-06-05 23:00:00,1.3665,1.3671,1.366,1.3667,0.0
2025-06-06 00:00:00,1.3667,1.3668,1.3658,1.3664,0.0
2025-06-06 01:00:00,1.3663,1.3666,1.3656,1.3661,0.0
2025-06-06 02:00:00,1.3661,1.3668,1.3656,1.3663,0.0
