,Open,High,Low,Close,Volume
2025-05-27 12:00:00,0.8268,0.828,0.8264,0.8278,0.0
2025-05-27 13:00:00,0.8278,0.828,0.8267,0.827,0.0
2025-05-27 14:00:00,0.8269,0.8274,0.8266,0.8273,0.0
2025-05-27 15:00:00,0.8273,0.8275,0.8269,0.8271,0.0
2025-05-27 16:00:00,0.8271,0.8275,0.8269,0.8275,0.0
2025-05-27 17:00:00,0.8275,0.8276,0.8268,0.8272,0.0
2025-05-27 18:00:00,0.8268,0.8276,0.8254,0.8265,0.0
2025-05-27 19:00:00,0.8265,0.8271,0.8261,0.8268,0.0
2025-05-27 20:00:00,0.8268,0.8274,0.8268,0.8272,0.0
2025-05-27 21:00:00,0.8271,0.8272,0.8264,0.8272,0.0
2025-05-27 22:00:00,0.8272,0.8289,0.827,0.8278,0.0
2025-05-27 23:00:00,0.8278,0.8289,0.8272,0.8287,0.0
2025-05-28 00:00:00,0.8286,0.8289,0.8277,0.8279,0.0
2025-05-28 01:00:00,0.8279,0.8285,0.8276,0.8283,0.0
2025-05-28 02:00:00,0.8283,0.8291,0.8277,0.8277,0.0
2025-05-28 03:00:00,0.8277,0.8283,0.8271,0.8279,0.0
2025-05-28 04:00:00,0.8279,0.8281,0.8254,0.8258,0.0
2025-05-28 05:00:00,0.8259,0.8277,0.8257,0.8266,0.0
2025-05-28 06:00:00,0.8265,0.8271,0.8258,0.8269,0.0
2025-05-28 07:00:00,0.8269,0.828,0.8266,0.8278,0.0
2025-05-28 08:00:00,0.8278,0.828,0.8269,0.8271,0.0
2025-05-28 09:00:00,0.8271,0.8275,0.8261,0.8273,0.0
2025-05-28 10:00:00,0.8273,0.8286,0.8272,0.8277,0.0
2025-05-28 11:00:00,0.8277,0.8279,0.8245,0.8261,0.0
2025-05-28 12:00:00,0.8262,0.8278,0.8259,0.8277,0.0
2025-05-28 13:00:00,0.8276,0.8277,0.8268,0.8268,0.0
2025-05-28 14:00:00,0.8269,0.8272,0.8265,0.8268,0.0
2025-05-28 15:00:00,0.8267,0.8275,0.8265,0.8269,0.0
2025-05-28 16:00:00,0.8269,0.8274,0.8267,0.827,0.0
2025-05-28 17:00:00,0.8271,0.8273,0.8264,0.8267,0.0
2025-05-28 18:00:00,0.8267,0.8278,0.8259,0.8267,0.0
2025-05-28 19:00:00,0.8265,0.8277,0.8261,0.8277,0.0
2025-05-28 20:00:00,0.8276,0.8347,0.8276,0.8327,0.0
2025-05-28 21:00:00,0.8326,0.8341,0.8315,0.8337,0.0
2025-05-28 22:00:00,0.8337,0.8348,0.8321,0.8322,0.0
2025-05-28 23:00:00,0.8322,0.833,0.8318,0.8327,0.0
2025-05-29 00:00:00,0.8328,0.8331,0.8318,0.8322,0.0
2025-05-29 01:00:00,0.8323,0.8329,0.8315,0.8322,0.0
2025-05-29 02:00:00,0.8321,0.8338,0.8319,0.8328,0.0
2025-05-29 03:00:00,0.8328,0.8334,0.8307,0.831,0.0
2025-05-29 04:00:00,0.831,0.8311,0.8292,0.8297,0.0
2025-05-29 05:00:00,0.8298,0.8305,0.8292,0.8297,0.0
2025-05-29 06:00:00,0.8297,0.8298,0.8287,0.8294,0.0
2025-05-29 07:00:00,0.8293,0.8294,0.8275,0.8278,0.0
2025-05-29 08:00:00,0.8278,0.8289,0.8272,0.8285,0.0
2025-05-29 09:00:00,0.8285,0.8285,0.8242,0.8244,0.0
2025-05-29 10:00:00,0.8244,0.8249,0.8236,0.8241,0.0
2025-05-29 11:00:00,0.8241,0.8251,0.8232,0.8244,0.0
2025-05-29 12:00:00,0.8244,0.8246,0.8226,0.8228,0.0
2025-05-29 13:00:00,0.8227,0.8235,0.8225,0.823,0.0
2025-05-29 14:00:00,0.823,0.824,0.8218,0.8224,0.0
2025-05-29 15:00:00,0.8223,0.8225,0.8217,0.8224,0.0
2025-05-29 16:00:00,0.8223,0.8231,0.8223,0.823,0.0
2025-05-29 17:00:00,0.823,0.8234,0.8219,0.822,0.0
2025-05-29 18:00:00,0.8227,0.8229,0.821,0.8217,0.0
2025-05-29 19:00:00,0.8217,0.8229,0.8215,0.8225,0.0
2025-05-29 20:00:00,0.8225,0.8227,0.8219,0.822,0.0
2025-05-29 21:00:00,0.822,0.823,0.8216,0.8219,0.0
2025-05-29 22:00:00,0.8219,0.8227,0.8199,0.8225,0.0
2025-05-29 23:00:00,0.8225,0.8233,0.8222,0.8232,0.0
2025-05-30 00:00:00,0.8232,0.8234,0.8226,0.8231,0.0
2025-05-30 01:00:00,0.823,0.8232,0.8223,0.8229,0.0
2025-05-30 02:00:00,0.8229,0.8236,0.8226,0.8228,0.0
2025-05-30 03:00:00,0.8227,0.8242,0.8227,0.8233,0.0
2025-05-30 04:00:00,0.8233,0.8248,0.8232,0.8239,0.0
2025-05-30 05:00:00,0.8239,0.8245,0.8232,0.8239,0.0
2025-05-30 06:00:00,0.8239,0.8243,0.8233,0.824,0.0
2025-05-30 07:00:00,0.824,0.8247,0.8233,0.8245,0.0
2025-05-30 08:00:00,0.8245,0.8249,0.8238,0.824,0.0
2025-05-30 09:00:00,0.824,0.8242,0.8211,0.8226,0.0
2025-05-30 10:00:00,0.8225,0.8243,0.8223,0.8238,0.0
2025-05-30 11:00:00,0.8237,0.8245,0.8213,0.8215,0.0
2025-05-30 12:00:00,0.8215,0.8234,0.8215,0.823,0.0
2025-05-30 13:00:00,0.823,0.823,0.8219,0.8222,0.0
2025-05-30 14:00:00,0.8221,0.8225,0.8212,0.8217,0.0
2025-05-30 15:00:00,0.8217,0.8225,0.8212,0.8224,0.0
2025-05-30 16:00:00,0.8223,0.8231,0.8222,0.8227,0.0
2025-05-30 17:00:00,0.8227,0.8233,0.8218,0.8218,0.0
2025-06-01 19:00:00,0.8223,0.8226,0.8216,0.822,0.0
2025-06-01 20:00:00,0.8219,0.8224,0.8217,0.8222,0.0
2025-06-01 21:00:00,0.8222,0.8223,0.821,0.8217,0.0
2025-06-01 22:00:00,0.8218,0.8221,0.8209,0.8217,0.0
2025-06-01 23:00:00,0.8217,0.8225,0.8215,0.8223,0.0
2025-06-02 00:00:00,0.8223,0.823,0.8222,0.8223,0.0
2025-06-02 01:00:00,0.8224,0.8227,0.8222,0.8224,0.0
2025-06-02 02:00:00,0.8224,0.8226,0.8206,0.8206,0.0
2025-06-02 03:00:00,0.8206,0.821,0.8194,0.82,0.0
2025-06-02 04:00:00,0.82,0.8203,0.8171,0.8179,0.0
2025-06-02 05:00:00,0.8179,0.819,0.8176,0.8177,0.0
2025-06-02 06:00:00,0.8177,0.8177,0.8156,0.817,0.0
2025-06-02 07:00:00,0.8169,0.8183,0.8169,0.8182,0.0
2025-06-02 08:00:00,0.8182,0.8185,0.8171,0.8179,0.0
2025-06-02 09:00:00,0.8178,0.8184,0.817,0.8181,0.0
2025-06-02 10:00:00,0.818,0.8192,0.8174,0.8179,0.0
2025-06-02 11:00:00,0.8178,0.818,0.8156,0.8167,0.0
2025-06-02 12:00:00,0.8167,0.818,0.8166,0.8174,0.0
2025-06-02 13:00:00,0.8174,0.8184,0.8173,0.818,0.0
2025-06-02 14:00:00,0.818,0.8185,0.8176,0.8181,0.0
2025-06-02 15:00:00,0.8181,0.8183,0.8169,0.8169,0.0
2025-06-02 16:00:00,0.8169,0.8175,0.8166,0.8167,0.0
2025-06-02 17:00:00,0.8167,0.8171,0.8166,0.817,0.0
2025-06-02 18:00:00,0.8179,0.818,0.8161,0.8169,0.0
2025-06-02 19:00:00,0.8169,0.8172,0.8161,0.8165,0.0
2025-06-02 20:00:00,0.8165,0.8166,0.8159,0.8159,0.0
2025-06-02 21:00:00,0.8159,0.8173,0.8158,0.8169,0.0
2025-06-02 22:00:00,0.8169,0.8184,0.8169,0.8182,0.0
2025-06-02 23:00:00,0.8182,0.8187,0.8178,0.8184,0.0
2025-06-03 00:00:00,0.8184,0.8188,0.8182,0.8186,0.0
2025-06-03 01:00:00,0.8185,0.8187,0.8178,0.8178,0.0
2025-06-03 02:00:00,0.8178,0.8186,0.8177,0.8179,0.0
2025-06-03 03:00:00,0.8179,0.8185,0.8173,0.8182,0.0
2025-06-03 04:00:00,0.8182,0.8187,0.8168,0.8178,0.0
2025-06-03 05:00:00,0.8179,0.8191,0.8176,0.8189,0.0
2025-06-03 06:00:00,0.8188,0.8196,0.8183,0.8186,0.0
2025-06-03 07:00:00,0.8185,0.8204,0.8185,0.8202,0.0
2025-06-03 08:00:00,0.8202,0.8217,0.82,0.8212,0.0
2025-06-03 09:00:00,0.8211,0.8234,0.8209,0.8231,0.0
2025-06-03 10:00:00,0.8231,0.8234,0.8217,0.8232,0.0
2025-06-03 11:00:00,0.8231,0.8247,0.8225,0.8232,0.0
2025-06-03 12:00:00,0.8232,0.8246,0.8229,0.8243,0.0
2025-06-03 13:00:00,0.8243,0.8244,0.8234,0.8239,0.0
2025-06-03 14:00:00,0.8239,0.824,0.8233,0.8234,0.0
2025-06-03 15:00:00,0.8234,0.8238,0.8233,0.8237,0.0
2025-06-03 16:00:00,0.8237,0.8243,0.8235,0.8241,0.0
2025-06-03 17:00:00,0.8241,0.8242,0.8234,0.8234,0.0
2025-06-03 18:00:00,0.8234,0.8237,0.8223,0.8232,0.0
2025-06-03 19:00:00,0.8232,0.8239,0.8229,0.8237,0.0
2025-06-03 20:00:00,0.8237,0.8237,0.8228,0.8229,0.0
2025-06-03 21:00:00,0.8229,0.8235,0.8226,0.8234,0.0
2025-06-03 22:00:00,0.8234,0.8244,0.8224,0.823,0.0
2025-06-03 23:00:00,0.823,0.8236,0.8227,0.8234,0.0
2025-06-04 00:00:00,0.8234,0.8243,0.823,0.8242,0.0
2025-06-04 01:00:00,0.8243,0.8244,0.8236,0.8243,0.0
2025-06-04 02:00:00,0.8243,0.825,0.8239,0.8242,0.0
2025-06-04 03:00:00,0.8242,0.8246,0.823,0.823,0.0
2025-06-04 04:00:00,0.823,0.8237,0.8224,0.8232,0.0
2025-06-04 05:00:00,0.8232,0.8237,0.8219,0.8222,0.0
2025-06-04 06:00:00,0.8222,0.8238,0.8221,0.8238,0.0
2025-06-04 07:00:00,0.8238,0.8242,0.8233,0.8237,0.0
2025-06-04 08:00:00,0.8237,0.8238,0.823,0.8236,0.0
2025-06-04 09:00:00,0.8236,0.8237,0.8208,0.8212,0.0
2025-06-04 10:00:00,0.8212,0.8222,0.8209,0.8215,0.0
2025-06-04 11:00:00,0.8215,0.8217,0.8176,0.8183,0.0
2025-06-04 12:00:00,0.8183,0.8193,0.8182,0.8184,0.0
2025-06-04 13:00:00,0.8183,0.8183,0.817,0.8171,0.0
2025-06-04 14:00:00,0.8171,0.8178,0.817,0.8178,0.0
2025-06-04 15:00:00,0.8178,0.818,0.8172,0.8177,0.0
2025-06-04 16:00:00,0.8177,0.8191,0.8176,0.8187,0.0
2025-06-04 17:00:00,0.8188,0.8189,0.818,0.818,0.0
2025-06-04 18:00:00,0.8179,0.8185,0.817,0.8178,0.0
2025-06-04 19:00:00,0.8178,0.8187,0.8175,0.8183,0.0
2025-06-04 20:00:00,0.8182,0.8184,0.8173,0.8182,0.0
2025-06-04 21:00:00,0.8181,0.8186,0.8175,0.8176,0.0
2025-06-04 22:00:00,0.8175,0.819,0.8172,0.8187,0.0
2025-06-04 23:00:00,0.8187,0.8191,0.8183,0.8184,0.0
2025-06-05 00:00:00,0.8184,0.8194,0.8181,0.8193,0.0
2025-06-05 01:00:00,0.8192,0.8194,0.8186,0.819,0.0
2025-06-05 02:00:00,0.819,0.8196,0.8188,0.8193,0.0
2025-06-05 03:00:00,0.8193,0.8197,0.8187,0.8195,0.0
2025-06-05 04:00:00,0.8195,0.8205,0.8186,0.8202,0.0
2025-06-05 05:00:00,0.8202,0.8208,0.8195,0.8204,0.0
2025-06-05 06:00:00,0.8203,0.8206,0.8196,0.8197,0.0
2025-06-05 07:00:00,0.8197,0.8198,0.8188,0.8191,0.0
2025-06-05 08:00:00,0.8191,0.8201,0.8188,0.8195,0.0
2025-06-05 09:00:00,0.8195,0.8215,0.818,0.8203,0.0
2025-06-05 10:00:00,0.8203,0.8212,0.8172,0.8175,0.0
2025-06-05 11:00:00,0.8174,0.82,0.8172,0.8198,0.0
2025-06-05 12:00:00,0.8198,0.8214,0.8193,0.821,0.0
2025-06-05 13:00:00,0.821,0.8214,0.819,0.8191,0.0
2025-06-05 14:00:00,0.8192,0.8209,0.8191,0.82,0.0
2025-06-05 15:00:00,0.82,0.8211,0.8199,0.8204,0.0
2025-06-05 16:00:00,0.8204,0.8209,0.8193,0.8202,0.0
2025-06-05 17:00:00,0.8202,0.8204,0.819,0.819,0.0
2025-06-05 18:00:00,0.8193,0.8207,0.8179,0.8187,0.0
2025-06-05 19:00:00,0.8189,0.8195,0.8186,0.8194,0.0
2025-06-05 20:00:00,0.8194,0.8197,0.8192,0.8193,0.0
2025-06-05 21:00:00,0.8193,0.8202,0.8192,0.8201,0.0
2025-06-05 22:00:00,0.8201,0.8205,0.8197,0.8204,0.0
2025-06-05 23:00:00,0.8204,0.8208,0.8202,0.8205,0.0
2025-06-06 00:00:00,0.8205,0.8205,0.8199,0.8202,0.0
2025-06-06 01:00:00,0.8202,0.8205,0.82,0.8203,0.0
2025-06-06 02:00:00,0.8203,0.8211,0.8202,0.8207,0.0
2025-06-06 03:00:00,0.8207,0.8219,0.8204,0.8215,0.0
2025-06-06 04:00:00,0.8215,0.822,0.8205,0.8207,0.0
2025-06-06 05:00:00,0.8207,0.8221,0.8207,0.822,0.0
2025-06-06 06:00:00,0.822,0.8224,0.8212,0.8214,0.0
2025-06-06 07:00:00,0.8214,0.8216,0.8211,0.8213,0.0
2025-06-06 08:00:00,0.8214,0.8222,0.8211,0.8221,0.0
2025-06-06 09:00:00,0.8221,0.8241,0.821,0.8237,0.0
2025-06-06 10:00:00,0.8237,0.8248,0.8226,0.8239,0.0
2025-06-06 11:00:00,0.8239,0.8242,0.8222,0.8233,0.0
2025-06-06 12:00:00,0.8233,0.8242,0.8212,0.8221,0.0
2025-06-06 13:00:00,0.822,0.8232,0.8217,0.8231,0.0
2025-06-06 14:00:00,0.8231,0.8232,0.8222,0.8223,0.0
2025-06-06 15:00:00,0.8224,0.8224,0.8216,0.8221,0.0
2025-06-06 16:00:00,0.8222,0.8222,0.8216,0.8218,0.0
2025-06-06 17:00:00,0.8218,0.8224,0.8214,0.8219,0.0
2025-06-08 19:00:00,0.8218,0.8219,0.8211,0.8212,0.0
2025-06-08 20:00:00,0.8212,0.8216,0.8208,0.8213,0.0
2025-06-08 21:00:00,0.8213,0.8225,0.8212,0.8225,0.0
2025-06-08 22:00:00,0.8225,0.8225,0.8209,0.8211,0.0
2025-06-08 23:00:00,0.8211,0.8212,0.8204,0.8211,0.0
2025-06-09 00:00:00,0.8211,0.8214,0.8208,0.8212,0.0
2025-06-09 01:00:00,0.8212,0.8213,0.8207,0.8209,0.0
2025-06-09 02:00:00,0.8208,0.8213,0.8205,0.8207,0.0
2025-06-09 03:00:00,0.8207,0.821,0.82,0.8204,0.0
2025-06-09 04:00:00,0.8204,0.8208,0.8196,0.8199,0.0
2025-06-09 05:00:00,0.8199,0.8202,0.8192,0.8202,0.0
2025-06-09 06:00:00,0.8202,0.8203,0.8195,0.8203,0.0
2025-06-09 07:00:00,0.8203,0.8208,0.8199,0.8206,0.0
2025-06-09 08:00:00,0.8206,0.8215,0.8205,0.8209,0.0
2025-06-09 09:00:00,0.8209,0.8223,0.8207,0.822,0.0
2025-06-09 10:00:00,0.822,0.8225,0.8212,0.8215,0.0
2025-06-09 11:00:00,0.8215,0.8226,0.8212,0.8217,0.0
2025-06-09 12:00:00,0.8217,0.8217,0.8204,0.8205,0.0
2025-06-09 13:00:00,0.8205,0.8211,0.8204,0.821,0.0
2025-06-09 14:00:00,0.821,0.8214,0.8209,0.8212,0.0
2025-06-09 15:00:00,0.8212,0.8213,0.8209,0.8213,0.0
2025-06-09 16:00:00,0.8213,0.8216,0.821,0.8215,0.0
2025-06-09 17:00:00,0.8215,0.8217,0.8212,0.8212,0.0
2025-06-09 18:00:00,0.8207,0.822,0.8207,0.8213,0.0
2025-06-09 19:00:00,0.8214,0.8218,0.8209,0.8215,0.0
2025-06-09 20:00:00,0.8215,0.8218,0.8212,0.8213,0.0
2025-06-09 21:00:00,0.8213,0.8217,0.8209,0.8214,0.0
2025-06-09 22:00:00,0.8214,0.8236,0.8211,0.8235,0.0
2025-06-09 23:00:00,0.8235,0.8242,0.8227,0.8229,0.0
2025-06-10 00:00:00,0.8229,0.8233,0.8223,0.8223,0.0
2025-06-10 01:00:00,0.8223,0.8229,0.8222,0.8225,0.0
2025-06-10 02:00:00,0.8226,0.8226,0.821,0.8218,0.0
2025-06-10 03:00:00,0.8217,0.8226,0.8212,0.8224,0.0
2025-06-10 04:00:00,0.8224,0.8236,0.8219,0.822,0.0
2025-06-10 05:00:00,0.822,0.8222,0.8208,0.8211,0.0
2025-06-10 06:00:00,0.8211,0.8217,0.8209,0.8212,0.0
2025-06-10 07:00:00,0.8211,0.8215,0.8209,0.8212,0.0
2025-06-10 08:00:00,0.8212,0.8215,0.8207,0.8214,0.0
2025-06-10 09:00:00,0.8213,0.8219,0.8209,0.8217,0.0
2025-06-10 10:00:00,0.8217,0.8218,0.8204,0.8207,0.0
2025-06-10 11:00:00,0.8208,0.822,0.8207,0.8218,0.0
2025-06-10 12:00:00,0.8218,0.823,0.8218,0.8219,0.0
2025-06-10 13:00:00,0.8219,0.8228,0.8218,0.8223,0.0
2025-06-10 14:00:00,0.8223,0.8227,0.8221,0.8227,0.0
2025-06-10 15:00:00,0.8227,0.8233,0.8224,0.823,0.0
2025-06-10 16:00:00,0.823,0.8232,0.822,0.8228,0.0
2025-06-10 17:00:00,0.8228,0.823,0.8224,0.8224,0.0
2025-06-10 18:00:00,0.8225,0.8229,0.8216,0.8223,0.0
2025-06-10 19:00:00,0.8225,0.8229,0.822,0.8226,0.0
2025-06-10 20:00:00,0.8227,0.8229,0.8219,0.8221,0.0
2025-06-10 21:00:00,0.822,0.8222,0.8212,0.8222,0.0
