,Open,High,Low,Close,Volume
2025-05-27 10:00:00,144.021,144.183,143.871,144.174,0.0
2025-05-27 11:00:00,144.171,144.46,144.167,144.391,0.0
2025-05-27 12:00:00,144.389,144.414,144.22,144.377,0.0
2025-05-27 13:00:00,144.38,144.438,144.286,144.375,0.0
2025-05-27 14:00:00,144.371,144.375,144.274,144.318,0.0
2025-05-27 15:00:00,144.315,144.341,144.239,144.258,0.0
2025-05-27 16:00:00,144.259,144.334,144.23,144.322,0.0
2025-05-27 17:00:00,144.321,144.413,144.291,144.313,0.0
2025-05-27 18:00:00,144.321,144.366,144.25,144.263,0.0
2025-05-27 19:00:00,144.263,144.299,144.16,144.178,0.0
2025-05-27 20:00:00,144.178,144.309,144.128,144.133,0.0
2025-05-27 21:00:00,144.132,144.138,143.847,144.121,0.0
2025-05-27 22:00:00,144.123,144.767,144.077,144.339,0.0
2025-05-27 23:00:00,144.339,144.643,144.207,144.601,0.0
2025-05-28 00:00:00,144.599,144.766,144.294,144.361,0.0
2025-05-28 01:00:00,144.359,144.505,144.265,144.424,0.0
2025-05-28 02:00:00,144.422,144.772,144.248,144.275,0.0
2025-05-28 03:00:00,144.277,144.527,144.217,144.525,0.0
2025-05-28 04:00:00,144.526,144.541,144.067,144.144,0.0
2025-05-28 05:00:00,144.15,144.204,143.991,144.038,0.0
2025-05-28 06:00:00,144.038,144.257,143.997,144.223,0.0
2025-05-28 07:00:00,144.225,144.31,144.078,144.275,0.0
2025-05-28 08:00:00,144.272,144.43,144.189,144.424,0.0
2025-05-28 09:00:00,144.421,144.536,144.304,144.514,0.0
2025-05-28 10:00:00,144.513,144.973,144.509,144.893,0.0
2025-05-28 11:00:00,144.888,144.919,144.511,144.847,0.0
2025-05-28 12:00:00,144.842,145.077,144.822,145.044,0.0
2025-05-28 13:00:00,145.04,145.051,144.906,144.912,0.0
2025-05-28 14:00:00,144.915,144.941,144.822,144.888,0.0
2025-05-28 15:00:00,144.885,145.008,144.75,144.837,0.0
2025-05-28 16:00:00,144.835,144.925,144.804,144.905,0.0
2025-05-28 17:00:00,144.903,144.91,144.808,144.825,0.0
2025-05-28 18:00:00,144.825,144.825,144.724,144.791,0.0
2025-05-28 19:00:00,144.813,144.936,144.769,144.895,0.0
2025-05-28 20:00:00,144.896,146.026,144.881,145.72,0.0
2025-05-28 21:00:00,145.716,146.102,145.601,146.092,0.0
2025-05-28 22:00:00,146.096,146.287,145.733,145.776,0.0
2025-05-28 23:00:00,145.772,145.905,145.594,145.788,0.0
2025-05-29 00:00:00,145.785,145.814,145.616,145.739,0.0
2025-05-29 01:00:00,145.738,145.849,145.659,145.742,0.0
2025-05-29 02:00:00,145.743,146.093,145.697,145.933,0.0
2025-05-29 03:00:00,145.934,146.018,145.47,145.578,0.0
2025-05-29 04:00:00,145.577,145.608,145.199,145.256,0.0
2025-05-29 05:00:00,145.258,145.36,145.134,145.268,0.0
2025-05-29 06:00:00,145.264,145.29,145.023,145.218,0.0
2025-05-29 07:00:00,145.221,145.235,144.924,145.015,0.0
2025-05-29 08:00:00,145.011,145.115,144.876,145.084,0.0
2025-05-29 09:00:00,145.082,145.082,144.404,144.433,0.0
2025-05-29 10:00:00,144.43,144.539,144.263,144.359,0.0
2025-05-29 11:00:00,144.361,144.464,144.15,144.403,0.0
2025-05-29 12:00:00,144.4,144.417,144.052,144.096,0.0
2025-05-29 13:00:00,144.093,144.175,144.043,144.146,0.0
2025-05-29 14:00:00,144.142,144.256,143.975,144.044,0.0
2025-05-29 15:00:00,144.048,144.075,143.956,143.998,0.0
2025-05-29 16:00:00,144.001,144.142,143.974,144.139,0.0
2025-05-29 17:00:00,144.134,144.245,144.1,144.231,0.0
2025-05-29 18:00:00,144.228,144.228,144.099,144.12,0.0
2025-05-29 19:00:00,144.125,144.157,143.865,144.009,0.0
