,Open,High,Low,Close,Volume
2025-07-22 05:40:00,5.1109,5.1134,5.1102,5.1126,0.0
2025-07-22 05:45:00,5.1134,5.1134,5.1108,5.1116,0.0
2025-07-22 05:50:00,5.1126,5.115,5.1116,5.1134,0.0
2025-07-22 05:55:00,5.1142,5.1158,5.1126,5.115,0.0
2025-07-22 06:00:00,5.1157,5.1166,5.1134,5.1158,0.0
2025-07-22 06:05:00,5.1163,5.1181,5.1139,5.1166,0.0
2025-07-22 06:10:00,5.1171,5.1181,5.1155,5.1166,0.0
2025-07-22 06:15:00,5.1157,5.1181,5.1157,5.1181,0.0
2025-07-22 06:20:00,5.1173,5.1181,5.115,5.1158,0.0
2025-07-22 06:25:00,5.1165,5.1166,5.1141,5.115,0.0
2025-07-22 06:30:00,5.1157,5.1158,5.1126,5.1142,0.0
2025-07-22 06:35:00,5.1147,5.115,5.1108,5.1124,0.0
2025-07-22 06:40:00,5.1134,5.1142,5.1108,5.1132,0.0
2025-07-22 06:45:00,5.1126,5.1142,5.1108,5.1126,0.0
2025-07-22 06:50:00,5.1118,5.1134,5.1102,5.1118,0.0
2025-07-22 06:55:00,5.1111,5.1119,5.1095,5.1111,0.0
2025-07-22 07:00:00,5.1103,5.1111,5.1087,5.1103,0.0
2025-07-22 07:05:00,5.1094,5.1119,5.1086,5.1103,0.0
2025-07-22 07:10:00,5.1094,5.1111,5.1086,5.1095,0.0
2025-07-22 07:15:00,5.1102,5.1119,5.1094,5.111,0.0
2025-07-22 07:20:00,5.1103,5.1134,5.1102,5.1119,0.0
2025-07-22 07:25:00,5.1126,5.1134,5.1111,5.1126,0.0
2025-07-22 07:30:00,5.1118,5.1126,5.1102,5.1119,0.0
2025-07-22 07:35:00,5.1108,5.1134,5.1108,5.1132,0.0
2025-07-22 07:40:00,5.1119,5.1142,5.111,5.1118,0.0
2025-07-22 07:45:00,5.1126,5.1166,5.1116,5.1158,0.0
2025-07-22 07:50:00,5.1165,5.1166,5.1141,5.115,0.0
2025-07-22 07:55:00,5.1157,5.1166,5.1141,5.1157,0.0
2025-07-22 08:00:00,5.115,5.1181,5.1139,5.1158,0.0
2025-07-22 08:05:00,5.1173,5.1197,5.1163,5.1197,0.0
2025-07-22 08:10:00,5.1188,5.1197,5.1163,5.1166,0.0
2025-07-22 08:15:00,5.1171,5.1197,5.1155,5.1189,0.0
2025-07-22 08:20:00,5.1179,5.1189,5.1155,5.1181,0.0
2025-07-22 08:25:00,5.1171,5.1197,5.1155,5.1181,0.0
2025-07-22 08:30:00,5.1188,5.1197,5.1164,5.1181,0.0
2025-07-22 08:35:00,5.1189,5.1197,5.1163,5.1173,0.0
2025-07-22 08:40:00,5.1181,5.1205,5.1166,5.1197,0.0
2025-07-22 08:45:00,5.1205,5.1205,5.1181,5.1205,0.0
2025-07-22 08:50:00,5.1196,5.1228,5.1189,5.1228,0.0
2025-07-22 08:55:00,5.122,5.1228,5.1194,5.1218,0.0
2025-07-22 09:00:00,5.1228,5.1252,5.1202,5.122,0.0
2025-07-22 09:05:00,5.1228,5.1252,5.1218,5.122,0.0
2025-07-22 09:10:00,5.1228,5.1252,5.122,5.1243,0.0
2025-07-22 09:15:00,5.1251,5.1283,5.1228,5.1275,0.0
2025-07-22 09:20:00,5.1283,5.1298,5.1259,5.1275,0.0
2025-07-22 09:25:00,5.1281,5.1306,5.1257,5.1291,0.0
2025-07-22 09:30:00,5.1299,5.1315,5.1275,5.1298,0.0
2025-07-22 09:35:00,5.1291,5.1315,5.1257,5.1265,0.0
2025-07-22 09:40:00,5.126,5.1291,5.1249,5.1283,0.0
2025-07-22 09:45:00,5.1273,5.1315,5.1265,5.1296,0.0
2025-07-22 09:50:00,5.1306,5.1307,5.1273,5.1291,0.0
2025-07-22 09:55:00,5.1283,5.1299,5.1243,5.1252,0.0
2025-07-22 10:00:00,5.1258,5.1276,5.1234,5.1252,0.0
2025-07-22 10:05:00,5.1242,5.126,5.1218,5.1226,0.0
2025-07-22 10:10:00,5.1236,5.1244,5.1187,5.1213,0.0
2025-07-22 10:15:00,5.1204,5.1252,5.1196,5.1236,0.0
2025-07-22 10:20:00,5.1243,5.1268,5.1218,5.1236,0.0
2025-07-22 10:25:00,5.1228,5.126,5.121,5.1244,0.0
2025-07-22 10:30:00,5.1236,5.1268,5.1218,5.126,0.0
2025-07-22 10:35:00,5.1267,5.1307,5.1243,5.1291,0.0
2025-07-22 10:40:00,5.1296,5.1298,5.1257,5.1259,0.0
2025-07-22 10:45:00,5.1265,5.1314,5.1249,5.1306,0.0
2025-07-22 10:50:00,5.1299,5.1346,5.1283,5.133,0.0
2025-07-22 10:55:00,5.1338,5.1378,5.1328,5.1378,0.0
2025-07-22 11:00:00,5.1367,5.1393,5.1359,5.1375,0.0
2025-07-22 11:05:00,5.137,5.1385,5.1344,5.1362,0.0
2025-07-22 11:10:00,5.137,5.1385,5.1354,5.1378,0.0
2025-07-22 11:15:00,5.1369,5.1401,5.1367,5.1385,0.0
2025-07-22 11:20:00,5.1375,5.1401,5.1367,5.1385,0.0
