,Open,High,Low,Close,Volume
2025-07-06 19:00:00,6.5937,6.5937,6.5937,6.5937,0.0
2025-07-06 19:05:00,6.5937,6.5937,6.5937,6.5937,0.0
2025-07-06 19:10:00,6.5935,6.5935,6.5935,6.5935,0.0
2025-07-06 19:15:00,6.5961,6.5961,6.5961,6.5961,0.0
2025-07-06 19:20:00,6.5943,6.5943,6.5943,6.5943,0.0
2025-07-06 19:25:00,6.5936,6.5936,6.5936,6.5936,0.0
2025-07-06 19:30:00,6.5905,6.5905,6.5905,6.5905,0.0
2025-07-06 19:35:00,6.593,6.593,6.593,6.593,0.0
2025-07-06 19:40:00,6.5932,6.5932,6.5932,6.5932,0.0
2025-07-06 19:45:00,6.5887,6.5887,6.5887,6.5887,0.0
2025-07-06 19:50:00,6.5891,6.5891,6.5891,6.5891,0.0
2025-07-06 19:55:00,6.5914,6.5914,6.5914,6.5914,0.0
2025-07-06 20:00:00,6.5878,6.5878,6.5878,6.5878,0.0
2025-07-06 20:05:00,6.5875,6.5875,6.5875,6.5875,0.0
2025-07-06 20:10:00,6.5887,6.5887,6.5887,6.5887,0.0
2025-07-06 20:15:00,6.5865,6.5865,6.5865,6.5865,0.0
2025-07-06 20:20:00,6.5865,6.5865,6.5865,6.5865,0.0
2025-07-06 20:25:00,6.5883,6.5883,6.5883,6.5883,0.0
2025-07-06 20:30:00,6.5894,6.5894,6.5894,6.5894,0.0
2025-07-06 20:35:00,6.5848,6.5848,6.5848,6.5848,0.0
2025-07-06 20:40:00,6.5857,6.5857,6.5857,6.5857,0.0
2025-07-06 20:45:00,6.5859,6.5859,6.5859,6.5859,0.0
2025-07-06 20:50:00,6.5875,6.5875,6.5875,6.5875,0.0
2025-07-06 20:55:00,6.5874,6.5874,6.5874,6.5874,0.0
2025-07-06 21:00:00,6.5853,6.5853,6.5853,6.5853,0.0
2025-07-06 21:05:00,6.5881,6.5881,6.5881,6.5881,0.0
2025-07-06 21:10:00,6.5856,6.5856,6.5856,6.5856,0.0
2025-07-06 21:15:00,6.5841,6.5841,6.5841,6.5841,0.0
2025-07-06 21:20:00,6.5858,6.5858,6.5858,6.5858,0.0
2025-07-06 21:25:00,6.585,6.585,6.585,6.585,0.0
2025-07-06 21:30:00,6.5837,6.5837,6.5837,6.5837,0.0
2025-07-06 21:35:00,6.5816,6.5816,6.5816,6.5816,0.0
2025-07-06 21:40:00,6.5814,6.5814,6.5814,6.5814,0.0
2025-07-06 21:45:00,6.5824,6.5824,6.5824,6.5824,0.0
2025-07-06 21:50:00,6.5832,6.5832,6.5832,6.5832,0.0
2025-07-06 21:55:00,6.5838,6.5838,6.5838,6.5838,0.0
2025-07-06 22:00:00,6.5838,6.5838,6.5838,6.5838,0.0
2025-07-06 22:05:00,6.5846,6.5846,6.5846,6.5846,0.0
2025-07-06 22:10:00,6.5833,6.5833,6.5833,6.5833,0.0
2025-07-06 22:15:00,6.5844,6.5844,6.5844,6.5844,0.0
2025-07-06 22:20:00,6.5857,6.5857,6.5857,6.5857,0.0
2025-07-06 22:25:00,6.5853,6.5853,6.5853,6.5853,0.0
2025-07-06 22:30:00,6.5833,6.5833,6.5833,6.5833,0.0
2025-07-06 22:35:00,6.5815,6.5815,6.5815,6.5815,0.0
2025-07-06 22:40:00,6.5803,6.5803,6.5803,6.5803,0.0
2025-07-06 22:45:00,6.5819,6.5819,6.5819,6.5819,0.0
2025-07-06 22:50:00,6.5815,6.5815,6.5815,6.5815,0.0
2025-07-06 22:55:00,6.5821,6.5821,6.5821,6.5821,0.0
2025-07-06 23:00:00,6.5818,6.5818,6.5818,6.5818,0.0
2025-07-06 23:05:00,6.5814,6.5814,6.5814,6.5814,0.0
2025-07-06 23:10:00,6.5791,6.5791,6.5791,6.5791,0.0
2025-07-06 23:15:00,6.5794,6.5794,6.5794,6.5794,0.0
2025-07-06 23:20:00,6.579,6.579,6.579,6.579,0.0
2025-07-06 23:25:00,6.5783,6.5783,6.5783,6.5783,0.0
2025-07-06 23:30:00,6.5784,6.5784,6.5784,6.5784,0.0
2025-07-06 23:35:00,6.5764,6.5764,6.5764,6.5764,0.0
2025-07-06 23:40:00,6.575,6.575,6.575,6.575,0.0
2025-07-06 23:45:00,6.5762,6.5762,6.5762,6.5762,0.0
2025-07-06 23:50:00,6.5782,6.5782,6.5782,6.5782,0.0
2025-07-06 23:55:00,6.5777,6.5777,6.5777,6.5777,0.0
2025-07-07 00:00:00,6.5759,6.5759,6.5759,6.5759,0.0
2025-07-07 00:05:00,6.5782,6.5782,6.5782,6.5782,0.0
2025-07-07 00:10:00,6.5787,6.5787,6.5787,6.5787,0.0
2025-07-07 00:15:00,6.5783,6.5783,6.5783,6.5783,0.0
2025-07-07 00:20:00,6.5764,6.5764,6.5764,6.5764,0.0
2025-07-07 00:25:00,6.5771,6.5771,6.5771,6.5771,0.0
2025-07-07 00:30:00,6.5741,6.5741,6.5741,6.5741,0.0
2025-07-07 00:35:00,6.5731,6.5731,6.5731,6.5731,0.0
2025-07-07 00:40:00,6.5708,6.5708,6.5708,6.5708,0.0
2025-07-07 00:45:00,6.5705,6.5705,6.5705,6.5705,0.0
2025-07-07 00:50:00,6.5735,6.5735,6.5735,6.5735,0.0
2025-07-07 00:55:00,6.5686,6.5686,6.5686,6.5686,0.0
2025-07-07 01:00:00,6.5694,6.5694,6.5694,6.5694,0.0
2025-07-07 01:05:00,6.5696,6.5696,6.5696,6.5696,0.0
2025-07-07 01:10:00,6.5692,6.5692,6.5692,6.5692,0.0
2025-07-07 01:15:00,6.5689,6.5689,6.5689,6.5689,0.0
2025-07-07 01:20:00,6.5685,6.5685,6.5685,6.5685,0.0
2025-07-07 01:25:00,6.57,6.57,6.57,6.57,0.0
2025-07-07 01:30:00,6.5724,6.5724,6.5724,6.5724,0.0
2025-07-07 01:35:00,6.5751,6.5751,6.5751,6.5751,0.0
2025-07-07 01:40:00,6.5743,6.5743,6.5743,6.5743,0.0
2025-07-07 01:45:00,6.5762,6.5762,6.5762,6.5762,0.0
2025-07-07 01:50:00,6.5786,6.5786,6.5786,6.5786,0.0
2025-07-07 01:55:00,6.5759,6.5759,6.5759,6.5759,0.0
2025-07-07 02:00:00,6.5742,6.5742,6.5742,6.5742,0.0
2025-07-07 02:05:00,6.5657,6.5657,6.5657,6.5657,0.0
2025-07-07 02:10:00,6.5686,6.5686,6.5686,6.5686,0.0
2025-07-07 02:15:00,6.5699,6.5699,6.5699,6.5699,0.0
2025-07-07 02:20:00,6.5725,6.5725,6.5725,6.5725,0.0
2025-07-07 02:25:00,6.5692,6.5692,6.5692,6.5692,0.0
2025-07-07 02:30:00,6.5747,6.5747,6.5747,6.5747,0.0
2025-07-07 02:35:00,6.5767,6.5767,6.5767,6.5767,0.0
2025-07-07 02:40:00,6.5762,6.5762,6.5762,6.5762,0.0
2025-07-07 02:45:00,6.5813,6.5813,6.5813,6.5813,0.0
2025-07-07 02:50:00,6.5816,6.5816,6.5816,6.5816,0.0
2025-07-07 02:55:00,6.5832,6.5832,6.5832,6.5832,0.0
2025-07-07 03:00:00,6.5808,6.5808,6.5808,6.5808,0.0
2025-07-07 03:05:00,6.5831,6.5831,6.5831,6.5831,0.0
2025-07-07 03:10:00,6.588,6.588,6.588,6.588,0.0
2025-07-07 03:15:00,6.5893,6.5893,6.5893,6.5893,0.0
2025-07-07 03:20:00,6.5871,6.5871,6.5871,6.5871,0.0
2025-07-07 03:25:00,6.5819,6.5819,6.5819,6.5819,0.0
2025-07-07 03:30:00,6.5795,6.5795,6.5795,6.5795,0.0
