,Open,High,Low,Close,Volume
2025-07-22 05:40:00,6.2398,6.2448,6.2365,6.2429,0.0
2025-07-22 05:45:00,6.2439,6.2452,6.2373,6.2411,0.0
2025-07-22 05:50:00,6.2421,6.2454,6.2379,6.2428,0.0
2025-07-22 05:55:00,6.2436,6.2466,6.2385,6.2443,0.0
2025-07-22 06:00:00,6.2451,6.247,6.2357,6.2426,0.0
2025-07-22 06:05:00,6.2435,6.2471,6.2374,6.2415,0.0
2025-07-22 06:10:00,6.2446,6.2464,6.2383,6.2444,0.0
2025-07-22 06:15:00,6.2434,6.2462,6.2366,6.2421,0.0
2025-07-22 06:20:00,6.2411,6.2432,6.2342,6.2377,0.0
2025-07-22 06:25:00,6.241,6.2432,6.236,6.2413,0.0
2025-07-22 06:30:00,6.2394,6.2426,6.2354,6.2402,0.0
2025-07-22 06:35:00,6.2415,6.244,6.2343,6.2396,0.0
2025-07-22 06:40:00,6.2411,6.2442,6.2342,6.2417,0.0
2025-07-22 06:45:00,6.241,6.2442,6.2356,6.2401,0.0
2025-07-22 06:50:00,6.2392,6.2439,6.235,6.2411,0.0
2025-07-22 06:55:00,6.2409,6.2419,6.2345,6.2399,0.0
2025-07-22 07:00:00,6.239,6.2419,6.2347,6.2378,0.0
2025-07-22 07:05:00,6.2389,6.2439,6.2349,6.2401,0.0
2025-07-22 07:10:00,6.2391,6.2422,6.2358,6.2391,0.0
2025-07-22 07:15:00,6.2402,6.2425,6.2358,6.2385,0.0
2025-07-22 07:20:00,6.2396,6.2452,6.2366,6.2408,0.0
2025-07-22 07:25:00,6.242,6.2456,6.2388,6.2438,0.0
2025-07-22 07:30:00,6.2431,6.2472,6.2378,6.2425,0.0
2025-07-22 07:35:00,6.2438,6.2474,6.2391,6.2448,0.0
2025-07-22 07:40:00,6.243,6.2483,6.2387,6.2447,0.0
2025-07-22 07:45:00,6.2457,6.2508,6.239,6.2444,0.0
2025-07-22 07:50:00,6.2475,6.2492,6.241,6.2468,0.0
2025-07-22 07:55:00,6.2478,6.2491,6.2414,6.2469,0.0
2025-07-22 08:00:00,6.246,6.2501,6.2376,6.242,0.0
2025-07-22 08:05:00,6.2461,6.2494,6.2392,6.2469,0.0
2025-07-22 08:10:00,6.2439,6.2498,6.241,6.2431,0.0
2025-07-22 08:15:00,6.2463,6.2505,6.2416,6.2495,0.0
2025-07-22 08:20:00,6.2484,6.2525,6.2421,6.251,0.0
2025-07-22 08:25:00,6.25,6.2541,6.2426,6.2491,0.0
2025-07-22 08:30:00,6.2478,6.2541,6.2445,6.2496,0.0
2025-07-22 08:35:00,6.2526,6.2574,6.2466,6.2545,0.0
2025-07-22 08:40:00,6.2553,6.2599,6.2481,6.2579,0.0
2025-07-22 08:45:00,6.259,6.2599,6.2524,6.2586,0.0
2025-07-22 08:50:00,6.2577,6.2624,6.2521,6.2608,0.0
2025-07-22 08:55:00,6.2579,6.2641,6.2502,6.2564,0.0
2025-07-22 09:00:00,6.2575,6.2651,6.2499,6.2586,0.0
2025-07-22 09:05:00,6.2618,6.2646,6.2534,6.2581,0.0
2025-07-22 09:10:00,6.2571,6.2651,6.2548,6.2615,0.0
2025-07-22 09:15:00,6.2645,6.27,6.254,6.2633,0.0
2025-07-22 09:20:00,6.2618,6.2665,6.2544,6.2618,0.0
2025-07-22 09:25:00,6.2627,6.2656,6.2512,6.256,0.0
2025-07-22 09:30:00,6.2588,6.264,6.253,6.2606,0.0
2025-07-22 09:35:00,6.2597,6.264,6.2489,6.2583,0.0
2025-07-22 09:40:00,6.2574,6.263,6.251,6.2587,0.0
2025-07-22 09:45:00,6.2578,6.2638,6.2483,6.256,0.0
2025-07-22 09:50:00,6.2568,6.2598,6.25,6.255,0.0
2025-07-22 09:55:00,6.2522,6.2569,6.2428,6.2447,0.0
2025-07-22 10:00:00,6.2474,6.2507,6.2364,6.2383,0.0
2025-07-22 10:05:00,6.2387,6.2472,6.2327,6.2423,0.0
2025-07-22 10:10:00,6.2432,6.247,6.233,6.2405,0.0
2025-07-22 10:15:00,6.2413,6.2478,6.2318,6.2403,0.0
2025-07-22 10:20:00,6.2437,6.2469,6.2333,6.242,0.0
2025-07-22 10:25:00,6.2406,6.2449,6.2307,6.2385,0.0
2025-07-22 10:30:00,6.2407,6.2448,6.2336,6.2418,0.0
2025-07-22 10:35:00,6.2427,6.2488,6.2352,6.2439,0.0
2025-07-22 10:40:00,6.247,6.2471,6.2323,6.238,0.0
2025-07-22 10:45:00,6.2395,6.2454,6.2304,6.2387,0.0
2025-07-22 10:50:00,6.2401,6.2486,6.2299,6.2398,0.0
2025-07-22 10:55:00,6.2386,6.2455,6.2292,6.2389,0.0
