,Open,High,Low,Close,Volume
2025-07-22 05:40:00,0.8344,0.835,0.8342,0.8347,0.0
2025-07-22 05:45:00,0.835,0.835,0.8343,0.8344,0.0
2025-07-22 05:50:00,0.8345,0.8351,0.8343,0.8345,0.0
2025-07-22 05:55:00,0.8348,0.8352,0.8343,0.8347,0.0
2025-07-22 06:00:00,0.8349,0.8352,0.8344,0.8348,0.0
2025-07-22 06:05:00,0.8351,0.8354,0.8344,0.8348,0.0
2025-07-22 06:10:00,0.8351,0.8353,0.8345,0.835,0.0
2025-07-22 06:15:00,0.8347,0.8353,0.8346,0.8351,0.0
2025-07-22 06:20:00,0.8351,0.8353,0.8345,0.8348,0.0
2025-07-22 06:25:00,0.8348,0.8351,0.8344,0.8347,0.0
2025-07-22 06:30:00,0.8348,0.8351,0.8343,0.8347,0.0
2025-07-22 06:35:00,0.8348,0.8351,0.8341,0.8345,0.0
2025-07-22 06:40:00,0.8346,0.835,0.8342,0.8346,0.0
2025-07-22 06:45:00,0.8347,0.835,0.8341,0.8344,0.0
2025-07-22 06:50:00,0.8343,0.8348,0.834,0.8344,0.0
2025-07-22 06:55:00,0.8343,0.8346,0.8339,0.8343,0.0
2025-07-22 07:00:00,0.8341,0.8345,0.8339,0.8343,0.0
2025-07-22 07:05:00,0.8341,0.8346,0.8338,0.8341,0.0
2025-07-22 07:10:00,0.8342,0.8345,0.8338,0.8341,0.0
2025-07-22 07:15:00,0.8341,0.8346,0.8339,0.8342,0.0
2025-07-22 07:20:00,0.834,0.8348,0.8339,0.8343,0.0
2025-07-22 07:25:00,0.8344,0.8348,0.8341,0.8347,0.0
2025-07-22 07:30:00,0.8344,0.8348,0.8341,0.8345,0.0
2025-07-22 07:35:00,0.8343,0.8349,0.8342,0.8346,0.0
2025-07-22 07:40:00,0.8343,0.835,0.8342,0.8344,0.0
2025-07-22 07:45:00,0.8345,0.8353,0.8342,0.8348,0.0
2025-07-22 07:50:00,0.835,0.8352,0.8346,0.8348,0.0
2025-07-22 07:55:00,0.8351,0.8353,0.8346,0.8349,0.0
2025-07-22 08:00:00,0.8349,0.8355,0.8344,0.8348,0.0
2025-07-22 08:05:00,0.835,0.8356,0.8347,0.8353,0.0
2025-07-22 08:10:00,0.8353,0.8357,0.8348,0.835,0.0
2025-07-22 08:15:00,0.8353,0.8357,0.8348,0.8356,0.0
2025-07-22 08:20:00,0.8352,0.8358,0.8348,0.8355,0.0
2025-07-22 08:25:00,0.8355,0.8359,0.835,0.8353,0.0
2025-07-22 08:30:00,0.8355,0.8359,0.8351,0.8354,0.0
2025-07-22 08:35:00,0.8357,0.8359,0.835,0.8353,0.0
2025-07-22 08:40:00,0.8355,0.8361,0.8351,0.8356,0.0
2025-07-22 08:45:00,0.8358,0.8361,0.8353,0.8359,0.0
2025-07-22 08:50:00,0.8357,0.8364,0.8353,0.8361,0.0
2025-07-22 08:55:00,0.8362,0.8364,0.8353,0.8357,0.0
2025-07-22 09:00:00,0.8359,0.8366,0.8353,0.8358,0.0
2025-07-22 09:05:00,0.836,0.8365,0.8355,0.8357,0.0
2025-07-22 09:10:00,0.836,0.8366,0.8356,0.8364,0.0
2025-07-22 09:15:00,0.8363,0.8372,0.8359,0.8366,0.0
2025-07-22 09:20:00,0.8368,0.8373,0.8361,0.8368,0.0
2025-07-22 09:25:00,0.8368,0.8373,0.8361,0.8366,0.0
2025-07-22 09:30:00,0.8369,0.8373,0.8362,0.8368,0.0
2025-07-22 09:35:00,0.8366,0.8374,0.836,0.8364,0.0
2025-07-22 09:40:00,0.8365,0.837,0.836,0.8366,0.0
2025-07-22 09:45:00,0.8364,0.8373,0.836,0.8365,0.0
2025-07-22 09:50:00,0.8367,0.837,0.8361,0.8365,0.0
2025-07-22 09:55:00,0.8365,0.8368,0.8356,0.8357,0.0
2025-07-22 10:00:00,0.8359,0.8363,0.8353,0.8356,0.0
2025-07-22 10:05:00,0.8357,0.8362,0.8351,0.8355,0.0
2025-07-22 10:10:00,0.8358,0.8362,0.8348,0.8355,0.0
2025-07-22 10:15:00,0.8355,0.8362,0.8348,0.8355,0.0
2025-07-22 10:20:00,0.8357,0.8362,0.8351,0.8355,0.0
2025-07-22 10:25:00,0.8353,0.836,0.8349,0.8356,0.0
2025-07-22 10:30:00,0.8355,0.8362,0.835,0.8358,0.0
2025-07-22 10:35:00,0.836,0.8367,0.8353,0.8363,0.0
2025-07-22 10:40:00,0.8363,0.8367,0.8356,0.8358,0.0
2025-07-22 10:45:00,0.8359,0.8369,0.8355,0.8363,0.0
2025-07-22 10:50:00,0.8362,0.8372,0.8357,0.8365,0.0
2025-07-22 10:55:00,0.8366,0.8374,0.8363,0.837,0.0
2025-07-22 11:00:00,0.8368,0.8376,0.8367,0.8372,0.0
2025-07-22 11:05:00,0.837,0.8375,0.8365,0.8369,0.0
2025-07-22 11:10:00,0.837,0.8375,0.8367,0.8373,0.0
2025-07-22 11:15:00,0.837,0.8377,0.8367,0.837,0.0
2025-07-22 11:20:00,0.837,0.8375,0.8367,0.837,0.0
2025-07-22 11:25:00,0.8368,0.8374,0.8367,0.8368,0.0
2025-07-22 11:30:00,0.8367,0.8372,0.8365,0.8368,0.0
2025-07-22 11:35:00,0.8371,0.8376,0.8365,0.837,0.0
2025-07-22 11:40:00,0.8369,0.838,0.8364,0.837,0.0
2025-07-22 11:45:00,0.8371,0.8376,0.8367,0.837,0.0
2025-07-22 11:50:00,0.8373,0.8377,0.8368,0.8373,0.0
2025-07-22 11:55:00,0.8371,0.8377,0.8368,0.8374,0.0
2025-07-22 12:00:00,0.8374,0.8379,0.837,0.8373,0.0
2025-07-22 12:05:00,0.8375,0.8379,0.837,0.8375,0.0
2025-07-22 12:10:00,0.8374,0.838,0.8371,0.8376,0.0
2025-07-22 12:15:00,0.8377,0.8379,0.837,0.8374,0.0
2025-07-22 12:20:00,0.8373,0.8379,0.837,0.8374,0.0
2025-07-22 12:25:00,0.8373,0.8377,0.8371,0.8374,0.0
2025-07-22 12:30:00,0.8375,0.8379,0.837,0.8371,0.0
2025-07-22 12:35:00,0.8373,0.838,0.8371,0.8374,0.0
2025-07-22 12:40:00,0.8372,0.8377,0.8371,0.8373,0.0
2025-07-22 12:45:00,0.8372,0.8378,0.8368,0.8373,0.0
2025-07-22 12:50:00,0.8374,0.8378,0.837,0.8372,0.0
2025-07-22 12:55:00,0.8373,0.8377,0.8368,0.837,0.0
2025-07-22 13:00:00,0.8372,0.8377,0.8368,0.8371,0.0
2025-07-22 13:05:00,0.837,0.8375,0.8368,0.8371,0.0
2025-07-22 13:10:00,0.8374,0.8375,0.8367,0.8372,0.0
2025-07-22 13:15:00,0.8369,0.8373,0.8367,0.8368,0.0
2025-07-22 13:20:00,0.837,0.8375,0.8368,0.8372,0.0
