,Open,High,Low,Close,Volume
2025-07-21 13:55:00,0.6526,0.6527,0.6524,0.6525,0.0
2025-07-21 14:00:00,0.6526,0.6527,0.6524,0.6525,0.0
2025-07-21 14:05:00,0.6524,0.6526,0.6523,0.6526,0.0
2025-07-21 14:10:00,0.6525,0.6527,0.6524,0.6524,0.0
2025-07-21 14:15:00,0.6525,0.6525,0.6522,0.6524,0.0
2025-07-21 14:20:00,0.6523,0.6527,0.6523,0.6526,0.0
2025-07-21 14:25:00,0.6527,0.6528,0.6525,0.6527,0.0
2025-07-21 14:30:00,0.6526,0.6528,0.6526,0.6527,0.0
2025-07-21 14:35:00,0.6526,0.6528,0.6525,0.6526,0.0
2025-07-21 14:40:00,0.6527,0.6528,0.6524,0.6525,0.0
2025-07-21 14:45:00,0.6526,0.6526,0.6524,0.6524,0.0
2025-07-21 14:50:00,0.6525,0.6525,0.6522,0.6524,0.0
2025-07-21 14:55:00,0.6525,0.6526,0.6523,0.6526,0.0
2025-07-21 15:00:00,0.6525,0.6527,0.6525,0.6526,0.0
2025-07-21 15:05:00,0.6525,0.6527,0.6524,0.6526,0.0
2025-07-21 15:10:00,0.6525,0.6527,0.6525,0.6526,0.0
2025-07-21 15:15:00,0.6527,0.6527,0.6525,0.6526,0.0
2025-07-21 15:20:00,0.6527,0.6527,0.6525,0.6526,0.0
2025-07-21 15:25:00,0.6525,0.6526,0.6524,0.6525,0.0
2025-07-21 15:30:00,0.6524,0.6525,0.6523,0.6524,0.0
2025-07-21 15:35:00,0.6525,0.6526,0.6523,0.6524,0.0
2025-07-21 15:40:00,0.6525,0.6526,0.6523,0.6524,0.0
2025-07-21 15:45:00,0.6525,0.6526,0.6523,0.6524,0.0
2025-07-21 15:50:00,0.6523,0.6524,0.6522,0.6523,0.0
2025-07-21 15:55:00,0.6524,0.6525,0.6522,0.6523,0.0
2025-07-21 16:00:00,0.6522,0.6524,0.652,0.6523,0.0
2025-07-21 16:05:00,0.6522,0.6523,0.6521,0.6522,0.0
2025-07-21 16:10:00,0.6523,0.6524,0.6522,0.6523,0.0
2025-07-21 16:15:00,0.6522,0.6524,0.6521,0.6522,0.0
2025-07-21 16:20:00,0.6523,0.6524,0.6521,0.6522,0.0
2025-07-21 16:25:00,0.6524,0.6525,0.6522,0.6523,0.0
2025-07-21 16:30:00,0.6525,0.6525,0.6523,0.6525,0.0
2025-07-21 16:35:00,0.6524,0.6525,0.6523,0.6523,0.0
2025-07-21 16:40:00,0.6524,0.6525,0.6523,0.6523,0.0
2025-07-21 16:45:00,0.6524,0.6525,0.6523,0.6523,0.0
2025-07-21 16:50:00,0.6525,0.6525,0.6522,0.6523,0.0
2025-07-21 16:55:00,0.6525,0.6525,0.6521,0.6522,0.0
2025-07-21 17:00:00,0.6521,0.6524,0.6521,0.6523,0.0
2025-07-21 17:05:00,0.6526,0.6526,0.6526,0.6526,0.0
2025-07-21 17:10:00,0.6525,0.6525,0.652,0.6523,0.0
2025-07-21 17:15:00,0.6524,0.6524,0.6521,0.6523,0.0
2025-07-21 17:20:00,0.6523,0.6523,0.6523,0.6523,0.0
2025-07-21 17:25:00,0.6521,0.6523,0.6521,0.6523,0.0
2025-07-21 17:30:00,0.652,0.6525,0.6519,0.6522,0.0
2025-07-21 17:35:00,0.6524,0.6524,0.6521,0.6524,0.0
2025-07-21 17:40:00,0.6521,0.6524,0.6521,0.6524,0.0
2025-07-21 17:45:00,0.6521,0.6524,0.6521,0.6522,0.0
2025-07-21 17:50:00,0.6524,0.6524,0.6521,0.6523,0.0
2025-07-21 17:55:00,0.6524,0.6524,0.652,0.6523,0.0
2025-07-21 18:00:00,0.652,0.6523,0.652,0.6522,0.0
2025-07-21 18:05:00,0.6521,0.6523,0.6518,0.6521,0.0
