,Open,High,Low,Close,Volume
2025-07-06 19:00:00,5.7689,5.7706,5.7689,5.7695,0.0
2025-07-06 19:05:00,5.7695,5.7696,5.7685,5.769,0.0
2025-07-06 19:10:00,5.7691,5.7701,5.7685,5.77,0.0
2025-07-06 19:15:00,5.7699,5.77,5.7685,5.7698,0.0
2025-07-06 19:20:00,5.7698,5.7703,5.7685,5.77,0.0
2025-07-06 19:25:00,5.77,5.7701,5.7687,5.77,0.0
2025-07-06 19:30:00,5.77,5.77,5.7678,5.7691,0.0
2025-07-06 19:35:00,5.7692,5.7701,5.7685,5.7701,0.0
2025-07-06 19:40:00,5.7702,5.7704,5.7686,5.7698,0.0
2025-07-06 19:45:00,5.7698,5.7698,5.7681,5.7693,0.0
2025-07-06 19:50:00,5.7693,5.7697,5.768,5.7697,0.0
2025-07-06 19:55:00,5.7696,5.7705,5.7688,5.7702,0.0
2025-07-06 20:00:00,5.7703,5.7724,5.769,5.7721,0.0
2025-07-06 20:05:00,5.7721,5.7728,5.7711,5.7721,0.0
2025-07-06 20:10:00,5.7721,5.7724,5.7705,5.7724,0.0
2025-07-06 20:15:00,5.7724,5.7729,5.7713,5.7724,0.0
2025-07-06 20:20:00,5.7724,5.7727,5.771,5.7714,0.0
2025-07-06 20:25:00,5.7715,5.7715,5.7691,5.7702,0.0
2025-07-06 20:30:00,5.7702,5.7709,5.7688,5.7698,0.0
2025-07-06 20:35:00,5.7697,5.7699,5.7681,5.769,0.0
2025-07-06 20:40:00,5.769,5.769,5.7673,5.7688,0.0
2025-07-06 20:45:00,5.7688,5.7695,5.7677,5.7691,0.0
2025-07-06 20:50:00,5.7691,5.7695,5.7678,5.7681,0.0
2025-07-06 20:55:00,5.768,5.7685,5.767,5.7682,0.0
2025-07-06 21:00:00,5.7682,5.7682,5.766,5.7672,0.0
2025-07-06 21:05:00,5.7671,5.7671,5.7651,5.7657,0.0
2025-07-06 21:10:00,5.7656,5.766,5.7643,5.7659,0.0
2025-07-06 21:15:00,5.7659,5.7671,5.7647,5.7667,0.0
2025-07-06 21:20:00,5.7667,5.767,5.7654,5.7661,0.0
2025-07-06 21:25:00,5.7661,5.767,5.7651,5.7663,0.0
2025-07-06 21:30:00,5.7662,5.7672,5.7648,5.7662,0.0
2025-07-06 21:35:00,5.7661,5.7664,5.765,5.7655,0.0
2025-07-06 21:40:00,5.7654,5.7656,5.7638,5.7651,0.0
2025-07-06 21:45:00,5.7651,5.7656,5.7645,5.7655,0.0
2025-07-06 21:50:00,5.7655,5.766,5.7644,5.7656,0.0
2025-07-06 21:55:00,5.7656,5.7659,5.7643,5.7655,0.0
2025-07-06 22:00:00,5.7656,5.766,5.7644,5.7658,0.0
2025-07-06 22:05:00,5.7658,5.7663,5.7653,5.7661,0.0
2025-07-06 22:10:00,5.7661,5.7664,5.7641,5.7664,0.0
2025-07-06 22:15:00,5.7664,5.7665,5.7653,5.7663,0.0
2025-07-06 22:20:00,5.7663,5.7663,5.7645,5.7658,0.0
2025-07-06 22:25:00,5.7658,5.7658,5.7637,5.7649,0.0
2025-07-06 22:30:00,5.7649,5.7649,5.7615,5.7623,0.0
2025-07-06 22:35:00,5.7622,5.7638,5.7613,5.7634,0.0
2025-07-06 22:40:00,5.7634,5.7635,5.7613,5.7632,0.0
2025-07-06 22:45:00,5.763,5.7638,5.762,5.7632,0.0
2025-07-06 22:50:00,5.7632,5.7637,5.7621,5.7637,0.0
2025-07-06 22:55:00,5.7637,5.7638,5.7614,5.7628,0.0
2025-07-06 23:00:00,5.7627,5.7629,5.7597,5.7602,0.0
2025-07-06 23:05:00,5.7603,5.7618,5.7595,5.7618,0.0
2025-07-06 23:10:00,5.7618,5.7625,5.7607,5.762,0.0
2025-07-06 23:15:00,5.762,5.7625,5.7606,5.7625,0.0
2025-07-06 23:20:00,5.7624,5.7628,5.7613,5.7614,0.0
2025-07-06 23:25:00,5.7614,5.7628,5.7608,5.7627,0.0
2025-07-06 23:30:00,5.7626,5.7627,5.7605,5.7619,0.0
2025-07-06 23:35:00,5.7619,5.7621,5.7588,5.7605,0.0
2025-07-06 23:40:00,5.7606,5.761,5.7592,5.7604,0.0
2025-07-06 23:45:00,5.7605,5.7613,5.7594,5.7613,0.0
2025-07-06 23:50:00,5.7613,5.7617,5.7601,5.7616,0.0
2025-07-06 23:55:00,5.7615,5.7616,5.7596,5.761,0.0
2025-07-07 00:00:00,5.761,5.7613,5.7593,5.7613,0.0
2025-07-07 00:05:00,5.7613,5.7613,5.7596,5.7603,0.0
2025-07-07 00:10:00,5.7602,5.7604,5.7586,5.7602,0.0
2025-07-07 00:15:00,5.7602,5.7605,5.7591,5.76,0.0
2025-07-07 00:20:00,5.76,5.76,5.7584,5.7595,0.0
2025-07-07 00:25:00,5.7595,5.76,5.7577,5.7597,0.0
2025-07-07 00:30:00,5.7597,5.7603,5.7583,5.7598,0.0
2025-07-07 00:35:00,5.7598,5.76,5.7586,5.7586,0.0
2025-07-07 00:40:00,5.7586,5.7586,5.757,5.7575,0.0
2025-07-07 00:45:00,5.7575,5.7575,5.7562,5.7563,0.0
2025-07-07 00:50:00,5.7564,5.7568,5.7559,5.7567,0.0
2025-07-07 00:55:00,5.7567,5.7573,5.756,5.7571,0.0
2025-07-07 01:00:00,5.7571,5.7571,5.7543,5.7554,0.0
2025-07-07 01:05:00,5.7554,5.7559,5.7545,5.7555,0.0
2025-07-07 01:10:00,5.7554,5.7556,5.7543,5.7551,0.0
2025-07-07 01:15:00,5.7552,5.7554,5.754,5.7543,0.0
2025-07-07 01:20:00,5.7543,5.7552,5.7543,5.7547,0.0
2025-07-07 01:25:00,5.7547,5.7551,5.7541,5.7549,0.0
2025-07-07 01:30:00,5.755,5.756,5.7543,5.7559,0.0
2025-07-07 01:35:00,5.756,5.7565,5.7549,5.7564,0.0
2025-07-07 01:40:00,5.7564,5.7575,5.7556,5.757,0.0
2025-07-07 01:45:00,5.7569,5.7578,5.7561,5.7576,0.0
2025-07-07 01:50:00,5.7576,5.7581,5.7561,5.7574,0.0
