,Open,High,Low,Close,Volume
2025-07-06 19:00:00,248.33,248.33,248.33,248.33,0.0
2025-07-06 19:05:00,248.26,248.26,248.26,248.26,0.0
2025-07-06 19:10:00,248.33,248.33,248.33,248.33,0.0
2025-07-06 19:15:00,248.33,248.33,248.33,248.33,0.0
2025-07-06 19:20:00,248.3,248.3,248.3,248.3,0.0
2025-07-06 19:25:00,248.46,248.46,248.46,248.46,0.0
2025-07-06 19:30:00,248.32,248.32,248.32,248.32,0.0
2025-07-06 19:35:00,248.43,248.43,248.43,248.43,0.0
2025-07-06 19:40:00,248.27,248.27,248.27,248.27,0.0
2025-07-06 19:45:00,248.31,248.31,248.31,248.31,0.0
2025-07-06 19:50:00,248.48,248.48,248.48,248.48,0.0
2025-07-06 19:55:00,248.32,248.32,248.32,248.32,0.0
2025-07-06 20:00:00,248.39,248.39,248.39,248.39,0.0
2025-07-06 20:05:00,248.36,248.36,248.36,248.36,0.0
2025-07-06 20:10:00,248.37,248.37,248.37,248.37,0.0
2025-07-06 20:15:00,248.31,248.31,248.31,248.31,0.0
2025-07-06 20:20:00,248.33,248.33,248.33,248.33,0.0
2025-07-06 20:25:00,248.31,248.31,248.31,248.31,0.0
2025-07-06 20:30:00,248.27,248.27,248.27,248.27,0.0
2025-07-06 20:35:00,248.32,248.32,248.32,248.32,0.0
2025-07-06 20:40:00,248.25,248.25,248.25,248.25,0.0
2025-07-06 20:45:00,248.32,248.32,248.32,248.32,0.0
2025-07-06 20:50:00,248.27,248.27,248.27,248.27,0.0
2025-07-06 20:55:00,248.2,248.2,248.2,248.2,0.0
2025-07-06 21:00:00,248.3,248.3,248.3,248.3,0.0
2025-07-06 21:05:00,248.36,248.36,248.36,248.36,0.0
2025-07-06 21:10:00,248.38,248.38,248.38,248.38,0.0
2025-07-06 21:15:00,248.27,248.27,248.27,248.27,0.0
2025-07-06 21:20:00,248.38,248.38,248.38,248.38,0.0
2025-07-06 21:25:00,248.31,248.31,248.31,248.31,0.0
2025-07-06 21:30:00,248.29,248.29,248.29,248.29,0.0
2025-07-06 21:35:00,248.27,248.27,248.27,248.27,0.0
2025-07-06 21:40:00,248.35,248.35,248.35,248.35,0.0
2025-07-06 21:45:00,248.41,248.41,248.41,248.41,0.0
2025-07-06 21:50:00,248.39,248.39,248.39,248.39,0.0
2025-07-06 21:55:00,248.38,248.38,248.38,248.38,0.0
2025-07-06 22:00:00,248.38,248.38,248.38,248.38,0.0
2025-07-06 22:05:00,248.42,248.42,248.42,248.42,0.0
2025-07-06 22:10:00,248.36,248.36,248.36,248.36,0.0
2025-07-06 22:15:00,248.25,248.25,248.25,248.25,0.0
2025-07-06 22:20:00,248.35,248.35,248.35,248.35,0.0
2025-07-06 22:25:00,248.38,248.38,248.38,248.38,0.0
2025-07-06 22:30:00,248.49,248.49,248.49,248.49,0.0
2025-07-06 22:35:00,248.45,248.45,248.45,248.45,0.0
2025-07-06 22:40:00,248.33,248.33,248.33,248.33,0.0
2025-07-06 22:45:00,248.33,248.33,248.33,248.33,0.0
2025-07-06 22:50:00,248.35,248.35,248.35,248.35,0.0
2025-07-06 22:55:00,248.39,248.39,248.39,248.39,0.0
2025-07-06 23:00:00,248.37,248.37,248.37,248.37,0.0
2025-07-06 23:05:00,248.34,248.34,248.34,248.34,0.0
2025-07-06 23:10:00,248.28,248.28,248.28,248.28,0.0
2025-07-06 23:15:00,248.3,248.3,248.3,248.3,0.0
2025-07-06 23:20:00,248.32,248.32,248.32,248.32,0.0
2025-07-06 23:25:00,248.2,248.2,248.2,248.2,0.0
2025-07-06 23:30:00,248.3,248.3,248.3,248.3,0.0
2025-07-06 23:35:00,248.3,248.3,248.3,248.3,0.0
2025-07-06 23:40:00,248.25,248.25,248.25,248.25,0.0
2025-07-06 23:45:00,248.31,248.31,248.31,248.31,0.0
2025-07-06 23:50:00,248.31,248.31,248.31,248.31,0.0
2025-07-06 23:55:00,248.31,248.31,248.31,248.31,0.0
2025-07-07 00:00:00,248.27,248.27,248.27,248.27,0.0
2025-07-07 00:05:00,248.3,248.3,248.3,248.3,0.0
2025-07-07 00:10:00,248.38,248.38,248.38,248.38,0.0
2025-07-07 00:15:00,248.38,248.38,248.38,248.38,0.0
2025-07-07 00:20:00,248.39,248.39,248.39,248.39,0.0
2025-07-07 00:25:00,248.35,248.35,248.35,248.35,0.0
2025-07-07 00:30:00,248.29,248.29,248.29,248.29,0.0
2025-07-07 00:35:00,248.31,248.31,248.31,248.31,0.0
2025-07-07 00:40:00,248.31,248.31,248.31,248.31,0.0
2025-07-07 00:45:00,248.31,248.31,248.31,248.31,0.0
2025-07-07 00:50:00,248.27,248.27,248.27,248.27,0.0
2025-07-07 00:55:00,248.28,248.28,248.28,248.28,0.0
2025-07-07 01:00:00,248.31,248.31,248.31,248.31,0.0
2025-07-07 01:05:00,248.22,248.22,248.22,248.22,0.0
2025-07-07 01:10:00,248.27,248.27,248.27,248.27,0.0
2025-07-07 01:15:00,248.27,248.27,248.27,248.27,0.0
2025-07-07 01:20:00,248.3,248.3,248.3,248.3,0.0
2025-07-07 01:25:00,248.31,248.31,248.31,248.31,0.0
2025-07-07 01:30:00,248.37,248.37,248.37,248.37,0.0
2025-07-07 01:35:00,248.37,248.37,248.37,248.37,0.0
2025-07-07 01:40:00,248.29,248.29,248.29,248.29,0.0
2025-07-07 01:45:00,248.22,248.22,248.22,248.22,0.0
2025-07-07 01:50:00,248.24,248.24,248.24,248.24,0.0
2025-07-07 01:55:00,248.17,248.17,248.17,248.17,0.0
2025-07-07 02:00:00,248.38,248.38,248.38,248.38,0.0
2025-07-07 02:05:00,248.59,248.59,248.59,248.59,0.0
2025-07-07 02:10:00,248.58,248.58,248.58,248.58,0.0
2025-07-07 02:15:00,248.53,248.53,248.53,248.53,0.0
2025-07-07 02:20:00,248.51,248.51,248.51,248.51,0.0
2025-07-07 02:25:00,248.53,248.53,248.53,248.53,0.0
2025-07-07 02:30:00,248.65,248.65,248.65,248.65,0.0
2025-07-07 02:35:00,248.74,248.74,248.74,248.74,0.0
2025-07-07 02:40:00,248.72,248.72,248.72,248.72,0.0
2025-07-07 02:45:00,248.7,248.7,248.7,248.7,0.0
2025-07-07 02:50:00,248.56,248.56,248.56,248.56,0.0
2025-07-07 02:55:00,248.6,248.6,248.6,248.6,0.0
2025-07-07 03:00:00,248.42,248.42,248.42,248.42,0.0
2025-07-07 03:05:00,248.5,248.5,248.5,248.5,0.0
2025-07-07 03:10:00,248.5,248.5,248.5,248.5,0.0
2025-07-07 03:15:00,248.63,248.63,248.63,248.63,0.0
2025-07-07 03:20:00,248.59,248.59,248.59,248.59,0.0
2025-07-07 03:25:00,248.77,248.77,248.77,248.77,0.0
2025-07-07 03:30:00,248.8,248.8,248.8,248.8,0.0
2025-07-07 03:35:00,248.62,248.62,248.62,248.62,0.0
2025-07-07 03:40:00,248.46,248.46,248.46,248.46,0.0
2025-07-07 03:45:00,248.51,248.51,248.51,248.51,0.0
2025-07-07 03:50:00,248.47,248.47,248.47,248.47,0.0
2025-07-07 03:55:00,248.47,248.47,248.47,248.47,0.0
2025-07-07 04:00:00,248.4,248.4,248.4,248.4,0.0
2025-07-07 04:05:00,248.56,248.56,248.56,248.56,0.0
2025-07-07 04:10:00,248.66,248.66,248.66,248.66,0.0
2025-07-07 04:15:00,248.58,248.58,248.58,248.58,0.0
2025-07-07 04:20:00,248.52,248.52,248.52,248.52,0.0
2025-07-07 04:25:00,248.66,248.66,248.66,248.66,0.0
2025-07-07 04:30:00,248.7,248.7,248.7,248.7,0.0
2025-07-07 04:35:00,248.68,248.68,248.68,248.68,0.0
2025-07-07 04:40:00,248.65,248.65,248.65,248.65,0.0
2025-07-07 04:45:00,248.63,248.63,248.63,248.63,0.0
2025-07-07 04:50:00,248.88,248.88,248.88,248.88,0.0
2025-07-07 04:55:00,248.97,248.97,248.97,248.97,0.0
2025-07-07 05:00:00,248.76,248.76,248.76,248.76,0.0
2025-07-07 05:05:00,248.76,248.76,248.76,248.76,0.0
2025-07-07 05:10:00,248.82,248.82,248.82,248.82,0.0
2025-07-07 05:15:00,248.77,248.77,248.77,248.77,0.0
2025-07-07 05:20:00,248.86,248.86,248.86,248.86,0.0
2025-07-07 05:25:00,248.83,248.83,248.83,248.83,0.0
2025-07-07 05:30:00,248.79,248.79,248.79,248.79,0.0
2025-07-07 05:35:00,248.71,248.71,248.71,248.71,0.0
2025-07-07 05:40:00,248.67,248.67,248.67,248.67,0.0
2025-07-07 05:45:00,248.59,248.59,248.59,248.59,0.0
2025-07-07 05:50:00,248.68,248.68,248.68,248.68,0.0
2025-07-07 05:55:00,248.75,248.75,248.75,248.75,0.0
2025-07-07 06:00:00,248.74,248.74,248.74,248.74,0.0
2025-07-07 06:05:00,248.75,248.75,248.75,248.75,0.0
