,Open,High,Low,Close,Volume
2025-07-22 16:00:00,2.4536,2.4549,2.452,2.4539,0.0
2025-07-22 16:05:00,2.4539,2.4557,2.4522,2.4524,0.0
2025-07-22 16:10:00,2.4541,2.4553,2.452,2.4523,0.0
2025-07-22 16:15:00,2.4524,2.4553,2.4522,2.4523,0.0
2025-07-22 16:20:00,2.4524,2.4546,2.452,2.4524,0.0
2025-07-22 16:25:00,2.4523,2.4549,2.4522,2.4543,0.0
2025-07-22 16:30:00,2.454,2.455,2.4538,2.4545,0.0
2025-07-22 16:35:00,2.4545,2.4554,2.454,2.4547,0.0
2025-07-22 16:40:00,2.4544,2.4552,2.4536,2.4543,0.0
2025-07-22 16:45:00,2.4544,2.4548,2.4535,2.4541,0.0
2025-07-22 16:50:00,2.4537,2.4544,2.4532,2.4537,0.0
2025-07-22 16:55:00,2.4537,2.4547,2.4522,2.4529,0.0
2025-07-22 17:00:00,2.4528,2.4537,2.4524,2.4532,0.0
2025-07-22 17:05:00,2.4528,2.4529,2.4521,2.4524,0.0
2025-07-22 17:10:00,2.4515,2.453,2.4514,2.4528,0.0
2025-07-22 17:15:00,2.4529,2.4531,2.4524,2.4524,0.0
2025-07-22 17:20:00,2.4527,2.4527,2.4525,2.4525,0.0
2025-07-22 17:25:00,2.4527,2.4527,2.4523,2.4525,0.0
2025-07-22 17:30:00,2.4526,2.4527,2.4521,2.4522,0.0
2025-07-22 17:35:00,2.4523,2.4527,2.452,2.4522,0.0
2025-07-22 17:40:00,2.4523,2.4529,2.4522,2.4525,0.0
2025-07-22 17:45:00,2.4523,2.4531,2.4522,2.4523,0.0
2025-07-22 17:50:00,2.4525,2.4525,2.4523,2.4525,0.0
2025-07-22 17:55:00,2.4523,2.4525,2.4522,2.4522,0.0
2025-07-22 18:00:00,2.4523,2.4527,2.4522,2.4525,0.0
2025-07-22 18:05:00,2.4528,2.4532,2.4516,2.4525,0.0
2025-07-22 18:10:00,2.4519,2.4528,2.4517,2.4521,0.0
2025-07-22 18:15:00,2.4516,2.4528,2.4493,2.4523,0.0
2025-07-22 18:20:00,2.4522,2.4525,2.452,2.4522,0.0
2025-07-22 18:25:00,2.4515,2.4515,2.4509,2.4511,0.0
2025-07-22 18:30:00,2.4509,2.4515,2.4507,2.4513,0.0
2025-07-22 18:35:00,2.4503,2.4506,2.4498,2.4498,0.0
2025-07-22 18:40:00,2.4518,2.4521,2.4508,2.4519,0.0
2025-07-22 18:45:00,2.4516,2.4522,2.4516,2.4517,0.0
2025-07-22 18:50:00,2.4518,2.4521,2.4512,2.4516,0.0
2025-07-22 18:55:00,2.452,2.4523,2.4515,2.4517,0.0
2025-07-22 19:00:00,2.4519,2.4523,2.4517,2.4519,0.0
2025-07-22 19:05:00,2.4499,2.4526,2.4494,2.4513,0.0
2025-07-22 19:10:00,2.4521,2.4522,2.4506,2.4506,0.0
2025-07-22 19:15:00,2.4509,2.4527,2.4503,2.4527,0.0
2025-07-22 19:20:00,2.4523,2.4537,2.4517,2.4529,0.0
2025-07-22 19:25:00,2.4521,2.4527,2.4504,2.4507,0.0
2025-07-22 19:30:00,2.4504,2.4521,2.4499,2.4517,0.0
2025-07-22 19:35:00,2.4514,2.452,2.4502,2.4503,0.0
2025-07-22 19:40:00,2.4504,2.4504,2.4498,2.4502,0.0
2025-07-22 19:45:00,2.4498,2.4504,2.4497,2.4504,0.0
2025-07-22 19:50:00,2.4501,2.4507,2.4497,2.4503,0.0
2025-07-22 19:55:00,2.45,2.4528,2.4498,2.4521,0.0
2025-07-22 20:00:00,2.4524,2.4534,2.4504,2.4527,0.0
2025-07-22 20:05:00,2.4529,2.4535,2.4523,2.4532,0.0
2025-07-22 20:10:00,2.4536,2.454,2.4518,2.4539,0.0
2025-07-22 20:15:00,2.4536,2.4543,2.4534,2.4541,0.0
2025-07-22 20:20:00,2.4544,2.4549,2.4516,2.4526,0.0
2025-07-22 20:25:00,2.4524,2.4544,2.452,2.4544,0.0
2025-07-22 20:30:00,2.4541,2.4549,2.4541,2.4545,0.0
2025-07-22 20:35:00,2.4541,2.4553,2.4526,2.4543,0.0
2025-07-22 20:40:00,2.4541,2.4546,2.4535,2.4544,0.0
2025-07-22 20:45:00,2.453,2.4548,2.4527,2.4546,0.0
2025-07-22 20:50:00,2.4544,2.4552,2.4543,2.4548,0.0
2025-07-22 20:55:00,2.4545,2.4557,2.4526,2.4542,0.0
2025-07-22 21:00:00,2.4541,2.4557,2.4539,2.4551,0.0
2025-07-22 21:05:00,2.4553,2.4559,2.4534,2.4542,0.0
2025-07-22 21:10:00,2.4539,2.4547,2.4529,2.4539,0.0
2025-07-22 21:15:00,2.454,2.4546,2.4537,2.4544,0.0
2025-07-22 21:20:00,2.4542,2.455,2.454,2.4545,0.0
2025-07-22 21:25:00,2.4544,2.4551,2.4542,2.4546,0.0
2025-07-22 21:30:00,2.4541,2.455,2.4518,2.4536,0.0
2025-07-22 21:35:00,2.4539,2.4541,2.4525,2.4529,0.0
2025-07-22 21:40:00,2.4536,2.4542,2.4508,2.4522,0.0
2025-07-22 21:45:00,2.4518,2.4522,2.4515,2.4518,0.0
2025-07-22 21:50:00,2.452,2.4527,2.4517,2.4524,0.0
2025-07-22 21:55:00,2.4521,2.4536,2.4519,2.4534,0.0
2025-07-22 22:00:00,2.453,2.4543,2.451,2.4533,0.0
2025-07-22 22:05:00,2.4532,2.4541,2.4532,2.4539,0.0
2025-07-22 22:10:00,2.4533,2.4541,2.4532,2.4537,0.0
2025-07-22 22:15:00,2.4518,2.4547,2.4504,2.4532,0.0
2025-07-22 22:20:00,2.4536,2.455,2.4503,2.4521,0.0
2025-07-22 22:25:00,2.4521,2.4533,2.4517,2.4524,0.0
2025-07-22 22:30:00,2.4525,2.4537,2.4517,2.4522,0.0
2025-07-22 22:35:00,2.4528,2.4536,2.4519,2.4528,0.0
2025-07-22 22:40:00,2.4528,2.4534,2.4521,2.4528,0.0
2025-07-22 22:45:00,2.453,2.4536,2.4527,2.453,0.0
2025-07-22 22:50:00,2.4528,2.453,2.4522,2.4529,0.0
2025-07-22 22:55:00,2.4531,2.4532,2.4526,2.4528,0.0
2025-07-22 23:00:00,2.4526,2.4534,2.4524,2.4532,0.0
2025-07-22 23:05:00,2.4522,2.4528,2.4519,2.4524,0.0
2025-07-22 23:10:00,2.4528,2.4531,2.4524,2.4526,0.0
2025-07-22 23:15:00,2.4524,2.4533,2.4524,2.4528,0.0
2025-07-22 23:20:00,2.4528,2.4535,2.4526,2.4531,0.0
2025-07-22 23:25:00,2.4534,2.4544,2.4529,2.4538,0.0
2025-07-22 23:30:00,2.4539,2.4546,2.4536,2.4543,0.0
2025-07-22 23:35:00,2.4545,2.4549,2.4536,2.4544,0.0
2025-07-22 23:40:00,2.4538,2.4544,2.4535,2.4538,0.0
2025-07-22 23:45:00,2.4535,2.4542,2.4535,2.4538,0.0
2025-07-22 23:50:00,2.4535,2.454,2.4533,2.454,0.0
2025-07-22 23:55:00,2.4536,2.4541,2.4529,2.4536,0.0
2025-07-23 00:00:00,2.4534,2.4536,2.4527,2.4532,0.0
2025-07-23 00:05:00,2.4528,2.4534,2.4523,2.4524,0.0
2025-07-23 00:10:00,2.4528,2.4536,2.4526,2.4532,0.0
2025-07-23 00:15:00,2.4531,2.4535,2.4529,2.4531,0.0
2025-07-23 00:20:00,2.4529,2.4534,2.4522,2.4525,0.0
2025-07-23 00:25:00,2.4525,2.4531,2.4518,2.4524,0.0
2025-07-23 00:30:00,2.4526,2.4532,2.4524,2.4529,0.0
2025-07-23 00:35:00,2.4524,2.4537,2.4524,2.4527,0.0
2025-07-23 00:40:00,2.4525,2.4531,2.4523,2.4527,0.0
2025-07-23 00:45:00,2.4525,2.4531,2.4521,2.4525,0.0
2025-07-23 00:50:00,2.4525,2.4529,2.4487,2.4491,0.0
2025-07-23 00:55:00,2.4498,2.4502,2.4464,2.4492,0.0
2025-07-23 01:00:00,2.4489,2.4497,2.4487,2.4492,0.0
2025-07-23 01:05:00,2.4489,2.4531,2.447,2.4521,0.0
2025-07-23 01:10:00,2.4518,2.4534,2.4515,2.4528,0.0
2025-07-23 01:15:00,2.4526,2.4537,2.451,2.4518,0.0
2025-07-23 01:20:00,2.4512,2.4534,2.4511,2.4531,0.0
2025-07-23 01:25:00,2.4525,2.4536,2.4514,2.4531,0.0
2025-07-23 01:30:00,2.4534,2.4552,2.452,2.4544,0.0
2025-07-23 01:35:00,2.4547,2.4548,2.4527,2.4538,0.0
2025-07-23 01:40:00,2.4537,2.4543,2.4528,2.4535,0.0
2025-07-23 01:45:00,2.4534,2.4539,2.4519,2.4529,0.0
2025-07-23 01:50:00,2.4531,2.4536,2.4521,2.4534,0.0
2025-07-23 01:55:00,2.453,2.4536,2.4517,2.4523,0.0
2025-07-23 02:00:00,2.4526,2.4534,2.4515,2.4528,0.0
2025-07-23 02:05:00,2.4526,2.4542,2.4521,2.4531,0.0
2025-07-23 02:10:00,2.4535,2.4543,2.4517,2.4534,0.0
2025-07-23 02:15:00,2.4532,2.454,2.4519,2.4524,0.0
2025-07-23 02:20:00,2.4529,2.4539,2.4501,2.4523,0.0
2025-07-23 02:25:00,2.452,2.4538,2.4508,2.4525,0.0
2025-07-23 02:30:00,2.4524,2.4536,2.4491,2.4524,0.0
2025-07-23 02:35:00,2.4517,2.4549,2.4501,2.4526,0.0
2025-07-23 02:40:00,2.4525,2.4549,2.4502,2.4539,0.0
2025-07-23 02:45:00,2.4535,2.4551,2.4508,2.4532,0.0
2025-07-23 02:50:00,2.4527,2.4539,2.4507,2.4521,0.0
2025-07-23 02:55:00,2.4517,2.4553,2.4507,2.4531,0.0
2025-07-23 03:00:00,2.453,2.4538,2.4511,2.4526,0.0
2025-07-23 03:05:00,2.4518,2.4539,2.449,2.4506,0.0
2025-07-23 03:10:00,2.4503,2.4515,2.4449,2.4479,0.0
2025-07-23 03:15:00,2.4485,2.4491,2.4445,2.4475,0.0
2025-07-23 03:20:00,2.4477,2.4497,2.4469,2.4489,0.0
2025-07-23 03:25:00,2.447,2.4493,2.4458,2.448,0.0
2025-07-23 03:30:00,2.4481,2.4487,2.4459,2.4482,0.0
2025-07-23 03:35:00,2.4481,2.4496,2.4468,2.4496,0.0
2025-07-23 03:40:00,2.449,2.4502,2.4471,2.45,0.0
2025-07-23 03:45:00,2.4495,2.4508,2.4486,2.4502,0.0
2025-07-23 03:50:00,2.4502,2.4512,2.449,2.4504,0.0
2025-07-23 03:55:00,2.4502,2.451,2.4485,2.4499,0.0
2025-07-23 04:00:00,2.4497,2.451,2.4476,2.4495,0.0
