,Open,High,Low,Close,Volume
2025-07-22 05:50:00,7.4347,7.4422,7.4332,7.4398,0.0
2025-07-22 05:55:00,7.4392,7.4415,7.4317,7.4385,0.0
2025-07-22 06:00:00,7.4392,7.4407,7.428,7.4352,0.0
2025-07-22 06:05:00,7.4347,7.4399,7.4297,7.4337,0.0
2025-07-22 06:10:00,7.4373,7.4397,7.4295,7.4375,0.0
2025-07-22 06:15:00,7.437,7.4392,7.4279,7.4337,0.0
2025-07-22 06:20:00,7.4329,7.4354,7.4251,7.4288,0.0
2025-07-22 06:25:00,7.4331,7.436,7.4268,7.4302,0.0
2025-07-22 06:30:00,7.433,7.435,7.4281,7.4329,0.0
2025-07-22 06:35:00,7.4318,7.4357,7.4273,7.4337,0.0
2025-07-22 06:40:00,7.4341,7.4363,7.4282,7.4333,0.0
2025-07-22 06:45:00,7.4326,7.4366,7.4273,7.4284,0.0
2025-07-22 06:50:00,7.4312,7.4362,7.428,7.4345,0.0
2025-07-22 06:55:00,7.4341,7.4362,7.4277,7.4355,0.0
2025-07-22 07:00:00,7.435,7.4397,7.4293,7.4341,0.0
2025-07-22 07:05:00,7.4374,7.4413,7.4288,7.4362,0.0
2025-07-22 07:10:00,7.4358,7.4374,7.4279,7.4339,0.0
2025-07-22 07:15:00,7.4344,7.4363,7.4273,7.4343,0.0
2025-07-22 07:20:00,7.4336,7.4354,7.4274,7.4329,0.0
2025-07-22 07:25:00,7.4296,7.4354,7.4276,7.4323,0.0
2025-07-22 07:30:00,7.4319,7.4367,7.4268,7.4339,0.0
2025-07-22 07:35:00,7.4333,7.4355,7.4259,7.4317,0.0
2025-07-22 07:40:00,7.4313,7.4371,7.426,7.4339,0.0
2025-07-22 07:45:00,7.4349,7.4373,7.426,7.4321,0.0
2025-07-22 07:50:00,7.4295,7.4346,7.4237,7.4321,0.0
2025-07-22 07:55:00,7.4328,7.4337,7.4259,7.4282,0.0
2025-07-22 08:00:00,7.4325,7.4352,7.4216,7.428,0.0
2025-07-22 08:05:00,7.4321,7.4373,7.4211,7.4292,0.0
2025-07-22 08:10:00,7.4292,7.434,7.4241,7.4263,0.0
2025-07-22 08:15:00,7.4301,7.434,7.4239,7.4311,0.0
