,Open,High,Low,Close,Volume
2025-07-06 19:00:00,7.0241,7.0241,7.023,7.023,0.0
2025-07-06 19:05:00,7.023,7.023,7.0213,7.0213,0.0
2025-07-06 19:10:00,7.0212,7.0212,7.0212,7.0212,0.0
2025-07-06 19:15:00,7.0236,7.0242,7.0236,7.0242,0.0
2025-07-06 19:20:00,7.0212,7.0249,7.0212,7.0249,0.0
2025-07-06 19:25:00,7.0223,7.0223,7.0223,7.0223,0.0
2025-07-06 19:30:00,7.0251,7.0251,7.0234,7.0234,0.0
2025-07-06 19:35:00,7.0238,7.0238,7.0237,7.0237,0.0
2025-07-06 19:40:00,7.0234,7.0234,7.0234,7.0234,0.0
2025-07-06 19:45:00,7.0239,7.024,7.0239,7.024,0.0
2025-07-06 19:50:00,7.0244,7.0244,7.0242,7.0242,0.0
2025-07-06 19:55:00,7.0235,7.0235,7.0235,7.0235,0.0
2025-07-06 20:00:00,7.0238,7.0238,7.0208,7.0208,0.0
2025-07-06 20:05:00,7.0173,7.0192,7.0173,7.0192,0.0
2025-07-06 20:10:00,7.0216,7.0216,7.0216,7.0216,0.0
2025-07-06 20:15:00,7.0193,7.0193,7.0188,7.0188,0.0
2025-07-06 20:20:00,7.0196,7.0207,7.0196,7.0207,0.0
2025-07-06 20:25:00,7.0208,7.0208,7.0208,7.0208,0.0
2025-07-06 20:30:00,7.022,7.022,7.022,7.022,0.0
2025-07-06 20:35:00,7.0226,7.0226,7.0218,7.0218,0.0
2025-07-06 20:40:00,7.0222,7.0222,7.0222,7.0222,0.0
2025-07-06 20:45:00,7.0221,7.0221,7.0219,7.0219,0.0
2025-07-06 20:50:00,7.0209,7.022,7.0209,7.022,0.0
2025-07-06 20:55:00,7.0217,7.0217,7.0217,7.0217,0.0
2025-07-06 21:00:00,7.0224,7.0233,7.0224,7.0233,0.0
2025-07-06 21:05:00,7.0218,7.0218,7.0218,7.0218,0.0
2025-07-06 21:10:00,7.0222,7.0222,7.0222,7.0222,0.0
2025-07-06 21:15:00,7.0201,7.0201,7.0177,7.0177,0.0
2025-07-06 21:20:00,7.0203,7.0208,7.0203,7.0208,0.0
2025-07-06 21:25:00,7.019,7.019,7.019,7.019,0.0
2025-07-06 21:30:00,7.0198,7.0204,7.0198,7.0204,0.0
2025-07-06 21:35:00,7.0176,7.019,7.0176,7.019,0.0
2025-07-06 21:40:00,7.0222,7.0222,7.0222,7.0222,0.0
2025-07-06 21:45:00,7.0248,7.0248,7.0236,7.0236,0.0
2025-07-06 21:50:00,7.0238,7.025,7.0238,7.025,0.0
2025-07-06 21:55:00,7.0249,7.0249,7.0249,7.0249,0.0
2025-07-06 22:00:00,7.025,7.0258,7.025,7.0258,0.0
2025-07-06 22:05:00,7.025,7.025,7.0227,7.0227,0.0
2025-07-06 22:10:00,7.0223,7.0223,7.0223,7.0223,0.0
2025-07-06 22:15:00,7.0224,7.0224,7.0216,7.0216,0.0
2025-07-06 22:20:00,7.022,7.0222,7.022,7.0222,0.0
2025-07-06 22:25:00,7.0214,7.0214,7.0214,7.0214,0.0
