,Open,High,Low,Close,Volume
2025-07-06 19:00:00,1.9216,1.9217,1.9216,1.9217,0.0
2025-07-06 19:05:00,1.9214,1.9214,1.921,1.921,0.0
2025-07-06 19:10:00,1.9207,1.9207,1.9206,1.9206,0.0
2025-07-06 19:15:00,1.9206,1.9207,1.9206,1.9206,0.0
2025-07-06 19:20:00,1.9207,1.9207,1.9204,1.9204,0.0
2025-07-06 19:25:00,1.9203,1.9206,1.9203,1.9206,0.0
2025-07-06 19:30:00,1.921,1.9212,1.921,1.9212,0.0
2025-07-06 19:35:00,1.9211,1.9211,1.921,1.921,0.0
2025-07-06 19:40:00,1.9211,1.9214,1.9211,1.9214,0.0
2025-07-06 19:45:00,1.9211,1.922,1.9211,1.922,0.0
2025-07-06 19:50:00,1.9219,1.9219,1.9218,1.9218,0.0
2025-07-06 19:55:00,1.9216,1.9218,1.9216,1.9217,0.0
2025-07-06 20:00:00,1.9233,1.9233,1.9233,1.9233,0.0
2025-07-06 20:05:00,1.9222,1.9229,1.9222,1.9229,0.0
2025-07-06 20:10:00,1.9231,1.9232,1.9231,1.9232,0.0
2025-07-06 20:15:00,1.923,1.9233,1.923,1.9233,0.0
2025-07-06 20:20:00,1.9232,1.9233,1.9232,1.9233,0.0
2025-07-06 20:25:00,1.9236,1.9245,1.9236,1.9245,0.0
2025-07-06 20:30:00,1.9245,1.9245,1.9244,1.9244,0.0
2025-07-06 20:35:00,1.9249,1.9259,1.9249,1.9259,0.0
2025-07-06 20:40:00,1.9256,1.926,1.9256,1.926,0.0
2025-07-06 20:45:00,1.9258,1.9258,1.9254,1.9254,0.0
2025-07-06 20:50:00,1.9254,1.9255,1.9254,1.9255,0.0
2025-07-06 20:55:00,1.9257,1.9257,1.9254,1.9256,0.0
2025-07-06 21:00:00,1.9265,1.9265,1.9263,1.9263,0.0
2025-07-06 21:05:00,1.9263,1.9263,1.926,1.9261,0.0
2025-07-06 21:10:00,1.9263,1.927,1.9263,1.927,0.0
