,Open,High,Low,Close,Volume
2025-07-22 05:45:00,1.7151,1.7165,1.7149,1.7156,0.0
2025-07-22 05:50:00,1.7155,1.7163,1.7149,1.7161,0.0
2025-07-22 05:55:00,1.7153,1.7164,1.7149,1.7156,0.0
2025-07-22 06:00:00,1.7153,1.7165,1.7149,1.7158,0.0
2025-07-22 06:05:00,1.7162,1.7168,1.7147,1.7158,0.0
2025-07-22 06:10:00,1.7154,1.7165,1.715,1.7161,0.0
2025-07-22 06:15:00,1.7158,1.7165,1.7151,1.7159,0.0
2025-07-22 06:20:00,1.7157,1.7166,1.7153,1.7162,0.0
2025-07-22 06:25:00,1.7158,1.7169,1.7153,1.7162,0.0
2025-07-22 06:30:00,1.7161,1.7168,1.7154,1.7159,0.0
2025-07-22 06:35:00,1.7163,1.7169,1.7155,1.7162,0.0
2025-07-22 06:40:00,1.7161,1.717,1.7154,1.7161,0.0
2025-07-22 06:45:00,1.7158,1.7172,1.7154,1.7165,0.0
2025-07-22 06:50:00,1.7164,1.7171,1.7157,1.7163,0.0
2025-07-22 06:55:00,1.7162,1.717,1.7158,1.7163,0.0
2025-07-22 07:00:00,1.716,1.7171,1.7158,1.7164,0.0
2025-07-22 07:05:00,1.7168,1.7168,1.7155,1.7163,0.0
2025-07-22 07:10:00,1.7167,1.717,1.7154,1.7161,0.0
2025-07-22 07:15:00,1.7158,1.7171,1.7154,1.7164,0.0
2025-07-22 07:20:00,1.7161,1.7167,1.7157,1.7164,0.0
2025-07-22 07:25:00,1.7158,1.7168,1.7157,1.7161,0.0
2025-07-22 07:30:00,1.7164,1.7171,1.7152,1.7162,0.0
2025-07-22 07:35:00,1.7159,1.7171,1.7155,1.7165,0.0
2025-07-22 07:40:00,1.7164,1.7176,1.7159,1.7164,0.0
2025-07-22 07:45:00,1.7166,1.7176,1.7158,1.7167,0.0
2025-07-22 07:50:00,1.716,1.7173,1.715,1.7157,0.0
2025-07-22 07:55:00,1.7154,1.7166,1.7148,1.7158,0.0
2025-07-22 08:00:00,1.7153,1.7174,1.7147,1.7164,0.0
2025-07-22 08:05:00,1.7159,1.7171,1.7145,1.7151,0.0
2025-07-22 08:10:00,1.715,1.716,1.7143,1.7156,0.0
2025-07-22 08:15:00,1.7151,1.7156,1.7136,1.7144,0.0
2025-07-22 08:20:00,1.7145,1.7157,1.7127,1.7142,0.0
2025-07-22 08:25:00,1.7136,1.7152,1.7127,1.7146,0.0
2025-07-22 08:30:00,1.7139,1.715,1.7134,1.7141,0.0
2025-07-22 08:35:00,1.714,1.716,1.7138,1.7148,0.0
2025-07-22 08:40:00,1.7149,1.7158,1.7135,1.7138,0.0
2025-07-22 08:45:00,1.7144,1.7153,1.7134,1.7145,0.0
2025-07-22 08:50:00,1.7148,1.7158,1.7131,1.7142,0.0
2025-07-22 08:55:00,1.7146,1.7155,1.7133,1.7147,0.0
2025-07-22 09:00:00,1.7142,1.716,1.7137,1.7151,0.0
2025-07-22 09:05:00,1.7148,1.7163,1.7141,1.7155,0.0
2025-07-22 09:10:00,1.7149,1.7159,1.7135,1.7139,0.0
2025-07-22 09:15:00,1.7136,1.7148,1.7128,1.7141,0.0
2025-07-22 09:20:00,1.714,1.7151,1.7128,1.7138,0.0
2025-07-22 09:25:00,1.7135,1.715,1.7129,1.714,0.0
2025-07-22 09:30:00,1.7143,1.7152,1.713,1.7136,0.0
2025-07-22 09:35:00,1.7136,1.7149,1.7126,1.714,0.0
2025-07-22 09:40:00,1.7139,1.7154,1.7131,1.7142,0.0
2025-07-22 09:45:00,1.7148,1.7165,1.7133,1.7148,0.0
2025-07-22 09:50:00,1.7154,1.7159,1.7135,1.7148,0.0
2025-07-22 09:55:00,1.7153,1.7177,1.7141,1.7172,0.0
2025-07-22 10:00:00,1.7173,1.718,1.7156,1.7164,0.0
2025-07-22 10:05:00,1.7163,1.7172,1.7152,1.716,0.0
2025-07-22 10:10:00,1.7163,1.7172,1.7146,1.7155,0.0
2025-07-22 10:15:00,1.7149,1.7176,1.7142,1.7159,0.0
2025-07-22 10:20:00,1.7156,1.717,1.7148,1.716,0.0
2025-07-22 10:25:00,1.7156,1.7169,1.7152,1.7161,0.0
2025-07-22 10:30:00,1.716,1.7168,1.7144,1.7153,0.0
2025-07-22 10:35:00,1.7149,1.7155,1.7131,1.7141,0.0
2025-07-22 10:40:00,1.7141,1.7153,1.7135,1.7147,0.0
2025-07-22 10:45:00,1.7144,1.7158,1.713,1.7136,0.0
2025-07-22 10:50:00,1.7146,1.7161,1.7122,1.7143,0.0
2025-07-22 10:55:00,1.7144,1.7162,1.7123,1.7142,0.0
2025-07-22 11:00:00,1.7146,1.7156,1.7129,1.7143,0.0
2025-07-22 11:05:00,1.7146,1.7164,1.7137,1.7152,0.0
2025-07-22 11:10:00,1.7153,1.7166,1.7139,1.7157,0.0
2025-07-22 11:15:00,1.7151,1.7183,1.7141,1.7175,0.0
2025-07-22 11:20:00,1.7172,1.7189,1.7166,1.7178,0.0
2025-07-22 11:25:00,1.7174,1.719,1.717,1.7181,0.0
2025-07-22 11:30:00,1.7184,1.7193,1.7173,1.7183,0.0
2025-07-22 11:35:00,1.7182,1.7186,1.7165,1.7177,0.0
2025-07-22 11:40:00,1.7178,1.7202,1.716,1.7182,0.0
2025-07-22 11:45:00,1.7186,1.7191,1.7169,1.7182,0.0
2025-07-22 11:50:00,1.7179,1.7187,1.7166,1.7179,0.0
2025-07-22 11:55:00,1.7176,1.719,1.7167,1.7178,0.0
2025-07-22 12:00:00,1.7175,1.7189,1.7169,1.7182,0.0
2025-07-22 12:05:00,1.7179,1.7187,1.7166,1.7175,0.0
2025-07-22 12:10:00,1.7172,1.7194,1.7164,1.7183,0.0
2025-07-22 12:15:00,1.7183,1.719,1.7172,1.7181,0.0
2025-07-22 12:20:00,1.718,1.7186,1.7171,1.7176,0.0
2025-07-22 12:25:00,1.7179,1.7186,1.717,1.7179,0.0
2025-07-22 12:30:00,1.7174,1.7189,1.7168,1.718,0.0
2025-07-22 12:35:00,1.7179,1.7185,1.7163,1.7174,0.0
2025-07-22 12:40:00,1.7169,1.7183,1.7167,1.7178,0.0
2025-07-22 12:45:00,1.7172,1.7191,1.7164,1.7179,0.0
2025-07-22 12:50:00,1.718,1.7187,1.7169,1.7178,0.0
2025-07-22 12:55:00,1.7177,1.7186,1.7171,1.7178,0.0
2025-07-22 13:00:00,1.7181,1.7194,1.7173,1.7186,0.0
2025-07-22 13:05:00,1.7187,1.7192,1.7179,1.7187,0.0
2025-07-22 13:10:00,1.7184,1.7194,1.7181,1.7192,0.0
2025-07-22 13:15:00,1.7189,1.7195,1.7178,1.7182,0.0
2025-07-22 13:20:00,1.7179,1.7186,1.7173,1.718,0.0
2025-07-22 13:25:00,1.718,1.7187,1.7171,1.7181,0.0
2025-07-22 13:30:00,1.7177,1.7188,1.7169,1.718,0.0
2025-07-22 13:35:00,1.7179,1.7187,1.7169,1.7177,0.0
2025-07-22 13:40:00,1.7178,1.7183,1.7169,1.7175,0.0
2025-07-22 13:45:00,1.7178,1.7183,1.7166,1.7174,0.0
2025-07-22 13:50:00,1.7171,1.7176,1.7165,1.717,0.0
2025-07-22 13:55:00,1.7174,1.7181,1.7162,1.7174,0.0
2025-07-22 14:00:00,1.7171,1.7181,1.7164,1.7172,0.0
2025-07-22 14:05:00,1.7176,1.7184,1.7163,1.7171,0.0
2025-07-22 14:10:00,1.717,1.7172,1.7157,1.7159,0.0
2025-07-22 14:15:00,1.7165,1.7174,1.7159,1.7173,0.0
2025-07-22 14:20:00,1.717,1.718,1.7165,1.7175,0.0
2025-07-22 14:25:00,1.717,1.718,1.7163,1.7167,0.0
2025-07-22 14:30:00,1.7173,1.7175,1.7165,1.7168,0.0
2025-07-22 14:35:00,1.7169,1.7174,1.7159,1.7168,0.0
2025-07-22 14:40:00,1.7168,1.7172,1.7159,1.7164,0.0
2025-07-22 14:45:00,1.7169,1.7171,1.7158,1.7168,0.0
2025-07-22 14:50:00,1.7163,1.7174,1.7161,1.7171,0.0
2025-07-22 14:55:00,1.7168,1.7175,1.7164,1.7167,0.0
2025-07-22 15:00:00,1.7172,1.7174,1.7164,1.7171,0.0
2025-07-22 15:05:00,1.717,1.7174,1.716,1.717,0.0
2025-07-22 15:10:00,1.7166,1.7176,1.7161,1.7174,0.0
2025-07-22 15:15:00,1.7169,1.718,1.7167,1.7175,0.0
2025-07-22 15:20:00,1.7168,1.7181,1.7168,1.7177,0.0
2025-07-22 15:25:00,1.7177,1.7182,1.717,1.7177,0.0
2025-07-22 15:30:00,1.7176,1.7181,1.717,1.7178,0.0
2025-07-22 15:35:00,1.7177,1.7183,1.717,1.7177,0.0
2025-07-22 15:40:00,1.7174,1.7182,1.7173,1.7179,0.0
2025-07-22 15:45:00,1.7176,1.7186,1.7174,1.7182,0.0
2025-07-22 15:50:00,1.7175,1.7183,1.7173,1.7179,0.0
2025-07-22 15:55:00,1.7177,1.7183,1.7168,1.7172,0.0
2025-07-22 16:00:00,1.7167,1.7176,1.7163,1.7169,0.0
2025-07-22 16:05:00,1.7168,1.7174,1.7161,1.717,0.0
2025-07-22 16:10:00,1.7169,1.7173,1.7158,1.7167,0.0
2025-07-22 16:15:00,1.7162,1.7169,1.7159,1.7163,0.0
