,Open,High,Low,Close,Volume
2025-07-22 16:20:00,4.2097,4.2136,4.2087,4.2097,0.0
2025-07-22 16:25:00,4.2088,4.214,4.2087,4.2135,0.0
2025-07-22 16:30:00,4.2139,4.2144,4.2118,4.2134,0.0
2025-07-22 16:35:00,4.2143,4.2153,4.2126,4.2144,0.0
2025-07-22 16:40:00,4.2135,4.2159,4.2127,4.2144,0.0
2025-07-22 16:45:00,4.2138,4.2172,4.2129,4.2158,0.0
2025-07-22 16:50:00,4.215,4.2163,4.2133,4.2157,0.0
2025-07-22 16:55:00,4.2145,4.2165,4.2117,4.2135,0.0
2025-07-22 17:00:00,4.2131,4.215,4.2115,4.2127,0.0
2025-07-22 17:05:00,4.2096,4.2124,4.2096,4.2118,0.0
2025-07-22 17:10:00,4.2109,4.2126,4.2098,4.2126,0.0
2025-07-22 17:15:00,4.2103,4.2127,4.2103,4.2121,0.0
2025-07-22 17:20:00,4.2127,4.2127,4.2111,4.2111,0.0
2025-07-22 17:25:00,4.2127,4.2127,4.2111,4.2111,0.0
2025-07-22 17:30:00,4.2121,4.2133,4.2099,4.2106,0.0
2025-07-22 17:35:00,4.2111,4.2127,4.2095,4.2122,0.0
2025-07-22 17:40:00,4.2111,4.2127,4.2101,4.2111,0.0
2025-07-22 17:45:00,4.2106,4.2133,4.2095,4.2117,0.0
2025-07-22 17:50:00,4.2122,4.2122,4.2106,4.2106,0.0
2025-07-22 17:55:00,4.2111,4.2122,4.2101,4.2122,0.0
2025-07-22 18:00:00,4.2117,4.2122,4.209,4.2111,0.0
2025-07-22 18:05:00,4.2105,4.2131,4.2093,4.2109,0.0
2025-07-22 18:10:00,4.2097,4.212,4.2092,4.2098,0.0
2025-07-22 18:15:00,4.2103,4.2112,4.2048,4.2103,0.0
2025-07-22 18:20:00,4.2091,4.2107,4.2086,4.2107,0.0
2025-07-22 18:25:00,4.2075,4.2091,4.2069,4.2075,0.0
2025-07-22 18:30:00,4.2085,4.2091,4.2069,4.208,0.0
2025-07-22 18:35:00,4.2058,4.2074,4.2046,4.2062,0.0
2025-07-22 18:40:00,4.2077,4.2102,4.2063,4.2083,0.0
2025-07-22 18:45:00,4.2095,4.2102,4.2085,4.2096,0.0
