,Open,High,Low,Close,Volume
2025-07-21 14:10:00,184.5701,184.6183,184.4862,184.5826,0.0
2025-07-21 14:15:00,184.5238,184.5826,184.4631,184.5219,0.0
2025-07-21 14:20:00,184.5701,184.5932,184.4506,184.5681,0.0
2025-07-21 14:25:00,184.5199,184.5913,184.5074,184.5787,0.0
2025-07-21 14:30:00,184.5681,184.627,184.5074,184.5913,0.0
2025-07-21 14:35:00,184.5199,184.6916,184.4506,184.6221,0.0
2025-07-21 14:40:00,184.5865,184.6935,184.5489,184.6347,0.0
2025-07-21 14:45:00,184.6327,184.7079,184.5633,184.6617,0.0
2025-07-21 14:50:00,184.5903,184.7099,184.5402,184.6472,0.0
2025-07-21 14:55:00,184.6453,184.706,184.5739,184.681,0.0
2025-07-21 15:00:00,184.6327,184.7417,184.5971,184.681,0.0
2025-07-21 15:05:00,184.6703,184.7292,184.5739,184.6597,0.0
2025-07-21 15:10:00,184.6453,184.7292,184.5489,184.6559,0.0
2025-07-21 15:15:00,184.6453,184.6916,184.5701,184.6183,0.0
2025-07-21 15:20:00,184.6163,184.7166,184.5007,184.6578,0.0
2025-07-21 15:25:00,184.6096,184.6954,184.5402,184.626,0.0
2025-07-21 15:30:00,184.6241,184.6742,184.5422,184.626,0.0
2025-07-21 15:35:00,184.6241,184.6617,184.5277,184.5759,0.0
2025-07-21 15:40:00,184.5971,184.6597,184.5152,184.5633,0.0
2025-07-21 15:45:00,184.5971,184.6096,184.5007,184.5971,0.0
2025-07-21 15:50:00,184.5257,184.6221,184.5026,184.5489,0.0
2025-07-21 15:55:00,184.5508,184.6723,184.5026,184.6009,0.0
2025-07-21 16:00:00,184.6029,184.6617,184.494,184.6029,0.0
2025-07-21 16:05:00,184.6385,184.6636,184.5566,184.6279,0.0
2025-07-21 16:10:00,184.5797,184.6279,184.5441,184.5817,0.0
2025-07-21 16:15:00,184.6404,184.678,184.5817,184.6067,0.0
2025-07-21 16:20:00,184.678,184.7031,184.6067,184.6655,0.0
2025-07-21 16:25:00,184.6318,184.6906,184.5961,184.6655,0.0
2025-07-21 16:30:00,184.6318,184.7012,184.5942,184.6192,0.0
2025-07-21 16:35:00,184.6404,184.7262,184.5942,184.6318,0.0
2025-07-21 16:40:00,184.6906,184.8063,184.5942,184.6867,0.0
2025-07-21 16:45:00,184.7456,184.7456,184.6636,184.7224,0.0
2025-07-21 16:50:00,184.733,184.7919,184.6241,184.7292,0.0
2025-07-21 16:55:00,184.6723,184.7793,184.6472,184.7668,0.0
2025-07-21 17:00:00,184.7099,184.8025,184.5884,184.7099,0.0
2025-07-21 17:05:00,184.733,184.733,184.6404,184.6404,0.0
2025-07-21 17:10:00,184.6347,184.7041,184.5653,184.6115,0.0
2025-07-21 17:15:00,184.7504,184.7504,184.6578,184.6578,0.0
2025-07-21 17:20:00,184.6347,184.6578,184.6347,184.6578,0.0
2025-07-21 17:25:00,184.5932,184.6395,184.5469,184.5701,0.0
2025-07-21 17:30:00,184.5113,184.5595,184.5113,184.5595,0.0
2025-07-21 17:35:00,184.6289,184.6289,184.5132,184.5363,0.0
2025-07-21 17:40:00,184.6183,184.6646,184.5489,184.6183,0.0
2025-07-21 17:45:00,184.6202,184.6897,184.5363,184.6289,0.0
2025-07-21 17:50:00,184.6771,184.7003,184.5845,184.6077,0.0
2025-07-21 17:55:00,184.5845,184.6771,184.5383,184.5614,0.0
2025-07-21 18:00:00,184.5759,184.599,184.5633,184.599,0.0
2025-07-21 18:05:00,184.6597,184.7524,184.5152,184.679,0.0
2025-07-21 18:10:00,184.6453,184.7543,184.6221,184.7417,0.0
2025-07-21 18:15:00,184.7774,184.8131,184.6829,184.7668,0.0
2025-07-21 18:20:00,184.7774,184.8006,184.706,184.7186,0.0
2025-07-21 18:25:00,184.7774,184.8006,184.7186,184.7543,0.0
2025-07-21 18:30:00,184.7205,184.8025,184.7079,184.79,0.0
2025-07-21 18:35:00,184.733,184.8025,184.6973,184.7668,0.0
2025-07-21 18:40:00,184.7562,184.8025,184.6723,184.7417,0.0
2025-07-21 18:45:00,184.7774,184.8025,184.6723,184.7562,0.0
2025-07-21 18:50:00,184.7668,184.7919,184.6385,184.6761,0.0
2025-07-21 18:55:00,184.7349,184.7938,184.6385,184.7349,0.0
2025-07-21 19:00:00,184.6992,184.7687,184.6385,184.733,0.0
2025-07-21 19:05:00,184.6992,184.7706,184.6742,184.7475,0.0
2025-07-21 19:10:00,184.7456,184.7957,184.651,184.7475,0.0
2025-07-21 19:15:00,184.7456,184.8208,184.6761,184.7744,0.0
2025-07-21 19:20:00,184.7638,184.787,184.653,184.6992,0.0
2025-07-21 19:25:00,184.678,184.7494,184.6404,184.7243,0.0
2025-07-21 19:30:00,184.6886,184.787,184.6298,184.7638,0.0
2025-07-21 19:35:00,184.6925,184.8101,184.6549,184.7243,0.0
2025-07-21 19:40:00,184.7262,184.8227,184.6173,184.7388,0.0
2025-07-21 19:45:00,184.6799,184.787,184.6549,184.7031,0.0
2025-07-21 19:50:00,184.7368,184.8477,184.678,184.8101,0.0
2025-07-21 19:55:00,184.8458,184.8458,184.6867,184.7832,0.0
2025-07-21 20:00:00,184.7725,184.7957,184.651,184.7349,0.0
2025-07-21 20:05:00,184.733,184.921,184.5711,184.7551,0.0
2025-07-21 20:10:00,184.7445,184.8929,184.6501,184.8215,0.0
2025-07-21 20:15:00,184.7502,184.9718,184.6809,184.8792,0.0
2025-07-21 20:20:00,184.8898,184.938,184.7453,184.8166,0.0
2025-07-21 20:25:00,184.8272,184.8879,184.6828,184.7415,0.0
2025-07-21 20:30:00,184.7753,184.8572,184.6269,184.732,0.0
2025-07-21 20:35:00,184.6982,184.8284,184.6106,184.7532,0.0
2025-07-21 20:40:00,184.6944,184.8139,184.6568,184.7513,0.0
2025-07-21 20:45:00,184.6925,184.8352,184.5942,184.7494,0.0
2025-07-21 20:50:00,184.7281,184.787,184.653,184.7262,0.0
2025-07-21 20:55:00,184.7744,184.9085,184.6067,184.7494,0.0
2025-07-21 21:00:00,184.6906,184.921,184.6298,184.7889,0.0
2025-07-21 21:05:00,184.7995,184.9373,184.6693,184.891,0.0
2025-07-21 21:10:00,184.8196,184.9749,184.7445,184.8515,0.0
2025-07-21 21:15:00,184.7927,184.8997,184.7551,184.8515,0.0
2025-07-21 21:20:00,184.8158,184.8997,184.7301,184.7889,0.0
2025-07-21 21:25:00,184.8371,184.9248,184.7301,184.8553,0.0
2025-07-21 21:30:00,184.8659,184.891,184.732,184.8158,0.0
2025-07-21 21:35:00,184.7676,184.8853,184.6799,184.7995,0.0
2025-07-21 21:40:00,184.7638,184.9624,184.6356,184.8572,0.0
2025-07-21 21:45:00,184.7859,184.943,184.7502,184.8948,0.0
2025-07-21 21:50:00,184.836,184.9768,184.7608,184.9016,0.0
2025-07-21 21:55:00,184.8534,184.9499,184.7445,184.8785,0.0
2025-07-21 22:00:00,184.9267,184.9981,184.8071,184.9142,0.0
2025-07-21 22:05:00,184.9123,184.9837,184.7783,184.8265,0.0
2025-07-21 22:10:00,184.8603,184.9568,184.7532,184.8834,0.0
2025-07-21 22:15:00,184.8728,184.9887,184.7494,184.9135,0.0
2025-07-21 22:20:00,184.8652,184.926,184.7456,184.8527,0.0
2025-07-21 22:25:00,184.7812,184.9135,184.7812,184.8652,0.0
2025-07-21 22:30:00,184.8671,184.9511,184.7224,184.8439,0.0
2025-07-21 22:35:00,184.8227,184.9298,184.7744,184.8458,0.0
2025-07-21 22:40:00,184.812,184.9317,184.7638,184.8728,0.0
2025-07-21 22:45:00,184.8014,184.9317,184.7513,184.8227,0.0
2025-07-21 22:50:00,184.8333,184.8922,184.76,184.8314,0.0
2025-07-21 22:55:00,184.76,184.8903,184.7349,184.8439,0.0
2025-07-21 23:00:00,184.7851,184.869,184.7494,184.8208,0.0
2025-07-21 23:05:00,184.787,184.8458,184.6886,184.7475,0.0
2025-07-21 23:10:00,184.7388,184.896,184.6906,184.8352,0.0
2025-07-21 23:15:00,184.8014,184.9104,184.7532,184.8371,0.0
2025-07-21 23:20:00,184.8158,184.9085,184.7407,184.8477,0.0
2025-07-21 23:25:00,184.812,184.8834,184.7532,184.812,0.0
2025-07-21 23:30:00,184.7783,184.8371,184.7407,184.7995,0.0
2025-07-21 23:35:00,184.7783,184.8747,184.7301,184.8014,0.0
2025-07-21 23:40:00,184.8371,184.8622,184.7301,184.7995,0.0
2025-07-21 23:45:00,184.7889,184.8728,184.7175,184.8352,0.0
2025-07-21 23:50:00,184.7763,184.9085,184.7281,184.8622,0.0
2025-07-21 23:55:00,184.8728,184.9355,184.7657,184.8659,0.0
2025-07-22 00:00:00,184.8872,184.9749,184.7946,184.9016,0.0
2025-07-22 00:05:00,184.8428,184.9267,184.8303,184.9267,0.0
2025-07-22 00:10:00,184.8678,184.9981,184.8553,184.9499,0.0
2025-07-22 00:15:00,184.9286,185.0338,184.8534,184.9731,0.0
2025-07-22 00:20:00,184.9392,185.0802,184.8641,184.9944,0.0
2025-07-22 00:25:00,184.9229,185.0658,184.9104,184.9799,0.0
2025-07-22 00:30:00,184.9693,185.0533,184.9085,185.0176,0.0
2025-07-22 00:35:00,184.9693,185.0426,184.9461,185.0176,0.0
