,Open,High,Low,Close,Volume
2025-07-22 05:45:00,4.5598,4.5644,4.5575,4.5599,0.0
2025-07-22 05:50:00,4.5597,4.5624,4.5561,4.5617,0.0
2025-07-22 05:55:00,4.5601,4.5635,4.5571,4.5605,0.0
2025-07-22 06:00:00,4.56,4.5633,4.5571,4.5604,0.0
2025-07-22 06:05:00,4.5617,4.5637,4.5568,4.5609,0.0
2025-07-22 06:10:00,4.5609,4.5634,4.5571,4.5625,0.0
2025-07-22 06:15:00,4.5617,4.5636,4.5578,4.561,0.0
2025-07-22 06:20:00,4.5606,4.5634,4.5581,4.5621,0.0
2025-07-22 06:25:00,4.5614,4.5636,4.5581,4.5617,0.0
2025-07-22 06:30:00,4.561,4.5639,4.5579,4.5608,0.0
2025-07-22 06:35:00,4.5609,4.5647,4.5576,4.5624,0.0
2025-07-22 06:40:00,4.562,4.5646,4.5581,4.5624,0.0
2025-07-22 06:45:00,4.5611,4.5655,4.5579,4.5628,0.0
2025-07-22 06:50:00,4.5606,4.565,4.5593,4.563,0.0
2025-07-22 06:55:00,4.5623,4.5645,4.5593,4.563,0.0
2025-07-22 07:00:00,4.5626,4.565,4.5596,4.5607,0.0
2025-07-22 07:05:00,4.5626,4.5641,4.5592,4.5627,0.0
2025-07-22 07:10:00,4.5632,4.565,4.5586,4.5629,0.0
2025-07-22 07:15:00,4.5625,4.566,4.5595,4.5646,0.0
2025-07-22 07:20:00,4.5639,4.5663,4.5612,4.5643,0.0
2025-07-22 07:25:00,4.5635,4.567,4.5611,4.5646,0.0
2025-07-22 07:30:00,4.5651,4.5687,4.561,4.5662,0.0
2025-07-22 07:35:00,4.565,4.5681,4.5618,4.5663,0.0
2025-07-22 07:40:00,4.5643,4.5697,4.5631,4.5659,0.0
2025-07-22 07:45:00,4.5675,4.5697,4.5631,4.5668,0.0
2025-07-22 07:50:00,4.5659,4.5689,4.5615,4.565,0.0
2025-07-22 07:55:00,4.5644,4.5674,4.5609,4.565,0.0
2025-07-22 08:00:00,4.564,4.5697,4.56,4.5662,0.0
2025-07-22 08:05:00,4.5649,4.568,4.5604,4.5629,0.0
2025-07-22 08:10:00,4.5633,4.5675,4.5607,4.5664,0.0
2025-07-22 08:15:00,4.565,4.5675,4.5589,4.5619,0.0
2025-07-22 08:20:00,4.5628,4.5671,4.5576,4.561,0.0
2025-07-22 08:25:00,4.5612,4.567,4.558,4.5623,0.0
2025-07-22 08:30:00,4.5602,4.5649,4.5586,4.5631,0.0
2025-07-22 08:35:00,4.5608,4.5663,4.5598,4.5624,0.0
2025-07-22 08:40:00,4.564,4.5672,4.559,4.562,0.0
2025-07-22 08:45:00,4.5632,4.5659,4.5596,4.5635,0.0
2025-07-22 08:50:00,4.563,4.5688,4.5581,4.5613,0.0
2025-07-22 08:55:00,4.5617,4.567,4.559,4.5631,0.0
2025-07-22 09:00:00,4.5618,4.5671,4.5587,4.5638,0.0
2025-07-22 09:05:00,4.5636,4.5674,4.5603,4.5654,0.0
2025-07-22 09:10:00,4.5635,4.5685,4.5593,4.5635,0.0
2025-07-22 09:15:00,4.5622,4.5675,4.5591,4.5643,0.0
2025-07-22 09:20:00,4.5644,4.5672,4.5592,4.5629,0.0
2025-07-22 09:25:00,4.5626,4.5662,4.5576,4.5618,0.0
2025-07-22 09:30:00,4.5628,4.5648,4.5568,4.5601,0.0
2025-07-22 09:35:00,4.558,4.564,4.5555,4.5613,0.0
2025-07-22 09:40:00,4.561,4.5649,4.5563,4.5601,0.0
2025-07-22 09:45:00,4.5618,4.5667,4.5547,4.5613,0.0
2025-07-22 09:50:00,4.562,4.5649,4.5571,4.5613,0.0
2025-07-22 09:55:00,4.5629,4.5689,4.5575,4.5655,0.0
2025-07-22 10:00:00,4.5667,4.5677,4.5596,4.5613,0.0
2025-07-22 10:05:00,4.563,4.5677,4.5589,4.5638,0.0
2025-07-22 10:10:00,4.5659,4.5693,4.5593,4.5644,0.0
2025-07-22 10:15:00,4.5631,4.5699,4.558,4.565,0.0
2025-07-22 10:20:00,4.5643,4.5676,4.5591,4.5643,0.0
2025-07-22 10:25:00,4.5636,4.5659,4.5595,4.5637,0.0
2025-07-22 10:30:00,4.5633,4.5663,4.5582,4.5621,0.0
2025-07-22 10:35:00,4.5616,4.5637,4.557,4.5599,0.0
2025-07-22 10:40:00,4.5608,4.5633,4.5559,4.5607,0.0
2025-07-22 10:45:00,4.5599,4.5639,4.557,4.5602,0.0
2025-07-22 10:50:00,4.5612,4.566,4.5546,4.5601,0.0
2025-07-22 10:55:00,4.5606,4.5654,4.5546,4.5603,0.0
2025-07-22 11:00:00,4.5608,4.5625,4.5547,4.5581,0.0
2025-07-22 11:05:00,4.5588,4.5658,4.5569,4.5643,0.0
2025-07-22 11:10:00,4.5638,4.5689,4.5614,4.5671,0.0
2025-07-22 11:15:00,4.5658,4.574,4.559,4.5687,0.0
2025-07-22 11:20:00,4.5682,4.5725,4.5639,4.5694,0.0
2025-07-22 11:25:00,4.5689,4.5728,4.5653,4.5686,0.0
2025-07-22 11:30:00,4.5704,4.5728,4.5655,4.5695,0.0
2025-07-22 11:35:00,4.5691,4.5719,4.5642,4.5686,0.0
2025-07-22 11:40:00,4.5676,4.5764,4.56,4.568,0.0
2025-07-22 11:45:00,4.5681,4.5705,4.5624,4.5677,0.0
2025-07-22 11:50:00,4.5653,4.5703,4.5619,4.567,0.0
2025-07-22 11:55:00,4.5651,4.5712,4.5632,4.5677,0.0
2025-07-22 12:00:00,4.565,4.5711,4.5636,4.5681,0.0
2025-07-22 12:05:00,4.5671,4.5705,4.5625,4.5652,0.0
2025-07-22 12:10:00,4.5642,4.5719,4.5597,4.5667,0.0
2025-07-22 12:15:00,4.5682,4.5705,4.5618,4.5672,0.0
2025-07-22 12:20:00,4.5665,4.5689,4.5626,4.5656,0.0
2025-07-22 12:25:00,4.5658,4.5695,4.5628,4.5682,0.0
2025-07-22 12:30:00,4.5661,4.5701,4.5621,4.5662,0.0
2025-07-22 12:35:00,4.564,4.5695,4.5616,4.5659,0.0
2025-07-22 12:40:00,4.5669,4.5695,4.5628,4.5644,0.0
2025-07-22 12:45:00,4.5647,4.5721,4.5618,4.5669,0.0
2025-07-22 12:50:00,4.5665,4.5712,4.5635,4.5674,0.0
2025-07-22 12:55:00,4.5663,4.5708,4.5631,4.5678,0.0
2025-07-22 13:00:00,4.5682,4.5716,4.5622,4.5671,0.0
2025-07-22 13:05:00,4.5674,4.5694,4.5635,4.5679,0.0
2025-07-22 13:10:00,4.5666,4.5706,4.5634,4.5681,0.0
2025-07-22 13:15:00,4.569,4.57,4.5632,4.5666,0.0
2025-07-22 13:20:00,4.5654,4.5688,4.5621,4.5661,0.0
2025-07-22 13:25:00,4.5676,4.5696,4.563,4.5671,0.0
2025-07-22 13:30:00,4.5664,4.5709,4.5628,4.5678,0.0
2025-07-22 13:35:00,4.5688,4.5712,4.5627,4.5651,0.0
2025-07-22 13:40:00,4.5658,4.5669,4.5614,4.5633,0.0
2025-07-22 13:45:00,4.564,4.5652,4.5603,4.5647,0.0
2025-07-22 13:50:00,4.5642,4.5656,4.5606,4.5635,0.0
2025-07-22 13:55:00,4.5632,4.5661,4.5598,4.5639,0.0
2025-07-22 14:00:00,4.5637,4.5657,4.5603,4.5636,0.0
2025-07-22 14:05:00,4.5643,4.5668,4.5602,4.5641,0.0
2025-07-22 14:10:00,4.5636,4.5656,4.5605,4.5634,0.0
2025-07-22 14:15:00,4.5643,4.5657,4.5612,4.565,0.0
2025-07-22 14:20:00,4.5643,4.5661,4.5604,4.5621,0.0
2025-07-22 14:25:00,4.5612,4.5662,4.5607,4.5635,0.0
2025-07-22 14:30:00,4.5631,4.5661,4.5615,4.565,0.0
2025-07-22 14:35:00,4.564,4.5661,4.5612,4.5646,0.0
2025-07-22 14:40:00,4.563,4.5657,4.5613,4.5641,0.0
2025-07-22 14:45:00,4.5648,4.5654,4.5609,4.5626,0.0
2025-07-22 14:50:00,4.5615,4.5657,4.5608,4.5649,0.0
2025-07-22 14:55:00,4.5628,4.5679,4.5619,4.5664,0.0
2025-07-22 15:00:00,4.5666,4.5679,4.5629,4.5643,0.0
2025-07-22 15:05:00,4.5651,4.5678,4.562,4.5648,0.0
2025-07-22 15:10:00,4.5641,4.5685,4.5617,4.5644,0.0
2025-07-22 15:15:00,4.5651,4.5692,4.5631,4.568,0.0
2025-07-22 15:20:00,4.5662,4.5688,4.5637,4.5674,0.0
2025-07-22 15:25:00,4.567,4.5694,4.5634,4.5646,0.0
2025-07-22 15:30:00,4.5651,4.5688,4.5632,4.5648,0.0
2025-07-22 15:35:00,4.5641,4.569,4.563,4.5646,0.0
2025-07-22 15:40:00,4.5647,4.5687,4.5632,4.5661,0.0
2025-07-22 15:45:00,4.5659,4.5699,4.5629,4.5675,0.0
2025-07-22 15:50:00,4.5652,4.5691,4.5632,4.565,0.0
2025-07-22 15:55:00,4.565,4.5687,4.5631,4.5665,0.0
2025-07-22 16:00:00,4.5652,4.5679,4.5627,4.5671,0.0
2025-07-22 16:05:00,4.5656,4.5685,4.5623,4.568,0.0
2025-07-22 16:10:00,4.5664,4.5695,4.5623,4.5662,0.0
2025-07-22 16:15:00,4.564,4.5684,4.5626,4.5648,0.0
2025-07-22 16:20:00,4.5658,4.5676,4.5625,4.5653,0.0
2025-07-22 16:25:00,4.564,4.5678,4.5619,4.5644,0.0
2025-07-22 16:30:00,4.5646,4.5681,4.5614,4.5633,0.0
2025-07-22 16:35:00,4.5636,4.5682,4.5625,4.5647,0.0
2025-07-22 16:40:00,4.5634,4.5683,4.5628,4.5659,0.0
2025-07-22 16:45:00,4.5642,4.5706,4.5631,4.5667,0.0
2025-07-22 16:50:00,4.5658,4.5681,4.5635,4.5663,0.0
2025-07-22 16:55:00,4.5655,4.5676,4.5632,4.5653,0.0
2025-07-22 17:00:00,4.5646,4.5681,4.5605,4.5641,0.0
2025-07-22 17:05:00,4.5603,4.5674,4.5594,4.5643,0.0
2025-07-22 17:10:00,4.5628,4.5657,4.5597,4.5656,0.0
2025-07-22 17:15:00,4.5638,4.5661,4.5591,4.563,0.0
2025-07-22 17:20:00,4.5634,4.5663,4.5608,4.5626,0.0
2025-07-22 17:25:00,4.5637,4.5676,4.5616,4.5623,0.0
2025-07-22 17:30:00,4.5639,4.5676,4.5604,4.5621,0.0
2025-07-22 17:35:00,4.5632,4.5666,4.5602,4.5648,0.0
