,Open,High,Low,Close,Volume
2025-07-06 19:00:00,1.6041,1.6042,1.6037,1.6039,0.0
2025-07-06 19:05:00,1.6039,1.6043,1.6037,1.6037,0.0
2025-07-06 19:10:00,1.6038,1.6041,1.6037,1.6038,0.0
2025-07-06 19:15:00,1.6038,1.604,1.6037,1.6038,0.0
2025-07-06 19:20:00,1.6038,1.604,1.6035,1.6036,0.0
2025-07-06 19:25:00,1.6036,1.604,1.6035,1.6038,0.0
2025-07-06 19:30:00,1.6036,1.6039,1.6035,1.6036,0.0
2025-07-06 19:35:00,1.6036,1.6042,1.6036,1.6039,0.0
2025-07-06 19:40:00,1.604,1.6042,1.6037,1.6038,0.0
2025-07-06 19:45:00,1.6038,1.6042,1.6036,1.604,0.0
2025-07-06 19:50:00,1.6041,1.6042,1.6038,1.604,0.0
2025-07-06 19:55:00,1.604,1.6045,1.6039,1.6041,0.0
2025-07-06 20:00:00,1.6041,1.6048,1.604,1.6046,0.0
2025-07-06 20:05:00,1.6046,1.6049,1.6044,1.6047,0.0
2025-07-06 20:10:00,1.6048,1.6049,1.6045,1.6048,0.0
2025-07-06 20:15:00,1.6048,1.605,1.6046,1.6046,0.0
2025-07-06 20:20:00,1.6047,1.6048,1.6044,1.6047,0.0
2025-07-06 20:25:00,1.6047,1.6051,1.6046,1.605,0.0
2025-07-06 20:30:00,1.605,1.6051,1.6048,1.6049,0.0
2025-07-06 20:35:00,1.6049,1.6051,1.6048,1.6049,0.0
2025-07-06 20:40:00,1.6049,1.6052,1.6048,1.605,0.0
2025-07-06 20:45:00,1.6051,1.6052,1.6049,1.605,0.0
2025-07-06 20:50:00,1.6049,1.6055,1.6048,1.605,0.0
2025-07-06 20:55:00,1.6051,1.6054,1.6049,1.6053,0.0
2025-07-06 21:00:00,1.6053,1.6055,1.6052,1.6054,0.0
2025-07-06 21:05:00,1.6053,1.6057,1.6051,1.6053,0.0
2025-07-06 21:10:00,1.6053,1.6058,1.6051,1.6056,0.0
2025-07-06 21:15:00,1.6056,1.6059,1.6054,1.6055,0.0
2025-07-06 21:20:00,1.6055,1.6056,1.6051,1.6054,0.0
2025-07-06 21:25:00,1.6054,1.6056,1.6051,1.6051,0.0
2025-07-06 21:30:00,1.6051,1.6056,1.605,1.6053,0.0
2025-07-06 21:35:00,1.6054,1.6059,1.6053,1.6056,0.0
2025-07-06 21:40:00,1.6056,1.6061,1.6055,1.6058,0.0
2025-07-06 21:45:00,1.6058,1.6058,1.6055,1.6057,0.0
2025-07-06 21:50:00,1.6057,1.6059,1.6054,1.6056,0.0
2025-07-06 21:55:00,1.6055,1.6058,1.6054,1.6057,0.0
2025-07-06 22:00:00,1.6058,1.6061,1.6057,1.606,0.0
2025-07-06 22:05:00,1.606,1.6063,1.6057,1.6061,0.0
2025-07-06 22:10:00,1.6061,1.6066,1.606,1.6062,0.0
2025-07-06 22:15:00,1.6061,1.6063,1.6059,1.606,0.0
2025-07-06 22:20:00,1.606,1.6061,1.6055,1.6057,0.0
2025-07-06 22:25:00,1.6057,1.6058,1.6053,1.6053,0.0
2025-07-06 22:30:00,1.6052,1.606,1.6052,1.6059,0.0
2025-07-06 22:35:00,1.6059,1.6061,1.6053,1.6055,0.0
2025-07-06 22:40:00,1.6055,1.6058,1.6053,1.6055,0.0
2025-07-06 22:45:00,1.6055,1.6058,1.6053,1.6054,0.0
2025-07-06 22:50:00,1.6054,1.6057,1.6053,1.6054,0.0
2025-07-06 22:55:00,1.6054,1.6057,1.6053,1.6056,0.0
2025-07-06 23:00:00,1.6055,1.6056,1.6051,1.6055,0.0
2025-07-06 23:05:00,1.6055,1.6057,1.6051,1.6054,0.0
2025-07-06 23:10:00,1.6053,1.6056,1.6053,1.6053,0.0
2025-07-06 23:15:00,1.6053,1.6056,1.6052,1.6055,0.0
2025-07-06 23:20:00,1.6054,1.6056,1.6053,1.6055,0.0
2025-07-06 23:25:00,1.6055,1.6058,1.6053,1.6055,0.0
2025-07-06 23:30:00,1.6055,1.6057,1.6053,1.6055,0.0
2025-07-06 23:35:00,1.6055,1.6057,1.6052,1.6054,0.0
2025-07-06 23:40:00,1.6054,1.6057,1.6053,1.6055,0.0
2025-07-06 23:45:00,1.6054,1.6058,1.6054,1.6057,0.0
2025-07-06 23:50:00,1.6057,1.6058,1.6054,1.6056,0.0
2025-07-06 23:55:00,1.6056,1.6063,1.6055,1.606,0.0
2025-07-07 00:00:00,1.606,1.6064,1.6058,1.606,0.0
2025-07-07 00:05:00,1.606,1.6062,1.6058,1.6059,0.0
2025-07-07 00:10:00,1.6058,1.6061,1.6058,1.6058,0.0
2025-07-07 00:15:00,1.6058,1.6061,1.6058,1.6059,0.0
2025-07-07 00:20:00,1.6059,1.6061,1.6058,1.6059,0.0
