,Open,High,Low,Close,Volume
2025-07-22 16:40:00,20.4533,20.455,20.4524,20.4544,0.0
2025-07-22 16:45:00,20.4541,20.458,20.4536,20.4561,0.0
2025-07-22 16:50:00,20.4555,20.4569,20.4474,20.4482,0.0
2025-07-22 16:55:00,20.4502,20.4575,20.449,20.4561,0.0
2025-07-22 17:00:00,20.4547,20.4581,20.4454,20.4482,0.0
2025-07-22 17:05:00,20.4496,20.4496,20.4366,20.4434,0.0
2025-07-22 17:10:00,20.4406,20.4434,20.4392,20.4406,0.0
2025-07-22 17:15:00,20.442,20.442,20.4363,20.4377,0.0
2025-07-22 17:20:00,20.4391,20.4391,20.4377,20.4377,0.0
2025-07-22 17:25:00,20.4383,20.4388,20.4346,20.436,0.0
2025-07-22 17:30:00,20.4346,20.436,20.4346,20.436,0.0
2025-07-22 17:35:00,20.4374,20.4374,20.436,20.436,0.0
2025-07-22 17:40:00,20.4377,20.4383,20.4369,20.4383,0.0
2025-07-22 17:45:00,20.4369,20.4383,20.4369,20.4369,0.0
2025-07-22 17:50:00,20.4372,20.4377,20.436,20.4363,0.0
2025-07-22 17:55:00,20.4377,20.438,20.4363,20.4366,0.0
2025-07-22 18:00:00,20.438,20.438,20.4338,20.4352,0.0
2025-07-22 18:05:00,20.436,20.4483,20.4333,20.4447,0.0
2025-07-22 18:10:00,20.4433,20.4447,20.4416,20.4422,0.0
2025-07-22 18:15:00,20.4408,20.4498,20.4405,20.4489,0.0
2025-07-22 18:20:00,20.4503,20.4565,20.4489,20.452,0.0
2025-07-22 18:25:00,20.4534,20.456,20.4492,20.4526,0.0
2025-07-22 18:30:00,20.4512,20.4546,20.4495,20.4524,0.0
2025-07-22 18:35:00,20.4501,20.4654,20.4498,20.459,0.0
2025-07-22 18:40:00,20.4613,20.4613,20.4532,20.4532,0.0
2025-07-22 18:45:00,20.4549,20.4568,20.4518,20.4551,0.0
2025-07-22 18:50:00,20.4532,20.4551,20.4442,20.4442,0.0
2025-07-22 18:55:00,20.4471,20.456,20.4426,20.4545,0.0
2025-07-22 19:00:00,20.4532,20.4585,20.4481,20.4523,0.0
2025-07-22 19:05:00,20.4509,20.4538,20.4384,20.4459,0.0
2025-07-22 19:10:00,20.4465,20.4554,20.4437,20.4529,0.0
2025-07-22 19:15:00,20.4551,20.4571,20.3924,20.4055,0.0
2025-07-22 19:20:00,20.4083,20.4426,20.4028,20.4342,0.0
2025-07-22 19:25:00,20.4356,20.4654,20.4314,20.455,0.0
2025-07-22 19:30:00,20.4536,20.4663,20.4453,20.4656,0.0
2025-07-22 19:35:00,20.4642,20.4763,20.4576,20.4746,0.0
2025-07-22 19:40:00,20.4732,20.4833,20.4673,20.4779,0.0
