,Open,High,Low,Close,Volume
2025-07-21 14:10:00,1.7907,1.7913,1.7902,1.7906,0.0
2025-07-21 14:15:00,1.7909,1.7914,1.7903,1.7907,0.0
2025-07-21 14:20:00,1.7906,1.7911,1.7902,1.7908,0.0
2025-07-21 14:25:00,1.7911,1.7914,1.7905,1.7911,0.0
2025-07-21 14:30:00,1.7909,1.7912,1.7904,1.7911,0.0
2025-07-21 14:35:00,1.7908,1.7912,1.7902,1.7905,0.0
2025-07-21 14:40:00,1.7906,1.791,1.7903,1.7906,0.0
2025-07-21 14:45:00,1.7909,1.791,1.7903,1.7906,0.0
2025-07-21 14:50:00,1.7908,1.7913,1.7903,1.791,0.0
2025-07-21 14:55:00,1.7913,1.7916,1.7906,1.7911,0.0
2025-07-21 15:00:00,1.7908,1.7915,1.7907,1.7912,0.0
2025-07-21 15:05:00,1.7915,1.7916,1.7906,1.7909,0.0
2025-07-21 15:10:00,1.7906,1.7915,1.7905,1.7914,0.0
2025-07-21 15:15:00,1.7911,1.7918,1.7908,1.7912,0.0
2025-07-21 15:20:00,1.791,1.7915,1.7908,1.7912,0.0
2025-07-21 15:25:00,1.7909,1.7916,1.7908,1.7912,0.0
2025-07-21 15:30:00,1.7909,1.7914,1.7907,1.791,0.0
2025-07-21 15:35:00,1.7913,1.7916,1.7906,1.7912,0.0
2025-07-21 15:40:00,1.7914,1.7917,1.7909,1.7912,0.0
2025-07-21 15:45:00,1.7914,1.7922,1.7911,1.7918,0.0
2025-07-21 15:50:00,1.7919,1.7922,1.7915,1.7915,0.0
2025-07-21 15:55:00,1.7916,1.7922,1.7907,1.7911,0.0
2025-07-21 16:00:00,1.7913,1.7923,1.7909,1.7914,0.0
2025-07-21 16:05:00,1.7913,1.7917,1.791,1.7911,0.0
2025-07-21 16:10:00,1.7914,1.7917,1.7909,1.7911,0.0
2025-07-21 16:15:00,1.7914,1.7917,1.791,1.7911,0.0
2025-07-21 16:20:00,1.7914,1.7917,1.7907,1.791,0.0
2025-07-21 16:25:00,1.7913,1.7913,1.7904,1.7906,0.0
2025-07-21 16:30:00,1.7911,1.7914,1.7906,1.7911,0.0
2025-07-21 16:35:00,1.7909,1.7914,1.7904,1.7907,0.0
2025-07-21 16:40:00,1.7909,1.7917,1.7906,1.791,0.0
2025-07-21 16:45:00,1.7912,1.7917,1.791,1.791,0.0
2025-07-21 16:50:00,1.7916,1.792,1.7907,1.7915,0.0
2025-07-21 16:55:00,1.7918,1.7923,1.7912,1.792,0.0
2025-07-21 17:00:00,1.7919,1.7925,1.7912,1.7918,0.0
2025-07-21 17:05:00,1.791,1.791,1.7907,1.7907,0.0
2025-07-21 17:10:00,1.7901,1.7923,1.7901,1.792,0.0
2025-07-21 17:15:00,1.7917,1.792,1.7914,1.7918,0.0
2025-07-21 17:20:00,1.792,1.792,1.7918,1.792,0.0
2025-07-21 17:25:00,1.7918,1.792,1.7916,1.792,0.0
2025-07-21 17:30:00,1.7914,1.7925,1.7912,1.7914,0.0
2025-07-21 17:35:00,1.7917,1.7919,1.7912,1.7917,0.0
2025-07-21 17:40:00,1.7919,1.7922,1.7913,1.7919,0.0
2025-07-21 17:45:00,1.792,1.792,1.7913,1.7919,0.0
2025-07-21 17:50:00,1.7916,1.7923,1.7913,1.7923,0.0
2025-07-21 17:55:00,1.792,1.7922,1.7916,1.7922,0.0
2025-07-21 18:00:00,1.792,1.7926,1.7917,1.7923,0.0
2025-07-21 18:05:00,1.7921,1.7926,1.7916,1.7919,0.0
2025-07-21 18:10:00,1.7916,1.7926,1.7914,1.7919,0.0
2025-07-21 18:15:00,1.7917,1.7923,1.7914,1.7919,0.0
2025-07-21 18:20:00,1.7916,1.7926,1.7916,1.7922,0.0
2025-07-21 18:25:00,1.7924,1.7927,1.7919,1.7923,0.0
2025-07-21 18:30:00,1.792,1.7927,1.7919,1.7924,0.0
2025-07-21 18:35:00,1.7922,1.7927,1.7917,1.7927,0.0
2025-07-21 18:40:00,1.7922,1.793,1.7919,1.7925,0.0
2025-07-21 18:45:00,1.7923,1.7927,1.7919,1.792,0.0
2025-07-21 18:50:00,1.7922,1.7925,1.7914,1.792,0.0
2025-07-21 18:55:00,1.7923,1.7923,1.7914,1.792,0.0
2025-07-21 19:00:00,1.7919,1.7925,1.7914,1.7919,0.0
2025-07-21 19:05:00,1.7922,1.7925,1.7915,1.7918,0.0
2025-07-21 19:10:00,1.792,1.7923,1.7912,1.7913,0.0
2025-07-21 19:15:00,1.7916,1.7923,1.7911,1.792,0.0
2025-07-21 19:20:00,1.7917,1.792,1.7907,1.7912,0.0
2025-07-21 19:25:00,1.7917,1.7919,1.7909,1.7914,0.0
2025-07-21 19:30:00,1.7913,1.7918,1.7907,1.7916,0.0
2025-07-21 19:35:00,1.791,1.7919,1.7909,1.7915,0.0
2025-07-21 19:40:00,1.7913,1.7919,1.7905,1.7912,0.0
2025-07-21 19:45:00,1.791,1.7916,1.7905,1.7912,0.0
2025-07-21 19:50:00,1.7913,1.7916,1.7901,1.7908,0.0
2025-07-21 19:55:00,1.7905,1.7915,1.7898,1.7915,0.0
2025-07-21 20:00:00,1.7912,1.7914,1.7901,1.7911,0.0
2025-07-21 20:05:00,1.7914,1.7914,1.7902,1.7903,0.0
2025-07-21 20:10:00,1.7905,1.7908,1.7896,1.7901,0.0
2025-07-21 20:15:00,1.7903,1.7908,1.7897,1.7902,0.0
2025-07-21 20:20:00,1.7905,1.7909,1.7897,1.7904,0.0
2025-07-21 20:25:00,1.7907,1.792,1.7904,1.7912,0.0
2025-07-21 20:30:00,1.791,1.7921,1.7907,1.7918,0.0
2025-07-21 20:35:00,1.792,1.7925,1.7913,1.7922,0.0
2025-07-21 20:40:00,1.7919,1.7925,1.7913,1.7918,0.0
2025-07-21 20:45:00,1.7916,1.7927,1.7913,1.7922,0.0
2025-07-21 20:50:00,1.792,1.7927,1.7916,1.792,0.0
2025-07-21 20:55:00,1.7918,1.7933,1.7911,1.7926,0.0
