,Open,High,Low,Close,Volume
2025-07-21 14:15:00,1.6001,1.6002,1.5996,1.5999,0.0
2025-07-21 14:20:00,1.5997,1.6004,1.5996,1.6002,0.0
2025-07-21 14:25:00,1.5999,1.6004,1.5999,1.6002,0.0
2025-07-21 14:30:00,1.6001,1.6003,1.5998,1.6001,0.0
2025-07-21 14:35:00,1.6002,1.6002,1.5993,1.5995,0.0
2025-07-21 14:40:00,1.5997,1.5999,1.5993,1.5994,0.0
2025-07-21 14:45:00,1.5995,1.5995,1.5991,1.5991,0.0
2025-07-21 14:50:00,1.5994,1.6001,1.599,1.5999,0.0
2025-07-21 14:55:00,1.6,1.6002,1.5998,1.6001,0.0
2025-07-21 15:00:00,1.6002,1.6003,1.5997,1.6,0.0
2025-07-21 15:05:00,1.5997,1.6003,1.5997,1.5998,0.0
2025-07-21 15:10:00,1.5999,1.6005,1.5998,1.6002,0.0
2025-07-21 15:15:00,1.6003,1.6006,1.6002,1.6003,0.0
2025-07-21 15:20:00,1.6005,1.6005,1.5999,1.6001,0.0
2025-07-21 15:25:00,1.6002,1.6002,1.5997,1.5998,0.0
2025-07-21 15:30:00,1.5997,1.5999,1.5995,1.5997,0.0
2025-07-21 15:35:00,1.5998,1.5999,1.5994,1.5997,0.0
2025-07-21 15:40:00,1.5994,1.6001,1.5993,1.6,0.0
2025-07-21 15:45:00,1.6001,1.6003,1.5998,1.6,0.0
2025-07-21 15:50:00,1.6001,1.6003,1.5999,1.6001,0.0
2025-07-21 15:55:00,1.6002,1.6003,1.5995,1.5998,0.0
2025-07-21 16:00:00,1.5996,1.6,1.5992,1.5994,0.0
2025-07-21 16:05:00,1.5993,1.5997,1.599,1.5995,0.0
2025-07-21 16:10:00,1.5996,1.5996,1.5992,1.5993,0.0
2025-07-21 16:15:00,1.5991,1.5995,1.5989,1.5993,0.0
2025-07-21 16:20:00,1.5991,1.5994,1.5989,1.5992,0.0
2025-07-21 16:25:00,1.5993,1.5993,1.5989,1.5993,0.0
