,Open,High,Low,Close,Volume
2025-07-22 05:45:00,9.1797,9.1836,9.1789,9.1831,0.0
2025-07-22 05:50:00,9.1823,9.1852,9.1823,9.1852,0.0
2025-07-22 05:55:00,9.1844,9.1867,9.1844,9.186,0.0
2025-07-22 06:00:00,9.1867,9.1891,9.1852,9.1883,0.0
2025-07-22 06:05:00,9.1875,9.1914,9.1867,9.1899,0.0
2025-07-22 06:10:00,9.1907,9.1914,9.1875,9.1883,0.0
2025-07-22 06:15:00,9.1875,9.1907,9.1875,9.1907,0.0
2025-07-22 06:20:00,9.1899,9.1914,9.1891,9.1891,0.0
2025-07-22 06:25:00,9.1883,9.1891,9.1875,9.1875,0.0
2025-07-22 06:30:00,9.1883,9.1883,9.1866,9.1875,0.0
2025-07-22 06:35:00,9.1867,9.1883,9.1843,9.1847,0.0
2025-07-22 06:40:00,9.1855,9.1867,9.1839,9.1855,0.0
2025-07-22 06:45:00,9.186,9.1875,9.1847,9.1875,0.0
2025-07-22 06:50:00,9.1867,9.1875,9.1851,9.1851,0.0
2025-07-22 06:55:00,9.1843,9.1867,9.1843,9.1852,0.0
2025-07-22 07:00:00,9.186,9.186,9.1836,9.1852,0.0
2025-07-22 07:05:00,9.186,9.1867,9.1844,9.186,0.0
2025-07-22 07:10:00,9.1867,9.1867,9.1844,9.1852,0.0
2025-07-22 07:15:00,9.186,9.1867,9.1844,9.1858,0.0
2025-07-22 07:20:00,9.1851,9.1867,9.1844,9.1852,0.0
2025-07-22 07:25:00,9.1844,9.1852,9.1828,9.1836,0.0
2025-07-22 07:30:00,9.1828,9.1836,9.1797,9.1812,0.0
2025-07-22 07:35:00,9.1805,9.1836,9.1805,9.1831,0.0
2025-07-22 07:40:00,9.1836,9.1852,9.1803,9.1819,0.0
2025-07-22 07:45:00,9.1811,9.1844,9.1803,9.1844,0.0
2025-07-22 07:50:00,9.1836,9.1844,9.1805,9.182,0.0
2025-07-22 07:55:00,9.1812,9.1828,9.1805,9.1819,0.0
2025-07-22 08:00:00,9.1811,9.1867,9.1811,9.1852,0.0
2025-07-22 08:05:00,9.186,9.1875,9.1847,9.1852,0.0
2025-07-22 08:10:00,9.1844,9.1852,9.1828,9.1828,0.0
2025-07-22 08:15:00,9.182,9.1836,9.1792,9.1797,0.0
2025-07-22 08:20:00,9.1805,9.1805,9.1753,9.1773,0.0
2025-07-22 08:25:00,9.1765,9.1781,9.1737,9.1773,0.0
2025-07-22 08:30:00,9.1781,9.1781,9.1757,9.1765,0.0
2025-07-22 08:35:00,9.1757,9.1789,9.1748,9.1757,0.0
2025-07-22 08:40:00,9.175,9.1773,9.1742,9.1757,0.0
2025-07-22 08:45:00,9.175,9.1757,9.1734,9.175,0.0
2025-07-22 08:50:00,9.1742,9.1765,9.171,9.175,0.0
2025-07-22 08:55:00,9.1742,9.1765,9.1703,9.1761,0.0
2025-07-22 09:00:00,9.1753,9.1789,9.1747,9.1764,0.0
