,Open,High,Low,Close,Volume
2025-07-22 16:35:00,398.88,398.92,398.7,398.86,0.0
2025-07-22 16:40:00,398.88,398.94,398.7,398.88,0.0
2025-07-22 16:45:00,398.87,398.96,398.61,398.86,0.0
2025-07-22 16:50:00,398.85,398.92,398.61,398.86,0.0
2025-07-22 16:55:00,398.78,398.89,398.61,398.75,0.0
2025-07-22 17:00:00,398.63,398.86,398.53,398.73,0.0
2025-07-22 17:05:00,398.72,398.88,398.6,398.79,0.0
2025-07-22 17:10:00,398.72,398.88,398.59,398.72,0.0
2025-07-22 17:15:00,398.71,398.88,398.56,398.69,0.0
2025-07-22 17:20:00,398.84,398.88,398.5,398.75,0.0
2025-07-22 17:25:00,398.76,398.87,398.55,398.78,0.0
2025-07-22 17:30:00,398.77,398.84,398.54,398.74,0.0
2025-07-22 17:35:00,398.7,398.94,398.5,398.7,0.0
2025-07-22 17:40:00,398.74,398.86,398.47,398.7,0.0
2025-07-22 17:45:00,398.73,398.84,398.5,398.74,0.0
2025-07-22 17:50:00,398.77,398.88,398.49,398.55,0.0
2025-07-22 17:55:00,398.68,398.87,398.49,398.73,0.0
2025-07-22 18:00:00,398.51,398.96,398.48,398.6,0.0
2025-07-22 18:05:00,398.53,398.86,398.43,398.77,0.0
2025-07-22 18:10:00,398.76,398.89,398.6,398.72,0.0
2025-07-22 18:15:00,398.7,398.86,398.54,398.71,0.0
2025-07-22 18:20:00,398.72,398.86,398.58,398.7,0.0
2025-07-22 18:25:00,398.76,398.89,398.61,398.7,0.0
2025-07-22 18:30:00,398.73,398.86,398.54,398.64,0.0
2025-07-22 18:35:00,398.7,398.86,398.53,398.73,0.0
2025-07-22 18:40:00,398.72,398.87,398.57,398.73,0.0
2025-07-22 18:45:00,398.68,398.93,398.6,398.72,0.0
2025-07-22 18:50:00,398.73,398.86,398.56,398.66,0.0
2025-07-22 18:55:00,398.62,398.87,398.55,398.62,0.0
2025-07-22 19:00:00,398.65,398.87,398.55,398.87,0.0
2025-07-22 19:05:00,398.74,398.86,398.57,398.73,0.0
2025-07-22 19:10:00,398.69,398.86,398.58,398.67,0.0
2025-07-22 19:15:00,398.69,398.9,398.55,398.63,0.0
2025-07-22 19:20:00,398.66,398.86,398.54,398.66,0.0
2025-07-22 19:25:00,398.63,398.9,398.56,398.72,0.0
2025-07-22 19:30:00,398.7,398.93,398.63,398.8,0.0
2025-07-22 19:35:00,398.79,398.86,398.61,398.7,0.0
2025-07-22 19:40:00,398.74,398.89,398.6,398.82,0.0
2025-07-22 19:45:00,398.93,398.93,398.61,398.7,0.0
2025-07-22 19:50:00,398.79,398.9,398.6,398.82,0.0
2025-07-22 19:55:00,398.75,398.89,398.6,398.78,0.0
2025-07-22 20:00:00,398.79,398.87,398.61,398.78,0.0
2025-07-22 20:05:00,398.76,398.9,398.63,398.89,0.0
2025-07-22 20:10:00,398.82,398.97,398.7,398.91,0.0
2025-07-22 20:15:00,398.88,398.96,398.69,398.85,0.0
2025-07-22 20:20:00,398.88,398.97,398.7,398.86,0.0
2025-07-22 20:25:00,398.8,398.97,398.73,398.86,0.0
2025-07-22 20:30:00,398.79,398.99,398.73,398.92,0.0
2025-07-22 20:35:00,398.93,399.02,398.73,398.91,0.0
2025-07-22 20:40:00,398.9,399.07,398.79,398.85,0.0
2025-07-22 20:45:00,398.87,399.06,398.74,398.95,0.0
2025-07-22 20:50:00,398.91,399.04,398.75,398.9,0.0
2025-07-22 20:55:00,398.95,399.04,398.78,398.92,0.0
2025-07-22 21:00:00,398.9,399.04,398.7,398.93,0.0
2025-07-22 21:05:00,398.98,399.07,398.8,398.89,0.0
2025-07-22 21:10:00,398.86,399.08,398.82,398.92,0.0
2025-07-22 21:15:00,398.93,399.09,398.81,398.97,0.0
2025-07-22 21:20:00,398.96,399.05,398.76,398.91,0.0
2025-07-22 21:25:00,398.96,399.09,398.82,399.0,0.0
2025-07-22 21:30:00,398.97,399.05,398.77,399.04,0.0
2025-07-22 21:35:00,399.01,399.09,398.85,398.91,0.0
2025-07-22 21:40:00,398.96,399.08,398.83,399.06,0.0
2025-07-22 21:45:00,399.02,399.08,398.8,398.99,0.0
2025-07-22 21:50:00,398.95,399.05,398.81,398.98,0.0
2025-07-22 21:55:00,398.95,399.05,398.75,398.91,0.0
2025-07-22 22:00:00,398.95,399.02,398.8,398.97,0.0
2025-07-22 22:05:00,398.86,399.03,398.79,399.0,0.0
2025-07-22 22:10:00,398.94,399.06,398.74,399.01,0.0
2025-07-22 22:15:00,399.0,399.07,398.82,398.99,0.0
2025-07-22 22:20:00,398.93,399.09,398.82,398.89,0.0
2025-07-22 22:25:00,398.88,399.09,398.81,399.06,0.0
2025-07-22 22:30:00,399.07,399.09,398.85,399.01,0.0
2025-07-22 22:35:00,398.94,399.09,398.85,398.92,0.0
2025-07-22 22:40:00,399.06,399.12,398.85,399.03,0.0
2025-07-22 22:45:00,398.92,399.07,398.86,399.05,0.0
2025-07-22 22:50:00,398.92,399.08,398.83,399.05,0.0
2025-07-22 22:55:00,399.06,399.09,398.88,399.04,0.0
2025-07-22 23:00:00,399.0,399.07,398.75,399.0,0.0
2025-07-22 23:05:00,399.01,399.07,398.74,399.02,0.0
2025-07-22 23:10:00,398.97,399.07,398.76,399.02,0.0
2025-07-22 23:15:00,399.04,399.07,398.8,398.95,0.0
2025-07-22 23:20:00,398.99,399.04,398.78,399.01,0.0
2025-07-22 23:25:00,398.97,399.09,398.77,398.97,0.0
2025-07-22 23:30:00,398.98,399.04,398.78,398.94,0.0
2025-07-22 23:35:00,398.97,399.04,398.73,399.04,0.0
2025-07-22 23:40:00,399.02,399.05,398.74,399.0,0.0
2025-07-22 23:45:00,398.96,399.04,398.74,398.96,0.0
2025-07-22 23:50:00,398.98,399.05,398.75,399.03,0.0
2025-07-22 23:55:00,398.91,399.06,398.75,398.91,0.0
2025-07-23 00:00:00,398.95,399.04,398.73,398.95,0.0
2025-07-23 00:05:00,398.88,399.06,398.76,399.01,0.0
2025-07-23 00:10:00,398.98,399.08,398.76,398.93,0.0
2025-07-23 00:15:00,398.98,399.07,398.8,399.02,0.0
2025-07-23 00:20:00,398.93,399.06,398.72,398.92,0.0
2025-07-23 00:25:00,398.97,399.1,398.77,398.96,0.0
2025-07-23 00:30:00,398.98,399.06,398.78,398.85,0.0
2025-07-23 00:35:00,398.94,399.04,398.75,399.01,0.0
2025-07-23 00:40:00,398.88,399.01,398.74,399.0,0.0
2025-07-23 00:45:00,398.94,399.04,398.74,399.0,0.0
2025-07-23 00:50:00,398.99,399.02,398.73,398.96,0.0
2025-07-23 00:55:00,398.73,399.06,398.73,399.02,0.0
2025-07-23 01:00:00,398.96,399.05,398.77,398.88,0.0
2025-07-23 01:05:00,398.85,399.05,398.77,399.0,0.0
2025-07-23 01:10:00,399.02,399.06,398.79,399.01,0.0
2025-07-23 01:15:00,398.94,399.11,398.83,399.05,0.0
2025-07-23 01:20:00,399.09,399.11,398.82,399.09,0.0
2025-07-23 01:25:00,399.01,399.09,398.87,398.94,0.0
2025-07-23 01:30:00,399.05,399.07,398.78,399.01,0.0
2025-07-23 01:35:00,398.92,399.06,398.79,398.99,0.0
2025-07-23 01:40:00,398.96,399.16,398.7,399.1,0.0
2025-07-23 01:45:00,398.76,399.15,398.69,398.95,0.0
2025-07-23 01:50:00,399.06,399.2,398.93,399.14,0.0
2025-07-23 01:55:00,399.05,399.17,398.87,399.12,0.0
2025-07-23 02:00:00,399.08,399.17,398.84,399.01,0.0
2025-07-23 02:05:00,399.08,399.15,398.84,399.11,0.0
2025-07-23 02:10:00,399.07,399.14,398.85,399.04,0.0
2025-07-23 02:15:00,398.96,399.28,398.86,398.96,0.0
2025-07-23 02:20:00,399.04,399.23,398.93,399.18,0.0
2025-07-23 02:25:00,398.99,399.28,398.95,399.16,0.0
2025-07-23 02:30:00,398.99,399.25,398.92,399.14,0.0
2025-07-23 02:35:00,399.09,399.25,398.92,399.14,0.0
2025-07-23 02:40:00,399.07,399.25,398.97,399.22,0.0
2025-07-23 02:45:00,399.18,399.25,398.95,399.13,0.0
2025-07-23 02:50:00,399.01,399.19,398.83,398.84,0.0
2025-07-23 02:55:00,399.03,399.09,398.73,399.04,0.0
2025-07-23 03:00:00,399.0,399.08,398.75,398.98,0.0
2025-07-23 03:05:00,398.82,399.09,398.77,398.89,0.0
2025-07-23 03:10:00,399.03,399.18,398.87,399.12,0.0
2025-07-23 03:15:00,398.95,399.18,398.82,399.05,0.0
2025-07-23 03:20:00,398.92,399.13,398.79,399.07,0.0
2025-07-23 03:25:00,399.08,399.19,398.85,399.14,0.0
2025-07-23 03:30:00,399.11,399.25,398.81,399.06,0.0
2025-07-23 03:35:00,399.03,399.14,398.8,399.09,0.0
2025-07-23 03:40:00,399.05,399.1,398.7,399.04,0.0
2025-07-23 03:45:00,399.01,399.07,398.78,399.03,0.0
2025-07-23 03:50:00,399.04,399.08,398.77,399.05,0.0
2025-07-23 03:55:00,399.06,399.08,398.75,399.0,0.0
2025-07-23 04:00:00,399.02,399.05,398.7,398.81,0.0
2025-07-23 04:05:00,398.94,399.08,398.77,398.98,0.0
2025-07-23 04:10:00,399.0,399.06,398.73,398.97,0.0
2025-07-23 04:15:00,398.8,399.02,398.69,398.98,0.0
2025-07-23 04:20:00,398.91,399.08,398.7,399.06,0.0
2025-07-23 04:25:00,398.89,399.2,398.79,399.13,0.0
2025-07-23 04:30:00,399.09,399.24,398.94,399.15,0.0
2025-07-23 04:35:00,398.99,399.21,398.91,399.18,0.0
2025-07-23 04:40:00,399.14,399.26,398.94,399.22,0.0
2025-07-23 04:45:00,399.24,399.27,398.94,399.18,0.0
2025-07-23 04:50:00,399.2,399.27,398.91,399.16,0.0
2025-07-23 04:55:00,399.14,399.2,398.9,399.11,0.0
