,Open,High,Low,Close,Volume
2025-07-22 16:35:00,3.9235,3.9239,3.923,3.9231,0.0
2025-07-22 16:40:00,3.9234,3.9239,3.9225,3.9231,0.0
2025-07-22 16:45:00,3.923,3.9239,3.9228,3.9231,0.0
2025-07-22 16:50:00,3.9228,3.9231,3.9222,3.9228,0.0
2025-07-22 16:55:00,3.9222,3.9235,3.9207,3.921,0.0
2025-07-22 17:00:00,3.9211,3.9223,3.9211,3.9219,0.0
2025-07-22 17:05:00,3.9215,3.9222,3.9213,3.9214,0.0
2025-07-22 17:10:00,3.9215,3.9221,3.9212,3.9221,0.0
2025-07-22 17:15:00,3.922,3.9222,3.9217,3.9217,0.0
2025-07-22 17:20:00,3.9219,3.9219,3.9202,3.9209,0.0
2025-07-22 17:25:00,3.9205,3.9209,3.9205,3.9209,0.0
2025-07-22 17:30:00,3.9205,3.9209,3.9204,3.9205,0.0
2025-07-22 17:35:00,3.9202,3.9209,3.9202,3.9205,0.0
2025-07-22 17:40:00,3.9202,3.9209,3.9202,3.9205,0.0
2025-07-22 17:45:00,3.9202,3.9209,3.9202,3.9205,0.0
2025-07-22 17:50:00,3.9209,3.9209,3.9205,3.9209,0.0
2025-07-22 17:55:00,3.9205,3.9209,3.9205,3.9205,0.0
2025-07-22 18:00:00,3.9209,3.9209,3.9189,3.9205,0.0
2025-07-22 18:05:00,3.9204,3.9211,3.918,3.919,0.0
2025-07-22 18:10:00,3.9187,3.9193,3.9182,3.9192,0.0
2025-07-22 18:15:00,3.9195,3.9195,3.9145,3.9178,0.0
2025-07-22 18:20:00,3.9181,3.9191,3.9174,3.9188,0.0
2025-07-22 18:25:00,3.9184,3.9191,3.9164,3.9171,0.0
2025-07-22 18:30:00,3.9168,3.9171,3.9168,3.9168,0.0
2025-07-22 18:35:00,3.9157,3.9159,3.9146,3.9156,0.0
2025-07-22 18:40:00,3.9149,3.9184,3.9149,3.9181,0.0
2025-07-22 18:45:00,3.9184,3.9185,3.9181,3.9183,0.0
2025-07-22 18:50:00,3.9186,3.9188,3.9178,3.9188,0.0
2025-07-22 18:55:00,3.9184,3.919,3.9182,3.9183,0.0
2025-07-22 19:00:00,3.9187,3.9187,3.9183,3.9187,0.0
2025-07-22 19:05:00,3.9146,3.9187,3.9142,3.9177,0.0
2025-07-22 19:10:00,3.9174,3.9185,3.9162,3.9162,0.0
2025-07-22 19:15:00,3.9165,3.9197,3.9159,3.9189,0.0
2025-07-22 19:20:00,3.9193,3.9203,3.918,3.9182,0.0
2025-07-22 19:25:00,3.9185,3.9185,3.9136,3.9136,0.0
2025-07-22 19:30:00,3.9139,3.9164,3.9133,3.9161,0.0
2025-07-22 19:35:00,3.9157,3.9161,3.9131,3.9131,0.0
2025-07-22 19:40:00,3.9134,3.9134,3.9119,3.9126,0.0
2025-07-22 19:45:00,3.9123,3.9126,3.9119,3.9123,0.0
2025-07-22 19:50:00,3.9126,3.9127,3.9116,3.9127,0.0
2025-07-22 19:55:00,3.9121,3.9159,3.9119,3.9158,0.0
2025-07-22 20:00:00,3.9157,3.9168,3.9131,3.9162,0.0
2025-07-22 20:05:00,3.9165,3.9167,3.9156,3.9167,0.0
2025-07-22 20:10:00,3.9161,3.9167,3.9138,3.9162,0.0
2025-07-22 20:15:00,3.9159,3.9163,3.9157,3.916,0.0
2025-07-22 20:20:00,3.9163,3.9183,3.9139,3.9143,0.0
2025-07-22 20:25:00,3.9142,3.9172,3.914,3.9171,0.0
2025-07-22 20:30:00,3.9164,3.9185,3.9164,3.9182,0.0
2025-07-22 20:35:00,3.9175,3.9191,3.9153,3.9171,0.0
2025-07-22 20:40:00,3.9164,3.9181,3.9157,3.9174,0.0
2025-07-22 20:45:00,3.9177,3.918,3.9158,3.9177,0.0
2025-07-22 20:50:00,3.9173,3.9186,3.9173,3.9183,0.0
2025-07-22 20:55:00,3.9177,3.9199,3.9162,3.9181,0.0
2025-07-22 21:00:00,3.9182,3.9204,3.9174,3.9204,0.0
2025-07-22 21:05:00,3.9201,3.9209,3.9161,3.9167,0.0
2025-07-22 21:10:00,3.9164,3.9177,3.9158,3.9162,0.0
2025-07-22 21:15:00,3.9165,3.9174,3.9162,3.9171,0.0
2025-07-22 21:20:00,3.9174,3.9175,3.9161,3.9172,0.0
2025-07-22 21:25:00,3.9169,3.9179,3.9165,3.917,0.0
2025-07-22 21:30:00,3.9173,3.918,3.9133,3.9164,0.0
2025-07-22 21:35:00,3.916,3.9168,3.9145,3.915,0.0
2025-07-22 21:40:00,3.9153,3.9175,3.9124,3.9131,0.0
2025-07-22 21:45:00,3.9128,3.9131,3.9111,3.9118,0.0
2025-07-22 21:50:00,3.9114,3.9132,3.9104,3.9129,0.0
2025-07-22 21:55:00,3.9125,3.9151,3.9125,3.9148,0.0
2025-07-22 22:00:00,3.9144,3.9156,3.9115,3.9148,0.0
2025-07-22 22:05:00,3.9144,3.9166,3.9144,3.9166,0.0
2025-07-22 22:10:00,3.9162,3.9166,3.9156,3.9159,0.0
2025-07-22 22:15:00,3.9131,3.9169,3.9111,3.9156,0.0
2025-07-22 22:20:00,3.9157,3.918,3.912,3.9133,0.0
2025-07-22 22:25:00,3.9136,3.9155,3.9129,3.9144,0.0
2025-07-22 22:30:00,3.9137,3.9162,3.9131,3.914,0.0
2025-07-22 22:35:00,3.9136,3.9146,3.9131,3.9142,0.0
2025-07-22 22:40:00,3.9146,3.9152,3.9134,3.9146,0.0
2025-07-22 22:45:00,3.9149,3.9156,3.9142,3.9152,0.0
2025-07-22 22:50:00,3.9149,3.9156,3.9138,3.9141,0.0
2025-07-22 22:55:00,3.9134,3.9149,3.9134,3.9142,0.0
2025-07-22 23:00:00,3.9146,3.9149,3.9135,3.9146,0.0
2025-07-22 23:05:00,3.9149,3.9149,3.9133,3.9143,0.0
2025-07-22 23:10:00,3.9146,3.9152,3.9139,3.9145,0.0
2025-07-22 23:15:00,3.9149,3.9152,3.9139,3.9149,0.0
2025-07-22 23:20:00,3.9145,3.9155,3.9145,3.9153,0.0
2025-07-22 23:25:00,3.915,3.917,3.915,3.9167,0.0
2025-07-22 23:30:00,3.917,3.9179,3.916,3.9176,0.0
2025-07-22 23:35:00,3.9172,3.9187,3.9165,3.9175,0.0
2025-07-22 23:40:00,3.9165,3.9175,3.9165,3.9172,0.0
2025-07-22 23:45:00,3.9175,3.9175,3.9169,3.9172,0.0
2025-07-22 23:50:00,3.9175,3.9175,3.9165,3.9169,0.0
2025-07-22 23:55:00,3.9165,3.9169,3.9154,3.916,0.0
2025-07-23 00:00:00,3.9163,3.9163,3.9153,3.916,0.0
2025-07-23 00:05:00,3.9153,3.916,3.9135,3.9139,0.0
2025-07-23 00:10:00,3.9135,3.9153,3.9132,3.915,0.0
2025-07-23 00:15:00,3.9147,3.9157,3.914,3.9151,0.0
2025-07-23 00:20:00,3.9148,3.9155,3.9143,3.9144,0.0
2025-07-23 00:25:00,3.9141,3.9148,3.9131,3.9134,0.0
2025-07-23 00:30:00,3.9131,3.9146,3.9131,3.9144,0.0
2025-07-23 00:35:00,3.9141,3.9155,3.9136,3.9142,0.0
2025-07-23 00:40:00,3.9139,3.9142,3.9134,3.9139,0.0
2025-07-23 00:45:00,3.9135,3.9141,3.9128,3.9141,0.0
2025-07-23 00:50:00,3.9137,3.9141,3.9078,3.909,0.0
2025-07-23 00:55:00,3.9093,3.9099,3.9049,3.9088,0.0
2025-07-23 01:00:00,3.9087,3.909,3.9073,3.9085,0.0
2025-07-23 01:05:00,3.9081,3.9142,3.9053,3.9129,0.0
2025-07-23 01:10:00,3.913,3.915,3.912,3.9142,0.0
2025-07-23 01:15:00,3.9143,3.9148,3.9112,3.9124,0.0
2025-07-23 01:20:00,3.9117,3.9139,3.9109,3.9138,0.0
2025-07-23 01:25:00,3.9135,3.9146,3.9114,3.9145,0.0
2025-07-23 01:30:00,3.9141,3.9174,3.9129,3.9168,0.0
2025-07-23 01:35:00,3.9169,3.9169,3.914,3.9155,0.0
2025-07-23 01:40:00,3.9152,3.916,3.9137,3.9145,0.0
2025-07-23 01:45:00,3.9139,3.9153,3.9136,3.914,0.0
2025-07-23 01:50:00,3.9143,3.915,3.9127,3.915,0.0
2025-07-23 01:55:00,3.9149,3.915,3.9134,3.914,0.0
2025-07-23 02:00:00,3.9143,3.9153,3.9134,3.9152,0.0
2025-07-23 02:05:00,3.9151,3.9169,3.9144,3.9156,0.0
2025-07-23 02:10:00,3.9165,3.9166,3.9135,3.916,0.0
2025-07-23 02:15:00,3.9161,3.9161,3.9129,3.9131,0.0
2025-07-23 02:20:00,3.9143,3.915,3.9104,3.9133,0.0
2025-07-23 02:25:00,3.9132,3.9153,3.9116,3.9136,0.0
2025-07-23 02:30:00,3.9137,3.9142,3.9086,3.9136,0.0
2025-07-23 02:35:00,3.9127,3.9172,3.9107,3.9148,0.0
2025-07-23 02:40:00,3.9149,3.9172,3.9124,3.9162,0.0
2025-07-23 02:45:00,3.916,3.9174,3.9131,3.9157,0.0
2025-07-23 02:50:00,3.9156,3.917,3.9132,3.9141,0.0
2025-07-23 02:55:00,3.9138,3.9185,3.9119,3.9157,0.0
2025-07-23 03:00:00,3.9154,3.9176,3.9138,3.9163,0.0
2025-07-23 03:05:00,3.916,3.9171,3.911,3.9124,0.0
2025-07-23 03:10:00,3.9127,3.9127,3.9055,3.9098,0.0
2025-07-23 03:15:00,3.9105,3.9105,3.9042,3.9087,0.0
2025-07-23 03:20:00,3.9093,3.9111,3.9079,3.911,0.0
2025-07-23 03:25:00,3.9077,3.9104,3.9065,3.9079,0.0
2025-07-23 03:30:00,3.9078,3.9079,3.9036,3.9068,0.0
2025-07-23 03:35:00,3.9064,3.91,3.9052,3.9097,0.0
2025-07-23 03:40:00,3.9095,3.91,3.9058,3.9082,0.0
2025-07-23 03:45:00,3.9079,3.91,3.9073,3.9089,0.0
2025-07-23 03:50:00,3.9092,3.9094,3.9065,3.9081,0.0
2025-07-23 03:55:00,3.908,3.9086,3.9056,3.9077,0.0
2025-07-23 04:00:00,3.9076,3.9092,3.9049,3.9075,0.0
2025-07-23 04:05:00,3.9076,3.9086,3.9046,3.9068,0.0
2025-07-23 04:10:00,3.9069,3.9093,3.9057,3.9089,0.0
2025-07-23 04:15:00,3.9083,3.9095,3.9056,3.9082,0.0
2025-07-23 04:20:00,3.9078,3.9082,3.9046,3.9067,0.0
2025-07-23 04:25:00,3.9062,3.9083,3.9053,3.9063,0.0
2025-07-23 04:30:00,3.9059,3.9072,3.9041,3.9061,0.0
2025-07-23 04:35:00,3.9048,3.9073,3.9039,3.9054,0.0
2025-07-23 04:40:00,3.9051,3.9057,3.9032,3.9051,0.0
2025-07-23 04:45:00,3.9044,3.9055,3.9029,3.905,0.0
2025-07-23 04:50:00,3.9046,3.9057,3.9037,3.9048,0.0
2025-07-23 04:55:00,3.9051,3.9056,3.9031,3.9036,0.0
2025-07-23 05:00:00,3.9042,3.9054,3.9026,3.9041,0.0
2025-07-23 05:05:00,3.9042,3.9051,3.9036,3.9039,0.0
2025-07-23 05:10:00,3.9041,3.9043,3.8997,3.9037,0.0
2025-07-23 05:15:00,3.9024,3.9045,3.901,3.904,0.0
2025-07-23 05:20:00,3.9041,3.9045,3.9017,3.9043,0.0
2025-07-23 05:25:00,3.9024,3.9062,3.9024,3.9056,0.0
2025-07-23 05:30:00,3.9052,3.9058,3.9035,3.9056,0.0
2025-07-23 05:35:00,3.9055,3.9061,3.9035,3.9055,0.0
2025-07-23 05:40:00,3.9061,3.9066,3.9039,3.906,0.0
2025-07-23 05:45:00,3.9061,3.9075,3.9042,3.9064,0.0
2025-07-23 05:50:00,3.9067,3.9076,3.9043,3.9064,0.0
2025-07-23 05:55:00,3.9062,3.9064,3.9037,3.906,0.0
2025-07-23 06:00:00,3.9061,3.9066,3.9026,3.9046,0.0
2025-07-23 06:05:00,3.9047,3.9062,3.9019,3.9051,0.0
2025-07-23 06:10:00,3.905,3.9066,3.9036,3.9054,0.0
2025-07-23 06:15:00,3.9049,3.9055,3.9032,3.9041,0.0
2025-07-23 06:20:00,3.9053,3.9062,3.9029,3.9045,0.0
2025-07-23 06:25:00,3.9046,3.9056,3.9031,3.9053,0.0
2025-07-23 06:30:00,3.9056,3.9073,3.9046,3.9056,0.0
2025-07-23 06:35:00,3.9059,3.9075,3.9041,3.9055,0.0
2025-07-23 06:40:00,3.9056,3.9068,3.9044,3.9062,0.0
2025-07-23 06:45:00,3.9052,3.9073,3.9045,3.9063,0.0
2025-07-23 06:50:00,3.9073,3.908,3.9037,3.9071,0.0
2025-07-23 06:55:00,3.907,3.9078,3.9029,3.9047,0.0
2025-07-23 07:00:00,3.905,3.907,3.9039,3.9059,0.0
2025-07-23 07:05:00,3.9058,3.9059,3.9032,3.9057,0.0
2025-07-23 07:10:00,3.9054,3.9075,3.9038,3.9063,0.0
2025-07-23 07:15:00,3.906,3.9074,3.9042,3.9062,0.0
2025-07-23 07:20:00,3.9059,3.9074,3.9034,3.905,0.0
2025-07-23 07:25:00,3.9054,3.9064,3.9041,3.9063,0.0
2025-07-23 07:30:00,3.9059,3.9085,3.9033,3.9077,0.0
2025-07-23 07:35:00,3.9064,3.9092,3.9057,3.9079,0.0
2025-07-23 07:40:00,3.9083,3.9088,3.9066,3.9084,0.0
2025-07-23 07:45:00,3.9083,3.9125,3.9065,3.908,0.0
2025-07-23 07:50:00,3.9109,3.9109,3.9062,3.9072,0.0
2025-07-23 07:55:00,3.9073,3.9099,3.9044,3.9079,0.0
2025-07-23 08:00:00,3.9075,3.9089,3.9049,3.9067,0.0
2025-07-23 08:05:00,3.9063,3.9096,3.9041,3.9086,0.0
2025-07-23 08:10:00,3.9085,3.9096,3.9058,3.9082,0.0
2025-07-23 08:15:00,3.9071,3.9087,3.904,3.9076,0.0
2025-07-23 08:20:00,3.9078,3.9089,3.9057,3.9076,0.0
2025-07-23 08:25:00,3.9072,3.9076,3.902,3.9053,0.0
2025-07-23 08:30:00,3.9052,3.9066,3.902,3.9054,0.0
2025-07-23 08:35:00,3.905,3.9071,3.9002,3.9062,0.0
2025-07-23 08:40:00,3.9053,3.9065,3.9032,3.9057,0.0
2025-07-23 08:45:00,3.9053,3.9061,3.8987,3.9037,0.0
2025-07-23 08:50:00,3.9034,3.9062,3.9015,3.9028,0.0
2025-07-23 08:55:00,3.9025,3.908,3.9025,3.9073,0.0
2025-07-23 09:00:00,3.9076,3.9103,3.905,3.9073,0.0
2025-07-23 09:05:00,3.9074,3.9125,3.9053,3.9097,0.0
2025-07-23 09:10:00,3.9094,3.9139,3.9082,3.9132,0.0
2025-07-23 09:15:00,3.9137,3.9152,3.911,3.9141,0.0
2025-07-23 09:20:00,3.9144,3.9151,3.9096,3.9104,0.0
2025-07-23 09:25:00,3.9108,3.9162,3.9086,3.9145,0.0
2025-07-23 09:30:00,3.915,3.9153,3.9082,3.9099,0.0
2025-07-23 09:35:00,3.9098,3.9126,3.9071,3.908,0.0
2025-07-23 09:40:00,3.9077,3.9103,3.9051,3.9082,0.0
2025-07-23 09:45:00,3.9083,3.9091,3.904,3.9086,0.0
2025-07-23 09:50:00,3.9085,3.9095,3.9053,3.9076,0.0
2025-07-23 09:55:00,3.9075,3.9119,3.9045,3.9111,0.0
2025-07-23 10:00:00,3.9107,3.9143,3.9095,3.913,0.0
2025-07-23 10:05:00,3.9127,3.9146,3.9102,3.9136,0.0
2025-07-23 10:10:00,3.9137,3.9151,3.9031,3.9076,0.0
2025-07-23 10:15:00,3.9086,3.9126,3.9083,3.9107,0.0
2025-07-23 10:20:00,3.911,3.9135,3.9076,3.9135,0.0
2025-07-23 10:25:00,3.9138,3.9145,3.9088,3.9091,0.0
2025-07-23 10:30:00,3.9088,3.9123,3.9066,3.909,0.0
2025-07-23 10:35:00,3.9086,3.9136,3.9075,3.9112,0.0
2025-07-23 10:40:00,3.9097,3.9145,3.9088,3.9095,0.0
2025-07-23 10:45:00,3.9098,3.914,3.9054,3.9111,0.0
2025-07-23 10:50:00,3.9127,3.9152,3.9072,3.9147,0.0
2025-07-23 10:55:00,3.915,3.9156,3.9113,3.9148,0.0
2025-07-23 11:00:00,3.9151,3.9155,3.9114,3.9144,0.0
