,Open,High,Low,Close,Volume
2025-07-21 14:05:00,172.14,172.16,172.11,172.13,0.0
2025-07-21 14:10:00,172.11,172.16,172.1,172.13,0.0
2025-07-21 14:15:00,172.12,172.14,172.07,172.08,0.0
2025-07-21 14:20:00,172.11,172.15,172.07,172.14,0.0
2025-07-21 14:25:00,172.12,172.16,172.11,172.16,0.0
2025-07-21 14:30:00,172.14,172.19,172.12,172.17,0.0
2025-07-21 14:35:00,172.15,172.22,172.12,172.21,0.0
2025-07-21 14:40:00,172.22,172.22,172.17,172.2,0.0
2025-07-21 14:45:00,172.18,172.23,172.16,172.22,0.0
2025-07-21 14:50:00,172.2,172.24,172.17,172.23,0.0
2025-07-21 14:55:00,172.21,172.26,172.21,172.25,0.0
2025-07-21 15:00:00,172.22,172.3,172.22,172.26,0.0
2025-07-21 15:05:00,172.27,172.28,172.21,172.26,0.0
2025-07-21 15:10:00,172.22,172.28,172.21,172.25,0.0
2025-07-21 15:15:00,172.26,172.27,172.21,172.23,0.0
2025-07-21 15:20:00,172.21,172.28,172.21,172.26,0.0
2025-07-21 15:25:00,172.24,172.27,172.22,172.27,0.0
2025-07-21 15:30:00,172.24,172.28,172.23,172.25,0.0
2025-07-21 15:35:00,172.23,172.28,172.2,172.22,0.0
2025-07-21 15:40:00,172.2,172.25,172.2,172.24,0.0
2025-07-21 15:45:00,172.25,172.25,172.19,172.23,0.0
2025-07-21 15:50:00,172.2,172.25,172.2,172.2,0.0
2025-07-21 15:55:00,172.23,172.27,172.19,172.21,0.0
2025-07-21 16:00:00,172.24,172.26,172.2,172.24,0.0
2025-07-21 16:05:00,172.22,172.3,172.22,172.26,0.0
2025-07-21 16:10:00,172.24,172.28,172.23,172.26,0.0
2025-07-21 16:15:00,172.27,172.31,172.25,172.28,0.0
2025-07-21 16:20:00,172.31,172.32,172.27,172.28,0.0
2025-07-21 16:25:00,172.29,172.31,172.28,172.3,0.0
2025-07-21 16:30:00,172.31,172.31,172.27,172.3,0.0
2025-07-21 16:35:00,172.27,172.32,172.27,172.29,0.0
2025-07-21 16:40:00,172.3,172.33,172.28,172.29,0.0
2025-07-21 16:45:00,172.3,172.31,172.29,172.3,0.0
2025-07-21 16:50:00,172.31,172.32,172.27,172.28,0.0
2025-07-21 16:55:00,172.3,172.33,172.27,172.32,0.0
2025-07-21 17:00:00,172.31,172.36,172.23,172.36,0.0
2025-07-21 17:05:00,172.36,172.36,172.36,172.36,0.0
2025-07-21 17:10:00,172.29,172.29,172.23,172.23,0.0
2025-07-21 17:15:00,172.22,172.22,172.22,172.22,0.0
2025-07-21 17:20:00,172.23,172.23,172.22,172.23,0.0
2025-07-21 17:25:00,172.22,172.23,172.15,172.15,0.0
2025-07-21 17:30:00,172.14,172.18,172.14,172.16,0.0
2025-07-21 17:35:00,172.18,172.18,172.16,172.16,0.0
2025-07-21 17:40:00,172.18,172.21,172.18,172.19,0.0
2025-07-21 17:45:00,172.2,172.21,172.18,172.18,0.0
2025-07-21 17:50:00,172.2,172.21,172.17,172.21,0.0
2025-07-21 17:55:00,172.2,172.21,172.19,172.2,0.0
2025-07-21 18:00:00,172.23,172.25,172.21,172.22,0.0
2025-07-21 18:05:00,172.21,172.29,172.21,172.22,0.0
2025-07-21 18:10:00,172.23,172.31,172.23,172.28,0.0
2025-07-21 18:15:00,172.27,172.31,172.26,172.31,0.0
2025-07-21 18:20:00,172.32,172.32,172.27,172.28,0.0
2025-07-21 18:25:00,172.29,172.31,172.28,172.31,0.0
2025-07-21 18:30:00,172.32,172.33,172.29,172.31,0.0
2025-07-21 18:35:00,172.32,172.32,172.29,172.31,0.0
2025-07-21 18:40:00,172.32,172.33,172.29,172.31,0.0
2025-07-21 18:45:00,172.3,172.35,172.28,172.33,0.0
2025-07-21 18:50:00,172.35,172.35,172.3,172.34,0.0
2025-07-21 18:55:00,172.35,172.37,172.29,172.35,0.0
2025-07-21 19:00:00,172.34,172.36,172.31,172.35,0.0
2025-07-21 19:05:00,172.36,172.38,172.32,172.37,0.0
2025-07-21 19:10:00,172.34,172.39,172.32,172.35,0.0
2025-07-21 19:15:00,172.33,172.4,172.33,172.38,0.0
2025-07-21 19:20:00,172.4,172.4,172.31,172.31,0.0
2025-07-21 19:25:00,172.34,172.36,172.3,172.34,0.0
2025-07-21 19:30:00,172.33,172.38,172.3,172.38,0.0
2025-07-21 19:35:00,172.36,172.39,172.33,172.37,0.0
2025-07-21 19:40:00,172.39,172.41,172.31,172.37,0.0
2025-07-21 19:45:00,172.36,172.4,172.33,172.36,0.0
2025-07-21 19:50:00,172.38,172.46,172.33,172.44,0.0
2025-07-21 19:55:00,172.45,172.47,172.35,172.41,0.0
2025-07-21 20:00:00,172.42,172.42,172.33,172.37,0.0
2025-07-21 20:05:00,172.35,172.43,172.32,172.4,0.0
2025-07-21 20:10:00,172.42,172.5,172.37,172.46,0.0
2025-07-21 20:15:00,172.44,172.57,172.44,172.56,0.0
2025-07-21 20:20:00,172.55,172.58,172.48,172.51,0.0
2025-07-21 20:25:00,172.5,172.53,172.41,172.44,0.0
2025-07-21 20:30:00,172.43,172.45,172.36,172.39,0.0
2025-07-21 20:35:00,172.4,172.42,172.32,172.38,0.0
2025-07-21 20:40:00,172.35,172.41,172.32,172.37,0.0
2025-07-21 20:45:00,172.36,172.4,172.3,172.38,0.0
2025-07-21 20:50:00,172.4,172.4,172.31,172.36,0.0
2025-07-21 20:55:00,172.37,172.42,172.28,172.29,0.0
2025-07-21 21:00:00,172.32,172.43,172.26,172.36,0.0
2025-07-21 21:05:00,172.37,172.48,172.33,172.48,0.0
2025-07-21 21:10:00,172.45,172.5,172.4,172.43,0.0
2025-07-21 21:15:00,172.42,172.49,172.37,172.45,0.0
2025-07-21 21:20:00,172.44,172.47,172.36,172.36,0.0
2025-07-21 21:25:00,172.38,172.44,172.33,172.44,0.0
2025-07-21 21:30:00,172.42,172.47,172.36,172.39,0.0
2025-07-21 21:35:00,172.36,172.4,172.31,172.35,0.0
2025-07-21 21:40:00,172.33,172.45,172.3,172.43,0.0
2025-07-21 21:45:00,172.41,172.48,172.38,172.46,0.0
2025-07-21 21:50:00,172.45,172.48,172.39,172.45,0.0
2025-07-21 21:55:00,172.43,172.46,172.37,172.44,0.0
2025-07-21 22:00:00,172.46,172.5,172.42,172.48,0.0
2025-07-21 22:05:00,172.49,172.49,172.4,172.42,0.0
2025-07-21 22:10:00,172.41,172.46,172.38,172.43,0.0
2025-07-21 22:15:00,172.44,172.46,172.39,172.41,0.0
2025-07-21 22:20:00,172.39,172.44,172.36,172.39,0.0
2025-07-21 22:25:00,172.37,172.44,172.37,172.44,0.0
2025-07-21 22:30:00,172.43,172.43,172.36,172.38,0.0
2025-07-21 22:35:00,172.41,172.43,172.35,172.39,0.0
2025-07-21 22:40:00,172.4,172.44,172.36,172.42,0.0
2025-07-21 22:45:00,172.4,172.44,172.36,172.39,0.0
2025-07-21 22:50:00,172.38,172.4,172.33,172.37,0.0
2025-07-21 22:55:00,172.35,172.39,172.32,172.38,0.0
2025-07-21 23:00:00,172.37,172.4,172.33,172.37,0.0
2025-07-21 23:05:00,172.38,172.39,172.28,172.29,0.0
2025-07-21 23:10:00,172.33,172.38,172.3,172.35,0.0
2025-07-21 23:15:00,172.33,172.4,172.33,172.35,0.0
2025-07-21 23:20:00,172.38,172.39,172.33,172.37,0.0
2025-07-21 23:25:00,172.36,172.38,172.32,172.35,0.0
2025-07-21 23:30:00,172.36,172.39,172.33,172.36,0.0
2025-07-21 23:35:00,172.39,172.41,172.33,172.36,0.0
2025-07-21 23:40:00,172.37,172.41,172.33,172.36,0.0
2025-07-21 23:45:00,172.37,172.42,172.35,172.37,0.0
2025-07-21 23:50:00,172.36,172.41,172.34,172.41,0.0
2025-07-21 23:55:00,172.39,172.47,172.37,172.45,0.0
2025-07-22 00:00:00,172.43,172.49,172.42,172.45,0.0
2025-07-22 00:05:00,172.47,172.49,172.43,172.47,0.0
2025-07-22 00:10:00,172.46,172.53,172.45,172.5,0.0
2025-07-22 00:15:00,172.53,172.53,172.45,172.49,0.0
2025-07-22 00:20:00,172.5,172.54,172.47,172.51,0.0
2025-07-22 00:25:00,172.49,172.54,172.49,172.5,0.0
2025-07-22 00:30:00,172.52,172.55,172.47,172.54,0.0
2025-07-22 00:35:00,172.52,172.57,172.5,172.54,0.0
2025-07-22 00:40:00,172.57,172.58,172.51,172.57,0.0
2025-07-22 00:45:00,172.55,172.62,172.53,172.55,0.0
2025-07-22 00:50:00,172.57,172.6,172.55,172.57,0.0
2025-07-22 00:55:00,172.59,172.62,172.52,172.61,0.0
2025-07-22 01:00:00,172.58,172.62,172.52,172.54,0.0
2025-07-22 01:05:00,172.53,172.59,172.49,172.58,0.0
2025-07-22 01:10:00,172.56,172.59,172.52,172.56,0.0
2025-07-22 01:15:00,172.53,172.57,172.5,172.55,0.0
2025-07-22 01:20:00,172.57,172.61,172.52,172.59,0.0
2025-07-22 01:25:00,172.58,172.68,172.56,172.65,0.0
2025-07-22 01:30:00,172.64,172.66,172.6,172.66,0.0
2025-07-22 01:35:00,172.63,172.68,172.6,172.64,0.0
2025-07-22 01:40:00,172.66,172.7,172.61,172.66,0.0
2025-07-22 01:45:00,172.65,172.73,172.63,172.67,0.0
2025-07-22 01:50:00,172.68,172.68,172.61,172.68,0.0
2025-07-22 01:55:00,172.63,172.69,172.62,172.64,0.0
2025-07-22 02:00:00,172.65,172.7,172.62,172.7,0.0
2025-07-22 02:05:00,172.67,172.71,172.6,172.65,0.0
2025-07-22 02:10:00,172.63,172.71,172.61,172.68,0.0
2025-07-22 02:15:00,172.7,172.77,172.67,172.73,0.0
2025-07-22 02:20:00,172.74,172.77,172.66,172.68,0.0
2025-07-22 02:25:00,172.65,172.74,172.65,172.72,0.0
2025-07-22 02:30:00,172.71,172.77,172.7,172.74,0.0
2025-07-22 02:35:00,172.72,172.81,172.71,172.75,0.0
2025-07-22 02:40:00,172.77,172.81,172.74,172.8,0.0
2025-07-22 02:45:00,172.79,172.86,172.74,172.82,0.0
2025-07-22 02:50:00,172.83,172.84,172.74,172.82,0.0
2025-07-22 02:55:00,172.8,172.82,172.72,172.72,0.0
2025-07-22 03:00:00,172.73,172.82,172.69,172.8,0.0
2025-07-22 03:05:00,172.79,172.92,172.75,172.9,0.0
2025-07-22 03:10:00,172.87,172.92,172.75,172.79,0.0
2025-07-22 03:15:00,172.77,172.89,172.74,172.87,0.0
2025-07-22 03:20:00,172.86,172.87,172.72,172.76,0.0
2025-07-22 03:25:00,172.73,172.79,172.7,172.75,0.0
2025-07-22 03:30:00,172.72,172.78,172.7,172.74,0.0
2025-07-22 03:35:00,172.75,172.76,172.64,172.68,0.0
2025-07-22 03:40:00,172.66,172.72,172.64,172.69,0.0
2025-07-22 03:45:00,172.7,172.7,172.62,172.66,0.0
2025-07-22 03:50:00,172.68,172.73,172.64,172.69,0.0
2025-07-22 03:55:00,172.68,172.71,172.59,172.64,0.0
2025-07-22 04:00:00,172.62,172.66,172.56,172.59,0.0
2025-07-22 04:05:00,172.58,172.61,172.46,172.57,0.0
2025-07-22 04:10:00,172.52,172.66,172.51,172.58,0.0
2025-07-22 04:15:00,172.57,172.63,172.54,172.56,0.0
2025-07-22 04:20:00,172.59,172.68,172.55,172.63,0.0
2025-07-22 04:25:00,172.66,172.71,172.63,172.68,0.0
2025-07-22 04:30:00,172.67,172.73,172.65,172.69,0.0
2025-07-22 04:35:00,172.71,172.81,172.66,172.76,0.0
2025-07-22 04:40:00,172.79,172.82,172.73,172.74,0.0
2025-07-22 04:45:00,172.71,172.77,172.67,172.73,0.0
2025-07-22 04:50:00,172.71,172.76,172.68,172.73,0.0
2025-07-22 04:55:00,172.74,172.76,172.68,172.7,0.0
2025-07-22 05:00:00,172.69,172.71,172.64,172.67,0.0
2025-07-22 05:05:00,172.66,172.69,172.54,172.58,0.0
2025-07-22 05:10:00,172.6,172.62,172.48,172.51,0.0
2025-07-22 05:15:00,172.53,172.58,172.48,172.51,0.0
2025-07-22 05:20:00,172.52,172.56,172.49,172.53,0.0
2025-07-22 05:25:00,172.51,172.57,172.49,172.55,0.0
2025-07-22 05:30:00,172.54,172.66,172.53,172.63,0.0
2025-07-22 05:35:00,172.64,172.67,172.54,172.59,0.0
2025-07-22 05:40:00,172.57,172.62,172.54,172.55,0.0
2025-07-22 05:45:00,172.58,172.63,172.51,172.61,0.0
2025-07-22 05:50:00,172.59,172.65,172.53,172.6,0.0
2025-07-22 05:55:00,172.58,172.61,172.53,172.53,0.0
2025-07-22 06:00:00,172.56,172.6,172.52,172.56,0.0
2025-07-22 06:05:00,172.57,172.59,172.49,172.56,0.0
2025-07-22 06:10:00,172.55,172.58,172.51,172.57,0.0
2025-07-22 06:15:00,172.55,172.59,172.52,172.59,0.0
2025-07-22 06:20:00,172.58,172.61,172.55,172.58,0.0
2025-07-22 06:25:00,172.57,172.6,172.54,172.55,0.0
2025-07-22 06:30:00,172.58,172.6,172.55,172.58,0.0
2025-07-22 06:35:00,172.56,172.6,172.52,172.57,0.0
2025-07-22 06:40:00,172.58,172.62,172.53,172.6,0.0
2025-07-22 06:45:00,172.59,172.64,172.58,172.63,0.0
2025-07-22 06:50:00,172.62,172.64,172.58,172.62,0.0
2025-07-22 06:55:00,172.61,172.67,172.6,172.62,0.0
2025-07-22 07:00:00,172.61,172.64,172.59,172.62,0.0
2025-07-22 07:05:00,172.61,172.67,172.59,172.63,0.0
2025-07-22 07:10:00,172.6,172.65,172.59,172.62,0.0
2025-07-22 07:15:00,172.6,172.63,172.55,172.58,0.0
2025-07-22 07:20:00,172.57,172.58,172.53,172.53,0.0
2025-07-22 07:25:00,172.55,172.57,172.49,172.5,0.0
2025-07-22 07:30:00,172.49,172.55,172.47,172.52,0.0
2025-07-22 07:35:00,172.5,172.52,172.41,172.44,0.0
2025-07-22 07:40:00,172.43,172.45,172.26,172.3,0.0
2025-07-22 07:45:00,172.29,172.3,172.18,172.24,0.0
