,Open,High,Low,Close,Volume
2025-07-22 05:50:00,21.8496,21.8579,21.8445,21.8528,0.0
2025-07-22 05:55:00,21.849,21.8589,21.8467,21.8473,0.0
2025-07-22 06:00:00,21.8472,21.8614,21.8444,21.8493,0.0
2025-07-22 06:05:00,21.8529,21.86,21.8446,21.8533,0.0
2025-07-22 06:10:00,21.849,21.86,21.8455,21.8474,0.0
2025-07-22 06:15:00,21.8475,21.86,21.8442,21.86,0.0
2025-07-22 06:20:00,21.8538,21.8635,21.8485,21.8509,0.0
2025-07-22 06:25:00,21.851,21.8603,21.8472,21.8495,0.0
2025-07-22 06:30:00,21.8527,21.8614,21.8474,21.8509,0.0
2025-07-22 06:35:00,21.8508,21.8607,21.8473,21.8495,0.0
2025-07-22 06:40:00,21.8514,21.8624,21.8479,21.8499,0.0
2025-07-22 06:45:00,21.8533,21.8628,21.8486,21.8515,0.0
2025-07-22 06:50:00,21.8496,21.8607,21.8464,21.849,0.0
2025-07-22 06:55:00,21.8492,21.8624,21.8462,21.8575,0.0
2025-07-22 07:00:00,21.8499,21.8617,21.8481,21.8509,0.0
2025-07-22 07:05:00,21.8516,21.8659,21.8493,21.8527,0.0
2025-07-22 07:10:00,21.8561,21.864,21.8481,21.8538,0.0
2025-07-22 07:15:00,21.8576,21.864,21.8428,21.8479,0.0
2025-07-22 07:20:00,21.846,21.8605,21.8432,21.8438,0.0
2025-07-22 07:25:00,21.851,21.8598,21.8416,21.8549,0.0
2025-07-22 07:30:00,21.8508,21.8561,21.8336,21.8395,0.0
2025-07-22 07:35:00,21.8389,21.853,21.8356,21.839,0.0
2025-07-22 07:40:00,21.8367,21.8533,21.8308,21.8342,0.0
2025-07-22 07:45:00,21.8333,21.8455,21.821,21.8249,0.0
2025-07-22 07:50:00,21.8231,21.8367,21.8172,21.8236,0.0
2025-07-22 07:55:00,21.8237,21.8331,21.8105,21.8215,0.0
2025-07-22 08:00:00,21.8196,21.8465,21.8148,21.8345,0.0
2025-07-22 08:05:00,21.8352,21.8476,21.8152,21.8162,0.0
2025-07-22 08:10:00,21.8196,21.8299,21.8122,21.8176,0.0
2025-07-22 08:15:00,21.8219,21.8285,21.807,21.8124,0.0
2025-07-22 08:20:00,21.8122,21.8233,21.7993,21.8056,0.0
2025-07-22 08:25:00,21.8063,21.8224,21.8013,21.8105,0.0
2025-07-22 08:30:00,21.8142,21.8259,21.8097,21.8135,0.0
2025-07-22 08:35:00,21.8173,21.84,21.8133,21.8255,0.0
2025-07-22 08:40:00,21.8339,21.8353,21.8169,21.8216,0.0
2025-07-22 08:45:00,21.819,21.8315,21.8071,21.8172,0.0
2025-07-22 08:50:00,21.8173,21.828,21.7971,21.8036,0.0
2025-07-22 08:55:00,21.8038,21.8168,21.7909,21.8072,0.0
2025-07-22 09:00:00,21.8029,21.8229,21.7959,21.8154,0.0
2025-07-22 09:05:00,21.8117,21.8252,21.7997,21.803,0.0
2025-07-22 09:10:00,21.8044,21.8159,21.7873,21.8016,0.0
2025-07-22 09:15:00,21.7888,21.8023,21.7784,21.7939,0.0
2025-07-22 09:20:00,21.7834,21.8014,21.7796,21.7835,0.0
2025-07-22 09:25:00,21.7839,21.8019,21.7792,21.8007,0.0
2025-07-22 09:30:00,21.7902,21.8056,21.7831,21.788,0.0
2025-07-22 09:35:00,21.7877,21.8082,21.7825,21.7888,0.0
2025-07-22 09:40:00,21.7903,21.8065,21.7814,21.7964,0.0
2025-07-22 09:45:00,21.7953,21.8303,21.7932,21.8303,0.0
2025-07-22 09:50:00,21.8161,21.836,21.8124,21.8331,0.0
2025-07-22 09:55:00,21.8245,21.8507,21.8183,21.8392,0.0
2025-07-22 10:00:00,21.8401,21.8507,21.8247,21.8352,0.0
2025-07-22 10:05:00,21.8405,21.8633,21.8316,21.8432,0.0
2025-07-22 10:10:00,21.8395,21.85,21.8175,21.8218,0.0
2025-07-22 10:15:00,21.8262,21.8421,21.814,21.818,0.0
2025-07-22 10:20:00,21.8246,21.8327,21.809,21.8157,0.0
2025-07-22 10:25:00,21.8139,21.8275,21.8027,21.8121,0.0
2025-07-22 10:30:00,21.825,21.825,21.7985,21.8078,0.0
2025-07-22 10:35:00,21.8096,21.821,21.7903,21.7971,0.0
2025-07-22 10:40:00,21.7952,21.8221,21.793,21.8053,0.0
2025-07-22 10:45:00,21.8068,21.8277,21.7939,21.8013,0.0
2025-07-22 10:50:00,21.7971,21.8267,21.7911,21.8151,0.0
2025-07-22 10:55:00,21.8131,21.8341,21.8087,21.8192,0.0
2025-07-22 11:00:00,21.8211,21.8408,21.8118,21.8231,0.0
2025-07-22 11:05:00,21.8251,21.8369,21.812,21.8185,0.0
2025-07-22 11:10:00,21.8152,21.8341,21.805,21.8276,0.0
2025-07-22 11:15:00,21.8241,21.8598,21.8209,21.8442,0.0
2025-07-22 11:20:00,21.8482,21.8583,21.831,21.8366,0.0
2025-07-22 11:25:00,21.8407,21.8515,21.833,21.8396,0.0
2025-07-22 11:30:00,21.8413,21.8546,21.8312,21.8417,0.0
2025-07-22 11:35:00,21.8457,21.8576,21.8354,21.847,0.0
2025-07-22 11:40:00,21.8461,21.8699,21.8373,21.8544,0.0
2025-07-22 11:45:00,21.8521,21.8681,21.8478,21.8553,0.0
2025-07-22 11:50:00,21.8533,21.8666,21.8378,21.8456,0.0
2025-07-22 11:55:00,21.8396,21.8608,21.8274,21.8396,0.0
2025-07-22 12:00:00,21.8434,21.8525,21.8276,21.8417,0.0
2025-07-22 12:05:00,21.841,21.8539,21.8241,21.83,0.0
2025-07-22 12:10:00,21.8272,21.8664,21.8245,21.8509,0.0
2025-07-22 12:15:00,21.8486,21.864,21.8442,21.8534,0.0
2025-07-22 12:20:00,21.8515,21.8704,21.8497,21.8633,0.0
2025-07-22 12:25:00,21.8591,21.8704,21.8487,21.856,0.0
2025-07-22 12:30:00,21.8559,21.8722,21.8518,21.8692,0.0
2025-07-22 12:35:00,21.8599,21.8758,21.8538,21.8558,0.0
2025-07-22 12:40:00,21.8577,21.8723,21.8481,21.8611,0.0
2025-07-22 12:45:00,21.8608,21.8845,21.8545,21.8706,0.0
2025-07-22 12:50:00,21.8725,21.8885,21.8616,21.8737,0.0
2025-07-22 12:55:00,21.8831,21.8932,21.8697,21.876,0.0
2025-07-22 13:00:00,21.8761,21.9045,21.8738,21.8895,0.0
2025-07-22 13:05:00,21.8896,21.9007,21.8662,21.8853,0.0
2025-07-22 13:10:00,21.8871,21.9041,21.88,21.8902,0.0
2025-07-22 13:15:00,21.8911,21.9034,21.8818,21.8834,0.0
2025-07-22 13:20:00,21.8849,21.8999,21.8787,21.8825,0.0
2025-07-22 13:25:00,21.8818,21.8963,21.8748,21.8849,0.0
2025-07-22 13:30:00,21.8827,21.8992,21.8808,21.8957,0.0
2025-07-22 13:35:00,21.8851,21.8969,21.8733,21.8766,0.0
2025-07-22 13:40:00,21.8782,21.8948,21.8752,21.8798,0.0
2025-07-22 13:45:00,21.8786,21.8945,21.8741,21.8794,0.0
2025-07-22 13:50:00,21.8798,21.8892,21.8651,21.873,0.0
2025-07-22 13:55:00,21.8733,21.9009,21.8699,21.8889,0.0
2025-07-22 14:00:00,21.889,21.9016,21.8815,21.8887,0.0
2025-07-22 14:05:00,21.889,21.9035,21.8851,21.8888,0.0
2025-07-22 14:10:00,21.8887,21.9019,21.8828,21.8871,0.0
2025-07-22 14:15:00,21.8852,21.9066,21.8823,21.8974,0.0
2025-07-22 14:20:00,21.8966,21.9138,21.8884,21.8987,0.0
2025-07-22 14:25:00,21.8957,21.9103,21.891,21.9091,0.0
2025-07-22 14:30:00,21.8996,21.9167,21.8996,21.9075,0.0
2025-07-22 14:35:00,21.9028,21.9173,21.9014,21.9054,0.0
2025-07-22 14:40:00,21.9162,21.918,21.9002,21.9077,0.0
2025-07-22 14:45:00,21.9044,21.9211,21.8994,21.9053,0.0
2025-07-22 14:50:00,21.907,21.9182,21.8979,21.9036,0.0
2025-07-22 14:55:00,21.9031,21.9176,21.899,21.9035,0.0
2025-07-22 15:00:00,21.9036,21.9152,21.8956,21.9043,0.0
2025-07-22 15:05:00,21.9085,21.9152,21.8968,21.9122,0.0
2025-07-22 15:10:00,21.9019,21.9122,21.8957,21.9051,0.0
2025-07-22 15:15:00,21.8997,21.9112,21.8922,21.899,0.0
2025-07-22 15:20:00,21.8988,21.9126,21.8909,21.9018,0.0
2025-07-22 15:25:00,21.9019,21.9126,21.8901,21.8954,0.0
2025-07-22 15:30:00,21.8948,21.9067,21.8902,21.8949,0.0
2025-07-22 15:35:00,21.8967,21.9112,21.8917,21.9082,0.0
2025-07-22 15:40:00,21.8971,21.9093,21.8935,21.8969,0.0
2025-07-22 15:45:00,21.8981,21.9082,21.89,21.9048,0.0
2025-07-22 15:50:00,21.8952,21.906,21.8882,21.9048,0.0
2025-07-22 15:55:00,21.8951,21.9086,21.8911,21.8951,0.0
2025-07-22 16:00:00,21.9012,21.9104,21.8918,21.8987,0.0
2025-07-22 16:05:00,21.8941,21.9034,21.8842,21.889,0.0
2025-07-22 16:10:00,21.8918,21.9046,21.8813,21.8908,0.0
2025-07-22 16:15:00,21.8907,21.9041,21.886,21.8931,0.0
2025-07-22 16:20:00,21.8908,21.903,21.885,21.8916,0.0
2025-07-22 16:25:00,21.8889,21.9037,21.8844,21.895,0.0
2025-07-22 16:30:00,21.8911,21.9084,21.8884,21.8959,0.0
2025-07-22 16:35:00,21.8985,21.9114,21.8884,21.8961,0.0
2025-07-22 16:40:00,21.898,21.9079,21.8894,21.8958,0.0
2025-07-22 16:45:00,21.8959,21.9081,21.8905,21.8949,0.0
2025-07-22 16:50:00,21.8975,21.9116,21.892,21.9001,0.0
2025-07-22 16:55:00,21.9008,21.9151,21.894,21.9036,0.0
2025-07-22 17:00:00,21.9053,21.9224,21.8909,21.9095,0.0
2025-07-22 17:05:00,21.9096,21.9142,21.8829,21.9142,0.0
2025-07-22 17:10:00,21.9123,21.9142,21.9123,21.9142,0.0
2025-07-22 17:15:00,21.9123,21.9353,21.9123,21.9334,0.0
2025-07-22 17:20:00,21.9297,21.9334,21.9241,21.9279,0.0
2025-07-22 17:25:00,21.926,21.9279,21.926,21.9279,0.0
2025-07-22 17:30:00,21.926,21.9279,21.926,21.926,0.0
2025-07-22 17:35:00,21.9241,21.9279,21.9241,21.926,0.0
2025-07-22 17:40:00,21.9241,21.9279,21.9241,21.926,0.0
2025-07-22 17:45:00,21.9241,21.9279,21.9241,21.926,0.0
2025-07-22 17:50:00,21.9279,21.9279,21.926,21.9279,0.0
2025-07-22 17:55:00,21.926,21.9279,21.926,21.926,0.0
2025-07-22 18:00:00,21.9279,21.9279,21.9167,21.926,0.0
2025-07-22 18:05:00,21.9241,21.9279,21.871,21.9005,0.0
2025-07-22 18:10:00,21.8807,21.9053,21.8773,21.8976,0.0
2025-07-22 18:15:00,21.8994,21.9082,21.8788,21.8856,0.0
2025-07-22 18:20:00,21.8857,21.9093,21.8847,21.9053,0.0
2025-07-22 18:25:00,21.9035,21.9119,21.8774,21.8811,0.0
2025-07-22 18:30:00,21.8823,21.9037,21.8811,21.8959,0.0
2025-07-22 18:35:00,21.8978,21.9065,21.8778,21.9006,0.0
2025-07-22 18:40:00,21.8876,21.9065,21.8806,21.8875,0.0
2025-07-22 18:45:00,21.8877,21.9048,21.8875,21.8885,0.0
2025-07-22 18:50:00,21.9006,21.903,21.8875,21.8893,0.0
2025-07-22 18:55:00,21.8896,21.91,21.8834,21.9011,0.0
2025-07-22 19:00:00,21.903,21.9077,21.8843,21.9006,0.0
2025-07-22 19:05:00,21.9027,21.9095,21.8837,21.8911,0.0
2025-07-22 19:10:00,21.8892,21.9095,21.8865,21.901,0.0
2025-07-22 19:15:00,21.8988,21.9111,21.8764,21.8895,0.0
2025-07-22 19:20:00,21.8914,21.912,21.8721,21.8721,0.0
2025-07-22 19:25:00,21.8723,21.9001,21.8681,21.8847,0.0
2025-07-22 19:30:00,21.8866,21.8932,21.8632,21.874,0.0
2025-07-22 19:35:00,21.8866,21.8953,21.8645,21.8838,0.0
2025-07-22 19:40:00,21.8707,21.8916,21.8679,21.8838,0.0
2025-07-22 19:45:00,21.882,21.8897,21.8654,21.8712,0.0
2025-07-22 19:50:00,21.8835,21.8897,21.8598,21.8816,0.0
2025-07-22 19:55:00,21.8779,21.8902,21.8635,21.882,0.0
2025-07-22 20:00:00,21.8687,21.889,21.8663,21.8802,0.0
2025-07-22 20:05:00,21.8804,21.8914,21.8659,21.8775,0.0
2025-07-22 20:10:00,21.8837,21.893,21.861,21.8783,0.0
2025-07-22 20:15:00,21.8764,21.8874,21.8645,21.8765,0.0
2025-07-22 20:20:00,21.8784,21.8928,21.8643,21.8791,0.0
2025-07-22 20:25:00,21.8721,21.8921,21.8636,21.8702,0.0
2025-07-22 20:30:00,21.87,21.8911,21.8663,21.8719,0.0
2025-07-22 20:35:00,21.8829,21.8876,21.866,21.8728,0.0
2025-07-22 20:40:00,21.8797,21.8906,21.8632,21.8793,0.0
2025-07-22 20:45:00,21.8811,21.8928,21.8665,21.8834,0.0
2025-07-22 20:50:00,21.8768,21.8928,21.8722,21.8801,0.0
2025-07-22 20:55:00,21.8763,21.895,21.8722,21.8791,0.0
2025-07-22 21:00:00,21.8913,21.8957,21.8742,21.8903,0.0
2025-07-22 21:05:00,21.8929,21.9023,21.8698,21.8788,0.0
2025-07-22 21:10:00,21.8769,21.8953,21.8697,21.8721,0.0
2025-07-22 21:15:00,21.8785,21.889,21.8645,21.8798,0.0
2025-07-22 21:20:00,21.8777,21.8864,21.864,21.8748,0.0
2025-07-22 21:25:00,21.872,21.8897,21.8626,21.8727,0.0
2025-07-22 21:30:00,21.8783,21.8904,21.8681,21.8809,0.0
2025-07-22 21:35:00,21.879,21.8904,21.8667,21.8804,0.0
2025-07-22 21:40:00,21.8745,21.8899,21.8662,21.8786,0.0
2025-07-22 21:45:00,21.8752,21.8834,21.8596,21.8709,0.0
2025-07-22 21:50:00,21.8606,21.8797,21.854,21.8699,0.0
2025-07-22 21:55:00,21.8692,21.8818,21.8596,21.871,0.0
2025-07-22 22:00:00,21.8778,21.8796,21.8606,21.8711,0.0
2025-07-22 22:05:00,21.8712,21.8834,21.8631,21.8694,0.0
2025-07-22 22:10:00,21.8675,21.8845,21.864,21.8672,0.0
2025-07-22 22:15:00,21.8738,21.8857,21.8628,21.8671,0.0
