,Open,High,Low,Close,Volume
2025-07-21 14:10:00,1.9558,1.9565,1.9557,1.956,0.0
2025-07-21 14:15:00,1.9563,1.9566,1.9557,1.9558,0.0
2025-07-21 14:20:00,1.9557,1.9565,1.9553,1.9558,0.0
2025-07-21 14:25:00,1.956,1.9565,1.9557,1.9565,0.0
2025-07-21 14:30:00,1.9562,1.9565,1.9557,1.9558,0.0
2025-07-21 14:35:00,1.9562,1.9565,1.9555,1.9558,0.0
2025-07-21 14:40:00,1.956,1.9562,1.9548,1.9557,0.0
2025-07-21 14:45:00,1.956,1.9563,1.9555,1.956,0.0
2025-07-21 14:50:00,1.9557,1.9566,1.9553,1.9565,0.0
2025-07-21 14:55:00,1.9562,1.9567,1.9557,1.9565,0.0
2025-07-21 15:00:00,1.9562,1.9568,1.9557,1.9567,0.0
2025-07-21 15:05:00,1.9563,1.9568,1.956,1.9563,0.0
2025-07-21 15:10:00,1.956,1.957,1.956,1.9568,0.0
2025-07-21 15:15:00,1.9565,1.9572,1.9563,1.9563,0.0
2025-07-21 15:20:00,1.957,1.957,1.9562,1.957,0.0
2025-07-21 15:25:00,1.9563,1.957,1.9562,1.9563,0.0
2025-07-21 15:30:00,1.957,1.957,1.9562,1.9565,0.0
2025-07-21 15:35:00,1.9567,1.9571,1.9563,1.957,0.0
2025-07-21 15:40:00,1.9567,1.9573,1.9565,1.9573,0.0
2025-07-21 15:45:00,1.9575,1.9578,1.9567,1.9573,0.0
2025-07-21 15:50:00,1.9575,1.9581,1.9571,1.9576,0.0
2025-07-21 15:55:00,1.9578,1.9578,1.9566,1.9573,0.0
2025-07-21 16:00:00,1.9566,1.9578,1.9566,1.9573,0.0
2025-07-21 16:05:00,1.9571,1.9576,1.9568,1.957,0.0
2025-07-21 16:10:00,1.9573,1.9578,1.957,1.9573,0.0
2025-07-21 16:15:00,1.9571,1.958,1.9568,1.9576,0.0
2025-07-21 16:20:00,1.9575,1.958,1.9571,1.9578,0.0
2025-07-21 16:25:00,1.9575,1.9578,1.9571,1.9573,0.0
2025-07-21 16:30:00,1.9576,1.958,1.957,1.9573,0.0
2025-07-21 16:35:00,1.9571,1.958,1.9571,1.9578,0.0
2025-07-21 16:40:00,1.9571,1.958,1.9571,1.9575,0.0
2025-07-21 16:45:00,1.9576,1.958,1.9573,1.9578,0.0
2025-07-21 16:50:00,1.9575,1.9586,1.9575,1.958,0.0
2025-07-21 16:55:00,1.9581,1.959,1.9578,1.9586,0.0
2025-07-21 17:00:00,1.9585,1.9595,1.9581,1.9593,0.0
