,Open,High,Low,Close,Volume
2025-07-22 05:50:00,1.499,1.4995,1.4988,1.499,0.0
2025-07-22 05:55:00,1.4992,1.4995,1.4989,1.499,0.0
2025-07-22 06:00:00,1.4991,1.4998,1.4989,1.4994,0.0
2025-07-22 06:05:00,1.4993,1.4998,1.4989,1.4994,0.0
2025-07-22 06:10:00,1.4996,1.4999,1.499,1.4995,0.0
2025-07-22 06:15:00,1.4992,1.4999,1.499,1.4996,0.0
2025-07-22 06:20:00,1.4999,1.4999,1.4993,1.4994,0.0
2025-07-22 06:25:00,1.4993,1.4998,1.499,1.4993,0.0
2025-07-22 06:30:00,1.4994,1.4998,1.4992,1.4995,0.0
2025-07-22 06:35:00,1.4994,1.4998,1.499,1.4992,0.0
2025-07-22 06:40:00,1.4994,1.4999,1.4991,1.4994,0.0
2025-07-22 06:45:00,1.4997,1.4997,1.4991,1.4994,0.0
2025-07-22 06:50:00,1.4993,1.4999,1.4992,1.4992,0.0
2025-07-22 06:55:00,1.4994,1.4999,1.4991,1.4994,0.0
2025-07-22 07:00:00,1.4995,1.4997,1.4991,1.4995,0.0
2025-07-22 07:05:00,1.4994,1.4999,1.4991,1.4994,0.0
2025-07-22 07:10:00,1.4997,1.4997,1.4991,1.4994,0.0
2025-07-22 07:15:00,1.4992,1.4998,1.499,1.4993,0.0
2025-07-22 07:20:00,1.4991,1.4996,1.499,1.499,0.0
2025-07-22 07:25:00,1.4991,1.4995,1.4987,1.4993,0.0
2025-07-22 07:30:00,1.4991,1.4993,1.4985,1.4988,0.0
2025-07-22 07:35:00,1.4987,1.4995,1.4986,1.499,0.0
2025-07-22 07:40:00,1.4989,1.4995,1.4986,1.4989,0.0
2025-07-22 07:45:00,1.4987,1.4994,1.4984,1.4988,0.0
2025-07-22 07:50:00,1.4986,1.4991,1.4983,1.4985,0.0
2025-07-22 07:55:00,1.4984,1.499,1.4984,1.4985,0.0
2025-07-22 08:00:00,1.4984,1.4993,1.4984,1.4989,0.0
2025-07-22 08:05:00,1.499,1.4994,1.4984,1.4985,0.0
2025-07-22 08:10:00,1.4988,1.4991,1.4983,1.4985,0.0
2025-07-22 08:15:00,1.4989,1.499,1.4981,1.4985,0.0
2025-07-22 08:20:00,1.4986,1.4986,1.4977,1.4981,0.0
2025-07-22 08:25:00,1.498,1.4983,1.4975,1.4979,0.0
2025-07-22 08:30:00,1.498,1.4983,1.4976,1.4978,0.0
2025-07-22 08:35:00,1.4981,1.4983,1.4975,1.4978,0.0
2025-07-22 08:40:00,1.4977,1.4983,1.4975,1.4976,0.0
2025-07-22 08:45:00,1.4977,1.4981,1.4973,1.4977,0.0
2025-07-22 08:50:00,1.4976,1.4979,1.4968,1.4975,0.0
2025-07-22 08:55:00,1.4978,1.4978,1.4967,1.4973,0.0
2025-07-22 09:00:00,1.4974,1.4979,1.497,1.4974,0.0
2025-07-22 09:05:00,1.4975,1.4981,1.4971,1.4973,0.0
2025-07-22 09:10:00,1.4975,1.4975,1.4964,1.4968,0.0
2025-07-22 09:15:00,1.497,1.497,1.4959,1.4962,0.0
2025-07-22 09:20:00,1.4964,1.497,1.4961,1.4966,0.0
2025-07-22 09:25:00,1.4963,1.4971,1.4961,1.4968,0.0
2025-07-22 09:30:00,1.4969,1.4974,1.4964,1.4966,0.0
2025-07-22 09:35:00,1.4965,1.4972,1.4961,1.4968,0.0
2025-07-22 09:40:00,1.4966,1.4973,1.4965,1.497,0.0
2025-07-22 09:45:00,1.4969,1.4981,1.4968,1.4976,0.0
2025-07-22 09:50:00,1.4977,1.4981,1.4971,1.4976,0.0
2025-07-22 09:55:00,1.4978,1.4983,1.4973,1.498,0.0
2025-07-22 10:00:00,1.4981,1.4985,1.4975,1.498,0.0
2025-07-22 10:05:00,1.4983,1.4985,1.4972,1.4974,0.0
2025-07-22 10:10:00,1.4977,1.4979,1.4969,1.4971,0.0
2025-07-22 10:15:00,1.497,1.4978,1.4969,1.4971,0.0
2025-07-22 10:20:00,1.4972,1.4977,1.4969,1.4974,0.0
2025-07-22 10:25:00,1.4972,1.4978,1.497,1.4973,0.0
2025-07-22 10:30:00,1.4972,1.4977,1.497,1.4972,0.0
2025-07-22 10:35:00,1.4974,1.4977,1.497,1.4974,0.0
2025-07-22 10:40:00,1.4972,1.4983,1.4972,1.4976,0.0
2025-07-22 10:45:00,1.4977,1.4984,1.4974,1.4978,0.0
2025-07-22 10:50:00,1.4977,1.4988,1.4975,1.4984,0.0
2025-07-22 10:55:00,1.4986,1.4997,1.4983,1.4993,0.0
2025-07-22 11:00:00,1.4994,1.4999,1.4988,1.4995,0.0
2025-07-22 11:05:00,1.4994,1.4996,1.4986,1.4987,0.0
2025-07-22 11:10:00,1.4986,1.4991,1.4982,1.4991,0.0
2025-07-22 11:15:00,1.499,1.5005,1.4987,1.5002,0.0
2025-07-22 11:20:00,1.5,1.5009,1.4998,1.5006,0.0
2025-07-22 11:25:00,1.5004,1.5011,1.5003,1.5006,0.0
2025-07-22 11:30:00,1.5004,1.5009,1.5002,1.5003,0.0
2025-07-22 11:35:00,1.5007,1.501,1.5,1.5004,0.0
2025-07-22 11:40:00,1.5003,1.5014,1.5001,1.5007,0.0
2025-07-22 11:45:00,1.5009,1.5012,1.5004,1.5009,0.0
2025-07-22 11:50:00,1.5011,1.5012,1.5004,1.5008,0.0
2025-07-22 11:55:00,1.5007,1.5012,1.5005,1.501,0.0
2025-07-22 12:00:00,1.5012,1.5015,1.5006,1.501,0.0
2025-07-22 12:05:00,1.5012,1.5014,1.5006,1.5013,0.0
2025-07-22 12:10:00,1.5014,1.5026,1.5009,1.5019,0.0
2025-07-22 12:15:00,1.5023,1.5026,1.5016,1.5022,0.0
2025-07-22 12:20:00,1.502,1.5026,1.5016,1.5021,0.0
2025-07-22 12:25:00,1.5022,1.5024,1.5017,1.5018,0.0
2025-07-22 12:30:00,1.5022,1.5026,1.5018,1.502,0.0
2025-07-22 12:35:00,1.5021,1.5026,1.5018,1.5019,0.0
2025-07-22 12:40:00,1.5021,1.5024,1.5017,1.5018,0.0
2025-07-22 12:45:00,1.5017,1.5024,1.5013,1.5019,0.0
2025-07-22 12:50:00,1.5021,1.5023,1.5014,1.5018,0.0
2025-07-22 12:55:00,1.5017,1.5023,1.5013,1.5014,0.0
2025-07-22 13:00:00,1.5016,1.5024,1.5013,1.5018,0.0
2025-07-22 13:05:00,1.5017,1.5023,1.5014,1.5017,0.0
2025-07-22 13:10:00,1.5018,1.5023,1.5014,1.502,0.0
2025-07-22 13:15:00,1.5017,1.5021,1.5014,1.5017,0.0
2025-07-22 13:20:00,1.5018,1.5022,1.5012,1.5015,0.0
2025-07-22 13:25:00,1.5014,1.502,1.5011,1.5013,0.0
2025-07-22 13:30:00,1.5014,1.5018,1.5011,1.5011,0.0
2025-07-22 13:35:00,1.501,1.5016,1.5007,1.5009,0.0
2025-07-22 13:40:00,1.501,1.5014,1.5006,1.501,0.0
2025-07-22 13:45:00,1.5009,1.5016,1.5008,1.501,0.0
2025-07-22 13:50:00,1.5009,1.5016,1.5009,1.501,0.0
2025-07-22 13:55:00,1.5014,1.5016,1.5009,1.5011,0.0
2025-07-22 14:00:00,1.501,1.5016,1.5009,1.5011,0.0
2025-07-22 14:05:00,1.501,1.5015,1.5009,1.501,0.0
2025-07-22 14:10:00,1.5011,1.5015,1.5007,1.501,0.0
2025-07-22 14:15:00,1.5009,1.5015,1.5008,1.5012,0.0
2025-07-22 14:20:00,1.5009,1.5015,1.5009,1.501,0.0
2025-07-22 14:25:00,1.5011,1.5015,1.5009,1.5011,0.0
2025-07-22 14:30:00,1.501,1.5015,1.5007,1.501,0.0
2025-07-22 14:35:00,1.5011,1.5015,1.5009,1.5011,0.0
2025-07-22 14:40:00,1.5015,1.5015,1.5009,1.5009,0.0
2025-07-22 14:45:00,1.501,1.5015,1.5009,1.5011,0.0
2025-07-22 14:50:00,1.501,1.5015,1.5009,1.5011,0.0
2025-07-22 14:55:00,1.501,1.5015,1.5009,1.501,0.0
2025-07-22 15:00:00,1.5011,1.5016,1.5009,1.5013,0.0
2025-07-22 15:05:00,1.5016,1.5017,1.5011,1.5014,0.0
2025-07-22 15:10:00,1.5012,1.5016,1.5011,1.5013,0.0
2025-07-22 15:15:00,1.5011,1.5019,1.5011,1.5015,0.0
2025-07-22 15:20:00,1.5014,1.5019,1.5013,1.5015,0.0
2025-07-22 15:25:00,1.5014,1.5019,1.5011,1.5014,0.0
2025-07-22 15:30:00,1.5015,1.5018,1.5013,1.5014,0.0
2025-07-22 15:35:00,1.5015,1.5019,1.5011,1.5013,0.0
2025-07-22 15:40:00,1.5011,1.5017,1.5011,1.5013,0.0
2025-07-22 15:45:00,1.5016,1.5019,1.5013,1.5014,0.0
2025-07-22 15:50:00,1.5018,1.5018,1.5014,1.5014,0.0
2025-07-22 15:55:00,1.5015,1.502,1.5014,1.502,0.0
2025-07-22 16:00:00,1.5015,1.5021,1.5015,1.5017,0.0
2025-07-22 16:05:00,1.5015,1.502,1.5012,1.5013,0.0
2025-07-22 16:10:00,1.5012,1.502,1.5009,1.5013,0.0
2025-07-22 16:15:00,1.5014,1.5019,1.5013,1.5014,0.0
2025-07-22 16:20:00,1.5013,1.5017,1.5011,1.5014,0.0
2025-07-22 16:25:00,1.5013,1.5017,1.5011,1.5014,0.0
2025-07-22 16:30:00,1.5015,1.5019,1.5013,1.5015,0.0
2025-07-22 16:35:00,1.5017,1.502,1.5014,1.5016,0.0
2025-07-22 16:40:00,1.5018,1.5021,1.5016,1.5016,0.0
2025-07-22 16:45:00,1.5019,1.5019,1.5015,1.5017,0.0
2025-07-22 16:50:00,1.5015,1.5021,1.5015,1.5018,0.0
2025-07-22 16:55:00,1.5017,1.5023,1.5015,1.5021,0.0
2025-07-22 17:00:00,1.5022,1.5025,1.5021,1.5023,0.0
2025-07-22 17:05:00,1.5021,1.5024,1.5021,1.5024,0.0
2025-07-22 17:10:00,1.5023,1.5024,1.5023,1.5024,0.0
2025-07-22 17:15:00,1.5023,1.5024,1.5023,1.5023,0.0
2025-07-22 17:20:00,1.502,1.5023,1.5016,1.5019,0.0
2025-07-22 17:25:00,1.5018,1.5019,1.5018,1.5019,0.0
2025-07-22 17:30:00,1.5018,1.5019,1.5018,1.5018,0.0
2025-07-22 17:35:00,1.5016,1.5019,1.5016,1.5018,0.0
2025-07-22 17:40:00,1.5016,1.5019,1.5016,1.5018,0.0
2025-07-22 17:45:00,1.5016,1.5019,1.5016,1.5018,0.0
2025-07-22 17:50:00,1.5019,1.5019,1.5018,1.5019,0.0
2025-07-22 17:55:00,1.5018,1.5019,1.5018,1.5018,0.0
2025-07-22 18:00:00,1.5019,1.5019,1.5011,1.5018,0.0
2025-07-22 18:05:00,1.5016,1.502,1.5011,1.5017,0.0
2025-07-22 18:10:00,1.5016,1.5019,1.5014,1.5017,0.0
2025-07-22 18:15:00,1.5019,1.5019,1.5013,1.5013,0.0
2025-07-22 18:20:00,1.5014,1.502,1.5012,1.5016,0.0
2025-07-22 18:25:00,1.5015,1.5021,1.5015,1.5018,0.0
2025-07-22 18:30:00,1.5021,1.5021,1.5015,1.5015,0.0
2025-07-22 18:35:00,1.5016,1.5019,1.5012,1.5016,0.0
2025-07-22 18:40:00,1.5014,1.502,1.5013,1.5015,0.0
2025-07-22 18:45:00,1.5016,1.502,1.5015,1.5016,0.0
2025-07-22 18:50:00,1.502,1.5021,1.5015,1.5016,0.0
2025-07-22 18:55:00,1.5015,1.502,1.5014,1.5014,0.0
2025-07-22 19:00:00,1.5015,1.5015,1.5014,1.5015,0.0
2025-07-22 19:05:00,1.5014,1.502,1.5013,1.5015,0.0
2025-07-22 19:10:00,1.5014,1.502,1.5013,1.5013,0.0
2025-07-22 19:15:00,1.5014,1.5023,1.5011,1.5017,0.0
2025-07-22 19:20:00,1.5018,1.5024,1.5013,1.5014,0.0
2025-07-22 19:25:00,1.5017,1.502,1.5007,1.5009,0.0
2025-07-22 19:30:00,1.501,1.5015,1.5006,1.501,0.0
2025-07-22 19:35:00,1.5011,1.5014,1.5006,1.5006,0.0
2025-07-22 19:40:00,1.5007,1.5012,1.5005,1.5007,0.0
2025-07-22 19:45:00,1.5006,1.5011,1.5005,1.5006,0.0
2025-07-22 19:50:00,1.5007,1.5011,1.5003,1.5006,0.0
2025-07-22 19:55:00,1.5003,1.5011,1.5002,1.5005,0.0
2025-07-22 20:00:00,1.5006,1.5011,1.5002,1.5005,0.0
2025-07-22 20:05:00,1.5006,1.5008,1.5001,1.5002,0.0
2025-07-22 20:10:00,1.5,1.5007,1.4999,1.5001,0.0
2025-07-22 20:15:00,1.4999,1.5005,1.4997,1.4998,0.0
2025-07-22 20:20:00,1.5,1.5007,1.4995,1.5,0.0
2025-07-22 20:25:00,1.5004,1.5006,1.4997,1.5001,0.0
2025-07-22 20:30:00,1.4999,1.5006,1.4998,1.5002,0.0
2025-07-22 20:35:00,1.4999,1.5006,1.4998,1.5001,0.0
2025-07-22 20:40:00,1.4999,1.5007,1.4999,1.5003,0.0
2025-07-22 20:45:00,1.5004,1.501,1.5001,1.5005,0.0
2025-07-22 20:50:00,1.5004,1.5009,1.5001,1.5003,0.0
2025-07-22 20:55:00,1.5,1.5012,1.5,1.5006,0.0
2025-07-22 21:00:00,1.5008,1.5015,1.5005,1.5011,0.0
2025-07-22 21:05:00,1.501,1.5016,1.5005,1.5006,0.0
2025-07-22 21:10:00,1.5005,1.5012,1.5001,1.5002,0.0
2025-07-22 21:15:00,1.5004,1.5008,1.5001,1.5006,0.0
2025-07-22 21:20:00,1.5005,1.501,1.5,1.5002,0.0
2025-07-22 21:25:00,1.5001,1.5007,1.4998,1.4999,0.0
2025-07-22 21:30:00,1.5,1.5005,1.4998,1.5,0.0
2025-07-22 21:35:00,1.4999,1.5005,1.4997,1.4999,0.0
2025-07-22 21:40:00,1.5,1.5005,1.4996,1.5002,0.0
2025-07-22 21:45:00,1.5,1.5006,1.4997,1.5002,0.0
2025-07-22 21:50:00,1.5001,1.5007,1.4998,1.5002,0.0
2025-07-22 21:55:00,1.5,1.5007,1.5,1.5002,0.0
2025-07-22 22:00:00,1.5003,1.5008,1.4998,1.5003,0.0
2025-07-22 22:05:00,1.5002,1.5008,1.5001,1.5006,0.0
2025-07-22 22:10:00,1.5005,1.5008,1.5002,1.5005,0.0
2025-07-22 22:15:00,1.5006,1.5011,1.5003,1.5005,0.0
2025-07-22 22:20:00,1.5009,1.5011,1.5003,1.5003,0.0
2025-07-22 22:25:00,1.5005,1.5014,1.5003,1.5009,0.0
2025-07-22 22:30:00,1.5007,1.5015,1.5004,1.501,0.0
2025-07-22 22:35:00,1.5009,1.5015,1.5006,1.5008,0.0
2025-07-22 22:40:00,1.5009,1.501,1.5002,1.5005,0.0
2025-07-22 22:45:00,1.5009,1.5012,1.5004,1.5007,0.0
2025-07-22 22:50:00,1.5006,1.501,1.5003,1.5004,0.0
2025-07-22 22:55:00,1.5009,1.5009,1.5002,1.5005,0.0
2025-07-22 23:00:00,1.5007,1.501,1.5003,1.5004,0.0
2025-07-22 23:05:00,1.5005,1.5009,1.5002,1.5004,0.0
2025-07-22 23:10:00,1.5003,1.5008,1.5002,1.5004,0.0
2025-07-22 23:15:00,1.5006,1.5009,1.5001,1.5002,0.0
2025-07-22 23:20:00,1.5003,1.5009,1.5001,1.5005,0.0
2025-07-22 23:25:00,1.5004,1.501,1.5002,1.5004,0.0
2025-07-22 23:30:00,1.5005,1.5009,1.4997,1.4999,0.0
2025-07-22 23:35:00,1.4998,1.5008,1.4998,1.5004,0.0
2025-07-22 23:40:00,1.5,1.5009,1.4999,1.5003,0.0
2025-07-22 23:45:00,1.5004,1.5008,1.4998,1.5002,0.0
2025-07-22 23:50:00,1.5003,1.5007,1.4997,1.5001,0.0
2025-07-22 23:55:00,1.5004,1.5006,1.4998,1.5,0.0
2025-07-23 00:00:00,1.4999,1.5007,1.4996,1.5005,0.0
2025-07-23 00:05:00,1.5002,1.5008,1.4999,1.4999,0.0
2025-07-23 00:10:00,1.4997,1.5005,1.4997,1.5,0.0
2025-07-23 00:15:00,1.5001,1.5003,1.4996,1.4999,0.0
2025-07-23 00:20:00,1.5001,1.5003,1.4997,1.4997,0.0
2025-07-23 00:25:00,1.5001,1.5002,1.4995,1.4996,0.0
2025-07-23 00:30:00,1.4995,1.5001,1.4994,1.4996,0.0
2025-07-23 00:35:00,1.4995,1.5002,1.4995,1.4997,0.0
2025-07-23 00:40:00,1.4996,1.5002,1.4994,1.4997,0.0
2025-07-23 00:45:00,1.4996,1.5002,1.4996,1.4999,0.0
2025-07-23 00:50:00,1.4997,1.5004,1.4995,1.4999,0.0
2025-07-23 00:55:00,1.4998,1.5004,1.4996,1.4999,0.0
2025-07-23 01:00:00,1.4996,1.5002,1.4994,1.4995,0.0
2025-07-23 01:05:00,1.4994,1.5003,1.4994,1.4999,0.0
2025-07-23 01:10:00,1.4996,1.5003,1.4995,1.4999,0.0
2025-07-23 01:15:00,1.5,1.5002,1.4996,1.4997,0.0
2025-07-23 01:20:00,1.5001,1.5002,1.4993,1.4997,0.0
2025-07-23 01:25:00,1.4996,1.5001,1.4993,1.4997,0.0
2025-07-23 01:30:00,1.4995,1.5002,1.4994,1.4996,0.0
2025-07-23 01:35:00,1.4997,1.5002,1.4995,1.4996,0.0
2025-07-23 01:40:00,1.4995,1.5001,1.4992,1.4994,0.0
2025-07-23 01:45:00,1.4992,1.4999,1.4991,1.4993,0.0
2025-07-23 01:50:00,1.4994,1.4998,1.4991,1.4993,0.0
2025-07-23 01:55:00,1.4994,1.4998,1.4991,1.4993,0.0
2025-07-23 02:00:00,1.4994,1.5,1.4992,1.4996,0.0
2025-07-23 02:05:00,1.4999,1.5004,1.4994,1.5002,0.0
2025-07-23 02:10:00,1.5,1.5002,1.4993,1.5,0.0
2025-07-23 02:15:00,1.4997,1.5001,1.4993,1.4996,0.0
2025-07-23 02:20:00,1.4994,1.5001,1.4993,1.4996,0.0
2025-07-23 02:25:00,1.4997,1.5001,1.4992,1.4995,0.0
2025-07-23 02:30:00,1.4993,1.5002,1.4992,1.4995,0.0
2025-07-23 02:35:00,1.4996,1.5,1.4991,1.4996,0.0
2025-07-23 02:40:00,1.4994,1.5001,1.4993,1.4995,0.0
2025-07-23 02:45:00,1.4993,1.5001,1.4992,1.4995,0.0
2025-07-23 02:50:00,1.4996,1.5004,1.4995,1.4997,0.0
2025-07-23 02:55:00,1.4996,1.5002,1.4994,1.4997,0.0
2025-07-23 03:00:00,1.4996,1.5007,1.4996,1.5004,0.0
2025-07-23 03:05:00,1.5003,1.5009,1.4998,1.4998,0.0
2025-07-23 03:10:00,1.4999,1.5009,1.4995,1.5005,0.0
2025-07-23 03:15:00,1.5004,1.5013,1.5002,1.5008,0.0
2025-07-23 03:20:00,1.5007,1.5014,1.5004,1.5009,0.0
2025-07-23 03:25:00,1.5011,1.5015,1.5002,1.5005,0.0
2025-07-23 03:30:00,1.5003,1.5009,1.4995,1.5003,0.0
2025-07-23 03:35:00,1.5002,1.5009,1.4999,1.5006,0.0
2025-07-23 03:40:00,1.5004,1.5009,1.4997,1.4998,0.0
2025-07-23 03:45:00,1.4997,1.5003,1.4995,1.4999,0.0
2025-07-23 03:50:00,1.4998,1.5001,1.4994,1.4994,0.0
2025-07-23 03:55:00,1.4992,1.5,1.499,1.4995,0.0
2025-07-23 04:00:00,1.4994,1.5004,1.4994,1.5003,0.0
2025-07-23 04:05:00,1.5004,1.5006,1.4995,1.5003,0.0
2025-07-23 04:10:00,1.5002,1.5008,1.5,1.5004,0.0
2025-07-23 04:15:00,1.5003,1.5009,1.4999,1.5003,0.0
2025-07-23 04:20:00,1.5,1.5008,1.4998,1.5001,0.0
2025-07-23 04:25:00,1.5,1.5005,1.4996,1.4997,0.0
2025-07-23 04:30:00,1.4998,1.5001,1.4995,1.4996,0.0
2025-07-23 04:35:00,1.4998,1.5001,1.4992,1.4999,0.0
2025-07-23 04:40:00,1.4997,1.4997,1.4986,1.4991,0.0
2025-07-23 04:45:00,1.4989,1.4996,1.4987,1.499,0.0
2025-07-23 04:50:00,1.4989,1.4997,1.4989,1.4992,0.0
2025-07-23 04:55:00,1.4993,1.4999,1.4988,1.4995,0.0
2025-07-23 05:00:00,1.4996,1.4999,1.4992,1.4993,0.0
2025-07-23 05:05:00,1.4992,1.4998,1.4991,1.4992,0.0
2025-07-23 05:10:00,1.4996,1.4997,1.4991,1.4995,0.0
