,Open,High,Low,Close,Volume
2025-07-23 19:40:00,1.1777,1.1777,1.1774,1.1776,0.0
2025-07-23 19:45:00,1.1775,1.1777,1.1774,1.1775,0.0
2025-07-23 19:50:00,1.1774,1.1777,1.1773,1.1776,0.0
2025-07-23 19:55:00,1.1775,1.1777,1.1773,1.1774,0.0
2025-07-23 20:00:00,1.1775,1.1775,1.1771,1.1772,0.0
2025-07-23 20:05:00,1.1773,1.1773,1.1769,1.177,0.0
2025-07-23 20:10:00,1.1769,1.177,1.1766,1.1767,0.0
2025-07-23 20:15:00,1.1768,1.1771,1.1766,1.1767,0.0
2025-07-23 20:20:00,1.1768,1.1771,1.1766,1.177,0.0
2025-07-23 20:25:00,1.1769,1.1771,1.1768,1.1771,0.0
2025-07-23 20:30:00,1.177,1.1771,1.1769,1.177,0.0
2025-07-23 20:35:00,1.1769,1.177,1.1763,1.1765,0.0
2025-07-23 20:40:00,1.1764,1.1765,1.1762,1.1763,0.0
2025-07-23 20:45:00,1.1764,1.1764,1.176,1.1763,0.0
2025-07-23 20:50:00,1.1762,1.1764,1.1761,1.1762,0.0
2025-07-23 20:55:00,1.1761,1.1769,1.1761,1.1769,0.0
2025-07-23 21:00:00,1.1768,1.1769,1.1764,1.1767,0.0
2025-07-23 21:05:00,1.1766,1.1774,1.1765,1.1773,0.0
2025-07-23 21:10:00,1.1774,1.1774,1.177,1.1772,0.0
2025-07-23 21:15:00,1.1771,1.1774,1.177,1.1771,0.0
2025-07-23 21:20:00,1.177,1.1774,1.1769,1.1772,0.0
2025-07-23 21:25:00,1.1771,1.1773,1.1767,1.1773,0.0
2025-07-23 21:30:00,1.1772,1.1776,1.1772,1.1775,0.0
2025-07-23 21:35:00,1.1776,1.1777,1.1771,1.1776,0.0
2025-07-23 21:40:00,1.1775,1.1778,1.1774,1.1775,0.0
2025-07-23 21:45:00,1.1776,1.1779,1.1775,1.1777,0.0
2025-07-23 21:50:00,1.1776,1.1777,1.1774,1.1776,0.0
2025-07-23 21:55:00,1.1775,1.1777,1.1773,1.1774,0.0
2025-07-23 22:00:00,1.1775,1.1776,1.1773,1.1774,0.0
2025-07-23 22:05:00,1.1775,1.1776,1.1772,1.1773,0.0
2025-07-23 22:10:00,1.1774,1.1775,1.1771,1.1772,0.0
2025-07-23 22:15:00,1.1771,1.1773,1.1769,1.1773,0.0
2025-07-23 22:20:00,1.1772,1.1778,1.177,1.1778,0.0
2025-07-23 22:25:00,1.1777,1.1777,1.1773,1.1776,0.0
2025-07-23 22:30:00,1.1777,1.1778,1.1776,1.1777,0.0
2025-07-23 22:35:00,1.1778,1.1778,1.1772,1.1773,0.0
2025-07-23 22:40:00,1.1774,1.1774,1.1771,1.1771,0.0
2025-07-23 22:45:00,1.177,1.1773,1.1769,1.1773,0.0
2025-07-23 22:50:00,1.1772,1.1776,1.1772,1.1775,0.0
2025-07-23 22:55:00,1.1774,1.1777,1.1774,1.1776,0.0
2025-07-23 23:00:00,1.1777,1.1777,1.1775,1.1776,0.0
2025-07-23 23:05:00,1.1777,1.1778,1.1775,1.1776,0.0
2025-07-23 23:10:00,1.1777,1.1779,1.1775,1.1777,0.0
2025-07-23 23:15:00,1.1778,1.178,1.1775,1.1779,0.0
2025-07-23 23:20:00,1.1778,1.1779,1.1773,1.1778,0.0
2025-07-23 23:25:00,1.1779,1.1779,1.1776,1.1777,0.0
2025-07-23 23:30:00,1.1778,1.1778,1.1775,1.1775,0.0
2025-07-23 23:35:00,1.1774,1.1776,1.1772,1.1775,0.0
2025-07-23 23:40:00,1.1776,1.1778,1.1775,1.1777,0.0
2025-07-23 23:45:00,1.1776,1.178,1.1776,1.1778,0.0
2025-07-23 23:50:00,1.1779,1.178,1.1777,1.1779,0.0
2025-07-23 23:55:00,1.1778,1.1779,1.1776,1.1778,0.0
2025-07-24 00:00:00,1.1777,1.1777,1.1774,1.1774,0.0
2025-07-24 00:05:00,1.1775,1.1775,1.1771,1.1775,0.0
2025-07-24 00:10:00,1.1774,1.1776,1.1773,1.1775,0.0
2025-07-24 00:15:00,1.1774,1.1776,1.1773,1.1776,0.0
2025-07-24 00:20:00,1.1775,1.1777,1.1775,1.1776,0.0
2025-07-24 00:25:00,1.1775,1.1777,1.1774,1.1776,0.0
2025-07-24 00:30:00,1.1777,1.1777,1.1775,1.1776,0.0
2025-07-24 00:35:00,1.1777,1.1777,1.1774,1.1775,0.0
2025-07-24 00:40:00,1.1774,1.1776,1.1774,1.1775,0.0
2025-07-24 00:45:00,1.1774,1.1775,1.1773,1.1775,0.0
2025-07-24 00:50:00,1.1774,1.1776,1.1772,1.1775,0.0
2025-07-24 00:55:00,1.1774,1.1776,1.1773,1.1775,0.0
2025-07-24 01:00:00,1.1774,1.1775,1.1772,1.1774,0.0
2025-07-24 01:05:00,1.1773,1.1774,1.1771,1.1772,0.0
2025-07-24 01:10:00,1.1773,1.1774,1.1771,1.1774,0.0
2025-07-24 01:15:00,1.1773,1.1774,1.1771,1.1773,0.0
2025-07-24 01:20:00,1.1772,1.1775,1.1771,1.1774,0.0
2025-07-24 01:25:00,1.1773,1.1776,1.1773,1.1775,0.0
2025-07-24 01:30:00,1.1776,1.1778,1.1774,1.1775,0.0
2025-07-24 01:35:00,1.1776,1.1778,1.1774,1.1777,0.0
2025-07-24 01:40:00,1.1776,1.1778,1.1774,1.1777,0.0
2025-07-24 01:45:00,1.1774,1.1778,1.1773,1.1776,0.0
2025-07-24 01:50:00,1.1775,1.1776,1.1773,1.1775,0.0
2025-07-24 01:55:00,1.1774,1.1775,1.177,1.1773,0.0
2025-07-24 02:00:00,1.1774,1.1775,1.1769,1.177,0.0
2025-07-24 02:05:00,1.1771,1.1773,1.1769,1.1772,0.0
2025-07-24 02:10:00,1.1771,1.1772,1.1766,1.177,0.0
2025-07-24 02:15:00,1.1769,1.1771,1.1767,1.1768,0.0
2025-07-24 02:20:00,1.1767,1.1768,1.1764,1.1766,0.0
2025-07-24 02:25:00,1.1767,1.1769,1.1765,1.1766,0.0
2025-07-24 02:30:00,1.1765,1.1769,1.1765,1.1766,0.0
2025-07-24 02:35:00,1.1765,1.1767,1.1763,1.1764,0.0
2025-07-24 02:40:00,1.1766,1.1767,1.1763,1.1764,0.0
2025-07-24 02:45:00,1.1763,1.1766,1.1762,1.1763,0.0
2025-07-24 02:50:00,1.1762,1.1764,1.176,1.1762,0.0
2025-07-24 02:55:00,1.1763,1.1764,1.1759,1.1762,0.0
2025-07-24 03:00:00,1.1761,1.1763,1.1754,1.1754,0.0
2025-07-24 03:05:00,1.1756,1.176,1.1752,1.1756,0.0
