,Open,High,Low,Close,Volume
2025-07-22 05:50:00,20.6109,20.6129,20.5961,20.5996,0.0
2025-07-22 05:55:00,20.6034,20.6129,20.5897,20.5972,0.0
2025-07-22 06:00:00,20.5977,20.6067,20.5926,20.5997,0.0
2025-07-22 06:05:00,20.599,20.6005,20.5876,20.5889,0.0
2025-07-22 06:10:00,20.5893,20.6027,20.5873,20.5948,0.0
2025-07-22 06:15:00,20.594,20.5973,20.5733,20.5787,0.0
2025-07-22 06:20:00,20.5802,20.6036,20.5769,20.5955,0.0
2025-07-22 06:25:00,20.5968,20.5992,20.5844,20.5917,0.0
2025-07-22 06:30:00,20.5907,20.5983,20.5873,20.5947,0.0
2025-07-22 06:35:00,20.5959,20.5996,20.585,20.5982,0.0
2025-07-22 06:40:00,20.5967,20.6028,20.5897,20.5955,0.0
2025-07-22 06:45:00,20.5988,20.6049,20.5894,20.6048,0.0
2025-07-22 06:50:00,20.6049,20.61,20.5926,20.6053,0.0
2025-07-22 06:55:00,20.6062,20.614,20.5993,20.6079,0.0
2025-07-22 07:00:00,20.6101,20.6119,20.5967,20.603,0.0
2025-07-22 07:05:00,20.6025,20.6138,20.5918,20.6104,0.0
2025-07-22 07:10:00,20.6111,20.6228,20.5905,20.5905,0.0
2025-07-22 07:15:00,20.6059,20.6099,20.5895,20.6023,0.0
2025-07-22 07:20:00,20.602,20.6141,20.5878,20.6119,0.0
2025-07-22 07:25:00,20.6132,20.6227,20.5966,20.6036,0.0
2025-07-22 07:30:00,20.6019,20.6056,20.5825,20.5871,0.0
2025-07-22 07:35:00,20.6002,20.6047,20.5842,20.5991,0.0
2025-07-22 07:40:00,20.5853,20.6077,20.5853,20.5967,0.0
2025-07-22 07:45:00,20.5989,20.6028,20.5812,20.5949,0.0
2025-07-22 07:50:00,20.5932,20.6023,20.5762,20.5898,0.0
2025-07-22 07:55:00,20.5896,20.5965,20.5735,20.5919,0.0
2025-07-22 08:00:00,20.5901,20.5957,20.555,20.5716,0.0
2025-07-22 08:05:00,20.5719,20.5818,20.5658,20.5693,0.0
2025-07-22 08:10:00,20.5702,20.578,20.5563,20.5592,0.0
2025-07-22 08:15:00,20.5606,20.5656,20.546,20.5493,0.0
2025-07-22 08:20:00,20.5467,20.5662,20.5411,20.562,0.0
2025-07-22 08:25:00,20.5634,20.5645,20.5411,20.5461,0.0
2025-07-22 08:30:00,20.5475,20.5577,20.5439,20.5508,0.0
2025-07-22 08:35:00,20.5474,20.5579,20.5405,20.5454,0.0
2025-07-22 08:40:00,20.5446,20.5479,20.5095,20.515,0.0
2025-07-22 08:45:00,20.5157,20.5329,20.4999,20.5299,0.0
2025-07-22 08:50:00,20.5301,20.5327,20.4912,20.5062,0.0
2025-07-22 08:55:00,20.4974,20.5141,20.4917,20.4999,0.0
2025-07-22 09:00:00,20.5013,20.5191,20.4928,20.513,0.0
2025-07-22 09:05:00,20.5129,20.5182,20.4923,20.5024,0.0
2025-07-22 09:10:00,20.5037,20.5038,20.4731,20.4881,0.0
2025-07-22 09:15:00,20.488,20.4909,20.4645,20.4813,0.0
2025-07-22 09:20:00,20.4681,20.4944,20.4681,20.4887,0.0
2025-07-22 09:25:00,20.4937,20.5085,20.4794,20.504,0.0
2025-07-22 09:30:00,20.5057,20.5151,20.4887,20.5083,0.0
2025-07-22 09:35:00,20.5095,20.532,20.4941,20.5248,0.0
2025-07-22 09:40:00,20.5255,20.5275,20.5046,20.5232,0.0
2025-07-22 09:45:00,20.5252,20.5347,20.5067,20.5155,0.0
2025-07-22 09:50:00,20.5275,20.5295,20.502,20.5223,0.0
2025-07-22 09:55:00,20.5215,20.534,20.5017,20.5137,0.0
2025-07-22 10:00:00,20.528,20.5607,20.5101,20.5567,0.0
2025-07-22 10:05:00,20.5563,20.5797,20.5417,20.5616,0.0
2025-07-22 10:10:00,20.5699,20.5856,20.5584,20.5749,0.0
2025-07-22 10:15:00,20.5758,20.5806,20.5415,20.551,0.0
2025-07-22 10:20:00,20.5565,20.5838,20.54,20.5692,0.0
2025-07-22 10:25:00,20.5784,20.5983,20.5643,20.593,0.0
2025-07-22 10:30:00,20.5948,20.6152,20.5768,20.5921,0.0
2025-07-22 10:35:00,20.5936,20.6026,20.5627,20.5792,0.0
2025-07-22 10:40:00,20.5815,20.6228,20.5667,20.6094,0.0
2025-07-22 10:45:00,20.6084,20.6229,20.5962,20.6111,0.0
2025-07-22 10:50:00,20.6151,20.6294,20.5971,20.6212,0.0
2025-07-22 10:55:00,20.6218,20.6334,20.6075,20.6114,0.0
2025-07-22 11:00:00,20.6131,20.6192,20.5898,20.6103,0.0
