,Open,High,Low,Close,Volume
2025-07-22 03:20:00,1.8439,1.8443,1.8427,1.8439,0.0
2025-07-22 03:25:00,1.8439,1.8443,1.843,1.8438,0.0
2025-07-22 03:30:00,1.8434,1.8443,1.843,1.8434,0.0
2025-07-22 03:35:00,1.8439,1.8446,1.8431,1.844,0.0
2025-07-22 03:40:00,1.8439,1.8443,1.843,1.8434,0.0
2025-07-22 03:45:00,1.8439,1.8442,1.8428,1.8434,0.0
2025-07-22 03:50:00,1.8435,1.8439,1.8426,1.8434,0.0
2025-07-22 03:55:00,1.8432,1.8439,1.8417,1.8428,0.0
2025-07-22 04:00:00,1.8427,1.844,1.8423,1.8435,0.0
2025-07-22 04:05:00,1.8435,1.845,1.8423,1.844,0.0
2025-07-22 04:10:00,1.8443,1.8451,1.8427,1.8432,0.0
2025-07-22 04:15:00,1.8435,1.8445,1.8427,1.8436,0.0
2025-07-22 04:20:00,1.8439,1.8447,1.843,1.8443,0.0
2025-07-22 04:25:00,1.8446,1.8451,1.8435,1.8449,0.0
2025-07-22 04:30:00,1.8447,1.8451,1.8436,1.8446,0.0
2025-07-22 04:35:00,1.8442,1.846,1.8431,1.845,0.0
2025-07-22 04:40:00,1.845,1.8461,1.8441,1.8453,0.0
2025-07-22 04:45:00,1.8456,1.8458,1.8441,1.8445,0.0
2025-07-22 04:50:00,1.8447,1.8452,1.8437,1.8442,0.0
2025-07-22 04:55:00,1.8447,1.8454,1.8438,1.8446,0.0
2025-07-22 05:00:00,1.8446,1.8456,1.8441,1.8453,0.0
2025-07-22 05:05:00,1.8454,1.8461,1.8445,1.8456,0.0
2025-07-22 05:10:00,1.8452,1.8467,1.8447,1.846,0.0
2025-07-22 05:15:00,1.846,1.8465,1.8448,1.8452,0.0
2025-07-22 05:20:00,1.8457,1.846,1.8448,1.8454,0.0
2025-07-22 05:25:00,1.8454,1.8458,1.8443,1.845,0.0
2025-07-22 05:30:00,1.8453,1.8457,1.8445,1.845,0.0
2025-07-22 05:35:00,1.8453,1.8457,1.8442,1.8446,0.0
2025-07-22 05:40:00,1.845,1.8456,1.8441,1.845,0.0
2025-07-22 05:45:00,1.8453,1.8457,1.8443,1.8449,0.0
2025-07-22 05:50:00,1.8452,1.8456,1.8441,1.8447,0.0
2025-07-22 05:55:00,1.8448,1.8457,1.8441,1.845,0.0
2025-07-22 06:00:00,1.845,1.846,1.8443,1.8452,0.0
2025-07-22 06:05:00,1.8457,1.8463,1.8444,1.8452,0.0
2025-07-22 06:10:00,1.8452,1.846,1.8445,1.8453,0.0
2025-07-22 06:15:00,1.8453,1.846,1.8445,1.845,0.0
2025-07-22 06:20:00,1.8456,1.8458,1.8441,1.845,0.0
2025-07-22 06:25:00,1.845,1.8458,1.8443,1.845,0.0
2025-07-22 06:30:00,1.8453,1.8457,1.8446,1.8449,0.0
2025-07-22 06:35:00,1.8454,1.8457,1.8442,1.8446,0.0
2025-07-22 06:40:00,1.845,1.8452,1.8439,1.8445,0.0
2025-07-22 06:45:00,1.8443,1.845,1.8437,1.8446,0.0
2025-07-22 06:50:00,1.8446,1.8447,1.8434,1.8441,0.0
2025-07-22 06:55:00,1.8439,1.8446,1.8435,1.8437,0.0
2025-07-22 07:00:00,1.8442,1.8446,1.8428,1.8435,0.0
2025-07-22 07:05:00,1.8438,1.8445,1.8426,1.8439,0.0
2025-07-22 07:10:00,1.8443,1.8445,1.843,1.8437,0.0
2025-07-22 07:15:00,1.8434,1.8441,1.8427,1.8435,0.0
2025-07-22 07:20:00,1.8434,1.8437,1.8424,1.8427,0.0
2025-07-22 07:25:00,1.8428,1.8437,1.8423,1.843,0.0
2025-07-22 07:30:00,1.8434,1.8438,1.8423,1.8431,0.0
2025-07-22 07:35:00,1.843,1.8439,1.8426,1.8434,0.0
2025-07-22 07:40:00,1.8434,1.8438,1.8423,1.8431,0.0
2025-07-22 07:45:00,1.8426,1.8438,1.8422,1.8431,0.0
2025-07-22 07:50:00,1.8427,1.8437,1.8419,1.8434,0.0
2025-07-22 07:55:00,1.8431,1.8439,1.8426,1.8434,0.0
2025-07-22 08:00:00,1.8435,1.8448,1.8423,1.8437,0.0
2025-07-22 08:05:00,1.8438,1.8444,1.842,1.8429,0.0
2025-07-22 08:10:00,1.8433,1.8437,1.8423,1.843,0.0
2025-07-22 08:15:00,1.8433,1.8438,1.842,1.8434,0.0
2025-07-22 08:20:00,1.843,1.8443,1.8414,1.8428,0.0
2025-07-22 08:25:00,1.8426,1.8439,1.842,1.8433,0.0
2025-07-22 08:30:00,1.8433,1.8441,1.8424,1.8431,0.0
2025-07-22 08:35:00,1.8434,1.8443,1.8426,1.8434,0.0
2025-07-22 08:40:00,1.8434,1.8443,1.8426,1.8435,0.0
2025-07-22 08:45:00,1.8434,1.8443,1.8424,1.8437,0.0
2025-07-22 08:50:00,1.8432,1.8445,1.8424,1.8433,0.0
2025-07-22 08:55:00,1.8437,1.8445,1.8424,1.8438,0.0
2025-07-22 09:00:00,1.8438,1.8449,1.8426,1.8435,0.0
2025-07-22 09:05:00,1.8437,1.845,1.8428,1.8443,0.0
2025-07-22 09:10:00,1.8439,1.845,1.843,1.8434,0.0
2025-07-22 09:15:00,1.8438,1.8445,1.8423,1.8434,0.0
2025-07-22 09:20:00,1.8437,1.8443,1.8423,1.8431,0.0
2025-07-22 09:25:00,1.8431,1.8441,1.8423,1.8433,0.0
2025-07-22 09:30:00,1.8426,1.8441,1.8419,1.8426,0.0
