,Open,High,Low,Close,Volume
2025-07-22 16:10:00,459.2011,459.3838,458.815,459.2278,0.0
2025-07-22 16:15:00,459.0724,459.3772,458.8895,459.1668,0.0
2025-07-22 16:20:00,459.2483,459.3907,458.9436,459.2822,0.0
2025-07-22 16:25:00,459.2008,459.3907,459.025,459.1873,0.0
2025-07-22 16:30:00,459.2822,459.4112,458.9168,459.3029,0.0
2025-07-22 16:35:00,459.2756,459.357,458.9913,459.1806,0.0
2025-07-22 16:40:00,459.3096,459.3706,458.9913,459.2077,0.0
2025-07-22 16:45:00,459.2281,459.4451,458.856,459.1809,0.0
2025-07-22 16:50:00,459.2013,459.3098,458.8833,459.1403,0.0
2025-07-22 16:55:00,459.1474,459.3642,458.8698,459.0456,0.0
2025-07-22 17:00:00,459.0121,459.344,458.721,459.0188,0.0
2025-07-22 17:05:00,458.9374,459.0862,458.5986,458.7744,0.0
2025-07-22 17:10:00,458.7951,459.1337,458.6868,458.9307,0.0
2025-07-22 17:15:00,458.7476,459.1201,458.5785,458.8968,0.0
2025-07-22 17:20:00,458.903,459.0653,458.6596,458.9165,0.0
2025-07-22 17:25:00,458.964,459.1875,458.7272,459.0929,0.0
2025-07-22 17:30:00,459.0454,459.3369,458.6798,459.2151,0.0
2025-07-22 17:35:00,459.2084,459.4791,458.8427,459.0727,0.0
2025-07-22 17:40:00,459.1472,459.2825,458.6596,459.0727,0.0
2025-07-22 17:45:00,459.1337,459.3369,458.707,459.0793,0.0
2025-07-22 17:50:00,458.9574,459.2011,458.7274,458.8223,0.0
2025-07-22 17:55:00,459.005,459.2485,458.6935,459.0319,0.0
2025-07-22 18:00:00,458.7545,459.4043,458.6596,458.8152,0.0
2025-07-22 18:05:00,458.7002,459.2416,458.6257,459.1265,0.0
2025-07-22 18:10:00,459.0791,459.2822,458.8219,459.0316,0.0
2025-07-22 18:15:00,458.9841,459.2618,458.7879,458.9908,0.0
2025-07-22 18:20:00,459.1401,459.2958,458.842,458.9436,0.0
2025-07-22 18:25:00,459.0451,459.2891,458.7948,458.9369,0.0
2025-07-22 18:30:00,459.0658,459.2146,458.7543,458.876,0.0
2025-07-22 18:35:00,458.9775,459.2889,458.7946,458.9367,0.0
2025-07-22 18:40:00,459.0589,459.2483,458.7811,458.9706,0.0
2025-07-22 18:45:00,459.0183,459.2618,458.8219,458.9571,0.0
2025-07-22 18:50:00,459.0385,459.2281,458.7813,458.8828,0.0
2025-07-22 18:55:00,459.0252,459.2552,458.7744,458.8555,0.0
2025-07-22 19:00:00,458.9844,459.2008,458.6999,459.0989,0.0
2025-07-22 19:05:00,459.052,459.2687,458.7609,458.9301,0.0
2025-07-22 19:10:00,459.1806,459.2212,458.7474,458.9096,0.0
2025-07-22 19:15:00,459.0385,459.5064,458.5581,459.0327,0.0
2025-07-22 19:20:00,458.9039,459.4522,458.5649,458.9234,0.0
2025-07-22 19:25:00,458.9982,459.4581,458.7134,459.1056,0.0
2025-07-22 19:30:00,459.1666,459.5188,458.9499,459.1867,0.0
2025-07-22 19:35:00,459.2071,459.4238,458.9496,459.1933,0.0
2025-07-22 19:40:00,459.1659,459.4776,459.0103,459.2605,0.0
2025-07-22 19:45:00,459.4841,459.5181,459.0373,459.1659,0.0
2025-07-22 19:50:00,459.2945,459.5316,459.0169,459.2331,0.0
2025-07-22 19:55:00,459.3146,459.5382,458.9694,459.3011,0.0
2025-07-22 20:00:00,459.2945,459.4977,459.0034,459.3215,0.0
2025-07-22 20:05:00,459.4099,459.5722,459.0169,459.3822,0.0
2025-07-22 20:10:00,459.4432,459.7005,459.1246,459.4899,0.0
2025-07-22 20:15:00,459.5374,459.646,459.1787,459.4969,0.0
2025-07-22 20:20:00,459.5919,459.7619,459.1046,459.4567,0.0
2025-07-22 20:25:00,459.4571,459.6808,459.186,459.369,0.0
2025-07-22 20:30:00,459.4776,459.7217,459.0442,459.4644,0.0
2025-07-22 20:35:00,459.5458,459.8098,459.1728,459.4706,0.0
2025-07-22 20:40:00,459.4911,459.8365,459.186,459.4644,0.0
2025-07-22 20:45:00,459.4099,459.6808,459.1254,459.5112,0.0
2025-07-22 20:50:00,459.5046,459.6808,459.1728,459.4165,0.0
2025-07-22 20:55:00,459.5726,459.7217,459.1052,459.3898,0.0
2025-07-22 21:00:00,459.4307,459.6745,459.038,459.275,0.0
2025-07-22 21:05:00,459.3631,459.8032,459.0716,459.471,0.0
2025-07-22 21:10:00,459.4706,459.8025,459.2945,459.5993,0.0
2025-07-22 21:15:00,459.7213,459.884,459.315,459.5656,0.0
2025-07-22 21:20:00,459.6201,459.8299,459.2269,459.4027,0.0
2025-07-22 21:25:00,459.5587,459.7688,459.247,459.5718,0.0
2025-07-22 21:30:00,459.5108,459.7213,459.2065,459.5854,0.0
2025-07-22 21:35:00,459.5788,459.85,459.3416,459.5046,0.0
2025-07-22 21:40:00,459.5247,459.9315,459.2605,459.68,0.0
2025-07-22 21:45:00,459.5985,459.9103,459.1853,459.6251,0.0
2025-07-22 21:50:00,459.639,459.8758,459.3474,459.7201,0.0
2025-07-22 21:55:00,459.6321,459.9988,459.1246,459.6062,0.0
2025-07-22 22:00:00,459.7283,459.884,459.3756,459.4907,0.0
