,Open,High,Low,Close,Volume
2025-07-22 16:10:00,4.5164,4.5175,4.5112,4.5123,0.0
2025-07-22 16:15:00,4.5125,4.5183,4.5115,4.512,0.0
2025-07-22 16:20:00,4.5125,4.5177,4.5115,4.5129,0.0
2025-07-22 16:25:00,4.5123,4.5176,4.5122,4.5157,0.0
2025-07-22 16:30:00,4.5163,4.5178,4.5156,4.5178,0.0
2025-07-22 16:35:00,4.5175,4.5182,4.5162,4.5165,0.0
2025-07-22 16:40:00,4.5176,4.5187,4.5158,4.5165,0.0
2025-07-22 16:45:00,4.5167,4.5183,4.5154,4.5163,0.0
2025-07-22 16:50:00,4.5164,4.5173,4.5154,4.5156,0.0
2025-07-22 16:55:00,4.516,4.5181,4.5136,4.5139,0.0
2025-07-22 17:00:00,4.515,4.5163,4.514,4.5148,0.0
2025-07-22 17:05:00,4.5131,4.5132,4.5111,4.5112,0.0
2025-07-22 17:10:00,4.5123,4.5144,4.5123,4.5144,0.0
2025-07-22 17:15:00,4.5126,4.5145,4.5122,4.514,0.0
2025-07-22 17:20:00,4.5125,4.5125,4.5125,4.5125,0.0
2025-07-22 17:25:00,4.5128,4.5138,4.5125,4.5138,0.0
2025-07-22 17:30:00,4.5134,4.5152,4.512,4.5152,0.0
2025-07-22 17:35:00,4.5155,4.5155,4.5142,4.5142,0.0
2025-07-22 17:40:00,4.5145,4.5145,4.5125,4.5142,0.0
2025-07-22 17:45:00,4.5145,4.5152,4.5128,4.5138,0.0
2025-07-22 17:50:00,4.5132,4.5138,4.5132,4.5138,0.0
2025-07-22 17:55:00,4.5142,4.5142,4.5128,4.5135,0.0
2025-07-22 18:00:00,4.5132,4.5145,4.5125,4.5128,0.0
2025-07-22 18:05:00,4.5124,4.5137,4.5108,4.5121,0.0
2025-07-22 18:10:00,4.5117,4.513,4.511,4.512,0.0
2025-07-22 18:15:00,4.5105,4.5124,4.5059,4.5101,0.0
2025-07-22 18:20:00,4.5119,4.5122,4.5105,4.5109,0.0
2025-07-22 18:25:00,4.5089,4.5102,4.5086,4.5089,0.0
2025-07-22 18:30:00,4.5099,4.5099,4.5086,4.5086,0.0
2025-07-22 18:35:00,4.5077,4.5084,4.5065,4.5069,0.0
2025-07-22 18:40:00,4.5109,4.5113,4.5083,4.5101,0.0
2025-07-22 18:45:00,4.5112,4.5113,4.5102,4.5103,0.0
2025-07-22 18:50:00,4.5105,4.5118,4.5098,4.5108,0.0
2025-07-22 18:55:00,4.5119,4.5121,4.5103,4.5104,0.0
2025-07-22 19:00:00,4.5114,4.5114,4.5101,4.5104,0.0
2025-07-22 19:05:00,4.5067,4.5121,4.5057,4.5092,0.0
2025-07-22 19:10:00,4.5111,4.5112,4.508,4.508,0.0
2025-07-22 19:15:00,4.5088,4.5129,4.5074,4.5128,0.0
2025-07-22 19:20:00,4.512,4.514,4.5092,4.5105,0.0
2025-07-22 19:25:00,4.5111,4.5113,4.5065,4.5065,0.0
