,Open,High,Low,Close,Volume
2025-07-21 14:00:00,198.5384,198.639,198.455,198.5249,0.0
2025-07-21 14:05:00,198.5666,198.639,198.482,198.5691,0.0
2025-07-21 14:10:00,198.6255,198.6672,198.5114,198.6243,0.0
2025-07-21 14:15:00,198.5666,198.639,198.482,198.5397,0.0
2025-07-21 14:20:00,198.5372,198.655,198.4832,198.6133,0.0
2025-07-21 14:25:00,198.5716,198.628,198.5286,198.5998,0.0
2025-07-21 14:30:00,198.5838,198.6562,198.5286,198.5985,0.0
2025-07-21 14:35:00,198.5421,198.7212,198.5127,198.6917,0.0
2025-07-21 14:40:00,198.6488,198.7482,198.5789,198.6905,0.0
2025-07-21 14:45:00,198.6193,198.7592,198.5899,198.7002,0.0
2025-07-21 14:50:00,198.6438,198.7861,198.5604,198.6892,0.0
2025-07-21 14:55:00,198.6328,198.7469,198.5911,198.6905,0.0
2025-07-21 15:00:00,198.6341,198.7899,198.6206,198.7052,0.0
2025-07-21 15:05:00,198.704,198.7764,198.6353,198.7322,0.0
2025-07-21 15:10:00,198.6623,198.7911,198.6083,198.693,0.0
2025-07-21 15:15:00,198.677,198.7359,198.5961,198.682,0.0
2025-07-21 15:20:00,198.5961,198.7629,198.5813,198.7199,0.0
2025-07-21 15:25:00,198.6635,198.7899,198.6341,198.7309,0.0
2025-07-21 15:30:00,198.6745,198.7727,198.6316,198.7309,0.0
2025-07-21 15:35:00,198.6745,198.7444,198.5764,198.6623,0.0
2025-07-21 15:40:00,198.6058,198.7322,198.5629,198.6635,0.0
2025-07-21 15:45:00,198.6206,198.693,198.5666,198.6353,0.0
2025-07-21 15:50:00,198.5789,198.6917,198.5641,198.623,0.0
2025-07-21 15:55:00,198.6206,198.7457,198.5641,198.6892,0.0
2025-07-21 16:00:00,198.672,198.7444,198.5604,198.672,0.0
2025-07-21 16:05:00,198.6708,198.7419,198.6278,198.6842,0.0
2025-07-21 16:10:00,198.6867,198.7432,198.6291,198.7137,0.0
2025-07-21 16:15:00,198.6977,198.7676,198.6548,198.7112,0.0
2025-07-21 16:20:00,198.7087,198.8241,198.6817,198.7247,0.0
2025-07-21 16:25:00,198.7676,198.7959,198.7099,198.7247,0.0
2025-07-21 16:30:00,198.7676,198.8413,198.6977,198.7394,0.0
2025-07-21 16:35:00,198.7272,198.8388,198.6977,198.7382,0.0
2025-07-21 16:40:00,198.7664,198.8548,198.6977,198.7714,0.0
2025-07-21 16:45:00,198.8291,198.8291,198.7567,198.7849,0.0
2025-07-21 16:50:00,198.7567,198.8586,198.6892,198.7469,0.0
2025-07-21 16:55:00,198.7457,198.8451,198.704,198.8021,0.0
2025-07-21 17:00:00,198.7861,198.8598,198.6905,198.7861,0.0
2025-07-21 17:05:00,198.7714,198.7714,198.7567,198.7567,0.0
2025-07-21 17:10:00,198.7567,198.7567,198.7567,198.7567,0.0
2025-07-21 17:15:00,198.7567,198.7567,198.7567,198.7567,0.0
2025-07-21 17:20:00,198.5726,198.5726,198.5726,198.5726,0.0
2025-07-21 17:25:00,198.6403,198.6403,198.493,198.5224,0.0
2025-07-21 17:30:00,198.4795,198.6243,198.4795,198.5212,0.0
2025-07-21 17:35:00,198.5359,198.5654,198.5359,198.5654,0.0
2025-07-21 17:40:00,198.5641,198.6083,198.4905,198.4905,0.0
2025-07-21 17:45:00,198.6206,198.65,198.477,198.5948,0.0
2025-07-21 17:50:00,198.6071,198.6218,198.504,198.5187,0.0
2025-07-21 17:55:00,198.5924,198.5924,198.5924,198.5924,0.0
2025-07-21 18:00:00,198.6181,198.677,198.5457,198.6181,0.0
2025-07-21 18:05:00,198.6733,198.7764,198.5629,198.6782,0.0
2025-07-21 18:10:00,198.7065,198.7739,198.6181,198.6867,0.0
2025-07-21 18:15:00,198.715,198.7727,198.6733,198.7284,0.0
2025-07-21 18:20:00,198.7297,198.7739,198.688,198.7162,0.0
2025-07-21 18:25:00,198.7444,198.7444,198.7162,198.7297,0.0
2025-07-21 18:30:00,198.7874,198.8009,198.715,198.7727,0.0
2025-07-21 18:35:00,198.7419,198.8009,198.7284,198.7284,0.0
2025-07-21 18:40:00,198.7861,198.7861,198.6867,198.7015,0.0
2025-07-21 18:45:00,198.7592,198.7861,198.7015,198.7419,0.0
2025-07-21 18:50:00,198.7727,198.8144,198.7002,198.7407,0.0
2025-07-21 18:55:00,198.7984,198.8119,198.7002,198.7542,0.0
2025-07-21 19:00:00,198.7849,198.7996,198.7002,198.7419,0.0
2025-07-21 19:05:00,198.7996,198.8266,198.7137,198.7824,0.0
2025-07-21 19:10:00,198.7849,198.8683,198.7137,198.8413,0.0
2025-07-21 19:15:00,198.7554,198.8806,198.7259,198.8068,0.0
2025-07-21 19:20:00,198.8646,198.8793,198.7259,198.7259,0.0
2025-07-21 19:25:00,198.7824,198.8536,198.7125,198.7676,0.0
2025-07-21 19:30:00,198.7394,198.8793,198.7112,198.8203,0.0
2025-07-21 19:35:00,198.8081,198.894,198.7529,198.7971,0.0
2025-07-21 19:40:00,198.7946,198.9075,198.7125,198.8523,0.0
2025-07-21 19:45:00,198.8094,198.8793,198.7529,198.7799,0.0
2025-07-21 19:50:00,198.7811,198.9345,198.7382,198.8646,0.0
2025-07-21 19:55:00,198.8928,198.9223,198.7419,198.8254,0.0
2025-07-21 20:00:00,198.8094,198.8683,198.7137,198.7984,0.0
2025-07-21 20:05:00,198.7861,199.0032,198.683,198.8313,0.0
2025-07-21 20:10:00,198.8742,199.0386,198.7883,198.9821,0.0
2025-07-21 20:15:00,198.9404,199.1439,198.8666,199.0996,0.0
2025-07-21 20:20:00,199.0566,199.1426,198.961,199.0322,0.0
2025-07-21 20:25:00,198.9892,199.0592,198.864,198.9366,0.0
2025-07-21 20:30:00,198.9526,198.9956,198.7735,198.8165,0.0
2025-07-21 20:35:00,198.8742,198.9442,198.7209,198.8043,0.0
2025-07-21 20:40:00,198.8203,198.9038,198.7356,198.7773,0.0
2025-07-21 20:45:00,198.7934,198.8915,198.6682,198.7651,0.0
2025-07-21 20:50:00,198.8363,198.8793,198.7112,198.7799,0.0
2025-07-21 20:55:00,198.8216,198.9307,198.6375,198.6914,0.0
2025-07-21 21:00:00,198.6927,198.9147,198.6375,198.8178,0.0
2025-07-21 21:05:00,198.7748,198.9969,198.7196,198.9526,0.0
2025-07-21 21:10:00,198.8961,199.0226,198.8005,198.8852,0.0
2025-07-21 21:15:00,198.9012,199.0007,198.787,198.8704,0.0
2025-07-21 21:20:00,198.8717,198.9564,198.7453,198.803,0.0
2025-07-21 21:25:00,198.8742,198.9686,198.7306,198.8948,0.0
2025-07-21 21:30:00,198.8961,198.9526,198.7575,198.8275,0.0
2025-07-21 21:35:00,198.7858,198.916,198.6914,198.8043,0.0
2025-07-21 21:40:00,198.7761,198.9943,198.6741,198.8775,0.0
2025-07-21 21:45:00,198.8801,199.004,198.8076,198.9179,0.0
2025-07-21 21:50:00,198.934,199.0052,198.8089,198.8801,0.0
2025-07-21 21:55:00,198.8679,198.9513,198.7415,198.8653,0.0
2025-07-21 22:00:00,198.9366,198.9783,198.8089,198.8936,0.0
2025-07-21 22:05:00,198.8519,198.9674,198.7575,198.814,0.0
2025-07-21 22:10:00,198.83,198.9134,198.7453,198.8595,0.0
2025-07-21 22:15:00,198.8435,198.932,198.7209,198.8216,0.0
2025-07-21 22:20:00,198.7799,198.8646,198.7112,198.7664,0.0
2025-07-21 22:25:00,198.7542,198.8658,198.7247,198.8241,0.0
2025-07-21 22:30:00,198.8363,198.9063,198.667,198.7479,0.0
2025-07-21 22:35:00,198.7896,198.8595,198.7184,198.7601,0.0
2025-07-21 22:40:00,198.7883,198.857,198.7171,198.814,0.0
2025-07-21 22:45:00,198.7575,198.8717,198.6889,198.7896,0.0
2025-07-21 22:50:00,198.7613,198.8191,198.6779,198.7344,0.0
2025-07-21 22:55:00,198.7222,198.8068,198.6657,198.7479,0.0
2025-07-21 23:00:00,198.7639,198.8191,198.7062,198.7331,0.0
2025-07-21 23:05:00,198.7761,198.8191,198.651,198.7087,0.0
2025-07-21 23:10:00,198.7049,198.8435,198.6484,198.744,0.0
2025-07-21 23:15:00,198.787,198.8692,198.7158,198.7858,0.0
2025-07-21 23:20:00,198.7832,198.8717,198.7023,198.7723,0.0
2025-07-21 23:25:00,198.7735,198.83,198.7158,198.7588,0.0
2025-07-21 23:30:00,198.8018,198.8448,198.7171,198.7748,0.0
2025-07-21 23:35:00,198.787,198.8852,198.7306,198.787,0.0
2025-07-21 23:40:00,198.7858,198.8717,198.7158,198.7601,0.0
2025-07-21 23:45:00,198.7883,198.873,198.7318,198.7883,0.0
2025-07-21 23:50:00,198.7896,198.8865,198.7036,198.8275,0.0
2025-07-21 23:55:00,198.7992,198.9256,198.744,198.8814,0.0
2025-07-22 00:00:00,198.8249,198.9635,198.7954,198.8801,0.0
2025-07-22 00:05:00,198.8371,198.9218,198.7646,198.848,0.0
2025-07-22 00:10:00,198.805,198.9192,198.7768,198.8775,0.0
2025-07-22 00:15:00,198.8897,198.9327,198.7794,198.8775,0.0
2025-07-22 00:20:00,198.8762,198.977,198.7659,198.8948,0.0
2025-07-22 00:25:00,198.8826,198.9513,198.8101,198.8692,0.0
2025-07-22 00:30:00,198.8679,198.9526,198.798,198.9244,0.0
2025-07-22 00:35:00,198.8531,198.9661,198.8531,198.8801,0.0
2025-07-22 00:40:00,198.9648,199.0052,198.8493,198.9622,0.0
2025-07-22 00:45:00,198.9058,199.0322,198.8628,198.8923,0.0
2025-07-22 00:50:00,198.9783,199.0348,198.8653,198.8948,0.0
2025-07-22 00:55:00,198.9513,199.0187,198.8371,198.9449,0.0
2025-07-22 01:00:00,198.9475,199.0296,198.875,198.9327,0.0
2025-07-22 01:05:00,198.9045,199.0174,198.8332,198.9327,0.0
2025-07-22 01:10:00,198.8762,198.9905,198.8345,198.8897,0.0
2025-07-22 01:15:00,198.8923,198.961,198.8185,198.9019,0.0
2025-07-22 01:20:00,198.9141,198.9827,198.8011,198.9693,0.0
2025-07-22 01:25:00,198.9115,199.0784,198.8685,199.0353,0.0
2025-07-22 01:30:00,199.0514,199.0662,198.925,199.0084,0.0
2025-07-22 01:35:00,198.9962,199.0796,198.9519,199.0501,0.0
2025-07-22 01:40:00,199.0084,199.1053,198.9506,199.0353,0.0
2025-07-22 01:45:00,199.0327,199.1336,198.9358,199.0475,0.0
2025-07-22 01:50:00,199.0462,199.0879,198.9332,199.0584,0.0
2025-07-22 01:55:00,199.0744,199.1014,198.9601,199.0032,0.0
2025-07-22 02:00:00,199.0314,199.1053,198.9615,199.0757,0.0
2025-07-22 02:05:00,199.0475,199.1175,198.8781,198.9467,0.0
2025-07-22 02:10:00,198.9628,199.0879,198.862,198.9428,0.0
2025-07-22 02:15:00,198.971,199.0866,198.9158,199.0153,0.0
2025-07-22 02:20:00,199.014,199.1175,198.9332,199.0366,0.0
2025-07-22 02:25:00,199.0206,199.1309,198.9332,199.014,0.0
2025-07-22 02:30:00,199.0449,199.1553,198.9858,199.0827,0.0
2025-07-22 02:35:00,199.084,199.1848,198.9992,199.1014,0.0
2025-07-22 02:40:00,199.1431,199.2131,199.014,199.127,0.0
2025-07-22 02:45:00,199.1283,199.2913,199.0114,199.1621,0.0
2025-07-22 02:50:00,199.1904,199.2496,199.0531,199.1378,0.0
2025-07-22 02:55:00,199.1257,199.1674,198.9979,199.0557,0.0
2025-07-22 03:00:00,199.0544,199.197,198.9562,199.0866,0.0
2025-07-22 03:05:00,199.1283,199.3061,199.0288,199.2226,0.0
2025-07-22 03:10:00,199.2065,199.263,199.037,199.107,0.0
2025-07-22 03:15:00,199.1083,199.29,199.037,199.2321,0.0
2025-07-22 03:20:00,199.2334,199.2617,199.0235,199.1378,0.0
2025-07-22 03:25:00,199.1257,199.2239,199.0275,199.1109,0.0
2025-07-22 03:30:00,199.0827,199.1835,199.0005,199.0436,0.0
2025-07-22 03:35:00,199.1014,199.1592,198.9211,199.0501,0.0
2025-07-22 03:40:00,198.9936,199.077,198.9345,198.9897,0.0
2025-07-22 03:45:00,199.0071,199.0623,198.9063,198.9762,0.0
2025-07-22 03:50:00,199.0192,199.0892,198.9184,199.0045,0.0
2025-07-22 03:55:00,198.9615,199.0853,198.8298,198.9145,0.0
2025-07-22 04:00:00,198.858,198.9884,198.7773,198.8941,0.0
2025-07-22 04:05:00,198.905,199.0379,198.6844,198.8884,0.0
2025-07-22 04:10:00,198.8897,199.0592,198.7742,198.8576,0.0
2025-07-22 04:15:00,198.8884,198.9718,198.7877,198.8576,0.0
2025-07-22 04:20:00,198.8993,199.0527,198.8146,198.968,0.0
2025-07-22 04:25:00,199.0097,199.1227,198.9237,199.0822,0.0
2025-07-22 04:30:00,199.0392,199.1509,198.9814,199.124,0.0
2025-07-22 04:35:00,199.0809,199.2704,199.0245,199.2287,0.0
2025-07-22 04:40:00,199.2004,199.3308,199.0213,199.1233,0.0
2025-07-22 04:45:00,199.1651,199.1921,198.9918,199.0752,0.0
2025-07-22 04:50:00,199.063,199.1465,198.9905,199.09,0.0
2025-07-22 04:55:00,199.133,199.1921,198.9648,199.0656,0.0
2025-07-22 05:00:00,199.0816,199.1516,198.9956,199.0964,0.0
2025-07-22 05:05:00,199.1124,199.1567,198.8915,199.0045,0.0
2025-07-22 05:10:00,198.9885,199.1052,198.8511,198.9813,0.0
2025-07-22 05:15:00,198.9935,199.0795,198.8671,198.937,0.0
2025-07-22 05:20:00,198.9948,199.0365,198.8953,198.953,0.0
2025-07-22 05:25:00,198.9543,199.023,198.8241,198.921,0.0
2025-07-22 05:30:00,198.9518,199.1162,198.8928,199.0437,0.0
2025-07-22 05:35:00,199.0719,199.1284,198.9307,198.9847,0.0
2025-07-22 05:40:00,199.0007,199.0989,198.9282,198.9724,0.0
2025-07-22 05:45:00,199.0572,199.0854,198.9025,198.9724,0.0
2025-07-22 05:50:00,199.0007,199.0854,198.8485,198.932,0.0
2025-07-22 05:55:00,198.9198,199.034,198.8228,198.8966,0.0
2025-07-22 06:00:00,198.9383,199.0243,198.7984,198.8843,0.0
2025-07-22 06:05:00,198.942,199.0145,198.8304,198.9163,0.0
2025-07-22 06:10:00,198.9175,199.0158,198.8194,198.9568,0.0
2025-07-22 06:15:00,198.9285,199.0293,198.8451,198.9298,0.0
2025-07-22 06:20:00,198.9458,198.9863,198.8144,198.8978,0.0
2025-07-22 06:25:00,198.8991,198.9678,198.8401,198.8683,0.0
2025-07-22 06:30:00,198.9101,198.9518,198.8388,198.8658,0.0
2025-07-22 06:35:00,198.9088,198.9505,198.7786,198.862,0.0
2025-07-22 06:40:00,198.8646,198.9467,198.7921,198.889,0.0
2025-07-22 06:45:00,198.846,198.959,198.7896,198.9038,0.0
2025-07-22 06:50:00,198.862,198.9442,198.7883,198.8852,0.0
2025-07-22 06:55:00,198.8422,198.9282,198.814,198.8409,0.0
2025-07-22 07:00:00,198.8717,198.9269,198.7402,198.8114,0.0
2025-07-22 07:05:00,198.8127,198.9404,198.7133,198.857,0.0
2025-07-22 07:10:00,198.8595,198.9134,198.7562,198.8409,0.0
2025-07-22 07:15:00,198.7992,198.8704,198.7158,198.803,0.0
2025-07-22 07:20:00,198.7601,198.803,198.6741,198.7011,0.0
2025-07-22 07:25:00,198.7036,198.7883,198.6459,198.6889,0.0
2025-07-22 07:30:00,198.7318,198.8409,198.6446,198.7562,0.0
2025-07-22 07:35:00,198.7133,198.8152,198.5651,198.6657,0.0
2025-07-22 07:40:00,198.6375,198.6805,198.4303,198.4868,0.0
2025-07-22 07:45:00,198.4438,198.5457,198.3091,198.3962,0.0
2025-07-22 07:50:00,198.3949,198.5052,198.2944,198.4783,0.0
2025-07-22 07:55:00,198.477,198.5347,198.3251,198.4635,0.0
2025-07-22 08:00:00,198.52,198.6513,198.2859,198.471,0.0
2025-07-22 08:05:00,198.4869,198.5581,198.3202,198.4587,0.0
2025-07-22 08:10:00,198.5152,198.5421,198.3607,198.3876,0.0
2025-07-22 08:15:00,198.4453,198.4894,198.2381,198.4465,0.0
2025-07-22 08:20:00,198.3901,198.5409,198.2295,198.3949,0.0
2025-07-22 08:25:00,198.3667,198.5224,198.2699,198.3962,0.0
2025-07-22 08:30:00,198.4244,198.4538,198.2687,198.3667,0.0
2025-07-22 08:35:00,198.368,198.4244,198.2148,198.2834,0.0
2025-07-22 08:40:00,198.3251,198.4121,198.2135,198.3422,0.0
2025-07-22 08:45:00,198.2859,198.4134,198.1339,198.1928,0.0
2025-07-22 08:50:00,198.1499,198.281,197.8926,198.0323,0.0
2025-07-22 08:55:00,198.0886,198.1609,197.7468,197.9304,0.0
2025-07-22 09:00:00,197.9292,198.0554,197.7345,197.857,0.0
2025-07-22 09:05:00,197.8729,198.0308,197.7369,197.9721,0.0
2025-07-22 09:10:00,197.9304,198.1252,197.8166,197.9403,0.0
2025-07-22 09:15:00,197.9967,198.0665,197.7444,197.8729,0.0
2025-07-22 09:20:00,197.8741,198.0015,197.7076,197.846,0.0
2025-07-22 09:25:00,197.8741,197.9475,197.7381,197.8789,0.0
2025-07-22 09:30:00,197.8067,198.0038,197.7492,197.846,0.0
2025-07-22 09:35:00,197.8741,198.0015,197.7187,197.8693,0.0
2025-07-22 09:40:00,197.8412,197.9415,197.6905,197.7762,0.0
2025-07-22 09:45:00,197.8043,197.8924,197.595,197.7528,0.0
2025-07-22 09:50:00,197.7686,197.8238,197.5277,197.6842,0.0
2025-07-22 09:55:00,197.6426,197.7563,197.4111,197.5517,0.0
2025-07-22 10:00:00,197.5529,197.6924,197.4674,197.6203,0.0
2025-07-22 10:05:00,197.608,197.6631,197.3232,197.421,0.0
