,Open,High,Low,Close,Volume
2025-07-22 05:45:00,2.2682,2.2688,2.2666,2.2677,0.0
2025-07-22 05:50:00,2.2675,2.2684,2.2662,2.2669,0.0
2025-07-22 05:55:00,2.2675,2.2683,2.2656,2.2665,0.0
2025-07-22 06:00:00,2.267,2.2684,2.266,2.267,0.0
2025-07-22 06:05:00,2.2671,2.2686,2.2655,2.2669,0.0
2025-07-22 06:10:00,2.2667,2.268,2.2658,2.2669,0.0
2025-07-22 06:15:00,2.2664,2.2676,2.2653,2.2662,0.0
2025-07-22 06:20:00,2.2661,2.2673,2.2648,2.2659,0.0
2025-07-22 06:25:00,2.2664,2.2674,2.2654,2.2663,0.0
2025-07-22 06:30:00,2.2661,2.2674,2.2656,2.2663,0.0
2025-07-22 06:35:00,2.2663,2.2676,2.2651,2.2666,0.0
2025-07-22 06:40:00,2.2673,2.2675,2.2655,2.2662,0.0
2025-07-22 06:45:00,2.2655,2.2673,2.2652,2.2668,0.0
2025-07-22 06:50:00,2.2662,2.2675,2.2654,2.2665,0.0
2025-07-22 06:55:00,2.2665,2.2676,2.2652,2.2656,0.0
2025-07-22 07:00:00,2.2665,2.267,2.2644,2.2656,0.0
2025-07-22 07:05:00,2.2662,2.2678,2.2648,2.2667,0.0
2025-07-22 07:10:00,2.2666,2.2678,2.2655,2.2664,0.0
2025-07-22 07:15:00,2.2666,2.2671,2.2647,2.2659,0.0
2025-07-22 07:20:00,2.2652,2.2659,2.2638,2.2642,0.0
2025-07-22 07:25:00,2.2641,2.2654,2.2632,2.2643,0.0
2025-07-22 07:30:00,2.2643,2.2656,2.2631,2.2643,0.0
2025-07-22 07:35:00,2.2644,2.2654,2.2632,2.2644,0.0
2025-07-22 07:40:00,2.2639,2.265,2.2625,2.2636,0.0
2025-07-22 07:45:00,2.2628,2.265,2.2617,2.2629,0.0
2025-07-22 07:50:00,2.2631,2.2639,2.2615,2.2635,0.0
2025-07-22 07:55:00,2.2637,2.2642,2.262,2.2633,0.0
2025-07-22 08:00:00,2.2633,2.2654,2.2618,2.2632,0.0
2025-07-22 08:05:00,2.2639,2.2644,2.2617,2.2626,0.0
2025-07-22 08:10:00,2.2633,2.2641,2.2621,2.2625,0.0
2025-07-22 08:15:00,2.2633,2.2638,2.2615,2.2624,0.0
2025-07-22 08:20:00,2.2624,2.2643,2.2604,2.2624,0.0
2025-07-22 08:25:00,2.2618,2.2636,2.2607,2.2618,0.0
2025-07-22 08:30:00,2.2623,2.2631,2.2606,2.2618,0.0
2025-07-22 08:35:00,2.2624,2.2627,2.2606,2.2619,0.0
2025-07-22 08:40:00,2.2617,2.2629,2.26,2.2614,0.0
2025-07-22 08:45:00,2.2607,2.2627,2.2602,2.2609,0.0
2025-07-22 08:50:00,2.2601,2.2622,2.2588,2.2603,0.0
2025-07-22 08:55:00,2.2602,2.262,2.2592,2.2611,0.0
2025-07-22 09:00:00,2.2606,2.262,2.259,2.2603,0.0
2025-07-22 09:05:00,2.2602,2.2619,2.2589,2.2605,0.0
2025-07-22 09:10:00,2.2607,2.2616,2.2588,2.2595,0.0
2025-07-22 09:15:00,2.2594,2.2609,2.2566,2.2583,0.0
2025-07-22 09:20:00,2.2581,2.2593,2.2563,2.258,0.0
2025-07-22 09:25:00,2.2577,2.2593,2.2568,2.2584,0.0
2025-07-22 09:30:00,2.2574,2.2597,2.2565,2.258,0.0
2025-07-22 09:35:00,2.2577,2.2605,2.256,2.259,0.0
2025-07-22 09:40:00,2.2592,2.2604,2.2573,2.2584,0.0
2025-07-22 09:45:00,2.2582,2.2599,2.256,2.2581,0.0
2025-07-22 09:50:00,2.2581,2.2594,2.256,2.2583,0.0
2025-07-22 09:55:00,2.2578,2.2594,2.2571,2.2587,0.0
2025-07-22 10:00:00,2.2585,2.2599,2.257,2.2585,0.0
2025-07-22 10:05:00,2.259,2.2603,2.2561,2.2581,0.0
2025-07-22 10:10:00,2.2579,2.2599,2.2563,2.2586,0.0
2025-07-22 10:15:00,2.2588,2.2605,2.2564,2.2583,0.0
2025-07-22 10:20:00,2.2578,2.2597,2.2562,2.2582,0.0
2025-07-22 10:25:00,2.2581,2.2599,2.2567,2.2581,0.0
2025-07-22 10:30:00,2.2579,2.2595,2.257,2.2585,0.0
2025-07-22 10:35:00,2.2582,2.2591,2.2551,2.2562,0.0
2025-07-22 10:40:00,2.2568,2.258,2.255,2.2568,0.0
2025-07-22 10:45:00,2.2563,2.2582,2.2533,2.2552,0.0
2025-07-22 10:50:00,2.255,2.2569,2.253,2.2547,0.0
2025-07-22 10:55:00,2.2547,2.2576,2.2515,2.2544,0.0
2025-07-22 11:00:00,2.2551,2.2566,2.2532,2.2547,0.0
2025-07-22 11:05:00,2.2549,2.2558,2.2528,2.2538,0.0
2025-07-22 11:10:00,2.2536,2.2547,2.2522,2.2527,0.0
2025-07-22 11:15:00,2.2533,2.2553,2.2513,2.2533,0.0
2025-07-22 11:20:00,2.2531,2.2547,2.2519,2.254,0.0
2025-07-22 11:25:00,2.254,2.2543,2.2522,2.2533,0.0
2025-07-22 11:30:00,2.2533,2.2555,2.2523,2.2546,0.0
2025-07-22 11:35:00,2.2551,2.2564,2.2532,2.2547,0.0
2025-07-22 11:40:00,2.2549,2.2569,2.2514,2.2544,0.0
2025-07-22 11:45:00,2.2537,2.2559,2.2527,2.2543,0.0
2025-07-22 11:50:00,2.2541,2.2553,2.2525,2.2535,0.0
2025-07-22 11:55:00,2.2545,2.2551,2.2523,2.2538,0.0
2025-07-22 12:00:00,2.2533,2.255,2.2518,2.2536,0.0
2025-07-22 12:05:00,2.2534,2.255,2.2523,2.2534,0.0
2025-07-22 12:10:00,2.2541,2.2556,2.2522,2.2538,0.0
2025-07-22 12:15:00,2.2538,2.2553,2.252,2.2542,0.0
2025-07-22 12:20:00,2.2544,2.2558,2.2522,2.254,0.0
2025-07-22 12:25:00,2.2542,2.2556,2.2531,2.2547,0.0
2025-07-22 12:30:00,2.2549,2.2552,2.2529,2.2541,0.0
2025-07-22 12:35:00,2.2541,2.2553,2.2527,2.2545,0.0
2025-07-22 12:40:00,2.2537,2.2552,2.2531,2.2543,0.0
2025-07-22 12:45:00,2.2538,2.2561,2.2524,2.2542,0.0
2025-07-22 12:50:00,2.2548,2.2555,2.2534,2.2543,0.0
2025-07-22 12:55:00,2.2545,2.2558,2.2531,2.2545,0.0
2025-07-22 13:00:00,2.2545,2.2561,2.2531,2.2548,0.0
2025-07-22 13:05:00,2.2546,2.2558,2.2536,2.2547,0.0
2025-07-22 13:10:00,2.2556,2.256,2.2535,2.2545,0.0
2025-07-22 13:15:00,2.2551,2.256,2.2539,2.2553,0.0
2025-07-22 13:20:00,2.2549,2.2558,2.2535,2.2548,0.0
2025-07-22 13:25:00,2.2545,2.256,2.2533,2.2547,0.0
2025-07-22 13:30:00,2.2536,2.256,2.253,2.2548,0.0
2025-07-22 13:35:00,2.2541,2.2557,2.2536,2.255,0.0
2025-07-22 13:40:00,2.2543,2.2559,2.254,2.2548,0.0
2025-07-22 13:45:00,2.2541,2.2553,2.2532,2.2545,0.0
2025-07-22 13:50:00,2.2545,2.2559,2.2532,2.2543,0.0
2025-07-22 13:55:00,2.2538,2.2558,2.253,2.2546,0.0
2025-07-22 14:00:00,2.2539,2.2555,2.2534,2.255,0.0
2025-07-22 14:05:00,2.2544,2.2559,2.2538,2.2545,0.0
2025-07-22 14:10:00,2.2545,2.2563,2.2538,2.2549,0.0
2025-07-22 14:15:00,2.2543,2.2557,2.2536,2.2543,0.0
2025-07-22 14:20:00,2.2554,2.2555,2.2536,2.255,0.0
2025-07-22 14:25:00,2.2545,2.2555,2.2536,2.2546,0.0
2025-07-22 14:30:00,2.2548,2.2555,2.254,2.2547,0.0
2025-07-22 14:35:00,2.2552,2.2555,2.2536,2.2539,0.0
2025-07-22 14:40:00,2.2546,2.2557,2.2535,2.2543,0.0
2025-07-22 14:45:00,2.2548,2.2556,2.2539,2.2551,0.0
2025-07-22 14:50:00,2.2544,2.2556,2.2539,2.2544,0.0
2025-07-22 14:55:00,2.2551,2.2555,2.254,2.2544,0.0
2025-07-22 15:00:00,2.2553,2.2556,2.254,2.2551,0.0
2025-07-22 15:05:00,2.2545,2.256,2.254,2.2557,0.0
2025-07-22 15:10:00,2.255,2.2564,2.2543,2.2553,0.0
2025-07-22 15:15:00,2.2551,2.2563,2.2542,2.2551,0.0
2025-07-22 15:20:00,2.255,2.2559,2.2542,2.2554,0.0
2025-07-22 15:25:00,2.2547,2.2557,2.2538,2.2543,0.0
2025-07-22 15:30:00,2.2546,2.2554,2.2538,2.255,0.0
2025-07-22 15:35:00,2.2541,2.2556,2.2536,2.2551,0.0
2025-07-22 15:40:00,2.254,2.2554,2.2538,2.2553,0.0
2025-07-22 15:45:00,2.2542,2.2556,2.2536,2.2543,0.0
2025-07-22 15:50:00,2.2548,2.2552,2.2538,2.2547,0.0
2025-07-22 15:55:00,2.2552,2.2557,2.2534,2.2548,0.0
2025-07-22 16:00:00,2.2541,2.2553,2.2537,2.2541,0.0
2025-07-22 16:05:00,2.2541,2.2553,2.2534,2.2542,0.0
2025-07-22 16:10:00,2.2537,2.2547,2.2529,2.2542,0.0
2025-07-22 16:15:00,2.254,2.2552,2.2535,2.2544,0.0
2025-07-22 16:20:00,2.254,2.2552,2.2535,2.2545,0.0
2025-07-22 16:25:00,2.2538,2.2552,2.2538,2.2542,0.0
2025-07-22 16:30:00,2.2541,2.255,2.2538,2.2546,0.0
2025-07-22 16:35:00,2.2547,2.255,2.2536,2.254,0.0
2025-07-22 16:40:00,2.2548,2.255,2.2536,2.2536,0.0
2025-07-22 16:45:00,2.2545,2.2552,2.2532,2.2543,0.0
2025-07-22 16:50:00,2.2541,2.2548,2.2535,2.2543,0.0
2025-07-22 16:55:00,2.2552,2.2559,2.2539,2.255,0.0
2025-07-22 17:00:00,2.2548,2.256,2.2539,2.2546,0.0
2025-07-22 17:05:00,2.2547,2.2547,2.2537,2.2537,0.0
2025-07-22 17:10:00,2.2579,2.2586,2.256,2.2571,0.0
