,Open,High,Low,Close,Volume
2025-07-22 05:45:00,12.9297,12.9334,12.9173,12.925,0.0
2025-07-22 05:50:00,12.9261,12.9298,12.9165,12.9244,0.0
2025-07-22 05:55:00,12.9251,12.9322,12.9166,12.9275,0.0
2025-07-22 06:00:00,12.9282,12.934,12.9108,12.9229,0.0
2025-07-22 06:05:00,12.9256,12.9331,12.9161,12.9225,0.0
2025-07-22 06:10:00,12.928,12.9324,12.9159,12.9286,0.0
2025-07-22 06:15:00,12.9274,12.9322,12.9116,12.9198,0.0
2025-07-22 06:20:00,12.9216,12.9241,12.9056,12.9128,0.0
2025-07-22 06:25:00,12.9186,12.9241,12.9103,12.9203,0.0
2025-07-22 06:30:00,12.9153,12.923,12.9122,12.9181,0.0
2025-07-22 06:35:00,12.9208,12.9269,12.9091,12.9179,0.0
2025-07-22 06:40:00,12.9209,12.9263,12.9089,12.9204,0.0
2025-07-22 06:45:00,12.919,12.9255,12.9099,12.92,0.0
2025-07-22 06:50:00,12.9192,12.9259,12.9095,12.9202,0.0
2025-07-22 06:55:00,12.9199,12.9239,12.9095,12.9168,0.0
2025-07-22 07:00:00,12.9198,12.9248,12.9073,12.9126,0.0
2025-07-22 07:05:00,12.9177,12.9269,12.9075,12.9211,0.0
2025-07-22 07:10:00,12.9229,12.9255,12.9113,12.9191,0.0
2025-07-22 07:15:00,12.9185,12.9222,12.9095,12.9159,0.0
2025-07-22 07:20:00,12.9181,12.9237,12.9081,12.9129,0.0
2025-07-22 07:25:00,12.9153,12.9237,12.9097,12.9179,0.0
2025-07-22 07:30:00,12.9204,12.928,12.9086,12.9173,0.0
2025-07-22 07:35:00,12.9201,12.9274,12.9104,12.921,0.0
2025-07-22 07:40:00,12.9203,12.9273,12.9096,12.9219,0.0
2025-07-22 07:45:00,12.9201,12.9265,12.9082,12.9142,0.0
2025-07-22 07:50:00,12.9177,12.9231,12.9054,12.9222,0.0
2025-07-22 07:55:00,12.9214,12.9248,12.9092,12.9193,0.0
2025-07-22 08:00:00,12.9214,12.9296,12.9022,12.915,0.0
2025-07-22 08:05:00,12.9215,12.9252,12.9052,12.9162,0.0
2025-07-22 08:10:00,12.9138,12.9242,12.909,12.9135,0.0
2025-07-22 08:15:00,12.9209,12.9265,12.9113,12.9246,0.0
2025-07-22 08:20:00,12.9224,12.9306,12.9057,12.9209,0.0
2025-07-22 08:25:00,12.9198,12.9282,12.9066,12.918,0.0
2025-07-22 08:30:00,12.9144,12.9273,12.9077,12.917,0.0
2025-07-22 08:35:00,12.9223,12.9322,12.912,12.9272,0.0
2025-07-22 08:40:00,12.9279,12.9362,12.9141,12.9323,0.0
2025-07-22 08:45:00,12.9306,12.9373,12.9201,12.9308,0.0
2025-07-22 08:50:00,12.929,12.9384,12.9185,12.9303,0.0
