,Open,High,Low,Close,Volume
2025-07-22 05:45:00,1.729,1.7291,1.7277,1.7281,0.0
2025-07-22 05:50:00,1.7281,1.7289,1.7274,1.7277,0.0
2025-07-22 05:55:00,1.7281,1.729,1.7274,1.7281,0.0
2025-07-22 06:00:00,1.7283,1.7292,1.7275,1.7282,0.0
2025-07-22 06:05:00,1.7289,1.7295,1.7278,1.7284,0.0
2025-07-22 06:10:00,1.7288,1.7294,1.7278,1.7288,0.0
2025-07-22 06:15:00,1.7283,1.7295,1.7279,1.7284,0.0
2025-07-22 06:20:00,1.7291,1.7291,1.7275,1.7281,0.0
2025-07-22 06:25:00,1.7281,1.7287,1.7275,1.7279,0.0
2025-07-22 06:30:00,1.7279,1.7287,1.7275,1.728,0.0
2025-07-22 06:35:00,1.7281,1.7289,1.7272,1.7277,0.0
2025-07-22 06:40:00,1.7278,1.7285,1.7273,1.7277,0.0
2025-07-22 06:45:00,1.7279,1.7284,1.7269,1.7276,0.0
2025-07-22 06:50:00,1.7276,1.7282,1.7268,1.7273,0.0
2025-07-22 06:55:00,1.7272,1.7281,1.7268,1.7271,0.0
2025-07-22 07:00:00,1.7273,1.728,1.7263,1.7269,0.0
2025-07-22 07:05:00,1.7269,1.728,1.7262,1.7272,0.0
2025-07-22 07:10:00,1.7279,1.728,1.7264,1.7271,0.0
2025-07-22 07:15:00,1.7268,1.7277,1.7263,1.7271,0.0
2025-07-22 07:20:00,1.7267,1.7275,1.726,1.7262,0.0
2025-07-22 07:25:00,1.7265,1.7275,1.726,1.727,0.0
2025-07-22 07:30:00,1.7269,1.7275,1.7262,1.7268,0.0
2025-07-22 07:35:00,1.7264,1.7276,1.7262,1.7269,0.0
2025-07-22 07:40:00,1.7267,1.7275,1.7262,1.7267,0.0
2025-07-22 07:45:00,1.7263,1.7275,1.7259,1.7265,0.0
2025-07-22 07:50:00,1.7265,1.7272,1.7258,1.7268,0.0
2025-07-22 07:55:00,1.7271,1.7276,1.7263,1.7267,0.0
2025-07-22 08:00:00,1.7272,1.7284,1.726,1.7273,0.0
2025-07-22 08:05:00,1.7274,1.7282,1.7265,1.727,0.0
2025-07-22 08:10:00,1.7275,1.7281,1.7266,1.727,0.0
2025-07-22 08:15:00,1.7278,1.7284,1.7268,1.7281,0.0
2025-07-22 08:20:00,1.7273,1.7285,1.726,1.7269,0.0
2025-07-22 08:25:00,1.7271,1.728,1.7263,1.7268,0.0
2025-07-22 08:30:00,1.7271,1.7277,1.7262,1.7267,0.0
2025-07-22 08:35:00,1.7271,1.7276,1.726,1.7266,0.0
2025-07-22 08:40:00,1.7268,1.7277,1.726,1.7268,0.0
2025-07-22 08:45:00,1.7267,1.7279,1.7262,1.7269,0.0
2025-07-22 08:50:00,1.7266,1.728,1.7259,1.7268,0.0
2025-07-22 08:55:00,1.7275,1.7282,1.726,1.7269,0.0
2025-07-22 09:00:00,1.7269,1.728,1.7259,1.7264,0.0
2025-07-22 09:05:00,1.7268,1.7281,1.726,1.727,0.0
2025-07-22 09:10:00,1.7272,1.7282,1.726,1.7271,0.0
2025-07-22 09:15:00,1.7269,1.728,1.7257,1.7265,0.0
2025-07-22 09:20:00,1.7268,1.7278,1.7256,1.7269,0.0
2025-07-22 09:25:00,1.7268,1.7276,1.726,1.7266,0.0
2025-07-22 09:30:00,1.7265,1.7275,1.7253,1.7261,0.0
2025-07-22 09:35:00,1.7261,1.7276,1.7251,1.726,0.0
2025-07-22 09:40:00,1.7263,1.7269,1.7252,1.726,0.0
2025-07-22 09:45:00,1.726,1.7272,1.7245,1.7257,0.0
2025-07-22 09:50:00,1.7261,1.7268,1.7245,1.7257,0.0
2025-07-22 09:55:00,1.7259,1.7266,1.7251,1.7257,0.0
2025-07-22 10:00:00,1.726,1.7267,1.7249,1.7257,0.0
2025-07-22 10:05:00,1.7262,1.7269,1.7242,1.7251,0.0
2025-07-22 10:10:00,1.7255,1.7261,1.724,1.7256,0.0
2025-07-22 10:15:00,1.7257,1.727,1.7244,1.7256,0.0
2025-07-22 10:20:00,1.7256,1.7267,1.7247,1.7254,0.0
2025-07-22 10:25:00,1.7256,1.7265,1.7248,1.7256,0.0
2025-07-22 10:30:00,1.7258,1.7267,1.7249,1.7257,0.0
2025-07-22 10:35:00,1.7261,1.7265,1.7248,1.7254,0.0
2025-07-22 10:40:00,1.7254,1.7265,1.7245,1.7254,0.0
2025-07-22 10:45:00,1.7252,1.7265,1.7245,1.7254,0.0
2025-07-22 10:50:00,1.7254,1.727,1.7246,1.7258,0.0
2025-07-22 10:55:00,1.7259,1.7282,1.7251,1.727,0.0
2025-07-22 11:00:00,1.7271,1.7281,1.7263,1.727,0.0
2025-07-22 11:05:00,1.7267,1.7273,1.7257,1.7263,0.0
2025-07-22 11:10:00,1.7263,1.7271,1.7256,1.7265,0.0
2025-07-22 11:15:00,1.7264,1.728,1.7253,1.7268,0.0
2025-07-22 11:20:00,1.727,1.7277,1.7261,1.727,0.0
2025-07-22 11:25:00,1.7271,1.7275,1.7262,1.7266,0.0
2025-07-22 11:30:00,1.7262,1.7277,1.726,1.7269,0.0
2025-07-22 11:35:00,1.7274,1.7281,1.7262,1.7271,0.0
2025-07-22 11:40:00,1.7271,1.7288,1.7257,1.7271,0.0
2025-07-22 11:45:00,1.7267,1.728,1.7262,1.727,0.0
2025-07-22 11:50:00,1.7274,1.728,1.7262,1.7273,0.0
2025-07-22 11:55:00,1.7272,1.728,1.7262,1.7272,0.0
2025-07-22 12:00:00,1.7274,1.7281,1.7263,1.7272,0.0
2025-07-22 12:05:00,1.7272,1.7283,1.7267,1.7276,0.0
2025-07-22 12:10:00,1.7275,1.729,1.7268,1.7277,0.0
2025-07-22 12:15:00,1.7284,1.7286,1.7271,1.7281,0.0
2025-07-22 12:20:00,1.7276,1.7291,1.727,1.7282,0.0
2025-07-22 12:25:00,1.7282,1.729,1.7277,1.7285,0.0
2025-07-22 12:30:00,1.7288,1.729,1.7277,1.7281,0.0
2025-07-22 12:35:00,1.7285,1.7294,1.7278,1.7286,0.0
2025-07-22 12:40:00,1.7282,1.7291,1.7277,1.7282,0.0
2025-07-22 12:45:00,1.7282,1.7295,1.7273,1.7286,0.0
2025-07-22 12:50:00,1.7291,1.7294,1.728,1.7281,0.0
2025-07-22 12:55:00,1.7289,1.7293,1.7276,1.7281,0.0
2025-07-22 13:00:00,1.7289,1.7295,1.7276,1.7286,0.0
2025-07-22 13:05:00,1.7286,1.7293,1.7278,1.7286,0.0
2025-07-22 13:10:00,1.7291,1.7293,1.728,1.7288,0.0
2025-07-22 13:15:00,1.7285,1.729,1.7277,1.7282,0.0
2025-07-22 13:20:00,1.7286,1.7291,1.7277,1.7282,0.0
2025-07-22 13:25:00,1.7282,1.7293,1.7278,1.7284,0.0
2025-07-22 13:30:00,1.728,1.7294,1.7273,1.7281,0.0
2025-07-22 13:35:00,1.7277,1.7288,1.7273,1.728,0.0
2025-07-22 13:40:00,1.7281,1.7287,1.7275,1.7279,0.0
2025-07-22 13:45:00,1.7275,1.7286,1.7272,1.7276,0.0
2025-07-22 13:50:00,1.7284,1.7289,1.7273,1.7278,0.0
2025-07-22 13:55:00,1.7285,1.7292,1.7273,1.7281,0.0
2025-07-22 14:00:00,1.7277,1.7289,1.7276,1.7281,0.0
2025-07-22 14:05:00,1.7287,1.7289,1.7276,1.7277,0.0
2025-07-22 14:10:00,1.7285,1.7288,1.7273,1.7277,0.0
2025-07-22 14:15:00,1.7283,1.7288,1.7275,1.7283,0.0
2025-07-22 14:20:00,1.7281,1.7287,1.7275,1.7281,0.0
2025-07-22 14:25:00,1.7285,1.7288,1.7275,1.7281,0.0
2025-07-22 14:30:00,1.7285,1.7288,1.7276,1.728,0.0
2025-07-22 14:35:00,1.728,1.7288,1.7276,1.7279,0.0
2025-07-22 14:40:00,1.7285,1.729,1.7276,1.7278,0.0
2025-07-22 14:45:00,1.7281,1.7292,1.7277,1.7285,0.0
2025-07-22 14:50:00,1.7281,1.729,1.7277,1.728,0.0
2025-07-22 14:55:00,1.7284,1.7289,1.7278,1.7282,0.0
2025-07-22 15:00:00,1.7288,1.7292,1.7278,1.7286,0.0
2025-07-22 15:05:00,1.7289,1.7294,1.7281,1.7288,0.0
2025-07-22 15:10:00,1.7289,1.7294,1.728,1.7286,0.0
2025-07-22 15:15:00,1.7289,1.7295,1.7281,1.7286,0.0
2025-07-22 15:20:00,1.7293,1.7297,1.7284,1.729,0.0
2025-07-22 15:25:00,1.7286,1.7297,1.7282,1.7285,0.0
2025-07-22 15:30:00,1.7291,1.7295,1.7282,1.7289,0.0
2025-07-22 15:35:00,1.7286,1.7294,1.7282,1.7286,0.0
2025-07-22 15:40:00,1.7282,1.7293,1.7281,1.7288,0.0
2025-07-22 15:45:00,1.7289,1.7294,1.7282,1.7287,0.0
2025-07-22 15:50:00,1.7293,1.7293,1.7284,1.7287,0.0
2025-07-22 15:55:00,1.7287,1.7298,1.7282,1.7294,0.0
2025-07-22 16:00:00,1.7286,1.7297,1.7285,1.7289,0.0
2025-07-22 16:05:00,1.729,1.7297,1.7281,1.7282,0.0
2025-07-22 16:10:00,1.7283,1.7296,1.7277,1.7286,0.0
2025-07-22 16:15:00,1.7293,1.7297,1.7282,1.7285,0.0
2025-07-22 16:20:00,1.7286,1.7294,1.7281,1.7288,0.0
2025-07-22 16:25:00,1.7284,1.7294,1.7284,1.7284,0.0
2025-07-22 16:30:00,1.7288,1.7295,1.7284,1.7291,0.0
2025-07-22 16:35:00,1.7287,1.7295,1.7285,1.7288,0.0
2025-07-22 16:40:00,1.7295,1.7297,1.7288,1.7288,0.0
2025-07-22 16:45:00,1.7292,1.7297,1.7285,1.7287,0.0
2025-07-22 16:50:00,1.7293,1.7295,1.7287,1.7287,0.0
