,Open,High,Low,Close,Volume
2025-07-22 05:45:00,23.7807,23.7842,23.7521,23.758,0.0
2025-07-22 05:50:00,23.761,23.7686,23.7386,23.7421,0.0
2025-07-22 05:55:00,23.7482,23.768,23.7269,23.7443,0.0
2025-07-22 06:00:00,23.7467,23.7598,23.7304,23.7429,0.0
2025-07-22 06:05:00,23.7474,23.7567,23.7228,23.7334,0.0
2025-07-22 06:10:00,23.7357,23.7564,23.7284,23.7443,0.0
2025-07-22 06:15:00,23.7416,23.7527,23.7139,23.7196,0.0
2025-07-22 06:20:00,23.7249,23.7519,23.7089,23.7361,0.0
2025-07-22 06:25:00,23.7393,23.7458,23.722,23.7321,0.0
2025-07-22 06:30:00,23.7328,23.7425,23.7234,23.7321,0.0
2025-07-22 06:35:00,23.737,23.7491,23.7148,23.7352,0.0
2025-07-22 06:40:00,23.7398,23.7449,23.7216,23.7318,0.0
2025-07-22 06:45:00,23.7321,23.7451,23.7181,23.7402,0.0
2025-07-22 06:50:00,23.7386,23.7503,23.7197,23.7399,0.0
2025-07-22 06:55:00,23.7373,23.7534,23.728,23.7414,0.0
2025-07-22 07:00:00,23.7418,23.7476,23.7158,23.7284,0.0
2025-07-22 07:05:00,23.7296,23.7502,23.7067,23.7419,0.0
2025-07-22 07:10:00,23.7463,23.7597,23.7122,23.7175,0.0
2025-07-22 07:15:00,23.7335,23.7421,23.7102,23.7336,0.0
2025-07-22 07:20:00,23.731,23.7472,23.7053,23.7351,0.0
2025-07-22 07:25:00,23.7401,23.7563,23.7173,23.7314,0.0
2025-07-22 07:30:00,23.733,23.7414,23.7088,23.7184,0.0
2025-07-22 07:35:00,23.73,23.7431,23.7067,23.7315,0.0
2025-07-22 07:40:00,23.7139,23.7411,23.7068,23.7275,0.0
2025-07-22 07:45:00,23.7265,23.7414,23.7041,23.7246,0.0
2025-07-22 07:50:00,23.7319,23.7379,23.6966,23.7265,0.0
2025-07-22 07:55:00,23.7246,23.7379,23.702,23.7244,0.0
2025-07-22 08:00:00,23.7307,23.7475,23.6732,23.7064,0.0
2025-07-22 08:05:00,23.7101,23.7228,23.6953,23.7054,0.0
2025-07-22 08:10:00,23.71,23.7216,23.6879,23.6946,0.0
2025-07-22 08:15:00,23.7015,23.7124,23.6857,23.6983,0.0
2025-07-22 08:20:00,23.6918,23.7259,23.6706,23.7032,0.0
2025-07-22 08:25:00,23.7031,23.7148,23.674,23.6866,0.0
2025-07-22 08:30:00,23.69,23.7059,23.6753,23.6866,0.0
2025-07-22 08:35:00,23.6955,23.7034,23.6754,23.6828,0.0
2025-07-22 08:40:00,23.6837,23.6962,23.64,23.6548,0.0
2025-07-22 08:45:00,23.6521,23.6827,23.6287,23.6722,0.0
2025-07-22 08:50:00,23.669,23.6841,23.6203,23.6467,0.0
2025-07-22 08:55:00,23.64,23.6693,23.6279,23.6458,0.0
2025-07-22 09:00:00,23.6442,23.6716,23.6214,23.6505,0.0
2025-07-22 09:05:00,23.6539,23.6732,23.6205,23.6488,0.0
2025-07-22 09:10:00,23.6485,23.6574,23.6139,23.6395,0.0
2025-07-22 09:15:00,23.6428,23.6563,23.6058,23.6337,0.0
2025-07-22 09:20:00,23.6202,23.6585,23.61,23.648,0.0
2025-07-22 09:25:00,23.6457,23.6627,23.625,23.6524,0.0
2025-07-22 09:30:00,23.6473,23.6725,23.6229,23.6527,0.0
2025-07-22 09:35:00,23.6558,23.6905,23.6241,23.6684,0.0
2025-07-22 09:40:00,23.6675,23.6786,23.6399,23.6622,0.0
2025-07-22 09:45:00,23.6663,23.6768,23.6242,23.6404,0.0
2025-07-22 09:50:00,23.6578,23.6629,23.6109,23.6485,0.0
2025-07-22 09:55:00,23.6458,23.6581,23.6191,23.6445,0.0
2025-07-22 10:00:00,23.649,23.6929,23.6226,23.6813,0.0
2025-07-22 10:05:00,23.6826,23.7197,23.645,23.6873,0.0
2025-07-22 10:10:00,23.6986,23.7246,23.6767,23.7145,0.0
2025-07-22 10:15:00,23.7138,23.736,23.6585,23.6877,0.0
2025-07-22 10:20:00,23.6923,23.734,23.664,23.7048,0.0
2025-07-22 10:25:00,23.719,23.7449,23.6916,23.7338,0.0
2025-07-22 10:30:00,23.7387,23.7642,23.709,23.7343,0.0
2025-07-22 10:35:00,23.7378,23.7494,23.6914,23.7139,0.0
2025-07-22 10:40:00,23.7182,23.761,23.6907,23.7449,0.0
2025-07-22 10:45:00,23.7419,23.7629,23.7224,23.7437,0.0
2025-07-22 10:50:00,23.7501,23.7645,23.7159,23.7504,0.0
2025-07-22 10:55:00,23.7579,23.7889,23.7137,23.7431,0.0
2025-07-22 11:00:00,23.7496,23.7568,23.713,23.7364,0.0
2025-07-22 11:05:00,23.7368,23.7438,23.6907,23.7248,0.0
2025-07-22 11:10:00,23.7266,23.7473,23.7038,23.7358,0.0
2025-07-22 11:15:00,23.7397,23.7827,23.7173,23.7619,0.0
2025-07-22 11:20:00,23.7783,23.7892,23.7456,23.7806,0.0
2025-07-22 11:25:00,23.7839,23.7849,23.7371,23.7557,0.0
2025-07-22 11:30:00,23.7537,23.7712,23.7364,23.7611,0.0
2025-07-22 11:35:00,23.7631,23.776,23.7348,23.7584,0.0
