,Open,High,Low,Close,Volume
2025-07-22 21:00:00,1.6958,1.6965,1.6947,1.6964,0.0
2025-07-22 21:05:00,1.6967,1.6978,1.6957,1.6976,0.0
2025-07-22 21:10:00,1.6976,1.6997,1.6961,1.6988,0.0
2025-07-22 21:15:00,1.6996,1.6999,1.6984,1.6984,0.0
2025-07-22 21:20:00,1.6987,1.6996,1.6973,1.6976,0.0
2025-07-22 21:25:00,1.6972,1.6982,1.6969,1.6975,0.0
2025-07-22 21:30:00,1.6974,1.6979,1.6971,1.6976,0.0
2025-07-22 21:35:00,1.6975,1.6988,1.6967,1.6976,0.0
2025-07-22 21:40:00,1.6978,1.6991,1.697,1.6981,0.0
2025-07-22 21:45:00,1.6983,1.6998,1.6978,1.6986,0.0
2025-07-22 21:50:00,1.6987,1.6993,1.6974,1.699,0.0
2025-07-22 21:55:00,1.6991,1.6997,1.6968,1.6969,0.0
2025-07-22 22:00:00,1.6973,1.699,1.6966,1.6985,0.0
2025-07-22 22:05:00,1.6989,1.699,1.6966,1.697,0.0
2025-07-22 22:10:00,1.6968,1.6975,1.6965,1.6974,0.0
2025-07-22 22:15:00,1.6974,1.6974,1.6974,1.6974,0.0
2025-07-22 22:20:00,1.6979,1.7007,1.6972,1.7005,0.0
2025-07-22 22:25:00,1.7005,1.7005,1.7005,1.7005,0.0
2025-07-22 22:30:00,1.7027,1.7043,1.7018,1.704,0.0
2025-07-22 22:35:00,1.7043,1.7053,1.7033,1.704,0.0
2025-07-22 22:40:00,1.7036,1.7038,1.7016,1.7018,0.0
2025-07-22 22:45:00,1.7017,1.702,1.7007,1.7016,0.0
2025-07-22 22:50:00,1.7014,1.7023,1.7009,1.7023,0.0
2025-07-22 22:55:00,1.7014,1.7022,1.7011,1.7012,0.0
2025-07-22 23:00:00,1.7015,1.7019,1.701,1.7012,0.0
2025-07-22 23:05:00,1.7009,1.7014,1.7001,1.701,0.0
2025-07-22 23:10:00,1.7009,1.7026,1.7006,1.7016,0.0
2025-07-22 23:15:00,1.7015,1.7024,1.7004,1.7007,0.0
2025-07-22 23:20:00,1.7009,1.7013,1.7005,1.7009,0.0
2025-07-22 23:25:00,1.7009,1.7012,1.6993,1.7001,0.0
2025-07-22 23:30:00,1.7003,1.7004,1.6985,1.6985,0.0
2025-07-22 23:35:00,1.6989,1.6994,1.697,1.6977,0.0
2025-07-22 23:40:00,1.698,1.6991,1.6976,1.6985,0.0
2025-07-22 23:45:00,1.6987,1.6994,1.6978,1.6988,0.0
2025-07-22 23:50:00,1.6991,1.6995,1.6981,1.6989,0.0
2025-07-22 23:55:00,1.6992,1.7006,1.6988,1.7002,0.0
2025-07-23 00:00:00,1.7004,1.7016,1.6999,1.7007,0.0
2025-07-23 00:05:00,1.701,1.7019,1.7003,1.7016,0.0
2025-07-23 00:10:00,1.7011,1.7018,1.7009,1.7013,0.0
2025-07-23 00:15:00,1.7014,1.702,1.7004,1.7016,0.0
2025-07-23 00:20:00,1.7013,1.702,1.7006,1.7015,0.0
2025-07-23 00:25:00,1.7018,1.7028,1.7006,1.702,0.0
2025-07-23 00:30:00,1.7019,1.7027,1.7007,1.7016,0.0
2025-07-23 00:35:00,1.7018,1.7022,1.701,1.7018,0.0
2025-07-23 00:40:00,1.7016,1.7023,1.7008,1.7015,0.0
2025-07-23 00:45:00,1.7016,1.702,1.7008,1.7013,0.0
2025-07-23 00:50:00,1.7013,1.7019,1.7008,1.7012,0.0
2025-07-23 00:55:00,1.7011,1.7019,1.7007,1.701,0.0
2025-07-23 01:00:00,1.701,1.7022,1.7005,1.701,0.0
2025-07-23 01:05:00,1.7006,1.7016,1.7003,1.7012,0.0
2025-07-23 01:10:00,1.7012,1.702,1.6996,1.7012,0.0
2025-07-23 01:15:00,1.7015,1.7027,1.7009,1.7022,0.0
2025-07-23 01:20:00,1.7024,1.7037,1.7021,1.7028,0.0
2025-07-23 01:25:00,1.7025,1.7029,1.7016,1.7021,0.0
2025-07-23 01:30:00,1.7021,1.7031,1.7017,1.7027,0.0
2025-07-23 01:35:00,1.7025,1.7031,1.7015,1.7026,0.0
2025-07-23 01:40:00,1.7027,1.7038,1.7022,1.7035,0.0
2025-07-23 01:45:00,1.7031,1.7041,1.7027,1.704,0.0
2025-07-23 01:50:00,1.7037,1.7042,1.7025,1.7028,0.0
2025-07-23 01:55:00,1.7026,1.7038,1.7022,1.7033,0.0
2025-07-23 02:00:00,1.7032,1.7042,1.7029,1.7033,0.0
2025-07-23 02:05:00,1.7033,1.7046,1.7027,1.7034,0.0
2025-07-23 02:10:00,1.7033,1.7035,1.7019,1.7027,0.0
2025-07-23 02:15:00,1.7026,1.704,1.7025,1.7035,0.0
2025-07-23 02:20:00,1.7034,1.7038,1.7026,1.7036,0.0
2025-07-23 02:25:00,1.7034,1.7035,1.7023,1.7026,0.0
2025-07-23 02:30:00,1.7028,1.7038,1.6995,1.7002,0.0
2025-07-23 02:35:00,1.7004,1.7016,1.6979,1.7006,0.0
2025-07-23 02:40:00,1.7011,1.7031,1.7,1.7023,0.0
2025-07-23 02:45:00,1.7028,1.7032,1.7006,1.701,0.0
2025-07-23 02:50:00,1.7015,1.7024,1.7004,1.7022,0.0
2025-07-23 02:55:00,1.702,1.7023,1.7002,1.7007,0.0
2025-07-23 03:00:00,1.7014,1.7015,1.6996,1.7009,0.0
2025-07-23 03:05:00,1.701,1.7014,1.6994,1.6997,0.0
