,Open,High,Low,Close,Volume
2025-07-22 16:35:00,7.8665,7.8718,7.8625,7.8689,0.0
2025-07-22 16:40:00,7.8706,7.8719,7.8654,7.8696,0.0
2025-07-22 16:45:00,7.8701,7.8732,7.8658,7.8712,0.0
2025-07-22 16:50:00,7.8708,7.8727,7.8643,7.8684,0.0
2025-07-22 16:55:00,7.8687,7.8721,7.8636,7.8686,0.0
2025-07-22 17:00:00,7.8675,7.8751,7.8607,7.8652,0.0
2025-07-22 17:05:00,7.8657,7.8753,7.8631,7.8647,0.0
2025-07-22 17:10:00,7.8647,7.8647,7.8647,7.8647,0.0
2025-07-22 17:15:00,7.8566,7.8566,7.8561,7.8566,0.0
2025-07-22 17:20:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 17:25:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 17:30:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 17:35:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 17:40:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 17:45:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 17:50:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 17:55:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 18:00:00,7.8566,7.8566,7.8566,7.8566,0.0
2025-07-22 18:05:00,7.8685,7.8788,7.8612,7.8678,0.0
2025-07-22 18:10:00,7.8744,7.8755,7.865,7.8671,0.0
2025-07-22 18:15:00,7.8653,7.8752,7.8627,7.8718,0.0
2025-07-22 18:20:00,7.8723,7.8737,7.8639,7.8666,0.0
2025-07-22 18:25:00,7.8665,7.878,7.8643,7.8765,0.0
2025-07-22 18:30:00,7.8755,7.8765,7.8673,7.8694,0.0
2025-07-22 18:35:00,7.8687,7.8806,7.8657,7.8715,0.0
2025-07-22 18:40:00,7.8756,7.8768,7.8663,7.8735,0.0
2025-07-22 18:45:00,7.874,7.8741,7.8674,7.8731,0.0
2025-07-22 18:50:00,7.8683,7.8735,7.8642,7.8698,0.0
2025-07-22 18:55:00,7.8691,7.875,7.8611,7.8685,0.0
2025-07-22 19:00:00,7.872,7.8751,7.8647,7.8688,0.0
2025-07-22 19:05:00,7.8675,7.8743,7.8604,7.8697,0.0
2025-07-22 19:10:00,7.8661,7.8732,7.8625,7.868,0.0
2025-07-22 19:15:00,7.8693,7.8794,7.8416,7.8563,0.0
2025-07-22 19:20:00,7.853,7.8748,7.8487,7.8715,0.0
2025-07-22 19:25:00,7.872,7.8843,7.8598,7.8726,0.0
2025-07-22 19:30:00,7.8763,7.8835,7.8657,7.8809,0.0
2025-07-22 19:35:00,7.8758,7.8857,7.8688,7.8768,0.0
2025-07-22 19:40:00,7.881,7.8858,7.8731,7.879,0.0
2025-07-22 19:45:00,7.8834,7.8871,7.8758,7.8839,0.0
2025-07-22 19:50:00,7.8784,7.889,7.8748,7.8813,0.0
2025-07-22 19:55:00,7.8808,7.887,7.8723,7.8756,0.0
2025-07-22 20:00:00,7.8809,7.883,7.8684,7.872,0.0
