,Open,High,Low,Close,Volume
2025-07-06 19:40:00,14.3389,14.3389,14.3389,14.3389,0.0
2025-07-06 19:45:00,14.3375,14.3422,14.337,14.3422,0.0
2025-07-06 19:50:00,14.3416,14.351,14.3403,14.3482,0.0
2025-07-06 19:55:00,14.3514,14.3526,14.3497,14.3519,0.0
2025-07-06 20:00:00,14.351,14.351,14.336,14.343,0.0
2025-07-06 20:05:00,14.3432,14.3472,14.3421,14.3421,0.0
2025-07-06 20:10:00,14.3414,14.3421,14.3395,14.3414,0.0
2025-07-06 20:15:00,14.3442,14.3453,14.3428,14.3448,0.0
2025-07-06 20:20:00,14.3414,14.3439,14.3382,14.3439,0.0
2025-07-06 20:25:00,14.3425,14.3443,14.3318,14.3322,0.0
2025-07-06 20:30:00,14.3327,14.3344,14.3293,14.3293,0.0
2025-07-06 20:35:00,14.3288,14.3319,14.3269,14.3269,0.0
2025-07-06 20:40:00,14.3271,14.3271,14.3211,14.3211,0.0
2025-07-06 20:45:00,14.3207,14.3235,14.3198,14.3198,0.0
2025-07-06 20:50:00,14.3214,14.3237,14.321,14.3227,0.0
2025-07-06 20:55:00,14.3184,14.3231,14.3164,14.3227,0.0
2025-07-06 21:00:00,14.316,14.3223,14.316,14.3189,0.0
2025-07-06 21:05:00,14.3196,14.3208,14.3151,14.3151,0.0
2025-07-06 21:10:00,14.314,14.3164,14.3125,14.3133,0.0
2025-07-06 21:15:00,14.3088,14.315,14.3088,14.3141,0.0
2025-07-06 21:20:00,14.3144,14.3144,14.3104,14.3104,0.0
2025-07-06 21:25:00,14.3125,14.3166,14.3125,14.3142,0.0
2025-07-06 21:30:00,14.3138,14.3158,14.3138,14.3139,0.0
2025-07-06 21:35:00,14.3152,14.3188,14.3148,14.3163,0.0
2025-07-06 21:40:00,14.3187,14.3193,14.3115,14.3115,0.0
2025-07-06 21:45:00,14.3123,14.3204,14.3123,14.3204,0.0
2025-07-06 21:50:00,14.3219,14.3284,14.3219,14.3284,0.0
2025-07-06 21:55:00,14.3261,14.3266,14.3236,14.3249,0.0
2025-07-06 22:00:00,14.3269,14.3269,14.3189,14.3212,0.0
2025-07-06 22:05:00,14.3212,14.3251,14.321,14.3251,0.0
2025-07-06 22:10:00,14.3248,14.3294,14.3237,14.3294,0.0
2025-07-06 22:15:00,14.3292,14.334,14.3291,14.3324,0.0
2025-07-06 22:20:00,14.3311,14.3363,14.3311,14.3363,0.0
2025-07-06 22:25:00,14.3365,14.3403,14.33,14.3403,0.0
2025-07-06 22:30:00,14.3389,14.3396,14.3299,14.3306,0.0
2025-07-06 22:35:00,14.3295,14.3398,14.3285,14.3391,0.0
2025-07-06 22:40:00,14.34,14.34,14.3368,14.3385,0.0
2025-07-06 22:45:00,14.339,14.3429,14.339,14.3399,0.0
2025-07-06 22:50:00,14.3417,14.3424,14.341,14.341,0.0
2025-07-06 22:55:00,14.3406,14.3406,14.3384,14.3384,0.0
2025-07-06 23:00:00,14.3371,14.3403,14.3291,14.3291,0.0
2025-07-06 23:05:00,14.3303,14.3369,14.3303,14.3363,0.0
2025-07-06 23:10:00,14.3369,14.3372,14.3331,14.3331,0.0
2025-07-06 23:15:00,14.3326,14.3354,14.3316,14.3354,0.0
2025-07-06 23:20:00,14.3346,14.3366,14.3326,14.3331,0.0
2025-07-06 23:25:00,14.3355,14.3368,14.3347,14.3361,0.0
2025-07-06 23:30:00,14.3374,14.3398,14.3365,14.3389,0.0
2025-07-06 23:35:00,14.3407,14.3424,14.337,14.3398,0.0
2025-07-06 23:40:00,14.3388,14.3413,14.3388,14.3392,0.0
2025-07-06 23:45:00,14.339,14.3401,14.3381,14.3401,0.0
2025-07-06 23:50:00,14.3414,14.3431,14.3404,14.3418,0.0
2025-07-06 23:55:00,14.3387,14.3404,14.3384,14.3404,0.0
2025-07-07 00:00:00,14.3395,14.3451,14.3395,14.3451,0.0
2025-07-07 00:05:00,14.3442,14.3442,14.337,14.337,0.0
2025-07-07 00:10:00,14.3361,14.3365,14.3354,14.3364,0.0
2025-07-07 00:15:00,14.3374,14.3385,14.3352,14.3354,0.0
2025-07-07 00:20:00,14.3345,14.3359,14.3324,14.335,0.0
2025-07-07 00:25:00,14.3351,14.3392,14.3342,14.3387,0.0
2025-07-07 00:30:00,14.3399,14.3435,14.3396,14.3435,0.0
2025-07-07 00:35:00,14.3431,14.346,14.343,14.343,0.0
2025-07-07 00:40:00,14.3421,14.3473,14.3421,14.3471,0.0
2025-07-07 00:45:00,14.346,14.3488,14.3347,14.3347,0.0
2025-07-07 00:50:00,14.331,14.3433,14.3308,14.3433,0.0
2025-07-07 00:55:00,14.342,14.3481,14.342,14.3463,0.0
2025-07-07 01:00:00,14.3464,14.3464,14.3401,14.3424,0.0
2025-07-07 01:05:00,14.3414,14.3454,14.3412,14.3412,0.0
2025-07-07 01:10:00,14.3405,14.3466,14.3405,14.3466,0.0
2025-07-07 01:15:00,14.3467,14.3471,14.3429,14.345,0.0
2025-07-07 01:20:00,14.3459,14.3481,14.3439,14.3481,0.0
2025-07-07 01:25:00,14.3482,14.3484,14.3443,14.3465,0.0
2025-07-07 01:30:00,14.3416,14.343,14.3352,14.343,0.0
2025-07-07 01:35:00,14.3414,14.344,14.3394,14.3394,0.0
2025-07-07 01:40:00,14.3402,14.3485,14.3396,14.3485,0.0
2025-07-07 01:45:00,14.3463,14.3465,14.3436,14.3436,0.0
2025-07-07 01:50:00,14.3443,14.3443,14.3353,14.3373,0.0
2025-07-07 01:55:00,14.3382,14.3477,14.3382,14.3429,0.0
2025-07-07 02:00:00,14.3392,14.352,14.339,14.35,0.0
2025-07-07 02:05:00,14.357,14.3726,14.357,14.3702,0.0
2025-07-07 02:10:00,14.3703,14.3703,14.3608,14.3633,0.0
2025-07-07 02:15:00,14.3623,14.3623,14.3523,14.3542,0.0
2025-07-07 02:20:00,14.3549,14.3584,14.3533,14.3584,0.0
2025-07-07 02:25:00,14.3571,14.3594,14.348,14.348,0.0
2025-07-07 02:30:00,14.3487,14.3498,14.3414,14.343,0.0
2025-07-07 02:35:00,14.3428,14.3435,14.3366,14.3375,0.0
2025-07-07 02:40:00,14.3358,14.3375,14.3302,14.3302,0.0
2025-07-07 02:45:00,14.3269,14.3399,14.3269,14.3399,0.0
2025-07-07 02:50:00,14.3381,14.3381,14.332,14.3322,0.0
2025-07-07 02:55:00,14.3362,14.3378,14.3302,14.3323,0.0
2025-07-07 03:00:00,14.3351,14.3358,14.3316,14.3323,0.0
2025-07-07 03:05:00,14.3309,14.3331,14.3279,14.3279,0.0
2025-07-07 03:10:00,14.3305,14.3305,14.3245,14.33,0.0
2025-07-07 03:15:00,14.3316,14.332,14.3267,14.3311,0.0
2025-07-07 03:20:00,14.33,14.3497,14.33,14.3497,0.0
2025-07-07 03:25:00,14.3493,14.3493,14.3394,14.3394,0.0
2025-07-07 03:30:00,14.338,14.3446,14.3378,14.3412,0.0
2025-07-07 03:35:00,14.3433,14.3447,14.3366,14.3443,0.0
2025-07-07 03:40:00,14.3469,14.3531,14.3461,14.3531,0.0
2025-07-07 03:45:00,14.351,14.3551,14.3499,14.3551,0.0
2025-07-07 03:50:00,14.3544,14.3572,14.3537,14.3543,0.0
2025-07-07 03:55:00,14.3548,14.3587,14.3545,14.3587,0.0
2025-07-07 04:00:00,14.3586,14.3596,14.3562,14.357,0.0
2025-07-07 04:05:00,14.3592,14.3592,14.3498,14.3498,0.0
2025-07-07 04:10:00,14.3526,14.3526,14.3469,14.3469,0.0
2025-07-07 04:15:00,14.3474,14.3481,14.3391,14.3391,0.0
2025-07-07 04:20:00,14.3366,14.3377,14.3308,14.3322,0.0
2025-07-07 04:25:00,14.332,14.332,14.3276,14.3293,0.0
2025-07-07 04:30:00,14.3252,14.3272,14.3224,14.326,0.0
2025-07-07 04:35:00,14.3269,14.3269,14.3241,14.3251,0.0
2025-07-07 04:40:00,14.3251,14.326,14.321,14.3229,0.0
2025-07-07 04:45:00,14.326,14.3301,14.326,14.3283,0.0
2025-07-07 04:50:00,14.3274,14.3288,14.3243,14.3243,0.0
2025-07-07 04:55:00,14.3247,14.325,14.3221,14.3238,0.0
2025-07-07 05:00:00,14.3253,14.3258,14.3202,14.3219,0.0
2025-07-07 05:05:00,14.324,14.3292,14.3189,14.3189,0.0
2025-07-07 05:10:00,14.3221,14.3355,14.3221,14.3355,0.0
2025-07-07 05:15:00,14.3359,14.3372,14.3324,14.3352,0.0
2025-07-07 05:20:00,14.3351,14.3394,14.3351,14.3394,0.0
2025-07-07 05:25:00,14.34,14.3425,14.3395,14.3416,0.0
2025-07-07 05:30:00,14.342,14.3473,14.3419,14.3461,0.0
2025-07-07 05:35:00,14.3465,14.3513,14.3456,14.3513,0.0
2025-07-07 05:40:00,14.3519,14.3536,14.3504,14.3504,0.0
2025-07-07 05:45:00,14.3514,14.3518,14.3491,14.3508,0.0
2025-07-07 05:50:00,14.352,14.3539,14.3492,14.3539,0.0
2025-07-07 05:55:00,14.3547,14.3551,14.348,14.3493,0.0
2025-07-07 06:00:00,14.3472,14.3483,14.3458,14.3465,0.0
2025-07-07 06:05:00,14.3448,14.3462,14.3426,14.3429,0.0
2025-07-07 06:10:00,14.3439,14.3457,14.3412,14.3424,0.0
2025-07-07 06:15:00,14.3415,14.3415,14.3342,14.3375,0.0
2025-07-07 06:20:00,14.3347,14.3395,14.3324,14.3395,0.0
2025-07-07 06:25:00,14.339,14.339,14.3367,14.3367,0.0
2025-07-07 06:30:00,14.3381,14.3381,14.3346,14.3381,0.0
2025-07-07 06:35:00,14.3368,14.338,14.3346,14.3346,0.0
2025-07-07 06:40:00,14.3357,14.3369,14.3327,14.334,0.0
2025-07-07 06:45:00,14.3342,14.3368,14.3336,14.3365,0.0
2025-07-07 06:50:00,14.3377,14.3402,14.3377,14.3402,0.0
2025-07-07 06:55:00,14.3416,14.35,14.3416,14.35,0.0
2025-07-07 07:00:00,14.3492,14.3515,14.3474,14.3515,0.0
2025-07-07 07:05:00,14.3522,14.3538,14.3497,14.3526,0.0
2025-07-07 07:10:00,14.3513,14.3527,14.3479,14.348,0.0
2025-07-07 07:15:00,14.3469,14.3469,14.34,14.34,0.0
2025-07-07 07:20:00,14.3402,14.348,14.3402,14.348,0.0
2025-07-07 07:25:00,14.3495,14.3495,14.3455,14.3473,0.0
2025-07-07 07:30:00,14.3467,14.3588,14.3467,14.3577,0.0
2025-07-07 07:35:00,14.3616,14.3624,14.3585,14.3585,0.0
2025-07-07 07:40:00,14.3564,14.3629,14.3564,14.3616,0.0
2025-07-07 07:45:00,14.3607,14.3653,14.3607,14.3652,0.0
2025-07-07 07:50:00,14.3659,14.3661,14.3627,14.3627,0.0
2025-07-07 07:55:00,14.363,14.3679,14.3602,14.3674,0.0
2025-07-07 08:00:00,14.3686,14.3732,14.3677,14.3723,0.0
2025-07-07 08:05:00,14.3714,14.3719,14.3706,14.3708,0.0
2025-07-07 08:10:00,14.3695,14.3703,14.3663,14.3671,0.0
2025-07-07 08:15:00,14.3677,14.3743,14.3677,14.3728,0.0
2025-07-07 08:20:00,14.3746,14.3746,14.3695,14.3695,0.0
2025-07-07 08:25:00,14.3711,14.3716,14.3657,14.3657,0.0
2025-07-07 08:30:00,14.3678,14.3714,14.3662,14.3714,0.0
2025-07-07 08:35:00,14.3705,14.3789,14.3704,14.3789,0.0
2025-07-07 08:40:00,14.3801,14.3815,14.376,14.376,0.0
2025-07-07 08:45:00,14.3767,14.3786,14.3711,14.3711,0.0
