,Open,High,Low,Close,Volume
2025-07-22 05:40:00,4.6674,4.6691,4.6659,4.6691,0.0
2025-07-22 05:45:00,4.6683,4.6699,4.6673,4.6681,0.0
2025-07-22 05:50:00,4.6691,4.6707,4.6681,4.6699,0.0
2025-07-22 05:55:00,4.6691,4.6723,4.6691,4.6723,0.0
2025-07-22 06:00:00,4.6714,4.6723,4.6698,4.6715,0.0
2025-07-22 06:05:00,4.672,4.6746,4.6705,4.673,0.0
2025-07-22 06:10:00,4.6736,4.6746,4.672,4.673,0.0
2025-07-22 06:15:00,4.6738,4.6754,4.673,4.6746,0.0
2025-07-22 06:20:00,4.6754,4.6754,4.673,4.6738,0.0
2025-07-22 06:25:00,4.673,4.6738,4.6714,4.6723,0.0
2025-07-22 06:30:00,4.673,4.673,4.6706,4.6715,0.0
2025-07-22 06:35:00,4.672,4.6723,4.6697,4.6697,0.0
2025-07-22 06:40:00,4.6691,4.6715,4.6689,4.6705,0.0
2025-07-22 06:45:00,4.6715,4.6715,4.6689,4.6699,0.0
2025-07-22 06:50:00,4.6706,4.6707,4.6683,4.6691,0.0
2025-07-22 06:55:00,4.6683,4.6707,4.6676,4.6699,0.0
2025-07-22 07:00:00,4.6691,4.6707,4.6683,4.6691,0.0
2025-07-22 07:05:00,4.6683,4.6699,4.6667,4.6683,0.0
2025-07-22 07:10:00,4.6691,4.6691,4.6667,4.6683,0.0
2025-07-22 07:15:00,4.6675,4.6707,4.6675,4.6698,0.0
2025-07-22 07:20:00,4.6707,4.6723,4.6698,4.6715,0.0
2025-07-22 07:25:00,4.6723,4.673,4.6707,4.6715,0.0
2025-07-22 07:30:00,4.6722,4.673,4.6698,4.6715,0.0
2025-07-22 07:35:00,4.6705,4.673,4.6705,4.672,0.0
2025-07-22 07:40:00,4.673,4.6746,4.6714,4.673,0.0
2025-07-22 07:45:00,4.6738,4.6762,4.6712,4.6754,0.0
2025-07-22 07:50:00,4.6746,4.6762,4.6738,4.6746,0.0
2025-07-22 07:55:00,4.6738,4.6762,4.6738,4.6746,0.0
2025-07-22 08:00:00,4.6754,4.677,4.6736,4.677,0.0
2025-07-22 08:05:00,4.6761,4.6793,4.6759,4.6785,0.0
2025-07-22 08:10:00,4.6776,4.6785,4.6759,4.6778,0.0
2025-07-22 08:15:00,4.6767,4.6793,4.6767,4.6793,0.0
2025-07-22 08:20:00,4.6783,4.6793,4.6752,4.6762,0.0
2025-07-22 08:25:00,4.6767,4.6785,4.6752,4.6778,0.0
2025-07-22 08:30:00,4.6769,4.6785,4.6761,4.677,0.0
2025-07-22 08:35:00,4.6761,4.6785,4.6759,4.6762,0.0
2025-07-22 08:40:00,4.677,4.6793,4.6762,4.6785,0.0
