,Open,High,Low,Close,Volume
2025-07-22 16:30:00,2.0036,2.0038,2.0032,2.0038,0.0
2025-07-22 16:35:00,2.0036,2.0043,2.0033,2.0038,0.0
2025-07-22 16:40:00,2.0035,2.0045,2.0032,2.0041,0.0
2025-07-22 16:45:00,2.0034,2.0045,2.003,2.0034,0.0
2025-07-22 16:50:00,2.0036,2.0041,2.003,2.0031,0.0
2025-07-22 16:55:00,2.0025,2.0038,2.0016,2.0017,0.0
2025-07-22 17:00:00,2.0024,2.0029,2.0017,2.0025,0.0
2025-07-22 17:05:00,2.0017,2.0017,2.0017,2.0017,0.0
2025-07-22 17:10:00,1.9984,2.0004,1.9984,2.0001,0.0
2025-07-22 17:15:00,2.001,2.0015,1.9997,2.0011,0.0
2025-07-22 17:20:00,2.0015,2.0018,1.9991,2.0008,0.0
2025-07-22 17:25:00,2.0005,2.0011,1.9998,2.0005,0.0
2025-07-22 17:30:00,2.0007,2.0008,1.9994,2.0005,0.0
2025-07-22 17:35:00,2.0008,2.0008,2.0001,2.0005,0.0
2025-07-22 17:40:00,2.0011,2.0015,2.0001,2.0015,0.0
2025-07-22 17:45:00,2.0008,2.0018,2.0008,2.0015,0.0
2025-07-22 17:50:00,2.0011,2.0015,2.0008,2.0008,0.0
2025-07-22 17:55:00,2.0011,2.0015,2.0008,2.0008,0.0
2025-07-22 18:00:00,2.0011,2.0011,1.9998,2.0005,0.0
2025-07-22 18:05:00,2.0007,2.0017,1.9995,1.9999,0.0
2025-07-22 18:10:00,2.0005,2.0011,1.9998,2.0004,0.0
2025-07-22 18:15:00,2.0002,2.0013,1.9977,1.9999,0.0
2025-07-22 18:20:00,2.0008,2.0008,1.9998,2.0001,0.0
2025-07-22 18:25:00,1.9997,2.0001,1.9991,1.9991,0.0
2025-07-22 18:30:00,1.9994,2.0001,1.9991,1.9994,0.0
2025-07-22 18:35:00,1.9985,1.9992,1.9981,1.9981,0.0
2025-07-22 18:40:00,1.9997,2.0008,1.9992,2.0007,0.0
2025-07-22 18:45:00,2.0001,2.0008,2.0001,2.0005,0.0
2025-07-22 18:50:00,1.9999,2.0009,1.9996,2.0006,0.0
2025-07-22 18:55:00,2.0003,2.001,2.0,2.0,0.0
2025-07-22 19:00:00,2.0004,2.001,2.0,2.0004,0.0
2025-07-22 19:05:00,1.9989,2.002,1.9983,2.001,0.0
2025-07-22 19:10:00,2.0011,2.0018,2.0003,2.0006,0.0
2025-07-22 19:15:00,2.0002,2.0027,1.9997,2.0016,0.0
2025-07-22 19:20:00,2.0024,2.0038,2.0014,2.0021,0.0
2025-07-22 19:25:00,2.0026,2.0027,2.0001,2.0005,0.0
2025-07-22 19:30:00,2.001,2.0025,1.9997,2.0012,0.0
2025-07-22 19:35:00,2.0009,2.002,2.0,2.0,0.0
2025-07-22 19:40:00,2.0001,2.0005,1.9998,1.9998,0.0
2025-07-22 19:45:00,2.0001,2.0005,1.9991,1.9995,0.0
2025-07-22 19:50:00,2.0002,2.0004,1.9989,1.999,0.0
2025-07-22 19:55:00,1.9994,2.0018,1.9991,2.0008,0.0
2025-07-22 20:00:00,2.0011,2.0019,1.9991,2.001,0.0
2025-07-22 20:05:00,2.0007,2.0017,2.0006,2.0011,0.0
2025-07-22 20:10:00,2.0018,2.0022,1.9989,2.0005,0.0
2025-07-22 20:15:00,2.0009,2.0012,2.0002,2.0009,0.0
2025-07-22 20:20:00,2.0013,2.0026,1.9992,1.9998,0.0
