,Open,High,Low,Close,Volume
2025-07-21 13:45:00,87.9759,87.9759,87.9078,87.9699,0.0
2025-07-21 13:50:00,87.9285,88.0058,87.9138,87.9938,0.0
2025-07-21 13:55:00,87.9672,88.0058,87.9198,87.9584,0.0
2025-07-21 14:00:00,87.9612,87.9878,87.9078,87.9405,0.0
2025-07-21 14:05:00,87.9672,87.9878,87.9345,87.9552,0.0
2025-07-21 14:10:00,87.9819,87.9938,87.9345,87.9584,0.0
2025-07-21 14:15:00,87.9672,87.9731,87.9051,87.9258,0.0
2025-07-21 14:20:00,87.923,87.9966,87.8991,87.9699,0.0
2025-07-21 14:25:00,87.9433,87.9846,87.9373,87.9787,0.0
2025-07-21 14:30:00,87.9699,88.0053,87.952,87.9846,0.0
2025-07-21 14:35:00,87.9874,88.0472,87.9285,88.0325,0.0
2025-07-21 14:40:00,88.0118,88.0444,87.9791,88.009,0.0
2025-07-21 14:45:00,88.0118,88.0476,87.9676,88.0329,0.0
2025-07-21 14:50:00,88.0062,88.0448,87.9528,88.0149,0.0
2025-07-21 14:55:00,87.9883,88.0357,87.9763,88.0237,0.0
2025-07-21 15:00:00,87.997,88.0416,87.991,88.0237,0.0
2025-07-21 15:05:00,88.0149,88.0357,87.9763,88.0357,0.0
2025-07-21 15:10:00,88.003,88.0357,87.9644,88.0118,0.0
2025-07-21 15:15:00,88.003,88.0177,87.9524,87.9791,0.0
2025-07-21 15:20:00,87.9819,88.0297,87.9524,88.009,0.0
2025-07-21 15:25:00,87.9823,88.0416,87.9676,87.9974,0.0
2025-07-21 15:30:00,88.0002,88.0241,87.9648,87.9974,0.0
2025-07-21 15:35:00,88.0002,88.0181,87.9321,87.9883,0.0
2025-07-21 15:40:00,87.9616,88.0062,87.9409,87.9823,0.0
2025-07-21 15:45:00,87.9616,87.9823,87.923,87.9469,0.0
2025-07-21 15:50:00,87.9202,87.9735,87.9055,87.9496,0.0
2025-07-21 15:55:00,87.9469,87.9974,87.9055,87.9707,0.0
2025-07-21 16:00:00,87.968,87.9887,87.9086,87.9385,0.0
2025-07-21 16:05:00,87.9739,88.0006,87.9237,87.9799,0.0
2025-07-21 16:10:00,87.9827,87.9946,87.9472,87.9652,0.0
2025-07-21 16:15:00,87.9859,88.0038,87.9504,87.9624,0.0
2025-07-21 16:20:00,87.9595,88.001,87.9476,87.9831,0.0
2025-07-21 16:25:00,87.9743,88.0097,87.9683,87.9683,0.0
2025-07-21 16:30:00,88.0038,88.0038,87.9564,87.9683,0.0
2025-07-21 16:35:00,87.9711,88.0157,87.9564,87.989,0.0
2025-07-21 16:40:00,87.9803,88.0097,87.9416,87.9711,0.0
