,Open,High,Low,Close,Volume
2025-07-22 05:50:00,6.0499,6.0559,6.0477,6.0542,0.0
2025-07-22 05:55:00,6.0523,6.0569,6.047,6.0554,0.0
2025-07-22 06:00:00,6.0545,6.0563,6.0446,6.0516,0.0
2025-07-22 06:05:00,6.0527,6.0569,6.0466,6.0507,0.0
2025-07-22 06:10:00,6.0542,6.0563,6.0472,6.0542,0.0
2025-07-22 06:15:00,6.0553,6.0573,6.0468,6.0522,0.0
2025-07-22 06:20:00,6.0536,6.0542,6.045,6.049,0.0
2025-07-22 06:25:00,6.051,6.054,6.0461,6.049,0.0
2025-07-22 06:30:00,6.0528,6.0535,6.0466,6.0507,0.0
2025-07-22 06:35:00,6.0516,6.054,6.0454,6.0497,0.0
2025-07-22 06:40:00,6.0495,6.0525,6.0447,6.05,0.0
2025-07-22 06:45:00,6.0509,6.0528,6.0439,6.045,0.0
2025-07-22 06:50:00,6.0487,6.051,6.043,6.0489,0.0
2025-07-22 06:55:00,6.048,6.0519,6.0423,6.0507,0.0
2025-07-22 07:00:00,6.0498,6.0547,6.0449,6.0491,0.0
2025-07-22 07:05:00,6.0511,6.0541,6.0421,6.0493,0.0
2025-07-22 07:10:00,6.0504,6.0504,6.0414,6.0474,0.0
2025-07-22 07:15:00,6.0464,6.0506,6.0414,6.0484,0.0
2025-07-22 07:20:00,6.0494,6.0515,6.0433,6.0493,0.0
2025-07-22 07:25:00,6.0472,6.0525,6.0449,6.0493,0.0
2025-07-22 07:30:00,6.0504,6.054,6.0441,6.051,0.0
2025-07-22 07:35:00,6.05,6.0535,6.0444,6.0498,0.0
2025-07-22 07:40:00,6.0509,6.0559,6.045,6.0531,0.0
2025-07-22 07:45:00,6.054,6.0577,6.045,6.0533,0.0
2025-07-22 07:50:00,6.0493,6.0551,6.0458,6.0528,0.0
2025-07-22 07:55:00,6.0518,6.0552,6.0475,6.05,0.0
2025-07-22 08:00:00,6.0541,6.0561,6.0436,6.0511,0.0
2025-07-22 08:05:00,6.053,6.0573,6.0445,6.0511,0.0
2025-07-22 08:10:00,6.0505,6.0545,6.0456,6.0494,0.0
2025-07-22 08:15:00,6.0511,6.0551,6.0465,6.0549,0.0
2025-07-22 08:20:00,6.054,6.0579,6.0466,6.053,0.0
2025-07-22 08:25:00,6.0514,6.0574,6.0458,6.0524,0.0
2025-07-22 08:30:00,6.0485,6.0549,6.0471,6.0523,0.0
2025-07-22 08:35:00,6.0514,6.0574,6.0475,6.0544,0.0
2025-07-22 08:40:00,6.0554,6.0588,6.0468,6.0554,0.0
2025-07-22 08:45:00,6.0564,6.0599,6.0501,6.0577,0.0
2025-07-22 08:50:00,6.0586,6.0635,6.0522,6.059,0.0
2025-07-22 08:55:00,6.0601,6.0639,6.0514,6.0584,0.0
2025-07-22 09:00:00,6.0596,6.064,6.0515,6.0579,0.0
2025-07-22 09:05:00,6.0616,6.0649,6.0547,6.0627,0.0
