,Open,High,Low,Close,Volume
2025-07-21 13:40:00,0.5974,0.5975,0.5972,0.5974,0.0
2025-07-21 13:45:00,0.5975,0.5975,0.5972,0.5975,0.0
2025-07-21 13:50:00,0.5973,0.5975,0.5972,0.5975,0.0
2025-07-21 13:55:00,0.5974,0.5975,0.5972,0.5973,0.0
2025-07-21 14:00:00,0.5974,0.5975,0.5972,0.5973,0.0
2025-07-21 14:05:00,0.5974,0.5975,0.5973,0.5974,0.0
2025-07-21 14:10:00,0.5975,0.5975,0.5973,0.5973,0.0
2025-07-21 14:15:00,0.5974,0.5974,0.5971,0.5972,0.0
2025-07-21 14:20:00,0.5971,0.5976,0.5971,0.5975,0.0
2025-07-21 14:25:00,0.5974,0.5976,0.5974,0.5976,0.0
2025-07-21 14:30:00,0.5975,0.5977,0.5975,0.5976,0.0
2025-07-21 14:35:00,0.5977,0.5977,0.5973,0.5976,0.0
2025-07-21 14:40:00,0.5975,0.5976,0.5974,0.5974,0.0
2025-07-21 14:45:00,0.5975,0.5975,0.5972,0.5974,0.0
2025-07-21 14:50:00,0.5973,0.5974,0.5971,0.5974,0.0
2025-07-21 14:55:00,0.5973,0.5975,0.5973,0.5975,0.0
2025-07-21 15:00:00,0.5974,0.5975,0.5974,0.5975,0.0
2025-07-21 15:05:00,0.5974,0.5975,0.5973,0.5975,0.0
2025-07-21 15:10:00,0.5974,0.5975,0.5973,0.5975,0.0
2025-07-21 15:15:00,0.5974,0.5975,0.5973,0.5974,0.0
2025-07-21 15:20:00,0.5975,0.5975,0.5973,0.5974,0.0
2025-07-21 15:25:00,0.5973,0.5975,0.5972,0.5972,0.0
2025-07-21 15:30:00,0.5973,0.5973,0.5971,0.5972,0.0
2025-07-21 15:35:00,0.5973,0.5973,0.597,0.5973,0.0
2025-07-21 15:40:00,0.5972,0.5973,0.5971,0.5973,0.0
2025-07-21 15:45:00,0.5972,0.5973,0.5971,0.5971,0.0
2025-07-21 15:50:00,0.597,0.5972,0.5969,0.5972,0.0
2025-07-21 15:55:00,0.5971,0.5972,0.5969,0.5971,0.0
2025-07-21 16:00:00,0.597,0.5971,0.5968,0.5968,0.0
2025-07-21 16:05:00,0.597,0.5971,0.5967,0.597,0.0
2025-07-21 16:10:00,0.5971,0.5971,0.5969,0.5969,0.0
2025-07-21 16:15:00,0.597,0.597,0.5968,0.5968,0.0
2025-07-21 16:20:00,0.5967,0.5969,0.5967,0.5969,0.0
2025-07-21 16:25:00,0.5968,0.597,0.5968,0.5968,0.0
2025-07-21 16:30:00,0.597,0.597,0.5968,0.5968,0.0
2025-07-21 16:35:00,0.5969,0.597,0.5968,0.5969,0.0
2025-07-21 16:40:00,0.5968,0.597,0.5967,0.5969,0.0
2025-07-21 16:45:00,0.597,0.597,0.5968,0.597,0.0
2025-07-21 16:50:00,0.5969,0.597,0.5968,0.5968,0.0
2025-07-21 16:55:00,0.5969,0.5969,0.5966,0.5966,0.0
2025-07-21 17:00:00,0.5967,0.5968,0.5965,0.5968,0.0
2025-07-21 17:05:00,0.5974,0.5974,0.5972,0.5972,0.0
2025-07-21 17:10:00,0.5973,0.5978,0.5968,0.5969,0.0
2025-07-21 17:15:00,0.5966,0.5969,0.5966,0.5969,0.0
2025-07-21 17:20:00,0.5962,0.5968,0.5962,0.5968,0.0
