,Open,High,Low,Close,Volume
2025-07-22 05:40:00,15.3963,15.4062,15.3899,15.3923,0.0
2025-07-22 05:45:00,15.3953,15.4055,15.3858,15.3944,0.0
2025-07-22 05:50:00,15.3953,15.4065,15.386,15.3919,0.0
2025-07-22 05:55:00,15.3902,15.4012,15.3822,15.3856,0.0
2025-07-22 06:00:00,15.388,15.4062,15.3793,15.3901,0.0
2025-07-22 06:05:00,15.3913,15.4002,15.3817,15.393,0.0
2025-07-22 06:10:00,15.3866,15.4017,15.3805,15.3889,0.0
2025-07-22 06:15:00,15.3881,15.4068,15.384,15.3972,0.0
2025-07-22 06:20:00,15.3963,15.4095,15.3924,15.4032,0.0
2025-07-22 06:25:00,15.3963,15.4058,15.3909,15.3919,0.0
2025-07-22 06:30:00,15.4011,15.4035,15.391,15.3943,0.0
2025-07-22 06:35:00,15.3944,15.4025,15.3862,15.3943,0.0
2025-07-22 06:40:00,15.3909,15.4059,15.3845,15.3934,0.0
2025-07-22 06:45:00,15.3918,15.4045,15.3865,15.3951,0.0
2025-07-22 06:50:00,15.3928,15.4038,15.3859,15.3934,0.0
2025-07-22 06:55:00,15.3904,15.4037,15.3892,15.394,0.0
2025-07-22 07:00:00,15.3928,15.4017,15.3869,15.3967,0.0
2025-07-22 07:05:00,15.3907,15.4024,15.3823,15.3901,0.0
2025-07-22 07:10:00,15.3881,15.3981,15.3851,15.3913,0.0
2025-07-22 07:15:00,15.3887,15.3993,15.3836,15.3922,0.0
2025-07-22 07:20:00,15.3861,15.3946,15.3797,15.3877,0.0
2025-07-22 07:25:00,15.3852,15.3915,15.3776,15.3808,0.0
2025-07-22 07:30:00,15.3812,15.3969,15.3723,15.3869,0.0
2025-07-22 07:35:00,15.3802,15.3928,15.3668,15.3755,0.0
2025-07-22 07:40:00,15.3741,15.3833,15.3565,15.3606,0.0
2025-07-22 07:45:00,15.3593,15.3745,15.3481,15.3626,0.0
2025-07-22 07:50:00,15.3584,15.3736,15.3521,15.3595,0.0
2025-07-22 07:55:00,15.3604,15.3725,15.3514,15.3617,0.0
2025-07-22 08:00:00,15.3637,15.383,15.3495,15.3675,0.0
2025-07-22 08:05:00,15.361,15.3779,15.3517,15.3651,0.0
2025-07-22 08:10:00,15.3723,15.3744,15.3537,15.3629,0.0
2025-07-22 08:15:00,15.3584,15.3653,15.3438,15.3542,0.0
2025-07-22 08:20:00,15.3524,15.3703,15.3439,15.3545,0.0
2025-07-22 08:25:00,15.3536,15.3723,15.3454,15.3581,0.0
2025-07-22 08:30:00,15.3646,15.3657,15.3463,15.357,0.0
2025-07-22 08:35:00,15.3508,15.3606,15.3341,15.3384,0.0
2025-07-22 08:40:00,15.3408,15.3548,15.3315,15.337,0.0
2025-07-22 08:45:00,15.3346,15.3479,15.324,15.3272,0.0
2025-07-22 08:50:00,15.326,15.3384,15.3052,15.3154,0.0
2025-07-22 08:55:00,15.3223,15.3352,15.2875,15.3103,0.0
2025-07-22 09:00:00,15.311,15.3278,15.29,15.3049,0.0
2025-07-22 09:05:00,15.2984,15.3196,15.2891,15.3083,0.0
2025-07-22 09:10:00,15.3108,15.3235,15.2952,15.3091,0.0
2025-07-22 09:15:00,15.306,15.3279,15.2916,15.3088,0.0
