,Open,High,Low,Close,Volume
2025-07-22 05:40:00,1.1984,1.1988,1.1977,1.198,0.0
2025-07-22 05:45:00,1.1977,1.1987,1.1977,1.1984,0.0
2025-07-22 05:50:00,1.1983,1.1987,1.1975,1.1983,0.0
2025-07-22 05:55:00,1.1979,1.1986,1.1974,1.198,0.0
2025-07-22 06:00:00,1.1978,1.1985,1.1973,1.1979,0.0
2025-07-22 06:05:00,1.1975,1.1985,1.197,1.1979,0.0
2025-07-22 06:10:00,1.1975,1.1983,1.1972,1.1976,0.0
2025-07-22 06:15:00,1.198,1.1981,1.1971,1.1975,0.0
2025-07-22 06:20:00,1.1974,1.1983,1.1972,1.1979,0.0
2025-07-22 06:25:00,1.1979,1.1984,1.1975,1.198,0.0
2025-07-22 06:30:00,1.1979,1.1987,1.1975,1.198,0.0
2025-07-22 06:35:00,1.1979,1.1989,1.1975,1.1983,0.0
2025-07-22 06:40:00,1.1982,1.1988,1.1977,1.1981,0.0
2025-07-22 06:45:00,1.198,1.1989,1.1977,1.1985,0.0
2025-07-22 06:50:00,1.1986,1.199,1.1978,1.1985,0.0
2025-07-22 06:55:00,1.1986,1.1991,1.1981,1.1986,0.0
2025-07-22 07:00:00,1.1989,1.1992,1.1983,1.1987,0.0
2025-07-22 07:05:00,1.1989,1.1993,1.1981,1.1989,0.0
2025-07-22 07:10:00,1.1988,1.1993,1.1983,1.1989,0.0
2025-07-22 07:15:00,1.1989,1.1992,1.1981,1.1988,0.0
2025-07-22 07:20:00,1.199,1.1991,1.1979,1.1987,0.0
2025-07-22 07:25:00,1.1984,1.1989,1.1978,1.198,0.0
2025-07-22 07:30:00,1.1984,1.1989,1.1979,1.1983,0.0
2025-07-22 07:35:00,1.1986,1.1988,1.1977,1.1981,0.0
2025-07-22 07:40:00,1.1986,1.1988,1.1977,1.1984,0.0
2025-07-22 07:45:00,1.1983,1.1988,1.1971,1.1979,0.0
2025-07-22 07:50:00,1.1976,1.1982,1.1973,1.1979,0.0
2025-07-22 07:55:00,1.1975,1.1981,1.1972,1.1978,0.0
2025-07-22 08:00:00,1.1978,1.1984,1.1969,1.1979,0.0
