,Open,High,Low,Close,Volume
2025-07-22 14:20:00,2.6208,2.6214,2.6202,2.6208,0.0
2025-07-22 14:25:00,2.6199,2.6214,2.6199,2.6208,0.0
2025-07-22 14:30:00,2.6204,2.6212,2.6199,2.6206,0.0
2025-07-22 14:35:00,2.6208,2.6212,2.6199,2.6208,0.0
2025-07-22 14:40:00,2.6202,2.6216,2.6199,2.6209,0.0
2025-07-22 14:45:00,2.6208,2.6214,2.6194,2.6205,0.0
2025-07-22 14:50:00,2.6205,2.6207,2.6197,2.6205,0.0
2025-07-22 14:55:00,2.6202,2.6207,2.6195,2.6204,0.0
2025-07-22 15:00:00,2.6199,2.6207,2.6191,2.6203,0.0
2025-07-22 15:05:00,2.6193,2.6206,2.6131,2.616,0.0
2025-07-22 15:10:00,2.6152,2.6164,2.6119,2.6147,0.0
2025-07-22 15:15:00,2.6146,2.6157,2.6127,2.6136,0.0
2025-07-22 15:20:00,2.6131,2.6173,2.6103,2.6149,0.0
2025-07-22 15:25:00,2.615,2.6172,2.6142,2.6162,0.0
2025-07-22 15:30:00,2.6147,2.6165,2.6124,2.6138,0.0
2025-07-22 15:35:00,2.6141,2.6151,2.6121,2.6127,0.0
2025-07-22 15:40:00,2.613,2.6144,2.6121,2.6127,0.0
2025-07-22 15:45:00,2.6121,2.6144,2.6121,2.613,0.0
2025-07-22 15:50:00,2.6136,2.6143,2.6101,2.6115,0.0
2025-07-22 15:55:00,2.6132,2.6134,2.6092,2.6109,0.0
2025-07-22 16:00:00,2.6118,2.6129,2.6103,2.6122,0.0
2025-07-22 16:05:00,2.6117,2.6139,2.6101,2.611,0.0
2025-07-22 16:10:00,2.6131,2.6136,2.6095,2.6104,0.0
2025-07-22 16:15:00,2.6095,2.6132,2.6095,2.6104,0.0
2025-07-22 16:20:00,2.6105,2.6131,2.6099,2.6105,0.0
2025-07-22 16:25:00,2.6108,2.613,2.6099,2.6127,0.0
2025-07-22 16:30:00,2.6124,2.613,2.6118,2.6128,0.0
2025-07-22 16:35:00,2.6132,2.6132,2.612,2.6125,0.0
2025-07-22 16:40:00,2.612,2.6131,2.6115,2.6125,0.0
2025-07-22 16:45:00,2.6121,2.613,2.6115,2.6125,0.0
2025-07-22 16:50:00,2.6117,2.6125,2.6113,2.6121,0.0
2025-07-22 16:55:00,2.6119,2.6128,2.6101,2.6103,0.0
2025-07-22 17:00:00,2.6101,2.6107,2.6101,2.6106,0.0
2025-07-22 17:05:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:10:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:15:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:20:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:25:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:30:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:35:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:40:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:45:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:50:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 17:55:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 18:00:00,2.6106,2.6106,2.6106,2.6106,0.0
2025-07-22 18:05:00,2.6103,2.6105,2.6096,2.6096,0.0
