,Open,High,Low,Close,Volume
2025-07-22 05:40:00,1.3123,1.3129,1.3116,1.3118,0.0
2025-07-22 05:45:00,1.3118,1.3126,1.3114,1.3123,0.0
2025-07-22 05:50:00,1.3121,1.3126,1.3114,1.3121,0.0
2025-07-22 05:55:00,1.3121,1.3124,1.311,1.3116,0.0
2025-07-22 06:00:00,1.3117,1.3123,1.3111,1.3118,0.0
2025-07-22 06:05:00,1.3114,1.3123,1.3106,1.3115,0.0
2025-07-22 06:10:00,1.3111,1.3121,1.3108,1.3112,0.0
2025-07-22 06:15:00,1.3113,1.3116,1.3105,1.3111,0.0
2025-07-22 06:20:00,1.3106,1.3116,1.3106,1.3112,0.0
2025-07-22 06:25:00,1.3115,1.312,1.3109,1.3116,0.0
2025-07-22 06:30:00,1.3114,1.3121,1.3109,1.3116,0.0
2025-07-22 06:35:00,1.3115,1.3121,1.3109,1.3119,0.0
2025-07-22 06:40:00,1.3122,1.3122,1.3112,1.3117,0.0
2025-07-22 06:45:00,1.3112,1.3123,1.3112,1.3121,0.0
2025-07-22 06:50:00,1.3118,1.3126,1.3114,1.3121,0.0
2025-07-22 06:55:00,1.3123,1.3127,1.3113,1.3118,0.0
2025-07-22 07:00:00,1.3121,1.3124,1.3113,1.3119,0.0
2025-07-22 07:05:00,1.3123,1.3129,1.3115,1.3124,0.0
2025-07-22 07:10:00,1.3118,1.3129,1.3117,1.3123,0.0
2025-07-22 07:15:00,1.3126,1.3128,1.3113,1.312,0.0
2025-07-22 07:20:00,1.3119,1.3122,1.311,1.3117,0.0
2025-07-22 07:25:00,1.3114,1.3119,1.3107,1.3112,0.0
2025-07-22 07:30:00,1.3111,1.3119,1.3106,1.3113,0.0
2025-07-22 07:35:00,1.3116,1.3118,1.3106,1.3113,0.0
2025-07-22 07:40:00,1.3111,1.3116,1.3103,1.3109,0.0
2025-07-22 07:45:00,1.3108,1.3118,1.3098,1.3107,0.0
2025-07-22 07:50:00,1.3108,1.3111,1.31,1.3108,0.0
2025-07-22 07:55:00,1.3107,1.311,1.3099,1.3108,0.0
2025-07-22 08:00:00,1.3104,1.3113,1.3098,1.3102,0.0
