,Open,High,Low,Close,Volume
2025-07-22 16:35:00,4.5648,4.5657,4.5591,4.5614,0.0
2025-07-22 16:40:00,4.566,4.566,4.5614,4.566,0.0
2025-07-22 16:45:00,4.5621,4.5666,4.5614,4.5617,0.0
2025-07-22 16:50:00,4.5606,4.5663,4.5594,4.5608,0.0
2025-07-22 16:55:00,4.5654,4.5692,4.5611,4.5649,0.0
2025-07-22 17:00:00,4.5603,4.5695,4.5574,4.5591,0.0
2025-07-22 17:05:00,4.5608,4.5651,4.5556,4.5608,0.0
2025-07-22 17:10:00,4.5588,4.5651,4.557,4.5644,0.0
2025-07-22 17:15:00,4.5619,4.5648,4.5574,4.5648,0.0
2025-07-22 17:20:00,4.5622,4.5651,4.5562,4.5562,0.0
2025-07-22 17:25:00,4.5574,4.5651,4.5559,4.5577,0.0
2025-07-22 17:30:00,4.5588,4.5662,4.5574,4.5605,0.0
2025-07-22 17:35:00,4.5594,4.5651,4.5591,4.5605,0.0
2025-07-22 17:40:00,4.5588,4.5633,4.5574,4.5591,0.0
2025-07-22 17:45:00,4.563,4.5648,4.5574,4.5602,0.0
2025-07-22 17:50:00,4.5585,4.5644,4.5585,4.5585,0.0
2025-07-22 17:55:00,4.563,4.5644,4.5585,4.5585,0.0
2025-07-22 18:00:00,4.5644,4.5644,4.5567,4.5585,0.0
2025-07-22 18:05:00,4.5596,4.5669,4.5578,4.5649,0.0
2025-07-22 18:10:00,4.5617,4.5663,4.5586,4.5614,0.0
2025-07-22 18:15:00,4.5597,4.5652,4.5583,4.5649,0.0
2025-07-22 18:20:00,4.5624,4.5658,4.5578,4.5609,0.0
2025-07-22 18:25:00,4.5627,4.5672,4.5592,4.5613,0.0
2025-07-22 18:30:00,4.5624,4.5655,4.5592,4.5621,0.0
2025-07-22 18:35:00,4.5609,4.5694,4.5581,4.5657,0.0
2025-07-22 18:40:00,4.5625,4.5682,4.5584,4.5613,0.0
2025-07-22 18:45:00,4.5658,4.5658,4.5581,4.5613,0.0
2025-07-22 18:50:00,4.5624,4.5669,4.5577,4.5591,0.0
