,Open,High,Low,Close,Volume
2025-07-06 19:00:00,3.565,3.565,3.565,3.565,0.0
2025-07-06 19:05:00,3.566,3.566,3.566,3.566,0.0
2025-07-06 19:10:00,3.566,3.566,3.566,3.566,0.0
2025-07-06 19:15:00,3.567,3.567,3.567,3.567,0.0
2025-07-06 19:20:00,3.569,3.569,3.569,3.569,0.0
2025-07-06 19:25:00,3.575,3.575,3.575,3.575,0.0
2025-07-06 19:30:00,3.575,3.575,3.575,3.575,0.0
2025-07-06 19:35:00,3.566,3.566,3.566,3.566,0.0
2025-07-06 19:40:00,3.574,3.574,3.574,3.574,0.0
2025-07-06 19:45:00,3.573,3.573,3.573,3.573,0.0
2025-07-06 19:50:00,3.575,3.575,3.575,3.575,0.0
2025-07-06 19:55:00,3.566,3.566,3.566,3.566,0.0
2025-07-06 20:00:00,3.564,3.564,3.564,3.564,0.0
2025-07-06 20:05:00,3.566,3.566,3.566,3.566,0.0
2025-07-06 20:10:00,3.563,3.563,3.563,3.563,0.0
2025-07-06 20:15:00,3.569,3.569,3.569,3.569,0.0
2025-07-06 20:20:00,3.562,3.562,3.562,3.562,0.0
2025-07-06 20:25:00,3.565,3.565,3.565,3.565,0.0
2025-07-06 20:30:00,3.571,3.571,3.571,3.571,0.0
2025-07-06 20:35:00,3.571,3.571,3.571,3.571,0.0
2025-07-06 20:40:00,3.563,3.563,3.563,3.563,0.0
2025-07-06 20:45:00,3.569,3.569,3.569,3.569,0.0
2025-07-06 20:50:00,3.563,3.563,3.563,3.563,0.0
2025-07-06 20:55:00,3.57,3.57,3.57,3.57,0.0
2025-07-06 21:00:00,3.575,3.575,3.575,3.575,0.0
2025-07-06 21:05:00,3.564,3.564,3.564,3.564,0.0
2025-07-06 21:10:00,3.563,3.563,3.563,3.563,0.0
2025-07-06 21:15:00,3.571,3.571,3.571,3.571,0.0
2025-07-06 21:20:00,3.561,3.561,3.561,3.561,0.0
2025-07-06 21:25:00,3.562,3.562,3.562,3.562,0.0
2025-07-06 21:30:00,3.572,3.572,3.572,3.572,0.0
2025-07-06 21:35:00,3.562,3.562,3.562,3.562,0.0
2025-07-06 21:40:00,3.563,3.563,3.563,3.563,0.0
2025-07-06 21:45:00,3.564,3.564,3.564,3.564,0.0
