,Open,High,Low,Close,Volume
2025-07-23 19:10:00,1.3599,1.3602,1.3598,1.3602,0.0
2025-07-23 19:15:00,1.3599,1.3602,1.3598,1.3602,0.0
2025-07-23 19:20:00,1.3599,1.3602,1.3597,1.3598,0.0
2025-07-23 19:25:00,1.3599,1.3602,1.3597,1.36,0.0
2025-07-23 19:30:00,1.3601,1.3601,1.3598,1.3601,0.0
2025-07-23 19:35:00,1.3599,1.3603,1.3598,1.36,0.0
2025-07-23 19:40:00,1.3599,1.3603,1.3599,1.3602,0.0
2025-07-23 19:45:00,1.3603,1.3603,1.3599,1.3601,0.0
2025-07-23 19:50:00,1.3603,1.3603,1.3599,1.3601,0.0
2025-07-23 19:55:00,1.3602,1.3602,1.3598,1.36,0.0
2025-07-23 20:00:00,1.3602,1.3603,1.3598,1.3602,0.0
2025-07-23 20:05:00,1.3599,1.3604,1.3599,1.3604,0.0
2025-07-23 20:10:00,1.3603,1.3607,1.3601,1.3603,0.0
2025-07-23 20:15:00,1.3604,1.3608,1.3603,1.3608,0.0
2025-07-23 20:20:00,1.3606,1.3608,1.3603,1.3605,0.0
2025-07-23 20:25:00,1.3604,1.3607,1.3602,1.3605,0.0
2025-07-23 20:30:00,1.3606,1.3606,1.3601,1.3604,0.0
2025-07-23 20:35:00,1.3603,1.3607,1.3601,1.3606,0.0
2025-07-23 20:40:00,1.3605,1.3607,1.3602,1.3604,0.0
2025-07-23 20:45:00,1.3605,1.3607,1.3603,1.3606,0.0
2025-07-23 20:50:00,1.3607,1.3607,1.3603,1.3605,0.0
2025-07-23 20:55:00,1.3606,1.3606,1.3601,1.3602,0.0
2025-07-23 21:00:00,1.3603,1.3606,1.3601,1.3604,0.0
2025-07-23 21:05:00,1.3606,1.3606,1.3596,1.3597,0.0
2025-07-23 21:10:00,1.3596,1.36,1.3595,1.36,0.0
2025-07-23 21:15:00,1.3598,1.36,1.3596,1.3598,0.0
2025-07-23 21:20:00,1.3599,1.3601,1.3595,1.3597,0.0
