,Open,High,Low,Close,Volume
2025-07-22 05:20:00,7.1763,7.1765,7.1748,7.176,0.0
2025-07-22 05:25:00,7.1762,7.1764,7.1743,7.1761,0.0
2025-07-22 05:30:00,7.1756,7.1766,7.1747,7.1765,0.0
2025-07-22 05:35:00,7.1766,7.177,7.1754,7.1767,0.0
2025-07-22 05:40:00,7.1768,7.177,7.1752,7.1767,0.0
2025-07-22 05:45:00,7.1763,7.1771,7.175,7.1767,0.0
2025-07-22 05:50:00,7.1764,7.1767,7.1747,7.1763,0.0
2025-07-22 05:55:00,7.1764,7.177,7.175,7.1768,0.0
2025-07-22 06:00:00,7.1762,7.1777,7.1755,7.1767,0.0
2025-07-22 06:05:00,7.1776,7.1781,7.1756,7.1765,0.0
2025-07-22 06:10:00,7.1766,7.1767,7.1751,7.1764,0.0
2025-07-22 06:15:00,7.1765,7.1767,7.1752,7.1758,0.0
2025-07-22 06:20:00,7.1764,7.1766,7.175,7.1764,0.0
2025-07-22 06:25:00,7.1761,7.1767,7.1752,7.1761,0.0
2025-07-22 06:30:00,7.1763,7.1766,7.1747,7.1756,0.0
2025-07-22 06:35:00,7.1761,7.1767,7.1746,7.1764,0.0
2025-07-22 06:40:00,7.1762,7.1766,7.1751,7.1765,0.0
2025-07-22 06:45:00,7.1763,7.1765,7.1743,7.1759,0.0
2025-07-22 06:50:00,7.1762,7.1765,7.175,7.1761,0.0
2025-07-22 06:55:00,7.1764,7.1767,7.1751,7.1763,0.0
2025-07-22 07:00:00,7.176,7.1767,7.1751,7.1764,0.0
2025-07-22 07:05:00,7.1755,7.1765,7.1745,7.1762,0.0
2025-07-22 07:10:00,7.1761,7.1767,7.1744,7.1764,0.0
2025-07-22 07:15:00,7.1765,7.1765,7.175,7.176,0.0
2025-07-22 07:20:00,7.1762,7.1764,7.1751,7.1763,0.0
2025-07-22 07:25:00,7.1761,7.1765,7.1754,7.1762,0.0
2025-07-22 07:30:00,7.1765,7.1767,7.1751,7.1763,0.0
2025-07-22 07:35:00,7.1765,7.1766,7.1748,7.176,0.0
2025-07-22 07:40:00,7.1758,7.1766,7.1748,7.1764,0.0
2025-07-22 07:45:00,7.176,7.1767,7.1741,7.1752,0.0
2025-07-22 07:50:00,7.1753,7.1756,7.1741,7.1755,0.0
2025-07-22 07:55:00,7.1756,7.1757,7.1744,7.1755,0.0
2025-07-22 08:00:00,7.1754,7.1756,7.1737,7.1743,0.0
2025-07-22 08:05:00,7.1746,7.1747,7.1734,7.1742,0.0
2025-07-22 08:10:00,7.1744,7.175,7.1733,7.1749,0.0
2025-07-22 08:15:00,7.1747,7.175,7.1734,7.1747,0.0
2025-07-22 08:20:00,7.1746,7.1757,7.1736,7.1757,0.0
2025-07-22 08:25:00,7.1746,7.1759,7.1745,7.1758,0.0
2025-07-22 08:30:00,7.1757,7.1761,7.1746,7.1756,0.0
2025-07-22 08:35:00,7.176,7.1767,7.1752,7.1761,0.0
2025-07-22 08:40:00,7.1764,7.1767,7.175,7.1763,0.0
2025-07-22 08:45:00,7.1758,7.1768,7.1754,7.1764,0.0
2025-07-22 08:50:00,7.1765,7.1768,7.1752,7.1761,0.0
2025-07-22 08:55:00,7.1758,7.1768,7.1754,7.1761,0.0
2025-07-22 09:00:00,7.1762,7.1766,7.1752,7.1762,0.0
2025-07-22 09:05:00,7.176,7.1762,7.1738,7.175,0.0
2025-07-22 09:10:00,7.1758,7.1758,7.1733,7.1749,0.0
2025-07-22 09:15:00,7.1748,7.1758,7.1736,7.1747,0.0
2025-07-22 09:20:00,7.1758,7.1758,7.1732,7.1749,0.0
2025-07-22 09:25:00,7.1745,7.1758,7.1735,7.1743,0.0
2025-07-22 09:30:00,7.1742,7.1758,7.1728,7.1743,0.0
2025-07-22 09:35:00,7.1741,7.1758,7.1731,7.1747,0.0
2025-07-22 09:40:00,7.175,7.1758,7.1731,7.1742,0.0
2025-07-22 09:45:00,7.1743,7.1758,7.1728,7.1742,0.0
2025-07-22 09:50:00,7.174,7.1758,7.173,7.1739,0.0
2025-07-22 09:55:00,7.1742,7.1758,7.1725,7.1732,0.0
2025-07-22 10:00:00,7.1733,7.1758,7.1719,7.1728,0.0
2025-07-22 10:05:00,7.1724,7.1758,7.1721,7.1747,0.0
2025-07-22 10:10:00,7.1742,7.1758,7.1732,7.1746,0.0
2025-07-22 10:15:00,7.1747,7.1758,7.1724,7.1735,0.0
2025-07-22 10:20:00,7.1736,7.1758,7.1719,7.1738,0.0
2025-07-22 10:25:00,7.1737,7.1758,7.1717,7.1728,0.0
2025-07-22 10:30:00,7.1727,7.1731,7.1717,7.1725,0.0
2025-07-22 10:35:00,7.1726,7.1731,7.1715,7.1731,0.0
2025-07-22 10:40:00,7.1728,7.1735,7.172,7.1734,0.0
2025-07-22 10:45:00,7.1733,7.1758,7.1723,7.173,0.0
2025-07-22 10:50:00,7.1732,7.1732,7.1716,7.1724,0.0
2025-07-22 10:55:00,7.1722,7.1727,7.1713,7.1719,0.0
2025-07-22 11:00:00,7.172,7.1722,7.1705,7.1718,0.0
2025-07-22 11:05:00,7.1716,7.1722,7.1705,7.1716,0.0
2025-07-22 11:10:00,7.1715,7.1718,7.1699,7.1711,0.0
2025-07-22 11:15:00,7.1712,7.1713,7.1694,7.1705,0.0
2025-07-22 11:20:00,7.1702,7.1707,7.1693,7.1705,0.0
2025-07-22 11:25:00,7.1706,7.1708,7.1696,7.17,0.0
2025-07-22 11:30:00,7.1704,7.1709,7.1694,7.1707,0.0
2025-07-22 11:35:00,7.1708,7.1713,7.1697,7.1708,0.0
2025-07-22 11:40:00,7.1707,7.171,7.1687,7.1702,0.0
2025-07-22 11:45:00,7.17,7.1708,7.1692,7.1702,0.0
2025-07-22 11:50:00,7.1701,7.1704,7.1689,7.1699,0.0
2025-07-22 11:55:00,7.1691,7.1702,7.1689,7.1696,0.0
2025-07-22 12:00:00,7.1694,7.1697,7.1679,7.1691,0.0
2025-07-22 12:05:00,7.1692,7.1693,7.1681,7.1693,0.0
2025-07-22 12:10:00,7.1692,7.1693,7.1676,7.1687,0.0
2025-07-22 12:15:00,7.1689,7.1691,7.1676,7.169,0.0
2025-07-22 12:20:00,7.1688,7.1694,7.168,7.1689,0.0
2025-07-22 12:25:00,7.1691,7.1693,7.1681,7.1689,0.0
2025-07-22 12:30:00,7.169,7.1691,7.1677,7.1686,0.0
2025-07-22 12:35:00,7.1687,7.1689,7.1675,7.1687,0.0
2025-07-22 12:40:00,7.1686,7.1694,7.1676,7.1691,0.0
2025-07-22 12:45:00,7.1692,7.1694,7.1678,7.1688,0.0
2025-07-22 12:50:00,7.1686,7.1692,7.1678,7.1688,0.0
2025-07-22 12:55:00,7.1689,7.1691,7.1677,7.1685,0.0
2025-07-22 13:00:00,7.1688,7.1691,7.168,7.169,0.0
2025-07-22 13:05:00,7.1688,7.1693,7.1679,7.1689,0.0
2025-07-22 13:10:00,7.169,7.1698,7.1683,7.1696,0.0
2025-07-22 13:15:00,7.1697,7.1698,7.1685,7.1693,0.0
2025-07-22 13:20:00,7.1694,7.1696,7.1682,7.1694,0.0
2025-07-22 13:25:00,7.1692,7.1695,7.1681,7.169,0.0
2025-07-22 13:30:00,7.1687,7.1695,7.168,7.1689,0.0
2025-07-22 13:35:00,7.1694,7.1698,7.1687,7.1693,0.0
2025-07-22 13:40:00,7.1696,7.1698,7.1686,7.1692,0.0
2025-07-22 13:45:00,7.1695,7.1696,7.1682,7.1695,0.0
2025-07-22 13:50:00,7.1692,7.1698,7.1683,7.1692,0.0
2025-07-22 13:55:00,7.1697,7.1698,7.1684,7.1695,0.0
2025-07-22 14:00:00,7.1692,7.1699,7.1684,7.1698,0.0
2025-07-22 14:05:00,7.169,7.1699,7.1688,7.1696,0.0
2025-07-22 14:10:00,7.1694,7.1699,7.1687,7.1696,0.0
2025-07-22 14:15:00,7.1692,7.1698,7.1685,7.1696,0.0
2025-07-22 14:20:00,7.1695,7.1701,7.1687,7.1694,0.0
2025-07-22 14:25:00,7.1696,7.1697,7.1683,7.1693,0.0
2025-07-22 14:30:00,7.1694,7.1698,7.1685,7.1695,0.0
2025-07-22 14:35:00,7.1694,7.1698,7.1686,7.1696,0.0
2025-07-22 14:40:00,7.1693,7.1698,7.1683,7.1693,0.0
2025-07-22 14:45:00,7.1697,7.1697,7.1684,7.1693,0.0
2025-07-22 14:50:00,7.1691,7.1695,7.1681,7.1694,0.0
2025-07-22 14:55:00,7.1695,7.1696,7.1683,7.1696,0.0
2025-07-22 15:00:00,7.1694,7.1696,7.1684,7.1693,0.0
2025-07-22 15:05:00,7.1688,7.1697,7.1685,7.1696,0.0
2025-07-22 15:10:00,7.1693,7.1699,7.1684,7.1692,0.0
2025-07-22 15:15:00,7.1698,7.1702,7.1688,7.1696,0.0
2025-07-22 15:20:00,7.1693,7.1698,7.1685,7.1695,0.0
2025-07-22 15:25:00,7.1692,7.1698,7.1686,7.1695,0.0
2025-07-22 15:30:00,7.1684,7.1699,7.1684,7.1696,0.0
2025-07-22 15:35:00,7.1688,7.17,7.1686,7.1699,0.0
2025-07-22 15:40:00,7.1697,7.1701,7.1688,7.1696,0.0
2025-07-22 15:45:00,7.1699,7.17,7.1687,7.1694,0.0
2025-07-22 15:50:00,7.1696,7.1699,7.1688,7.1697,0.0
2025-07-22 15:55:00,7.1698,7.1699,7.1686,7.1697,0.0
2025-07-22 16:00:00,7.1693,7.1699,7.1686,7.1694,0.0
2025-07-22 16:05:00,7.1695,7.1698,7.1685,7.1692,0.0
2025-07-22 16:10:00,7.1694,7.17,7.1686,7.1697,0.0
2025-07-22 16:15:00,7.1695,7.1701,7.1687,7.1697,0.0
2025-07-22 16:20:00,7.1694,7.17,7.1687,7.1696,0.0
2025-07-22 16:25:00,7.1692,7.1703,7.1686,7.1699,0.0
2025-07-22 16:30:00,7.1697,7.1706,7.1693,7.1702,0.0
2025-07-22 16:35:00,7.1701,7.1706,7.1689,7.1696,0.0
2025-07-22 16:40:00,7.1695,7.17,7.1687,7.1694,0.0
2025-07-22 16:45:00,7.1692,7.1699,7.1682,7.1694,0.0
2025-07-22 16:50:00,7.1688,7.1701,7.1681,7.169,0.0
2025-07-22 16:55:00,7.1691,7.17,7.1681,7.1687,0.0
2025-07-22 17:00:00,7.1689,7.1695,7.1677,7.1683,0.0
2025-07-22 17:05:00,7.1689,7.1724,7.1685,7.1714,0.0
2025-07-22 17:10:00,7.1714,7.1714,7.1714,7.1714,0.0
2025-07-22 17:15:00,7.1704,7.1704,7.1696,7.1696,0.0
2025-07-22 17:20:00,7.1696,7.1696,7.1696,7.1696,0.0
2025-07-22 17:25:00,7.1706,7.1715,7.1702,7.1702,0.0
2025-07-22 17:30:00,7.1702,7.1702,7.1702,7.1702,0.0
2025-07-22 17:35:00,7.1702,7.1702,7.1702,7.1702,0.0
2025-07-22 17:40:00,7.1695,7.1695,7.1693,7.1693,0.0
2025-07-22 17:45:00,7.1693,7.1693,7.1693,7.1693,0.0
2025-07-22 17:50:00,7.1692,7.1692,7.169,7.1691,0.0
2025-07-22 17:55:00,7.1689,7.1691,7.1689,7.1689,0.0
2025-07-22 18:00:00,7.1693,7.1696,7.1684,7.1694,0.0
2025-07-22 18:05:00,7.1704,7.1711,7.169,7.1702,0.0
2025-07-22 18:10:00,7.1699,7.1704,7.1694,7.1699,0.0
2025-07-22 18:15:00,7.1701,7.1702,7.1687,7.1695,0.0
2025-07-22 18:20:00,7.1698,7.1713,7.169,7.1703,0.0
2025-07-22 18:25:00,7.1701,7.1714,7.1695,7.1708,0.0
2025-07-22 18:30:00,7.1699,7.1715,7.1692,7.1712,0.0
2025-07-22 18:35:00,7.1696,7.1717,7.1695,7.1706,0.0
2025-07-22 18:40:00,7.1705,7.1715,7.1692,7.1703,0.0
2025-07-22 18:45:00,7.1699,7.1714,7.1694,7.1712,0.0
2025-07-22 18:50:00,7.1705,7.1713,7.1687,7.1699,0.0
2025-07-22 18:55:00,7.1697,7.171,7.1689,7.1702,0.0
2025-07-22 19:00:00,7.17,7.1713,7.169,7.1702,0.0
2025-07-22 19:05:00,7.1703,7.1712,7.1686,7.1703,0.0
2025-07-22 19:10:00,7.1702,7.1712,7.1692,7.1702,0.0
2025-07-22 19:15:00,7.1712,7.1713,7.1682,7.1688,0.0
2025-07-22 19:20:00,7.169,7.171,7.1678,7.1699,0.0
2025-07-22 19:25:00,7.1702,7.1725,7.1697,7.1713,0.0
2025-07-22 19:30:00,7.1714,7.1724,7.1701,7.1716,0.0
2025-07-22 19:35:00,7.1718,7.1726,7.1702,7.1715,0.0
2025-07-22 19:40:00,7.1711,7.1722,7.17,7.1714,0.0
2025-07-22 19:45:00,7.1712,7.1722,7.17,7.1712,0.0
2025-07-22 19:50:00,7.171,7.1721,7.1701,7.1714,0.0
2025-07-22 19:55:00,7.1715,7.1719,7.1698,7.171,0.0
2025-07-22 20:00:00,7.1711,7.1718,7.1702,7.1716,0.0
2025-07-22 20:05:00,7.1712,7.1715,7.1698,7.1709,0.0
2025-07-22 20:10:00,7.171,7.1726,7.17,7.1719,0.0
2025-07-22 20:15:00,7.171,7.1723,7.1708,7.172,0.0
2025-07-22 20:20:00,7.1715,7.1722,7.1694,7.1707,0.0
2025-07-22 20:25:00,7.171,7.171,7.169,7.1701,0.0
2025-07-22 20:30:00,7.1702,7.1703,7.1687,7.1695,0.0
2025-07-22 20:35:00,7.1692,7.17,7.168,7.1692,0.0
2025-07-22 20:40:00,7.1695,7.1705,7.1688,7.1696,0.0
2025-07-22 20:45:00,7.1698,7.1706,7.1688,7.1702,0.0
2025-07-22 20:50:00,7.1701,7.1703,7.1681,7.1693,0.0
2025-07-22 20:55:00,7.1692,7.1701,7.1684,7.17,0.0
2025-07-22 21:00:00,7.1701,7.1704,7.168,7.1694,0.0
2025-07-22 21:05:00,7.1695,7.1706,7.1688,7.1705,0.0
2025-07-22 21:10:00,7.1704,7.1706,7.169,7.1698,0.0
2025-07-22 21:15:00,7.1699,7.1701,7.168,7.1681,0.0
2025-07-22 21:20:00,7.1686,7.1696,7.1674,7.1684,0.0
2025-07-22 21:25:00,7.1689,7.1693,7.1678,7.1686,0.0
2025-07-22 21:30:00,7.1687,7.1691,7.1674,7.1688,0.0
2025-07-22 21:35:00,7.1685,7.1705,7.168,7.1682,0.0
2025-07-22 21:40:00,7.1685,7.1696,7.1677,7.1691,0.0
2025-07-22 21:45:00,7.169,7.1712,7.1674,7.1706,0.0
2025-07-22 21:50:00,7.1708,7.1715,7.1695,7.1706,0.0
2025-07-22 21:55:00,7.1704,7.1711,7.1678,7.1687,0.0
2025-07-22 22:00:00,7.1683,7.1698,7.1676,7.1696,0.0
2025-07-22 22:05:00,7.1693,7.1699,7.1672,7.1679,0.0
2025-07-22 22:10:00,7.168,7.1696,7.1669,7.1694,0.0
2025-07-22 22:15:00,7.169,7.1698,7.1678,7.1696,0.0
2025-07-22 22:20:00,7.1698,7.1708,7.1687,7.1699,0.0
2025-07-22 22:25:00,7.1704,7.1714,7.1692,7.1704,0.0
2025-07-22 22:30:00,7.1707,7.1715,7.169,7.1711,0.0
2025-07-22 22:35:00,7.1714,7.1722,7.1699,7.1716,0.0
2025-07-22 22:40:00,7.1715,7.1717,7.1693,7.1713,0.0
2025-07-22 22:45:00,7.1715,7.1718,7.1698,7.1708,0.0
2025-07-22 22:50:00,7.1713,7.1713,7.1686,7.1705,0.0
2025-07-22 22:55:00,7.1703,7.171,7.1691,7.1708,0.0
2025-07-22 23:00:00,7.1706,7.1713,7.1688,7.1705,0.0
2025-07-22 23:05:00,7.1703,7.1707,7.1686,7.1699,0.0
2025-07-22 23:10:00,7.1696,7.1703,7.1685,7.1697,0.0
2025-07-22 23:15:00,7.1695,7.1698,7.167,7.1687,0.0
2025-07-22 23:20:00,7.1684,7.1689,7.1653,7.1663,0.0
