,Open,High,Low,Close,Volume
2025-07-22 14:40:00,339.68,339.69,339.44,339.61,0.0
2025-07-22 14:45:00,339.47,339.62,339.39,339.54,0.0
2025-07-22 14:50:00,339.4,339.57,339.37,339.54,0.0
2025-07-22 14:55:00,339.55,339.6,339.41,339.58,0.0
2025-07-22 15:00:00,339.57,339.61,339.4,339.56,0.0
2025-07-22 15:05:00,339.55,339.6,339.36,339.55,0.0
2025-07-22 15:10:00,339.54,339.58,339.36,339.51,0.0
2025-07-22 15:15:00,339.53,339.55,339.3,339.47,0.0
2025-07-22 15:20:00,339.32,339.48,339.28,339.38,0.0
2025-07-22 15:25:00,339.4,339.47,339.24,339.43,0.0
2025-07-22 15:30:00,339.44,339.51,339.23,339.48,0.0
2025-07-22 15:35:00,339.51,339.54,339.33,339.5,0.0
2025-07-22 15:40:00,339.52,339.55,339.38,339.53,0.0
2025-07-22 15:45:00,339.5,339.55,339.32,339.47,0.0
2025-07-22 15:50:00,339.46,339.49,339.29,339.46,0.0
2025-07-22 15:55:00,339.42,339.48,339.22,339.44,0.0
2025-07-22 16:00:00,339.45,339.46,339.25,339.42,0.0
2025-07-22 16:05:00,339.43,339.48,339.24,339.45,0.0
2025-07-22 16:10:00,339.47,339.58,339.31,339.54,0.0
2025-07-22 16:15:00,339.4,339.55,339.34,339.52,0.0
2025-07-22 16:20:00,339.53,339.56,339.38,339.53,0.0
2025-07-22 16:25:00,339.52,339.56,339.39,339.51,0.0
2025-07-22 16:30:00,339.53,339.55,339.31,339.47,0.0
2025-07-22 16:35:00,339.5,339.51,339.34,339.48,0.0
2025-07-22 16:40:00,339.5,339.52,339.34,339.5,0.0
2025-07-22 16:45:00,339.49,339.55,339.24,339.43,0.0
2025-07-22 16:50:00,339.42,339.45,339.21,339.4,0.0
2025-07-22 16:55:00,339.33,339.44,339.2,339.33,0.0
2025-07-22 17:00:00,339.23,339.4,339.09,339.26,0.0
2025-07-22 17:05:00,339.25,339.36,339.15,339.28,0.0
2025-07-22 17:10:00,339.22,339.37,339.14,339.22,0.0
2025-07-22 17:15:00,339.21,339.36,339.11,339.22,0.0
2025-07-22 17:20:00,339.35,339.47,339.17,339.36,0.0
2025-07-22 17:25:00,339.37,339.46,339.22,339.39,0.0
2025-07-22 17:30:00,339.38,339.47,339.21,339.38,0.0
2025-07-22 17:35:00,339.35,339.55,339.18,339.35,0.0
2025-07-22 17:40:00,339.38,339.48,339.17,339.35,0.0
2025-07-22 17:45:00,339.37,339.47,339.18,339.38,0.0
2025-07-22 17:50:00,339.34,339.47,339.17,339.19,0.0
2025-07-22 17:55:00,339.3,339.48,339.17,339.37,0.0
2025-07-22 18:00:00,339.19,339.57,339.17,339.26,0.0
2025-07-22 18:05:00,339.2,339.5,339.17,339.44,0.0
2025-07-22 18:10:00,339.43,339.53,339.29,339.42,0.0
2025-07-22 18:15:00,339.41,339.54,339.29,339.44,0.0
2025-07-22 18:20:00,339.45,339.54,339.33,339.38,0.0
