,Open,High,Low,Close,Volume
2025-07-22 05:45:00,3.3554,3.3559,3.3517,3.3536,0.0
2025-07-22 05:50:00,3.3519,3.3551,3.3511,3.3531,0.0
2025-07-22 05:55:00,3.3532,3.3543,3.3513,3.3535,0.0
2025-07-22 06:00:00,3.3536,3.3536,3.3529,3.3534,0.0
2025-07-22 06:05:00,3.3533,3.3545,3.353,3.3533,0.0
2025-07-22 06:10:00,3.3532,3.3537,3.351,3.3519,0.0
2025-07-22 06:15:00,3.3518,3.3524,3.351,3.3519,0.0
2025-07-22 06:20:00,3.3521,3.3539,3.3451,3.3534,0.0
2025-07-22 06:25:00,3.3527,3.3536,3.3501,3.3523,0.0
2025-07-22 06:30:00,3.3524,3.3531,3.35,3.352,0.0
2025-07-22 06:35:00,3.3527,3.3554,3.3505,3.3535,0.0
2025-07-22 06:40:00,3.3539,3.3546,3.353,3.3537,0.0
2025-07-22 06:45:00,3.3538,3.3545,3.3501,3.3541,0.0
2025-07-22 06:50:00,3.3531,3.3555,3.3511,3.3537,0.0
2025-07-22 06:55:00,3.3538,3.3549,3.3521,3.3544,0.0
2025-07-22 07:00:00,3.3543,3.3563,3.3535,3.3559,0.0
2025-07-22 07:05:00,3.3558,3.3559,3.3501,3.3526,0.0
2025-07-22 07:10:00,3.3525,3.3539,3.352,3.3533,0.0
2025-07-22 07:15:00,3.3532,3.3538,3.3501,3.3517,0.0
2025-07-22 07:20:00,3.3518,3.3527,3.35,3.3515,0.0
2025-07-22 07:25:00,3.3517,3.3522,3.3506,3.3518,0.0
2025-07-22 07:30:00,3.3517,3.352,3.3505,3.3513,0.0
2025-07-22 07:35:00,3.3505,3.352,3.35,3.3514,0.0
2025-07-22 07:40:00,3.351,3.3525,3.35,3.3519,0.0
2025-07-22 07:45:00,3.3521,3.3524,3.3487,3.3501,0.0
2025-07-22 07:50:00,3.351,3.3525,3.3489,3.3517,0.0
2025-07-22 07:55:00,3.3516,3.3521,3.351,3.3515,0.0
2025-07-22 08:00:00,3.3516,3.3521,3.35,3.3507,0.0
2025-07-22 08:05:00,3.351,3.3511,3.3448,3.3489,0.0
2025-07-22 08:10:00,3.349,3.3499,3.3436,3.3497,0.0
2025-07-22 08:15:00,3.3496,3.3498,3.3471,3.3496,0.0
2025-07-22 08:20:00,3.3495,3.35,3.3464,3.3488,0.0
2025-07-22 08:25:00,3.3487,3.3511,3.3468,3.3496,0.0
2025-07-22 08:30:00,3.3478,3.3499,3.3417,3.3478,0.0
2025-07-22 08:35:00,3.3479,3.3495,3.3441,3.349,0.0
2025-07-22 08:40:00,3.3493,3.3501,3.3437,3.3468,0.0
2025-07-22 08:45:00,3.3479,3.3479,3.3468,3.3478,0.0
2025-07-22 08:50:00,3.3469,3.3489,3.345,3.3486,0.0
2025-07-22 08:55:00,3.3487,3.3512,3.3459,3.3508,0.0
2025-07-22 09:00:00,3.3502,3.3511,3.3461,3.3492,0.0
2025-07-22 09:05:00,3.348,3.3494,3.3335,3.3454,0.0
2025-07-22 09:10:00,3.3451,3.3464,3.3411,3.3455,0.0
2025-07-22 09:15:00,3.3445,3.3458,3.341,3.3433,0.0
