,Open,High,Low,Close,Volume
2025-07-17 23:50:00,85.998,86.0025,85.986,86.0,0.0
2025-07-17 23:55:00,85.997,86.025,85.997,86.0225,0.0
2025-07-18 00:00:00,86.021,86.0625,86.021,86.035,0.0
2025-07-18 00:05:00,86.038,86.0825,86.038,86.075,0.0
2025-07-18 00:10:00,86.072,86.11,86.069,86.105,0.0
2025-07-18 00:15:00,86.099,86.13,86.093,86.099,0.0
2025-07-18 00:20:00,86.093,86.145,86.09,86.145,0.0
2025-07-18 00:25:00,86.144,86.1525,86.127,86.1375,0.0
2025-07-18 00:30:00,86.138,86.1475,86.121,86.1475,0.0
2025-07-18 00:35:00,86.151,86.165,86.117,86.13,0.0
2025-07-18 00:40:00,86.126,86.1325,86.121,86.123,0.0
2025-07-18 00:45:00,86.125,86.1275,86.106,86.11,0.0
2025-07-18 00:50:00,86.111,86.145,86.111,86.145,0.0
2025-07-18 00:55:00,86.151,86.1675,86.14,86.15,0.0
2025-07-18 01:00:00,86.143,86.165,86.143,86.165,0.0
2025-07-18 01:05:00,86.169,86.201,86.169,86.189,0.0
2025-07-18 01:10:00,86.173,86.195,86.157,86.175,0.0
2025-07-18 01:15:00,86.171,86.186,86.168,86.17,0.0
2025-07-18 01:20:00,86.175,86.194,86.17,86.194,0.0
2025-07-18 01:25:00,86.21,86.22,86.185,86.22,0.0
2025-07-18 01:30:00,86.218,86.225,86.187,86.19,0.0
2025-07-18 01:35:00,86.198,86.2075,86.189,86.201,0.0
2025-07-18 01:40:00,86.203,86.2125,86.18,86.182,0.0
2025-07-18 01:45:00,86.185,86.19,86.164,86.175,0.0
2025-07-18 01:50:00,86.168,86.18,86.165,86.17,0.0
2025-07-18 01:55:00,86.165,86.17,86.159,86.16,0.0
2025-07-18 02:00:00,86.1675,86.183,86.166,86.177,0.0
2025-07-18 02:05:00,86.1775,86.1975,86.1725,86.195,0.0
2025-07-18 02:10:00,86.19,86.2025,86.189,86.1925,0.0
2025-07-18 02:15:00,86.1875,86.1875,86.1725,86.186,0.0
2025-07-18 02:20:00,86.175,86.203,86.175,86.191,0.0
2025-07-18 02:25:00,86.1975,86.1975,86.18,86.192,0.0
2025-07-18 02:30:00,86.191,86.206,86.18,86.202,0.0
2025-07-18 02:35:00,86.2,86.22,86.176,86.197,0.0
2025-07-18 02:40:00,86.225,86.225,86.195,86.197,0.0
2025-07-18 02:45:00,86.191,86.22,86.189,86.194,0.0
2025-07-18 02:50:00,86.196,86.215,86.145,86.18,0.0
2025-07-18 02:55:00,86.157,86.19,86.144,86.165,0.0
2025-07-18 03:00:00,86.142,86.1725,86.124,86.15,0.0
2025-07-18 03:05:00,86.125,86.1625,86.115,86.122,0.0
2025-07-18 03:10:00,86.123,86.15,86.12,86.126,0.0
2025-07-18 03:15:00,86.127,86.1725,86.127,86.149,0.0
2025-07-18 03:20:00,86.137,86.17,86.135,86.147,0.0
2025-07-18 03:25:00,86.163,86.2,86.16,86.195,0.0
2025-07-18 03:30:00,86.171,86.19,86.143,86.17,0.0
2025-07-18 03:35:00,86.144,86.175,86.138,86.165,0.0
2025-07-18 03:40:00,86.147,86.175,86.121,86.15,0.0
2025-07-18 03:45:00,86.155,86.155,86.106,86.1375,0.0
2025-07-18 03:50:00,86.096,86.14,86.096,86.104,0.0
2025-07-18 03:55:00,86.11,86.16,86.101,86.124,0.0
2025-07-18 04:00:00,86.126,86.1425,86.108,86.117,0.0
2025-07-18 04:05:00,86.1425,86.1425,86.069,86.078,0.0
2025-07-18 04:10:00,86.084,86.13,86.084,86.102,0.0
2025-07-18 04:15:00,86.1325,86.1375,86.099,86.104,0.0
2025-07-18 04:20:00,86.101,86.1475,86.1,86.118,0.0
2025-07-18 04:25:00,86.15,86.18,86.116,86.18,0.0
2025-07-18 04:30:00,86.147,86.18,86.137,86.1725,0.0
2025-07-18 04:35:00,86.14,86.185,86.14,86.18,0.0
2025-07-18 04:40:00,86.149,86.195,86.149,86.1925,0.0
2025-07-18 04:45:00,86.162,86.2,86.156,86.1875,0.0
2025-07-18 04:50:00,86.15,86.19,86.125,86.1525,0.0
2025-07-18 04:55:00,86.129,86.17,86.129,86.1675,0.0
2025-07-18 05:00:00,86.137,86.1725,86.137,86.17,0.0
2025-07-18 05:05:00,86.146,86.175,86.111,86.1375,0.0
2025-07-18 05:10:00,86.11,86.1425,86.105,86.1325,0.0
2025-07-18 05:15:00,86.102,86.14,86.102,86.14,0.0
2025-07-18 05:20:00,86.113,86.1375,86.099,86.125,0.0
2025-07-18 05:25:00,86.104,86.145,86.104,86.145,0.0
2025-07-18 05:30:00,86.115,86.1525,86.115,86.12,0.0
2025-07-18 05:35:00,86.123,86.165,86.118,86.16,0.0
2025-07-18 05:40:00,86.127,86.1675,86.126,86.146,0.0
2025-07-18 05:45:00,86.152,86.185,86.15,86.157,0.0
2025-07-18 05:50:00,86.159,86.18,86.14,86.14,0.0
2025-07-18 05:55:00,86.137,86.17,86.131,86.149,0.0
2025-07-18 06:00:00,86.146,86.1725,86.125,86.155,0.0
2025-07-18 06:05:00,86.133,86.15,86.132,86.136,0.0
2025-07-18 06:10:00,86.134,86.144,86.131,86.142,0.0
2025-07-18 06:15:00,86.141,86.141,86.125,86.125,0.0
2025-07-18 06:20:00,86.124,86.124,86.115,86.115,0.0
2025-07-18 06:25:00,86.113,86.123,86.113,86.123,0.0
2025-07-18 06:30:00,86.129,86.129,86.109,86.109,0.0
2025-07-18 06:35:00,86.118,86.12,86.112,86.117,0.0
2025-07-18 06:40:00,86.124,86.128,86.115,86.116,0.0
2025-07-18 06:45:00,86.115,86.117,86.11,86.11,0.0
2025-07-18 06:50:00,86.112,86.113,86.11,86.113,0.0
2025-07-18 06:55:00,86.115,86.121,86.106,86.11,0.0
2025-07-18 07:00:00,86.114,86.117,86.109,86.113,0.0
2025-07-18 07:05:00,86.122,86.122,86.116,86.122,0.0
2025-07-18 07:10:00,86.121,86.121,86.108,86.108,0.0
2025-07-18 07:15:00,86.112,86.112,86.097,86.104,0.0
2025-07-18 07:20:00,86.106,86.106,86.098,86.1,0.0
