,Open,High,Low,Close,Volume
2025-07-23 19:45:00,146.3,146.36,146.27,146.34,0.0
2025-07-23 19:50:00,146.33,146.38,146.31,146.37,0.0
2025-07-23 19:55:00,146.36,146.39,146.33,146.36,0.0
2025-07-23 20:00:00,146.37,146.39,146.32,146.33,0.0
2025-07-23 20:05:00,146.35,146.35,146.24,146.33,0.0
2025-07-23 20:10:00,146.34,146.46,146.31,146.41,0.0
2025-07-23 20:15:00,146.44,146.46,146.35,146.46,0.0
2025-07-23 20:20:00,146.44,146.48,146.36,146.4,0.0
2025-07-23 20:25:00,146.38,146.43,146.34,146.37,0.0
2025-07-23 20:30:00,146.36,146.39,146.28,146.32,0.0
2025-07-23 20:35:00,146.31,146.36,146.28,146.33,0.0
2025-07-23 20:40:00,146.34,146.38,146.3,146.36,0.0
2025-07-23 20:45:00,146.35,146.44,146.33,146.41,0.0
2025-07-23 20:50:00,146.39,146.44,146.36,146.42,0.0
2025-07-23 20:55:00,146.39,146.44,146.32,146.42,0.0
2025-07-23 21:00:00,146.4,146.49,146.38,146.43,0.0
2025-07-23 21:05:00,146.4,146.43,146.19,146.21,0.0
2025-07-23 21:10:00,146.22,146.26,146.13,146.15,0.0
2025-07-23 21:15:00,146.18,146.19,146.06,146.09,0.0
2025-07-23 21:20:00,146.08,146.1,146.01,146.06,0.0
2025-07-23 21:25:00,146.05,146.17,146.05,146.1,0.0
2025-07-23 21:30:00,146.11,146.11,145.95,145.98,0.0
2025-07-23 21:35:00,145.97,146.03,145.87,145.92,0.0
2025-07-23 21:40:00,145.89,145.95,145.85,145.91,0.0
2025-07-23 21:45:00,145.92,145.93,145.83,145.86,0.0
2025-07-23 21:50:00,145.88,145.93,145.85,145.89,0.0
2025-07-23 21:55:00,145.91,145.94,145.84,145.88,0.0
2025-07-23 22:00:00,145.86,145.93,145.82,145.93,0.0
2025-07-23 22:05:00,145.94,146.03,145.92,146.02,0.0
2025-07-23 22:10:00,146.01,146.08,146.0,146.04,0.0
2025-07-23 22:15:00,146.07,146.12,146.02,146.03,0.0
2025-07-23 22:20:00,146.04,146.05,145.94,146.04,0.0
2025-07-23 22:25:00,146.03,146.07,145.99,146.03,0.0
2025-07-23 22:30:00,146.05,146.05,145.97,146.01,0.0
2025-07-23 22:35:00,146.0,146.09,145.97,146.08,0.0
2025-07-23 22:40:00,146.06,146.12,146.02,146.1,0.0
2025-07-23 22:45:00,146.12,146.15,146.09,146.13,0.0
2025-07-23 22:50:00,146.14,146.14,146.04,146.05,0.0
2025-07-23 22:55:00,146.04,146.08,145.97,146.01,0.0
2025-07-23 23:00:00,146.03,146.05,145.96,146.02,0.0
2025-07-23 23:05:00,146.04,146.04,145.94,146.0,0.0
2025-07-23 23:10:00,145.98,146.05,145.94,146.03,0.0
2025-07-23 23:15:00,146.02,146.04,145.96,145.98,0.0
2025-07-23 23:20:00,146.0,146.06,145.97,146.03,0.0
2025-07-23 23:25:00,146.02,146.05,145.99,146.04,0.0
2025-07-23 23:30:00,146.03,146.08,146.01,146.07,0.0
2025-07-23 23:35:00,146.09,146.1,146.02,146.05,0.0
2025-07-23 23:40:00,146.03,146.06,145.96,146.0,0.0
2025-07-23 23:45:00,146.02,146.03,145.92,145.92,0.0
2025-07-23 23:50:00,145.93,145.96,145.87,145.91,0.0
2025-07-23 23:55:00,145.89,145.95,145.86,145.91,0.0
2025-07-24 00:00:00,145.93,146.01,145.9,146.01,0.0
2025-07-24 00:05:00,146.0,146.08,145.98,146.04,0.0
2025-07-24 00:10:00,146.02,146.06,145.99,146.05,0.0
2025-07-24 00:15:00,146.06,146.06,145.99,146.01,0.0
2025-07-24 00:20:00,145.99,146.03,145.95,145.99,0.0
2025-07-24 00:25:00,146.01,146.04,145.93,145.97,0.0
2025-07-24 00:30:00,145.95,145.99,145.91,145.99,0.0
2025-07-24 00:35:00,145.96,146.02,145.94,146.01,0.0
2025-07-24 00:40:00,145.98,146.01,145.93,146.0,0.0
2025-07-24 00:45:00,145.98,146.04,145.97,146.01,0.0
2025-07-24 00:50:00,146.03,146.07,146.0,146.02,0.0
2025-07-24 00:55:00,146.01,146.05,145.99,146.03,0.0
2025-07-24 01:00:00,146.01,146.04,145.99,146.02,0.0
2025-07-24 01:05:00,146.01,146.03,145.95,146.02,0.0
2025-07-24 01:10:00,146.01,146.05,145.99,146.03,0.0
2025-07-24 01:15:00,146.01,146.1,146.01,146.07,0.0
2025-07-24 01:20:00,146.05,146.11,145.95,145.98,0.0
2025-07-24 01:25:00,146.0,146.03,145.97,146.0,0.0
2025-07-24 01:30:00,146.01,146.05,145.93,146.02,0.0
2025-07-24 01:35:00,146.04,146.04,145.97,146.0,0.0
2025-07-24 01:40:00,145.99,146.04,145.97,145.99,0.0
2025-07-24 01:45:00,146.01,146.02,145.93,145.98,0.0
2025-07-24 01:50:00,145.96,146.01,145.94,146.01,0.0
2025-07-24 01:55:00,145.99,146.11,145.98,146.0,0.0
2025-07-24 02:00:00,146.02,146.04,145.97,146.01,0.0
2025-07-24 02:05:00,145.99,146.12,145.96,146.1,0.0
2025-07-24 02:10:00,146.09,146.16,146.05,146.1,0.0
2025-07-24 02:15:00,146.11,146.2,146.08,146.2,0.0
2025-07-24 02:20:00,146.18,146.27,146.14,146.19,0.0
2025-07-24 02:25:00,146.21,146.22,146.14,146.18,0.0
2025-07-24 02:30:00,146.17,146.22,146.13,146.22,0.0
2025-07-24 02:35:00,146.2,146.27,146.18,146.22,0.0
2025-07-24 02:40:00,146.21,146.23,146.15,146.23,0.0
2025-07-24 02:45:00,146.22,146.29,146.18,146.26,0.0
2025-07-24 02:50:00,146.27,146.3,146.22,146.27,0.0
2025-07-24 02:55:00,146.29,146.3,146.21,146.24,0.0
2025-07-24 03:00:00,146.25,146.28,146.2,146.26,0.0
2025-07-24 03:05:00,146.27,146.32,146.2,146.27,0.0
2025-07-24 03:10:00,146.28,146.29,146.19,146.22,0.0
2025-07-24 03:15:00,146.23,146.24,146.12,146.14,0.0
2025-07-24 03:20:00,146.12,146.22,146.12,146.17,0.0
2025-07-24 03:25:00,146.18,146.23,146.11,146.17,0.0
2025-07-24 03:30:00,146.15,146.19,146.13,146.15,0.0
