,Open,High,Low,Close,Volume
2025-07-22 05:00:00,18.6838,18.694,18.6821,18.6829,0.0
2025-07-22 05:05:00,18.6823,18.69,18.6771,18.684,0.0
2025-07-22 05:10:00,18.6841,18.694,18.6798,18.6821,0.0
2025-07-22 05:15:00,18.6818,18.69,18.6751,18.6768,0.0
2025-07-22 05:20:00,18.685,18.689,18.6762,18.6783,0.0
2025-07-22 05:25:00,18.685,18.686,18.6735,18.6788,0.0
2025-07-22 05:30:00,18.6787,18.685,18.6748,18.6767,0.0
2025-07-22 05:35:00,18.6766,18.687,18.6751,18.6768,0.0
2025-07-22 05:40:00,18.685,18.686,18.6756,18.6811,0.0
2025-07-22 05:45:00,18.686,18.686,18.6759,18.683,0.0
2025-07-22 05:50:00,18.6765,18.683,18.6716,18.676,0.0
2025-07-22 05:55:00,18.6728,18.681,18.6691,18.6697,0.0
2025-07-22 06:00:00,18.6696,18.677,18.6662,18.6666,0.0
2025-07-22 06:05:00,18.6697,18.675,18.6624,18.6669,0.0
2025-07-22 06:10:00,18.6632,18.673,18.663,18.665,0.0
2025-07-22 06:15:00,18.6651,18.672,18.662,18.671,0.0
2025-07-22 06:20:00,18.6657,18.674,18.6626,18.6664,0.0
2025-07-22 06:25:00,18.6665,18.676,18.6664,18.6684,0.0
2025-07-22 06:30:00,18.6711,18.678,18.6677,18.6696,0.0
2025-07-22 06:35:00,18.6695,18.681,18.6691,18.6732,0.0
2025-07-22 06:40:00,18.6731,18.681,18.6715,18.6719,0.0
2025-07-22 06:45:00,18.6748,18.683,18.6695,18.6701,0.0
2025-07-22 06:50:00,18.6695,18.68,18.6695,18.6728,0.0
2025-07-22 06:55:00,18.6729,18.681,18.672,18.68,0.0
2025-07-22 07:00:00,18.6735,18.685,18.6734,18.6744,0.0
2025-07-22 07:05:00,18.675,18.685,18.6712,18.6772,0.0
2025-07-22 07:10:00,18.6808,18.685,18.6733,18.6769,0.0
2025-07-22 07:15:00,18.6801,18.684,18.6675,18.6686,0.0
2025-07-22 07:20:00,18.6687,18.681,18.6665,18.6745,0.0
2025-07-22 07:25:00,18.6684,18.682,18.6677,18.681,0.0
2025-07-22 07:30:00,18.6775,18.685,18.6676,18.6726,0.0
2025-07-22 07:35:00,18.6721,18.684,18.6647,18.6706,0.0
2025-07-22 07:40:00,18.6705,18.678,18.664,18.6665,0.0
2025-07-22 07:45:00,18.6657,18.675,18.652,18.6538,0.0
2025-07-22 07:50:00,18.6542,18.667,18.6488,18.6574,0.0
2025-07-22 07:55:00,18.6575,18.665,18.6476,18.6556,0.0
2025-07-22 08:00:00,18.6587,18.67,18.6515,18.6604,0.0
2025-07-22 08:05:00,18.661,18.67,18.6437,18.6447,0.0
2025-07-22 08:10:00,18.6476,18.658,18.644,18.6544,0.0
2025-07-22 08:15:00,18.6512,18.66,18.643,18.6526,0.0
2025-07-22 08:20:00,18.6525,18.662,18.6469,18.6516,0.0
2025-07-22 08:25:00,18.6522,18.67,18.6515,18.6558,0.0
2025-07-22 08:30:00,18.659,18.67,18.6552,18.6632,0.0
2025-07-22 08:35:00,18.6601,18.683,18.6601,18.6718,0.0
2025-07-22 08:40:00,18.679,18.68,18.6645,18.6685,0.0
2025-07-22 08:45:00,18.6663,18.677,18.6577,18.6663,0.0
2025-07-22 08:50:00,18.6664,18.675,18.6491,18.6547,0.0
2025-07-22 08:55:00,18.6549,18.669,18.6449,18.6546,0.0
2025-07-22 09:00:00,18.6509,18.668,18.6423,18.6616,0.0
2025-07-22 09:05:00,18.6584,18.667,18.6447,18.651,0.0
2025-07-22 09:10:00,18.6522,18.663,18.6475,18.66,0.0
2025-07-22 09:15:00,18.6568,18.665,18.6449,18.656,0.0
