,Open,High,Low,Close,Volume
2025-07-22 05:45:00,3.6369,3.6383,3.6351,3.6361,0.0
2025-07-22 05:50:00,3.6364,3.6367,3.6335,3.6361,0.0
2025-07-22 05:55:00,3.6362,3.6371,3.6338,3.6356,0.0
2025-07-22 06:00:00,3.6357,3.6365,3.6338,3.6351,0.0
2025-07-22 06:05:00,3.6357,3.6359,3.6331,3.6346,0.0
2025-07-22 06:10:00,3.635,3.6357,3.6325,3.6354,0.0
2025-07-22 06:15:00,3.6357,3.6358,3.633,3.6342,0.0
2025-07-22 06:20:00,3.6348,3.6357,3.6328,3.6355,0.0
2025-07-22 06:25:00,3.6354,3.6363,3.6337,3.6357,0.0
2025-07-22 06:30:00,3.6356,3.637,3.634,3.6359,0.0
2025-07-22 06:35:00,3.6355,3.6376,3.6342,3.6367,0.0
2025-07-22 06:40:00,3.6368,3.6371,3.6342,3.6367,0.0
2025-07-22 06:45:00,3.6366,3.6373,3.634,3.6361,0.0
2025-07-22 06:50:00,3.6348,3.6369,3.6342,3.6367,0.0
2025-07-22 06:55:00,3.6366,3.637,3.6347,3.6367,0.0
2025-07-22 07:00:00,3.6373,3.6374,3.6349,3.6349,0.0
2025-07-22 07:05:00,3.6359,3.6371,3.6346,3.6365,0.0
2025-07-22 07:10:00,3.6364,3.6374,3.6346,3.6371,0.0
2025-07-22 07:15:00,3.6372,3.6377,3.6348,3.6371,0.0
2025-07-22 07:20:00,3.6374,3.638,3.6353,3.6368,0.0
2025-07-22 07:25:00,3.6371,3.6385,3.6352,3.638,0.0
2025-07-22 07:30:00,3.6379,3.6399,3.6365,3.6393,0.0
2025-07-22 07:35:00,3.6392,3.6394,3.6367,3.6384,0.0
2025-07-22 07:40:00,3.6373,3.6393,3.6363,3.6386,0.0
2025-07-22 07:45:00,3.6389,3.6393,3.6363,3.6379,0.0
2025-07-22 07:50:00,3.6381,3.6391,3.6364,3.6388,0.0
2025-07-22 07:55:00,3.6387,3.6393,3.6369,3.6388,0.0
2025-07-22 08:00:00,3.6389,3.6393,3.6357,3.6374,0.0
2025-07-22 08:05:00,3.6373,3.6375,3.6342,3.6357,0.0
2025-07-22 08:10:00,3.6365,3.6385,3.6353,3.6385,0.0
2025-07-22 08:15:00,3.6383,3.6394,3.6353,3.6372,0.0
2025-07-22 08:20:00,3.6375,3.6404,3.6365,3.6383,0.0
2025-07-22 08:25:00,3.6394,3.6417,3.6382,3.6389,0.0
2025-07-22 08:30:00,3.6386,3.641,3.6382,3.6409,0.0
2025-07-22 08:35:00,3.6395,3.6412,3.6387,3.6399,0.0
2025-07-22 08:40:00,3.6407,3.6419,3.639,3.6409,0.0
2025-07-22 08:45:00,3.641,3.6418,3.639,3.6412,0.0
2025-07-22 08:50:00,3.6399,3.6427,3.6383,3.639,0.0
2025-07-22 08:55:00,3.6389,3.6417,3.6381,3.6391,0.0
2025-07-22 09:00:00,3.6394,3.6409,3.6369,3.6396,0.0
2025-07-22 09:05:00,3.6399,3.6402,3.6373,3.64,0.0
2025-07-22 09:10:00,3.6394,3.642,3.6383,3.6412,0.0
2025-07-22 09:15:00,3.6411,3.6435,3.6395,3.6414,0.0
2025-07-22 09:20:00,3.6419,3.6419,3.6387,3.6403,0.0
2025-07-22 09:25:00,3.6405,3.6406,3.6365,3.638,0.0
2025-07-22 09:30:00,3.6379,3.6386,3.6354,3.6376,0.0
2025-07-22 09:35:00,3.6364,3.6389,3.6348,3.6381,0.0
2025-07-22 09:40:00,3.6383,3.6391,3.6355,3.6367,0.0
2025-07-22 09:45:00,3.6371,3.6374,3.6328,3.6349,0.0
2025-07-22 09:50:00,3.635,3.6364,3.6334,3.6349,0.0
2025-07-22 09:55:00,3.6353,3.6355,3.6328,3.6337,0.0
2025-07-22 10:00:00,3.6342,3.6345,3.6317,3.6317,0.0
